"wk","tr","nc","stg","id"
0,"1621098717",0.0,"1",16210987171
1,"1621098717",0.43,"1",16210987171
2,"1621098717",1.29,"1",16210987171
3,"1621098717",5.14,"1",16210987171
3,"1621098717",5.14,"2",16210987172
4,"1621098717",4.14,"2",16210987172
4,"1621098717",4.14,"3",16210987173
5,"1621098717",2.86,"3",16210987173
6,"1621098717",2.86,"3",16210987173
6,"1621098717",2.86,"2",16210987174
7,"1621098717",2.29,"2",16210987174
8,"1621098717",2.14,"2",16210987174
9,"1621098717",1.29,"2",16210987174
10,"1621098717",1.86,"2",16210987174
10,"1621098717",1.86,"1b",16210987175
11,"1621098717",2.14,"1b",16210987175
11,"1621098717",2.14,"2",16210987176
12,"1621098717",2.43,"2",16210987176
13,"1621098717",1.0,"2",16210987176
13,"1621098717",1.0,"1b",16210987177
14,"1621098717",2.43,"1b",16210987177
15,"1621098717",4.29,"1b",16210987177
15,"1621098717",4.29,"1",16210987178
16,"1621098717",7.29,"1",16210987178
17,"1621098717",8.29,"1",16210987178
18,"1621098717",9.86,"1",16210987178
19,"1621098717",12.14,"1",16210987178
20,"1621098717",18.14,"1",16210987178
21,"1621098717",5.14,"1",16210987178
22,"1621098717",4.57,"1",16210987178
23,"1621098717",3.14,"1",16210987178
24,"1621098717",5.71,"1",16210987178
25,"1621098717",10.57,"1",16210987178
26,"1621098717",15.57,"1",16210987178
27,"1621098717",25.71,"1",16210987178
28,"1621098717",20.57,"1",16210987178
29,"1621098717",32.0,"1",16210987178
30,"1621098717",44.57,"1",16210987178
31,"1621098717",68.57,"1",16210987178
32,"1621098717",130.29,"1",16210987178
33,"1621098717",306.29,"1",16210987178
34,"1621098717",388.57,"1",16210987178
35,"1621098717",576.0,"1",16210987178
36,"1621098717",1197.71,"1",16210987178
37,"1621098717",2084.57,"1",16210987178
38,"1621098717",4790.86,"1",16210987178
38,"1621098717",4790.86,"1b",16210987179
39,"1621098717",8996.57,"1b",16210987179
39,"1621098717",8996.57,"2",162109871710
40,"1621098717",14336.0,"2",162109871710
40,"1621098717",14336.0,"3",162109871711
41,"1621098717",14839.09,"3",162109871711
41,"1621098717",14839.09,"4",162109871712
42,"1621098717",9162.51,"4",162109871712
43,"1621098717",5726.57,"4",162109871712
43,"1621098717",5726.57,"3",162109871713
44,"1621098717",2283.49,"3",162109871713
44,"1621098717",2283.49,"4",162109871714
45,"1621098717",1170.29,"4",162109871714
46,"1621098717",548.57,"4",162109871714
46,"1621098717",548.57,"3",162109871715
47,"1621098717",310.86,"3",162109871715
48,"1621098717",182.86,"3",162109871715
48,"1621098717",182.86,"2",162109871716
49,"1621098717",54.86,"2",162109871716
50,"1621098717",43.43,"2",162109871716
50,"1621098717",43.43,"1",162109871717
51,"1621098717",66.29,"1",162109871717
52,"1621098717",102.86,"1",162109871717
53,"1621098717",128.0,"1",162109871717
54,"1621098717",194.29,"1",162109871717
55,"1621098717",253.71,"1",162109871717
56,"1621098717",274.29,"1",162109871717
57,"1621098717",512.0,"1",162109871717
58,"1621098717",1014.86,"1",162109871717
59,"1621098717",1910.86,"1",162109871717
59,"1621098717",1910.86,"1b",162109871718
60,"1621098717",3584.0,"1b",162109871718
61,"1621098717",5339.43,"1b",162109871718
61,"1621098717",5339.43,"2",162109871719
62,"1621098717",5120.0,"2",162109871719
62,"1621098717",5120.0,"3",162109871720
63,"1621098717",2340.57,"3",162109871720
63,"1621098717",2340.57,"4",162109871721
64,"1621098717",1974.86,"4",162109871721
65,"1621098717",658.29,"4",162109871721
65,"1621098717",658.29,"3",162109871722
66,"1621098717",320.0,"3",162109871722
66,"1621098717",320.0,"4",162109871723
67,"1621098717",128.0,"4",162109871723
68,"1621098717",34.29,"4",162109871723
68,"1621098717",34.29,"3",162109871724
69,"1621098717",16.0,"3",162109871724
70,"1621098717",12.0,"3",162109871724
70,"1621098717",12.0,"2",162109871725
71,"1621098717",12.0,"2",162109871725
72,"1621098717",5.71,"2",162109871725
72,"1621098717",5.71,"1",162109871726
73,"1621098717",7.71,"1",162109871726
74,"1621098717",10.86,"1",162109871726
75,"1621098717",19.43,"1",162109871726
76,"1621098717",28.57,"1",162109871726
77,"1621098717",37.71,"1",162109871726
78,"1621098717",61.14,"1",162109871726
79,"1621098717",58.86,"1",162109871726
80,"1621098717",125.71,"1",162109871726
81,"1621098717",251.43,"1",162109871726
81,"1621098717",251.43,"1",162118441326
0,"1621184413",0.0,"1",162118441326
1,"1621184413",0.43,"1",162118441326
2,"1621184413",0.86,"1",162118441326
2,"1621184413",0.86,"2",162118441327
3,"1621184413",1.29,"2",162118441327
