"wk","tr","nc","stg","id"
0,"10101054940",0.0,"1",101010549401
1,"10101054940",0.0,"1",101010549401
2,"10101054940",0.0,"1",101010549401
3,"10101054940",0.0,"1",101010549401
4,"10101054940",0.14,"1",101010549401
5,"10101054940",0.0,"1",101010549401
6,"10101054940",0.14,"1",101010549401
7,"10101054940",0.14,"1",101010549401
8,"10101054940",2.0,"1",101010549401
8,"10101054940",2.0,"2",101010549402
9,"10101054940",4.43,"2",101010549402
10,"10101054940",3.14,"2",101010549402
11,"10101054940",4.0,"2",101010549402
12,"10101054940",2.29,"2",101010549402
13,"10101054940",2.29,"2",101010549402
14,"10101054940",3.0,"2",101010549402
14,"10101054940",3.0,"1b",101010549403
15,"10101054940",1.14,"1b",101010549403
16,"10101054940",1.57,"1b",101010549403
16,"10101054940",1.57,"1",101010549404
17,"10101054940",1.14,"1",101010549404
18,"10101054940",2.0,"1",101010549404
19,"10101054940",2.29,"1",101010549404
20,"10101054940",4.43,"1",101010549404
21,"10101054940",3.43,"1",101010549404
22,"10101054940",2.43,"1",101010549404
23,"10101054940",1.43,"1",101010549404
24,"10101054940",0.29,"1",101010549404
25,"10101054940",0.86,"1",101010549404
26,"10101054940",0.14,"1",101010549404
27,"10101054940",0.29,"1",101010549404
28,"10101054940",1.0,"1",101010549404
29,"10101054940",2.57,"1",101010549404
30,"10101054940",37.86,"1",101010549404
31,"10101054940",88.57,"1",101010549404
32,"10101054940",126.86,"1",101010549404
33,"10101054940",146.29,"1",101010549404
34,"10101054940",256.0,"1",101010549404
35,"10101054940",368.0,"1",101010549404
36,"10101054940",576.0,"1",101010549404
37,"10101054940",1024.0,"1",101010549404
38,"10101054940",1307.43,"1",101010549404
38,"10101054940",1307.43,"1b",101010549405
39,"10101054940",841.14,"1b",101010549405
39,"10101054940",841.14,"2",101010549406
40,"10101054940",438.86,"2",101010549406
41,"10101054940",374.86,"2",101010549406
42,"10101054940",429.71,"2",101010549406
42,"10101054940",429.71,"1",101010549407
43,"10101054940",685.71,"1",101010549407
44,"10101054940",905.14,"1",101010549407
45,"10101054940",1088.0,"1",101010549407
45,"10101054940",1088.0,"1b",101010549408
46,"10101054940",1462.86,"1b",101010549408
46,"10101054940",1462.86,"2",101010549409
47,"10101054940",1353.14,"2",101010549409
47,"10101054940",1353.14,"3",1010105494010
48,"10101054940",1462.86,"3",1010105494010
48,"10101054940",1462.86,"4",1010105494011
49,"10101054940",1170.29,"4",1010105494011
50,"10101054940",630.86,"4",1010105494011
50,"10101054940",630.86,"3",1010105494012
51,"10101054940",320.0,"3",1010105494012
52,"10101054940",393.14,"3",1010105494012
52,"10101054940",393.14,"2",1010105494013
53,"10101054940",256.0,"2",1010105494013
54,"10101054940",173.71,"2",1010105494013
54,"10101054940",173.71,"1b",1010105494014
55,"10101054940",144.0,"1b",1010105494014
55,"10101054940",144.0,"1",1010105494015
56,"10101054940",189.71,"1",1010105494015
57,"10101054940",221.71,"1",1010105494015
58,"10101054940",409.14,"1",1010105494015
59,"10101054940",429.71,"1",1010105494015
60,"10101054940",978.29,"1",1010105494015
61,"10101054940",1700.57,"1",1010105494015
61,"10101054940",1700.57,"1b",1010105494016
62,"10101054940",1353.14,"1b",1010105494016
62,"10101054940",1353.14,"2",1010105494017
63,"10101054940",768.0,"2",1010105494017
63,"10101054940",768.0,"3",1010105494018
64,"10101054940",530.29,"3",1010105494018
64,"10101054940",530.29,"4",1010105494019
65,"10101054940",246.86,"4",1010105494019
66,"10101054940",192.0,"4",1010105494019
66,"10101054940",192.0,"3",1010105494020
67,"10101054940",102.86,"3",1010105494020
68,"10101054940",112.0,"3",1010105494020
68,"10101054940",112.0,"2",1010105494021
69,"10101054940",137.14,"2",1010105494021
70,"10101054940",118.86,"2",1010105494021
70,"10101054940",118.86,"1",1010105494022
71,"10101054940",96.0,"1",1010105494022
72,"10101054940",217.14,"1",1010105494022
73,"10101054940",322.29,"1",1010105494022
74,"10101054940",370.29,"1",1010105494022
75,"10101054940",576.0,"1",1010105494022
76,"10101054940",996.57,"1",1010105494022
77,"10101054940",1243.43,"1",1010105494022
77,"10101054940",1243.43,"1b",1010105494023
78,"10101054940",731.43,"1b",1010105494023
78,"10101054940",731.43,"2",1010105494024
79,"10101054940",475.43,"2",1010105494024
80,"10101054940",566.86,"2",1010105494024
81,"10101054940",594.29,"2",1010105494024
81,"10101054940",594.29,"1",1010114830725
0,"10101148307",0.14,"1",1010114830725
