"wk","tr","nc","stg","id"
0,"5301054940",0.0,"1",53010549401
1,"5301054940",0.0,"1",53010549401
2,"5301054940",0.0,"1",53010549401
3,"5301054940",0.0,"1",53010549401
4,"5301054940",0.14,"1",53010549401
5,"5301054940",0.0,"1",53010549401
6,"5301054940",0.14,"1",53010549401
7,"5301054940",0.14,"1",53010549401
8,"5301054940",2.0,"1",53010549401
8,"5301054940",2.0,"2",53010549402
9,"5301054940",4.43,"2",53010549402
10,"5301054940",3.14,"2",53010549402
11,"5301054940",4.0,"2",53010549402
12,"5301054940",2.29,"2",53010549402
13,"5301054940",2.29,"2",53010549402
14,"5301054940",3.0,"2",53010549402
14,"5301054940",3.0,"1b",53010549403
15,"5301054940",1.14,"1b",53010549403
16,"5301054940",1.57,"1b",53010549403
16,"5301054940",1.57,"1",53010549404
17,"5301054940",1.14,"1",53010549404
18,"5301054940",2.0,"1",53010549404
19,"5301054940",2.29,"1",53010549404
20,"5301054940",4.43,"1",53010549404
21,"5301054940",3.43,"1",53010549404
22,"5301054940",2.43,"1",53010549404
23,"5301054940",1.43,"1",53010549404
24,"5301054940",0.29,"1",53010549404
25,"5301054940",0.86,"1",53010549404
26,"5301054940",0.14,"1",53010549404
27,"5301054940",0.29,"1",53010549404
28,"5301054940",1.0,"1",53010549404
29,"5301054940",2.57,"1",53010549404
30,"5301054940",2.57,"1",53010549404
31,"5301054940",1.14,"1",53010549404
32,"5301054940",1.86,"1",53010549404
33,"5301054940",2.43,"1",53010549404
34,"5301054940",3.29,"1",53010549404
35,"5301054940",3.57,"1",53010549404
36,"5301054940",2.57,"1",53010549404
37,"5301054940",3.43,"1",53010549404
38,"5301054940",3.14,"1",53010549404
39,"5301054940",8.14,"1",53010549404
40,"5301054940",11.0,"1",53010549404
41,"5301054940",14.57,"1",53010549404
42,"5301054940",12.29,"1",53010549404
43,"5301054940",11.29,"1",53010549404
44,"5301054940",12.14,"1",53010549404
45,"5301054940",18.14,"1",53010549404
46,"5301054940",15.71,"1",53010549404
47,"5301054940",12.86,"1",53010549404
48,"5301054940",13.57,"1",53010549404
49,"5301054940",12.57,"1",53010549404
50,"5301054940",9.71,"1",53010549404
51,"5301054940",10.29,"1",53010549404
52,"5301054940",9.29,"1",53010549404
53,"5301054940",10.71,"1",53010549404
54,"5301054940",10.86,"1",53010549404
55,"5301054940",10.86,"1",53010549404
56,"5301054940",9.86,"1",53010549404
