"wk","tr","nc","stg","id"
0,"10971231948",2.86,"1",109712319481
0,"10971231948",2.86,"2",109712319482
1,"10971231948",31.86,"2",109712319482
1,"10971231948",31.86,"3",109712319483
2,"10971231948",67.71,"3",109712319483
3,"10971231948",239.14,"3",109712319483
3,"10971231948",239.14,"4",109712319484
4,"10971231948",385.71,"4",109712319484
5,"10971231948",601.71,"4",109712319484
6,"10971231948",867.86,"4",109712319484
7,"10971231948",1666.29,"4",109712319484
8,"10971231948",798.43,"4",109712319484
9,"10971231948",624.86,"4",109712319484
10,"10971231948",416.57,"4",109712319484
11,"10971231948",902.57,"4",109712319484
12,"10971231948",624.86,"4",109712319484
13,"10971231948",416.57,"4",109712319484
14,"10971231948",277.71,"4",109712319484
15,"10971231948",416.57,"4",109712319484
16,"10971231948",208.29,"4",109712319484
17,"10971231948",104.14,"4",109712319484
18,"10971231948",92.57,"4",109712319484
19,"10971231948",111.86,"4",109712319484
20,"10971231948",84.86,"4",109712319484
21,"10971231948",54.0,"4",109712319484
21,"10971231948",54.0,"3",109712319485
22,"10971231948",50.14,"3",109712319485
22,"10971231948",50.14,"4",109712319486
23,"10971231948",84.86,"4",109712319486
24,"10971231948",42.43,"4",109712319486
25,"10971231948",65.57,"4",109712319486
26,"10971231948",57.86,"4",109712319486
27,"10971231948",46.29,"4",109712319486
28,"10971231948",34.71,"4",109712319486
29,"10971231948",48.86,"4",109712319486
29,"10971231948",48.86,"3",109712319487
30,"10971231948",41.14,"3",109712319487
31,"10971231948",42.43,"3",109712319487
31,"10971231948",42.43,"2",109712319488
32,"10971231948",52.71,"2",109712319488
33,"10971231948",97.71,"2",109712319488
33,"10971231948",97.71,"1b",109712319489
34,"10971231948",381.86,"1b",109712319489
34,"10971231948",381.86,"2",1097123194810
35,"10971231948",844.71,"2",1097123194810
35,"10971231948",844.71,"3",1097123194811
36,"10971231948",1157.14,"3",1097123194811
36,"10971231948",1157.14,"4",1097123194812
37,"10971231948",902.57,"4",1097123194812
38,"10971231948",798.43,"4",1097123194812
39,"10971231948",659.57,"4",1097123194812
40,"10971231948",694.29,"4",1097123194812
41,"10971231948",590.14,"4",1097123194812
42,"10971231948",312.43,"4",1097123194812
43,"10971231948",335.57,"4",1097123194812
44,"10971231948",266.14,"4",1097123194812
45,"10971231948",312.43,"4",1097123194812
46,"10971231948",185.14,"4",1097123194812
47,"10971231948",173.57,"4",1097123194812
47,"10971231948",173.57,"3",1097123194813
48,"10971231948",92.57,"3",1097123194813
49,"10971231948",165.86,"3",1097123194813
49,"10971231948",165.86,"4",1097123194814
50,"10971231948",138.86,"4",1097123194814
51,"10971231948",81.0,"4",1097123194814
51,"10971231948",81.0,"3",1097123194815
52,"10971231948",54.0,"3",1097123194815
53,"10971231948",69.43,"3",1097123194815
54,"10971231948",150.43,"3",1097123194815
54,"10971231948",150.43,"2",1097123194816
55,"10971231948",227.57,"2",1097123194816
56,"10971231948",825.43,"2",1097123194816
56,"10971231948",825.43,"3",1097123194817
57,"10971231948",1527.43,"3",1097123194817
57,"10971231948",1527.43,"4",1097123194818
58,"10971231948",1596.86,"4",1097123194818
59,"10971231948",972.0,"4",1097123194818
60,"10971231948",659.57,"4",1097123194818
61,"10971231948",659.57,"4",1097123194818
62,"10971231948",451.29,"4",1097123194818
63,"10971231948",243.0,"4",1097123194818
64,"10971231948",428.14,"4",1097123194818
65,"10971231948",231.43,"4",1097123194818
66,"10971231948",138.86,"4",1097123194818
66,"10971231948",138.86,"3",1097123194819
67,"10971231948",11.57,"3",1097123194819
68,"10971231948",104.14,"3",1097123194819
68,"10971231948",104.14,"2",1097123194820
69,"10971231948",57.86,"2",1097123194820
70,"10971231948",111.86,"2",1097123194820
70,"10971231948",111.86,"1b",1097123194821
71,"10971231948",324.0,"1b",1097123194821
72,"10971231948",1400.14,"1b",1097123194821
72,"10971231948",1400.14,"3",1097123194822
73,"10971231948",2499.43,"3",1097123194822
73,"10971231948",2499.43,"4",1097123194823
74,"10971231948",4755.86,"4",1097123194823
75,"10971231948",2916.0,"4",1097123194823
76,"10971231948",1353.86,"4",1097123194823
77,"10971231948",1145.57,"4",1097123194823
78,"10971231948",1006.71,"4",1097123194823
79,"10971231948",798.43,"4",1097123194823
80,"10971231948",590.14,"4",1097123194823
81,"10971231948",659.57,"4",1097123194823
81,"10971231948",659.57,"1",1097129271924
0,"10971292719",4.29,"1",1097129271924
0,"10971292719",4.29,"1b",1097129271925
1,"10971292719",34.14,"1b",1097129271925
1,"10971292719",34.14,"3",1097129271926
2,"10971292719",71.57,"3",1097129271926
2,"10971292719",71.57,"4",1097129271927
3,"10971292719",132.43,"4",1097129271927
4,"10971292719",138.86,"4",1097129271927
5,"10971292719",100.29,"4",1097129271927
6,"10971292719",115.71,"4",1097129271927
7,"10971292719",162.0,"4",1097129271927
8,"10971292719",131.14,"4",1097129271927
9,"10971292719",150.43,"4",1097129271927
10,"10971292719",119.57,"4",1097129271927
11,"10971292719",108.0,"4",1097129271927
12,"10971292719",123.43,"4",1097129271927
13,"10971292719",69.43,"4",1097129271927
14,"10971292719",54.0,"4",1097129271927
15,"10971292719",23.14,"4",1097129271927
15,"10971292719",23.14,"3",1097129271928
16,"10971292719",54.0,"3",1097129271928
16,"10971292719",54.0,"4",1097129271929
17,"10971292719",30.86,"4",1097129271929
18,"10971292719",54.0,"4",1097129271929
19,"10971292719",20.57,"4",1097129271929
20,"10971292719",28.29,"4",1097129271929
21,"10971292719",30.86,"4",1097129271929
22,"10971292719",43.71,"4",1097129271929
23,"10971292719",36.0,"4",1097129271929
24,"10971292719",39.86,"4",1097129271929
25,"10971292719",41.14,"4",1097129271929
26,"10971292719",28.29,"4",1097129271929
27,"10971292719",30.86,"4",1097129271929
28,"10971292719",41.14,"4",1097129271929
29,"10971292719",34.71,"4",1097129271929
29,"10971292719",34.71,"3",1097129271930
30,"10971292719",50.14,"3",1097129271930
31,"10971292719",47.57,"3",1097129271930
31,"10971292719",47.57,"2",1097129271931
32,"10971292719",81.0,"2",1097129271931
33,"10971292719",196.71,"2",1097129271931
34,"10971292719",266.14,"2",1097129271931
34,"10971292719",266.14,"1b",1097129271932
35,"10971292719",659.57,"1b",1097129271932
35,"10971292719",659.57,"2",1097129271933
36,"10971292719",1458.0,"2",1097129271933
