"wk","tr","nc","stg","id"
0,"1301098717",0.0,"1",13010987171
1,"1301098717",1.0,"1",13010987171
2,"1301098717",5.86,"1",13010987171
3,"1301098717",56.71,"1",13010987171
3,"1301098717",56.71,"3",13010987172
4,"1301098717",97.71,"3",13010987172
4,"1301098717",97.71,"4",13010987173
5,"1301098717",61.71,"4",13010987173
6,"1301098717",29.71,"4",13010987173
6,"1301098717",29.71,"3",13010987174
7,"1301098717",29.71,"3",13010987174
8,"1301098717",23.43,"3",13010987174
8,"1301098717",23.43,"4",13010987175
9,"1301098717",28.0,"4",13010987175
10,"1301098717",18.86,"4",13010987175
10,"1301098717",18.86,"3",13010987176
11,"1301098717",12.0,"3",13010987176
12,"1301098717",12.57,"3",13010987176
13,"1301098717",12.43,"3",13010987176
14,"1301098717",8.71,"3",13010987176
14,"1301098717",8.71,"2",13010987177
15,"1301098717",10.14,"2",13010987177
16,"1301098717",11.57,"2",13010987177
16,"1301098717",11.57,"1b",13010987178
17,"1301098717",25.43,"1b",13010987178
18,"1301098717",25.14,"1b",13010987178
18,"1301098717",25.14,"1",13010987179
19,"1301098717",64.57,"1",13010987179
19,"1301098717",64.57,"1b",130109871710
20,"1301098717",152.57,"1b",130109871710
20,"1301098717",152.57,"3",130109871711
21,"1301098717",214.86,"3",130109871711
21,"1301098717",214.86,"4",130109871712
22,"1301098717",125.71,"4",130109871712
23,"1301098717",132.57,"4",130109871712
24,"1301098717",89.14,"4",130109871712
25,"1301098717",43.43,"4",130109871712
26,"1301098717",41.14,"4",130109871712
27,"1301098717",22.29,"4",130109871712
28,"1301098717",13.71,"4",130109871712
28,"1301098717",13.71,"3",130109871713
29,"1301098717",8.57,"3",130109871713
30,"1301098717",5.43,"3",130109871713
30,"1301098717",5.43,"2",130109871714
31,"1301098717",5.14,"2",130109871714
32,"1301098717",12.0,"2",130109871714
32,"1301098717",12.0,"1b",130109871715
33,"1301098717",23.57,"1b",130109871715
34,"1301098717",32.0,"1b",130109871715
34,"1301098717",32.0,"1",130109871716
35,"1301098717",69.14,"1",130109871716
36,"1301098717",121.14,"1",130109871716
37,"1301098717",411.43,"1",130109871716
38,"1301098717",1170.29,"1",130109871716
38,"1301098717",1170.29,"2",130109871717
39,"1301098717",2441.14,"2",130109871717
39,"1301098717",2441.14,"4",130109871718
40,"1301098717",1682.29,"4",130109871718
41,"1301098717",1353.14,"4",130109871718
42,"1301098717",1097.14,"4",130109871718
43,"1301098717",1389.71,"4",130109871718
44,"1301098717",950.86,"4",130109871718
45,"1301098717",877.71,"4",130109871718
46,"1301098717",585.14,"4",130109871718
47,"1301098717",210.29,"4",130109871718
