"wk","tr","nc","stg","id"
0,"2141054940",0.0,"1",21410549401
1,"2141054940",0.0,"1",21410549401
2,"2141054940",0.0,"1",21410549401
3,"2141054940",0.0,"1",21410549401
4,"2141054940",0.14,"1",21410549401
5,"2141054940",0.0,"1",21410549401
6,"2141054940",0.14,"1",21410549401
7,"2141054940",0.14,"1",21410549401
8,"2141054940",2.0,"1",21410549401
8,"2141054940",2.0,"2",21410549402
9,"2141054940",4.43,"2",21410549402
10,"2141054940",3.14,"2",21410549402
11,"2141054940",4.0,"2",21410549402
12,"2141054940",2.29,"2",21410549402
13,"2141054940",2.14,"2",21410549402
14,"2141054940",1.86,"2",21410549402
15,"2141054940",1.43,"2",21410549402
16,"2141054940",0.71,"2",21410549402
17,"2141054940",1.71,"2",21410549402
18,"2141054940",1.0,"2",21410549402
18,"2141054940",1.0,"1b",21410549403
19,"2141054940",0.57,"1b",21410549403
20,"2141054940",0.14,"1b",21410549403
21,"2141054940",0.43,"1b",21410549403
22,"2141054940",0.0,"1b",21410549403
22,"2141054940",0.0,"1",21410549404
23,"2141054940",0.14,"1",21410549404
24,"2141054940",0.0,"1",21410549404
25,"2141054940",0.0,"1",21410549404
26,"2141054940",0.0,"1",21410549404
27,"2141054940",0.29,"1",21410549404
28,"2141054940",1.43,"1",21410549404
28,"2141054940",1.43,"1b",21410549405
29,"2141054940",1.86,"1b",21410549405
29,"2141054940",1.86,"2",21410549406
30,"2141054940",6.57,"2",21410549406
31,"2141054940",12.43,"2",21410549406
31,"2141054940",12.43,"1b",21410549407
32,"2141054940",18.29,"1b",21410549407
33,"2141054940",18.57,"1b",21410549407
33,"2141054940",18.57,"1",21410549408
34,"2141054940",30.29,"1",21410549408
35,"2141054940",59.43,"1",21410549408
35,"2141054940",59.43,"1b",21410549409
36,"2141054940",66.29,"1b",21410549409
36,"2141054940",66.29,"2",214105494010
37,"2141054940",59.43,"2",214105494010
37,"2141054940",59.43,"3",214105494011
38,"2141054940",32.0,"3",214105494011
38,"2141054940",32.0,"4",214105494012
39,"2141054940",18.86,"4",214105494012
40,"2141054940",16.57,"4",214105494012
40,"2141054940",16.57,"3",214105494013
41,"2141054940",11.57,"3",214105494013
42,"2141054940",15.0,"3",214105494013
42,"2141054940",15.0,"2",214105494014
43,"2141054940",16.0,"2",214105494014
44,"2141054940",16.29,"2",214105494014
44,"2141054940",16.29,"1b",214105494015
