"wk","tr","nc","stg","id"
0,"1221340880",1.29,"1",12213408801
0,"1221340880",1.29,"1b",12213408802
1,"1221340880",14.57,"1b",12213408802
1,"1221340880",14.57,"3",12213408803
2,"1221340880",30.0,"3",12213408803
3,"1221340880",68.14,"3",12213408803
3,"1221340880",68.14,"4",12213408804
4,"1221340880",97.71,"4",12213408804
5,"1221340880",169.71,"4",12213408804
6,"1221340880",96.43,"4",12213408804
7,"1221340880",142.71,"4",12213408804
8,"1221340880",142.71,"4",12213408804
9,"1221340880",131.14,"4",12213408804
10,"1221340880",100.29,"4",12213408804
11,"1221340880",104.14,"4",12213408804
12,"1221340880",123.43,"4",12213408804
13,"1221340880",104.14,"4",12213408804
14,"1221340880",127.29,"4",12213408804
15,"1221340880",135.0,"4",12213408804
16,"1221340880",92.57,"4",12213408804
17,"1221340880",73.29,"4",12213408804
18,"1221340880",50.14,"4",12213408804
19,"1221340880",54.0,"4",12213408804
19,"1221340880",54.0,"3",12213408805
20,"1221340880",42.43,"3",12213408805
20,"1221340880",42.43,"4",12213408806
21,"1221340880",43.71,"4",12213408806
22,"1221340880",25.71,"4",12213408806
22,"1221340880",25.71,"3",12213408807
23,"1221340880",23.14,"3",12213408807
24,"1221340880",28.29,"3",12213408807
24,"1221340880",28.29,"4",12213408808
25,"1221340880",28.29,"4",12213408808
26,"1221340880",11.57,"4",12213408808
26,"1221340880",11.57,"3",12213408809
27,"1221340880",3.86,"3",12213408809
28,"1221340880",12.0,"3",12213408809
29,"1221340880",9.0,"3",12213408809
29,"1221340880",9.0,"2",122134088010
30,"1221340880",15.86,"2",122134088010
31,"1221340880",18.86,"2",122134088010
31,"1221340880",18.86,"1b",122134088011
32,"1221340880",33.43,"1b",122134088011
32,"1221340880",33.43,"2",122134088012
33,"1221340880",41.14,"2",122134088012
34,"1221340880",54.0,"2",122134088012
34,"1221340880",54.0,"3",122134088013
35,"1221340880",61.71,"3",122134088013
35,"1221340880",61.71,"4",122134088014
36,"1221340880",36.0,"4",122134088014
37,"1221340880",24.43,"4",122134088014
38,"1221340880",24.43,"4",122134088014
39,"1221340880",15.43,"4",122134088014
39,"1221340880",15.43,"3",122134088015
40,"1221340880",11.57,"3",122134088015
41,"1221340880",10.29,"3",122134088015
41,"1221340880",10.29,"2",122134088016
42,"1221340880",15.86,"2",122134088016
43,"1221340880",9.43,"2",122134088016
43,"1221340880",9.43,"1b",122134088017
44,"1221340880",17.57,"1b",122134088017
45,"1221340880",22.71,"1b",122134088017
45,"1221340880",22.71,"1",122134088018
46,"1221340880",36.43,"1",122134088018
47,"1221340880",65.57,"1",122134088018
47,"1221340880",65.57,"1b",122134088019
48,"1221340880",147.86,"1b",122134088019
48,"1221340880",147.86,"3",122134088020
49,"1221340880",162.0,"3",122134088020
49,"1221340880",162.0,"4",122134088021
50,"1221340880",111.86,"4",122134088021
51,"1221340880",96.43,"4",122134088021
52,"1221340880",50.14,"4",122134088021
53,"1221340880",50.14,"4",122134088021
54,"1221340880",38.57,"4",122134088021
55,"1221340880",29.57,"4",122134088021
56,"1221340880",23.14,"4",122134088021
56,"1221340880",23.14,"3",122134088022
57,"1221340880",28.29,"3",122134088022
58,"1221340880",7.71,"3",122134088022
58,"1221340880",7.71,"2",122134088023
59,"1221340880",14.14,"2",122134088023
60,"1221340880",18.86,"2",122134088023
