"wk","tr","nc","stg","id"
0,"10781054940",0.0,"1",107810549401
1,"10781054940",0.0,"1",107810549401
2,"10781054940",0.0,"1",107810549401
3,"10781054940",0.0,"1",107810549401
4,"10781054940",0.14,"1",107810549401
5,"10781054940",0.14,"1",107810549401
6,"10781054940",0.71,"1",107810549401
7,"10781054940",1.43,"1",107810549401
7,"10781054940",1.43,"2",107810549402
8,"10781054940",1.57,"2",107810549402
9,"10781054940",1.43,"2",107810549402
10,"10781054940",2.0,"2",107810549402
11,"10781054940",0.29,"2",107810549402
11,"10781054940",0.29,"1b",107810549403
12,"10781054940",1.0,"1b",107810549403
12,"10781054940",1.0,"2",107810549404
13,"10781054940",0.57,"2",107810549404
14,"10781054940",0.14,"2",107810549404
14,"10781054940",0.14,"1b",107810549405
15,"10781054940",0.0,"1b",107810549405
16,"10781054940",0.0,"1b",107810549405
16,"10781054940",0.0,"1",107810549406
17,"10781054940",0.0,"1",107810549406
18,"10781054940",0.0,"1",107810549406
19,"10781054940",0.43,"1",107810549406
20,"10781054940",1.86,"1",107810549406
21,"10781054940",3.43,"1",107810549406
22,"10781054940",1.57,"1",107810549406
23,"10781054940",1.43,"1",107810549406
24,"10781054940",2.14,"1",107810549406
25,"10781054940",1.29,"1",107810549406
26,"10781054940",0.71,"1",107810549406
27,"10781054940",2.29,"1",107810549406
28,"10781054940",5.43,"1",107810549406
29,"10781054940",5.43,"1",107810549406
30,"10781054940",4.14,"1",107810549406
31,"10781054940",7.29,"1",107810549406
32,"10781054940",7.29,"1",107810549406
33,"10781054940",13.0,"1",107810549406
34,"10781054940",17.14,"1",107810549406
35,"10781054940",21.57,"1",107810549406
36,"10781054940",14.29,"1",107810549406
37,"10781054940",30.86,"1",107810549406
38,"10781054940",55.43,"1",107810549406
39,"10781054940",60.57,"1",107810549406
40,"10781054940",68.0,"1",107810549406
41,"10781054940",72.0,"1",107810549406
42,"10781054940",74.86,"1",107810549406
43,"10781054940",105.14,"1",107810549406
44,"10781054940",153.14,"1",107810549406
45,"10781054940",182.86,"1",107810549406
46,"10781054940",185.14,"1",107810549406
47,"10781054940",260.57,"1",107810549406
48,"10781054940",397.71,"1",107810549406
49,"10781054940",557.71,"1",107810549406
50,"10781054940",722.29,"1",107810549406
51,"10781054940",1325.71,"1",107810549406
51,"10781054940",1325.71,"1b",107810549407
52,"10781054940",1700.57,"1b",107810549407
52,"10781054940",1700.57,"2",107810549408
53,"10781054940",2157.71,"2",107810549408
53,"10781054940",2157.71,"3",107810549409
54,"10781054940",2084.57,"3",107810549409
54,"10781054940",2084.57,"4",1078105494010
55,"10781054940",1097.14,"4",1078105494010
56,"10781054940",356.57,"4",1078105494010
56,"10781054940",356.57,"3",1078105494011
57,"10781054940",237.71,"3",1078105494011
58,"10781054940",96.0,"3",1078105494011
58,"10781054940",96.0,"2",1078105494012
59,"10781054940",54.86,"2",1078105494012
60,"10781054940",40.57,"2",1078105494012
60,"10781054940",40.57,"1",1078105494013
61,"10781054940",24.57,"1",1078105494013
62,"10781054940",18.29,"1",1078105494013
63,"10781054940",45.71,"1",1078105494013
64,"10781054940",44.0,"1",1078105494013
65,"10781054940",51.43,"1",1078105494013
66,"10781054940",58.29,"1",1078105494013
67,"10781054940",53.71,"1",1078105494013
68,"10781054940",66.29,"1",1078105494013
69,"10781054940",73.71,"1",1078105494013
70,"10781054940",134.86,"1",1078105494013
71,"10781054940",182.86,"1",1078105494013
72,"10781054940",201.14,"1",1078105494013
73,"10781054940",285.71,"1",1078105494013
74,"10781054940",304.0,"1",1078105494013
75,"10781054940",272.0,"1",1078105494013
76,"10781054940",292.57,"1",1078105494013
77,"10781054940",237.71,"1",1078105494013
78,"10781054940",249.14,"1",1078105494013
79,"10781054940",214.86,"1",1078105494013
80,"10781054940",320.0,"1",1078105494013
81,"10781054940",427.43,"1",1078105494013
81,"10781054940",427.43,"1",1078114830713
0,"10781148307",0.14,"1",1078114830713
1,"10781148307",0.86,"1",1078114830713
1,"10781148307",0.86,"1b",1078114830714
2,"10781148307",0.43,"1b",1078114830714
2,"10781148307",0.43,"2",1078114830715
3,"10781148307",0.14,"2",1078114830715
4,"10781148307",0.14,"2",1078114830715
4,"10781148307",0.14,"1b",1078114830716
5,"10781148307",0.57,"1b",1078114830716
6,"10781148307",0.29,"1b",1078114830716
7,"10781148307",0.14,"1b",1078114830716
7,"10781148307",0.14,"1",1078114830717
8,"10781148307",0.0,"1",1078114830717
9,"10781148307",0.14,"1",1078114830717
9,"10781148307",0.14,"1b",1078114830718
10,"10781148307",0.43,"1b",1078114830718
11,"10781148307",0.57,"1b",1078114830718
12,"10781148307",0.14,"1b",1078114830718
13,"10781148307",0.14,"1b",1078114830718
13,"10781148307",0.14,"1",1078114830719
14,"10781148307",1.0,"1",1078114830719
14,"10781148307",1.0,"1b",1078114830720
