"wk","tr","nc","stg","id"
0,"15421532991",0.0,"1",154215329911
1,"15421532991",0.0,"1",154215329911
2,"15421532991",0.0,"1",154215329911
3,"15421532991",0.0,"1",154215329911
4,"15421532991",0.0,"1",154215329911
5,"15421532991",0.0,"1",154215329911
6,"15421532991",0.0,"1",154215329911
7,"15421532991",0.86,"1",154215329911
7,"15421532991",0.86,"1b",154215329912
8,"15421532991",1.86,"1b",154215329912
8,"15421532991",1.86,"2",154215329913
9,"15421532991",1.71,"2",154215329913
9,"15421532991",1.71,"1b",154215329914
10,"15421532991",0.86,"1b",154215329914
11,"15421532991",1.14,"1b",154215329914
11,"15421532991",1.14,"2",154215329915
12,"15421532991",1.14,"2",154215329915
13,"15421532991",0.71,"2",154215329915
13,"15421532991",0.71,"1b",154215329916
14,"15421532991",0.29,"1b",154215329916
15,"15421532991",0.57,"1b",154215329916
15,"15421532991",0.57,"1",154215329917
16,"15421532991",0.29,"1",154215329917
17,"15421532991",0.43,"1",154215329917
18,"15421532991",0.86,"1",154215329917
19,"15421532991",0.86,"1",154215329917
20,"15421532991",0.43,"1",154215329917
21,"15421532991",0.43,"1",154215329917
22,"15421532991",0.0,"1",154215329917
23,"15421532991",0.43,"1",154215329917
24,"15421532991",0.0,"1",154215329917
25,"15421532991",0.14,"1",154215329917
26,"15421532991",0.0,"1",154215329917
27,"15421532991",0.0,"1",154215329917
28,"15421532991",0.0,"1",154215329917
29,"15421532991",0.0,"1",154215329917
30,"15421532991",0.14,"1",154215329917
31,"15421532991",0.0,"1",154215329917
32,"15421532991",0.0,"1",154215329917
33,"15421532991",0.14,"1",154215329917
34,"15421532991",1.86,"1",154215329917
35,"15421532991",3.86,"1",154215329917
36,"15421532991",9.86,"1",154215329917
37,"15421532991",11.71,"1",154215329917
38,"15421532991",15.29,"1",154215329917
39,"15421532991",14.43,"1",154215329917
40,"15421532991",10.29,"1",154215329917
41,"15421532991",14.29,"1",154215329917
42,"15421532991",13.71,"1",154215329917
43,"15421532991",21.71,"1",154215329917
44,"15421532991",25.14,"1",154215329917
45,"15421532991",48.57,"1",154215329917
46,"15421532991",65.14,"1",154215329917
47,"15421532991",66.29,"1",154215329917
48,"15421532991",116.57,"1",154215329917
49,"15421532991",132.57,"1",154215329917
50,"15421532991",166.86,"1",154215329917
51,"15421532991",304.0,"1",154215329917
52,"15421532991",457.14,"1",154215329917
53,"15421532991",813.71,"1",154215329917
54,"15421532991",1499.43,"1",154215329917
54,"15421532991",1499.43,"4",154215329918
55,"15421532991",1060.57,"4",154215329918
56,"15421532991",438.86,"4",154215329918
57,"15421532991",109.71,"4",154215329918
57,"15421532991",109.71,"3",154215329919
58,"15421532991",57.14,"3",154215329919
58,"15421532991",57.14,"4",1542153299110
59,"15421532991",38.86,"4",1542153299110
60,"15421532991",9.14,"4",1542153299110
60,"15421532991",9.14,"3",1542153299111
61,"15421532991",7.43,"3",1542153299111
62,"15421532991",4.14,"3",1542153299111
62,"15421532991",4.14,"2",1542153299112
63,"15421532991",3.43,"2",1542153299112
64,"15421532991",2.86,"2",1542153299112
64,"15421532991",2.86,"1b",1542153299113
65,"15421532991",3.14,"1b",1542153299113
66,"15421532991",3.0,"1b",1542153299113
66,"15421532991",3.0,"1",1542153299114
67,"15421532991",1.0,"1",1542153299114
68,"15421532991",1.14,"1",1542153299114
69,"15421532991",1.0,"1",1542153299114
