"wk","tr","nc","stg","id"
0,"13331252878",2.86,"1",133312528781
0,"13331252878",2.86,"2",133312528782
1,"13331252878",20.0,"2",133312528782
1,"13331252878",20.0,"3",133312528783
2,"13331252878",57.86,"3",133312528783
3,"13331252878",86.14,"3",133312528783
3,"13331252878",86.14,"4",133312528784
4,"13331252878",104.14,"4",133312528784
5,"13331252878",77.14,"4",133312528784
6,"13331252878",57.86,"4",133312528784
7,"13331252878",65.57,"4",133312528784
8,"13331252878",65.57,"4",133312528784
9,"13331252878",42.43,"4",133312528784
9,"13331252878",42.43,"3",133312528785
10,"13331252878",61.71,"3",133312528785
10,"13331252878",61.71,"4",133312528786
11,"13331252878",69.43,"4",133312528786
12,"13331252878",42.43,"4",133312528786
13,"13331252878",27.0,"4",133312528786
14,"13331252878",28.29,"4",133312528786
15,"13331252878",27.0,"4",133312528786
15,"13331252878",27.0,"3",133312528787
16,"13331252878",27.0,"3",133312528787
17,"13331252878",19.29,"3",133312528787
18,"13331252878",23.14,"3",133312528787
19,"13331252878",15.43,"3",133312528787
20,"13331252878",12.86,"3",133312528787
21,"13331252878",6.43,"3",133312528787
22,"13331252878",11.57,"3",133312528787
23,"13331252878",9.0,"3",133312528787
24,"13331252878",10.71,"3",133312528787
25,"13331252878",15.43,"3",133312528787
26,"13331252878",22.29,"3",133312528787
27,"13331252878",20.57,"3",133312528787
28,"13331252878",21.86,"3",133312528787
29,"13331252878",21.86,"3",133312528787
30,"13331252878",18.0,"3",133312528787
30,"13331252878",18.0,"2",133312528788
31,"13331252878",21.86,"2",133312528788
32,"13331252878",7.71,"2",133312528788
32,"13331252878",7.71,"1b",133312528789
33,"13331252878",16.71,"1b",133312528789
34,"13331252878",45.0,"1b",133312528789
34,"13331252878",45.0,"1",1333125287810
35,"13331252878",72.0,"1",1333125287810
35,"13331252878",72.0,"1b",1333125287811
36,"13331252878",118.29,"1b",1333125287811
36,"13331252878",118.29,"2",1333125287812
37,"13331252878",111.86,"2",1333125287812
37,"13331252878",111.86,"3",1333125287813
38,"13331252878",158.14,"3",1333125287813
38,"13331252878",158.14,"4",1333125287814
39,"13331252878",54.0,"4",1333125287814
40,"13331252878",54.0,"4",1333125287814
41,"13331252878",34.71,"4",1333125287814
42,"13331252878",32.14,"4",1333125287814
42,"13331252878",32.14,"3",1333125287815
43,"13331252878",29.57,"3",1333125287815
43,"13331252878",29.57,"4",1333125287816
44,"13331252878",14.14,"4",1333125287816
45,"13331252878",14.14,"4",1333125287816
45,"13331252878",14.14,"3",1333125287817
46,"13331252878",18.0,"3",1333125287817
47,"13331252878",33.43,"3",1333125287817
48,"13331252878",29.57,"3",1333125287817
48,"13331252878",29.57,"4",1333125287818
