"wk","tr","nc","stg","id"
0,"11752010551",0.0,"2",117520105511
1,"11752010551",0.14,"2",117520105511
2,"11752010551",0.14,"2",117520105511
3,"11752010551",0.29,"2",117520105511
4,"11752010551",0.0,"2",117520105511
5,"11752010551",0.43,"2",117520105511
6,"11752010551",0.14,"2",117520105511
7,"11752010551",0.0,"2",117520105511
8,"11752010551",0.14,"2",117520105511
9,"11752010551",0.86,"2",117520105511
10,"11752010551",1.0,"2",117520105511
11,"11752010551",1.0,"2",117520105511
12,"11752010551",1.14,"2",117520105511
13,"11752010551",0.29,"2",117520105511
14,"11752010551",0.0,"2",117520105511
15,"11752010551",0.29,"2",117520105511
16,"11752010551",0.86,"2",117520105511
17,"11752010551",1.29,"2",117520105511
18,"11752010551",0.43,"2",117520105511
19,"11752010551",0.14,"2",117520105511
20,"11752010551",0.29,"2",117520105511
21,"11752010551",0.14,"2",117520105511
22,"11752010551",0.29,"2",117520105511
23,"11752010551",0.57,"2",117520105511
24,"11752010551",0.71,"2",117520105511
25,"11752010551",0.71,"2",117520105511
26,"11752010551",0.29,"2",117520105511
27,"11752010551",0.14,"2",117520105511
28,"11752010551",0.29,"2",117520105511
29,"11752010551",0.43,"2",117520105511
30,"11752010551",0.43,"2",117520105511
31,"11752010551",1.14,"2",117520105511
32,"11752010551",4.0,"2",117520105511
33,"11752010551",3.57,"2",117520105511
34,"11752010551",2.14,"2",117520105511
35,"11752010551",3.86,"2",117520105511
36,"11752010551",8.14,"2",117520105511
37,"11752010551",9.86,"2",117520105511
38,"11752010551",14.57,"2",117520105511
39,"11752010551",15.86,"2",117520105511
40,"11752010551",19.29,"2",117520105511
41,"11752010551",29.57,"2",117520105511
42,"11752010551",37.29,"2",117520105511
43,"11752010551",33.43,"2",117520105511
44,"11752010551",21.86,"2",117520105511
45,"11752010551",32.14,"2",117520105511
46,"11752010551",33.43,"2",117520105511
47,"11752010551",66.86,"2",117520105511
48,"11752010551",51.43,"2",117520105511
49,"11752010551",93.86,"2",117520105511
50,"11752010551",92.57,"2",117520105511
51,"11752010551",104.14,"2",117520105511
52,"11752010551",135.0,"2",117520105511
53,"11752010551",123.43,"2",117520105511
54,"11752010551",123.43,"2",117520105511
55,"11752010551",100.29,"2",117520105511
56,"11752010551",154.29,"2",117520105511
57,"11752010551",88.71,"2",117520105511
58,"11752010551",96.43,"2",117520105511
59,"11752010551",131.14,"2",117520105511
60,"11752010551",131.14,"2",117520105511
61,"11752010551",100.29,"2",117520105511
62,"11752010551",119.57,"2",117520105511
63,"11752010551",88.71,"2",117520105511
64,"11752010551",104.14,"2",117520105511
65,"11752010551",57.86,"2",117520105511
66,"11752010551",92.57,"2",117520105511
67,"11752010551",142.71,"2",117520105511
68,"11752010551",108.0,"2",117520105511
69,"11752010551",138.86,"2",117520105511
70,"11752010551",173.57,"2",117520105511
71,"11752010551",177.43,"2",117520105511
72,"11752010551",297.0,"2",117520105511
73,"11752010551",312.43,"2",117520105511
74,"11752010551",324.0,"2",117520105511
75,"11752010551",347.14,"2",117520105511
76,"11752010551",405.0,"2",117520105511
77,"11752010551",381.86,"2",117520105511
78,"11752010551",243.0,"2",117520105511
79,"11752010551",231.43,"2",117520105511
80,"11752010551",243.0,"2",117520105511
81,"11752010551",104.14,"2",117520105511
81,"11752010551",104.14,"2",117523680561
0,"11752368056",0.0,"2",117523680561
1,"11752368056",0.0,"2",117523680561
2,"11752368056",0.0,"2",117523680561
3,"11752368056",0.0,"2",117523680561
4,"11752368056",0.0,"2",117523680561
5,"11752368056",0.0,"2",117523680561
6,"11752368056",0.0,"2",117523680561
7,"11752368056",1.43,"2",117523680561
8,"11752368056",0.86,"2",117523680561
9,"11752368056",1.43,"2",117523680561
10,"11752368056",0.29,"2",117523680561
11,"11752368056",1.57,"2",117523680561
12,"11752368056",1.0,"2",117523680561
13,"11752368056",0.71,"2",117523680561
14,"11752368056",0.14,"2",117523680561
15,"11752368056",0.0,"2",117523680561
16,"11752368056",0.29,"2",117523680561
17,"11752368056",0.0,"2",117523680561
18,"11752368056",0.0,"2",117523680561
19,"11752368056",0.0,"2",117523680561
20,"11752368056",0.14,"2",117523680561
21,"11752368056",0.0,"2",117523680561
22,"11752368056",0.14,"2",117523680561
23,"11752368056",0.0,"2",117523680561
24,"11752368056",0.0,"2",117523680561
25,"11752368056",0.0,"2",117523680561
26,"11752368056",0.0,"2",117523680561
27,"11752368056",0.0,"2",117523680561
28,"11752368056",0.0,"2",117523680561
29,"11752368056",0.0,"2",117523680561
30,"11752368056",0.0,"2",117523680561
31,"11752368056",0.43,"2",117523680561
32,"11752368056",0.71,"2",117523680561
33,"11752368056",1.57,"2",117523680561
34,"11752368056",2.86,"2",117523680561
35,"11752368056",3.86,"2",117523680561
36,"11752368056",5.0,"2",117523680561
37,"11752368056",5.43,"2",117523680561
38,"11752368056",12.14,"2",117523680561
39,"11752368056",11.14,"2",117523680561
40,"11752368056",17.14,"2",117523680561
41,"11752368056",11.14,"2",117523680561
42,"11752368056",7.29,"2",117523680561
43,"11752368056",9.0,"2",117523680561
44,"11752368056",7.29,"2",117523680561
45,"11752368056",9.43,"2",117523680561
46,"11752368056",4.71,"2",117523680561
47,"11752368056",2.57,"2",117523680561
48,"11752368056",3.43,"2",117523680561
