"wk","tr","nc","stg","id"
0,"10951231948",2.29,"2",109512319481
1,"10951231948",24.29,"2",109512319481
2,"10951231948",124.29,"2",109512319481
2,"10951231948",124.29,"3",109512319482
3,"10951231948",239.14,"3",109512319482
3,"10951231948",239.14,"4",109512319483
4,"10951231948",420.43,"4",109512319483
5,"10951231948",405.0,"4",109512319483
6,"10951231948",300.86,"4",109512319483
7,"10951231948",381.86,"4",109512319483
8,"10951231948",335.57,"4",109512319483
9,"10951231948",347.14,"4",109512319483
10,"10951231948",208.29,"4",109512319483
11,"10951231948",127.29,"4",109512319483
12,"10951231948",92.57,"4",109512319483
13,"10951231948",165.86,"4",109512319483
14,"10951231948",84.86,"4",109512319483
15,"10951231948",69.43,"4",109512319483
16,"10951231948",54.0,"4",109512319483
17,"10951231948",61.71,"4",109512319483
18,"10951231948",54.0,"4",109512319483
19,"10951231948",69.43,"4",109512319483
20,"10951231948",65.57,"4",109512319483
21,"10951231948",61.71,"4",109512319483
22,"10951231948",73.29,"4",109512319483
23,"10951231948",46.29,"4",109512319483
24,"10951231948",30.86,"4",109512319483
24,"10951231948",30.86,"3",109512319484
25,"10951231948",48.86,"3",109512319484
25,"10951231948",48.86,"4",109512319485
26,"10951231948",36.0,"4",109512319485
27,"10951231948",30.86,"4",109512319485
28,"10951231948",23.14,"4",109512319485
28,"10951231948",23.14,"3",109512319486
29,"10951231948",21.86,"3",109512319486
30,"10951231948",36.0,"3",109512319486
30,"10951231948",36.0,"2",109512319487
31,"10951231948",54.0,"2",109512319487
32,"10951231948",84.86,"2",109512319487
33,"10951231948",177.43,"2",109512319487
34,"10951231948",381.86,"2",109512319487
35,"10951231948",578.57,"2",109512319487
35,"10951231948",578.57,"3",109512319488
36,"10951231948",879.43,"3",109512319488
36,"10951231948",879.43,"4",109512319489
37,"10951231948",694.29,"4",109512319489
38,"10951231948",312.43,"4",109512319489
39,"10951231948",451.29,"4",109512319489
40,"10951231948",381.86,"4",109512319489
41,"10951231948",358.71,"4",109512319489
42,"10951231948",347.14,"4",109512319489
43,"10951231948",150.43,"4",109512319489
44,"10951231948",104.14,"4",109512319489
44,"10951231948",104.14,"3",1095123194810
45,"10951231948",138.86,"3",1095123194810
45,"10951231948",138.86,"4",1095123194811
46,"10951231948",65.57,"4",1095123194811
47,"10951231948",61.71,"4",1095123194811
47,"10951231948",61.71,"3",1095123194812
48,"10951231948",54.0,"3",1095123194812
49,"10951231948",104.14,"3",1095123194812
49,"10951231948",104.14,"2",1095123194813
50,"10951231948",123.43,"2",1095123194813
51,"10951231948",219.86,"2",1095123194813
52,"10951231948",435.86,"2",1095123194813
52,"10951231948",435.86,"3",1095123194814
53,"10951231948",416.57,"3",1095123194814
53,"10951231948",416.57,"4",1095123194815
54,"10951231948",231.43,"4",1095123194815
55,"10951231948",127.29,"4",1095123194815
55,"10951231948",127.29,"3",1095123194816
56,"10951231948",138.86,"3",1095123194816
57,"10951231948",150.43,"3",1095123194816
57,"10951231948",150.43,"2",1095123194817
58,"10951231948",146.57,"2",1095123194817
58,"10951231948",146.57,"3",1095123194818
59,"10951231948",165.86,"3",1095123194818
60,"10951231948",138.86,"3",1095123194818
61,"10951231948",142.71,"3",1095123194818
62,"10951231948",162.0,"3",1095123194818
63,"10951231948",150.43,"3",1095123194818
63,"10951231948",150.43,"2",1095123194819
64,"10951231948",169.71,"2",1095123194819
65,"10951231948",239.14,"2",1095123194819
65,"10951231948",239.14,"3",1095123194820
66,"10951231948",266.14,"3",1095123194820
67,"10951231948",173.57,"3",1095123194820
67,"10951231948",173.57,"4",1095123194821
68,"10951231948",104.14,"4",1095123194821
69,"10951231948",81.0,"4",1095123194821
69,"10951231948",81.0,"3",1095123194822
70,"10951231948",115.71,"3",1095123194822
71,"10951231948",104.14,"3",1095123194822
71,"10951231948",104.14,"2",1095123194823
72,"10951231948",84.86,"2",1095123194823
73,"10951231948",123.43,"2",1095123194823
74,"10951231948",111.86,"2",1095123194823
74,"10951231948",111.86,"3",1095123194824
75,"10951231948",173.57,"3",1095123194824
76,"10951231948",123.43,"3",1095123194824
77,"10951231948",169.71,"3",1095123194824
77,"10951231948",169.71,"2",1095123194825
78,"10951231948",200.57,"2",1095123194825
78,"10951231948",200.57,"3",1095123194826
79,"10951231948",300.86,"3",1095123194826
79,"10951231948",300.86,"4",1095123194827
80,"10951231948",127.29,"4",1095123194827
81,"10951231948",115.71,"4",1095123194827
81,"10951231948",115.71,"2",1095129271928
0,"10951292719",1.71,"2",1095129271928
1,"10951292719",25.43,"2",1095129271928
1,"10951292719",25.43,"3",1095129271929
2,"10951292719",90.43,"3",1095129271929
2,"10951292719",90.43,"4",1095129271930
3,"10951292719",169.71,"4",1095129271930
4,"10951292719",127.29,"4",1095129271930
5,"10951292719",92.57,"4",1095129271930
6,"10951292719",92.57,"4",1095129271930
7,"10951292719",77.14,"4",1095129271930
8,"10951292719",84.86,"4",1095129271930
9,"10951292719",84.86,"4",1095129271930
10,"10951292719",84.86,"4",1095129271930
11,"10951292719",46.29,"4",1095129271930
12,"10951292719",65.57,"4",1095129271930
13,"10951292719",23.14,"4",1095129271930
14,"10951292719",48.86,"4",1095129271930
15,"10951292719",34.71,"4",1095129271930
16,"10951292719",28.29,"4",1095129271930
17,"10951292719",19.29,"4",1095129271930
17,"10951292719",19.29,"3",1095129271931
18,"10951292719",11.57,"3",1095129271931
19,"10951292719",25.71,"3",1095129271931
20,"10951292719",45.0,"3",1095129271931
20,"10951292719",45.0,"4",1095129271932
21,"10951292719",29.57,"4",1095129271932
22,"10951292719",41.14,"4",1095129271932
23,"10951292719",29.57,"4",1095129271932
24,"10951292719",21.86,"4",1095129271932
25,"10951292719",30.86,"4",1095129271932
26,"10951292719",30.86,"4",1095129271932
26,"10951292719",30.86,"3",1095129271933
27,"10951292719",41.14,"3",1095129271933
27,"10951292719",41.14,"4",1095129271934
28,"10951292719",33.43,"4",1095129271934
29,"10951292719",27.0,"4",1095129271934
29,"10951292719",27.0,"3",1095129271935
30,"10951292719",18.0,"3",1095129271935
31,"10951292719",23.14,"3",1095129271935
31,"10951292719",23.14,"2",1095129271936
32,"10951292719",48.86,"2",1095129271936
33,"10951292719",63.0,"2",1095129271936
34,"10951292719",113.14,"2",1095129271936
35,"10951292719",146.57,"2",1095129271936
36,"10951292719",204.43,"2",1095129271936
37,"10951292719",165.86,"2",1095129271936
38,"10951292719",185.14,"2",1095129271936
39,"10951292719",405.0,"2",1095129271936
40,"10951292719",1006.71,"2",1095129271936
40,"10951292719",1006.71,"3",1095129271937
41,"10951292719",2082.86,"3",1095129271937
41,"10951292719",2082.86,"4",1095129271938
42,"10951292719",2395.29,"4",1095129271938
43,"10951292719",1041.43,"4",1095129271938
44,"10951292719",520.71,"4",1095129271938
45,"10951292719",694.29,"4",1095129271938
46,"10951292719",312.43,"4",1095129271938
47,"10951292719",277.71,"4",1095129271938
48,"10951292719",138.86,"4",1095129271938
49,"10951292719",196.71,"4",1095129271938
50,"10951292719",81.0,"4",1095129271938
50,"10951292719",81.0,"3",1095129271939
51,"10951292719",81.0,"3",1095129271939
52,"10951292719",115.71,"3",1095129271939
52,"10951292719",115.71,"2",1095129271940
53,"10951292719",123.43,"2",1095129271940
54,"10951292719",150.43,"2",1095129271940
55,"10951292719",138.86,"2",1095129271940
56,"10951292719",254.57,"2",1095129271940
56,"10951292719",254.57,"3",1095129271941
57,"10951292719",254.57,"3",1095129271941
57,"10951292719",254.57,"4",1095129271942
58,"10951292719",185.14,"4",1095129271942
59,"10951292719",81.0,"4",1095129271942
59,"10951292719",81.0,"3",1095129271943
60,"10951292719",54.0,"3",1095129271943
61,"10951292719",96.43,"3",1095129271943
61,"10951292719",96.43,"2",1095129271944
62,"10951292719",54.0,"2",1095129271944
63,"10951292719",57.86,"2",1095129271944
64,"10951292719",104.14,"2",1095129271944
65,"10951292719",108.0,"2",1095129271944
66,"10951292719",204.43,"2",1095129271944
67,"10951292719",289.29,"2",1095129271944
67,"10951292719",289.29,"3",1095129271945
68,"10951292719",416.57,"3",1095129271945
68,"10951292719",416.57,"4",1095129271946
69,"10951292719",254.57,"4",1095129271946
70,"10951292719",92.57,"4",1095129271946
70,"10951292719",92.57,"3",1095129271947
71,"10951292719",115.71,"3",1095129271947
72,"10951292719",219.86,"3",1095129271947
72,"10951292719",219.86,"2",1095129271948
73,"10951292719",324.0,"2",1095129271948
73,"10951292719",324.0,"3",1095129271949
74,"10951292719",185.14,"3",1095129271949
75,"10951292719",219.86,"3",1095129271949
75,"10951292719",219.86,"2",1095129271950
76,"10951292719",277.71,"2",1095129271950
76,"10951292719",277.71,"3",1095129271951
77,"10951292719",347.14,"3",1095129271951
77,"10951292719",347.14,"4",1095129271952
78,"10951292719",231.43,"4",1095129271952
79,"10951292719",150.43,"4",1095129271952
80,"10951292719",115.71,"4",1095129271952
80,"10951292719",115.71,"3",1095129271953
81,"10951292719",162.0,"3",1095129271953
81,"10951292719",162.0,"2",1095151897854
0,"10951518978",2.43,"2",1095151897854
1,"10951518978",16.71,"2",1095151897854
1,"10951518978",16.71,"3",1095151897855
2,"10951518978",39.86,"3",1095151897855
3,"10951518978",66.86,"3",1095151897855
3,"10951518978",66.86,"4",1095151897856
4,"10951518978",78.43,"4",1095151897856
5,"10951518978",146.57,"4",1095151897856
6,"10951518978",73.29,"4",1095151897856
7,"10951518978",61.71,"4",1095151897856
8,"10951518978",61.71,"4",1095151897856
9,"10951518978",77.14,"4",1095151897856
10,"10951518978",46.29,"4",1095151897856
11,"10951518978",38.57,"4",1095151897856
12,"10951518978",50.14,"4",1095151897856
13,"10951518978",38.57,"4",1095151897856
14,"10951518978",38.57,"4",1095151897856
15,"10951518978",14.14,"4",1095151897856
15,"10951518978",14.14,"3",1095151897857
16,"10951518978",21.86,"3",1095151897857
17,"10951518978",34.71,"3",1095151897857
17,"10951518978",34.71,"2",1095151897858
18,"10951518978",51.43,"2",1095151897858
18,"10951518978",51.43,"3",1095151897859
19,"10951518978",42.43,"3",1095151897859
19,"10951518978",42.43,"4",1095151897860
20,"10951518978",52.71,"4",1095151897860
21,"10951518978",23.14,"4",1095151897860
22,"10951518978",23.14,"4",1095151897860
23,"10951518978",18.0,"4",1095151897860
23,"10951518978",18.0,"3",1095151897861
24,"10951518978",14.14,"3",1095151897861
25,"10951518978",10.29,"3",1095151897861
25,"10951518978",10.29,"2",1095151897862
26,"10951518978",16.71,"2",1095151897862
27,"10951518978",30.86,"2",1095151897862
28,"10951518978",52.71,"2",1095151897862
29,"10951518978",86.14,"2",1095151897862
29,"10951518978",86.14,"3",1095151897863
30,"10951518978",131.14,"3",1095151897863
31,"10951518978",158.14,"3",1095151897863
32,"10951518978",115.71,"3",1095151897863
32,"10951518978",115.71,"2",1095151897864
33,"10951518978",115.71,"2",1095151897864
34,"10951518978",181.29,"2",1095151897864
35,"10951518978",324.0,"2",1095151897864
35,"10951518978",324.0,"3",1095151897865
36,"10951518978",428.14,"3",1095151897865
36,"10951518978",428.14,"4",1095151897866
37,"10951518978",497.57,"4",1095151897866
38,"10951518978",196.71,"4",1095151897866
39,"10951518978",150.43,"4",1095151897866
40,"10951518978",185.14,"4",1095151897866
