"wk","tr","nc","stg","id"
0,"18271532991",0.0,"1",182715329911
1,"18271532991",0.0,"1",182715329911
2,"18271532991",0.0,"1",182715329911
3,"18271532991",0.0,"1",182715329911
4,"18271532991",0.0,"1",182715329911
5,"18271532991",0.0,"1",182715329911
6,"18271532991",0.0,"1",182715329911
7,"18271532991",0.71,"1",182715329911
7,"18271532991",0.71,"1b",182715329912
8,"18271532991",0.86,"1b",182715329912
8,"18271532991",0.86,"2",182715329913
9,"18271532991",0.0,"2",182715329913
10,"18271532991",0.57,"2",182715329913
10,"18271532991",0.57,"1b",182715329914
11,"18271532991",1.71,"1b",182715329914
12,"18271532991",8.0,"1b",182715329914
12,"18271532991",8.0,"2",182715329915
13,"18271532991",11.0,"2",182715329915
14,"18271532991",19.57,"2",182715329915
14,"18271532991",19.57,"1b",182715329916
15,"18271532991",52.57,"1b",182715329916
16,"18271532991",98.86,"1b",182715329916
16,"18271532991",98.86,"2",182715329917
17,"18271532991",240.0,"2",182715329917
17,"18271532991",240.0,"3",182715329918
18,"18271532991",244.57,"3",182715329918
18,"18271532991",244.57,"4",182715329919
19,"18271532991",100.57,"4",182715329919
20,"18271532991",73.14,"4",182715329919
21,"18271532991",59.43,"4",182715329919
22,"18271532991",41.14,"4",182715329919
23,"18271532991",13.14,"4",182715329919
23,"18271532991",13.14,"3",1827153299110
24,"18271532991",5.71,"3",1827153299110
25,"18271532991",8.14,"3",1827153299110
25,"18271532991",8.14,"2",1827153299111
26,"18271532991",4.71,"2",1827153299111
27,"18271532991",8.57,"2",1827153299111
27,"18271532991",8.57,"1b",1827153299112
28,"18271532991",10.29,"1b",1827153299112
29,"18271532991",15.71,"1b",1827153299112
29,"18271532991",15.71,"1",1827153299113
30,"18271532991",25.14,"1",1827153299113
31,"18271532991",49.14,"1",1827153299113
32,"18271532991",120.57,"1",1827153299113
33,"18271532991",308.57,"1",1827153299113
34,"18271532991",610.29,"1",1827153299113
34,"18271532991",610.29,"1b",1827153299114
35,"18271532991",1270.86,"1b",1827153299114
35,"18271532991",1270.86,"3",1827153299115
36,"18271532991",1810.29,"3",1827153299115
36,"18271532991",1810.29,"4",1827153299116
37,"18271532991",1316.57,"4",1827153299116
38,"18271532991",1316.57,"4",1827153299116
39,"18271532991",841.14,"4",1827153299116
40,"18271532991",347.43,"4",1827153299116
41,"18271532991",283.43,"4",1827153299116
42,"18271532991",201.14,"4",1827153299116
43,"18271532991",128.0,"4",1827153299116
