"wk","tr","nc","stg","id"
0,"7271054940",0.0,"1",72710549401
1,"7271054940",0.0,"1",72710549401
2,"7271054940",0.0,"1",72710549401
3,"7271054940",0.0,"1",72710549401
4,"7271054940",0.14,"1",72710549401
5,"7271054940",0.71,"1",72710549401
5,"7271054940",0.71,"1b",72710549402
6,"7271054940",0.29,"1b",72710549402
7,"7271054940",0.57,"1b",72710549402
7,"7271054940",0.57,"1",72710549403
8,"7271054940",2.29,"1",72710549403
8,"7271054940",2.29,"1b",72710549404
9,"7271054940",6.14,"1b",72710549404
9,"7271054940",6.14,"3",72710549405
10,"7271054940",6.29,"3",72710549405
11,"7271054940",6.14,"3",72710549405
11,"7271054940",6.14,"2",72710549406
12,"7271054940",4.57,"2",72710549406
13,"7271054940",5.0,"2",72710549406
13,"7271054940",5.0,"3",72710549407
14,"7271054940",1.86,"3",72710549407
15,"7271054940",0.29,"3",72710549407
15,"7271054940",0.29,"2",72710549408
16,"7271054940",0.57,"2",72710549408
17,"7271054940",0.14,"2",72710549408
17,"7271054940",0.14,"1b",72710549409
18,"7271054940",0.0,"1b",72710549409
19,"7271054940",0.43,"1b",72710549409
19,"7271054940",0.43,"1",727105494010
20,"7271054940",0.86,"1",727105494010
21,"7271054940",0.43,"1",727105494010
22,"7271054940",0.0,"1",727105494010
23,"7271054940",0.29,"1",727105494010
24,"7271054940",0.29,"1",727105494010
25,"7271054940",0.71,"1",727105494010
26,"7271054940",0.0,"1",727105494010
27,"7271054940",0.71,"1",727105494010
28,"7271054940",1.0,"1",727105494010
29,"7271054940",1.14,"1",727105494010
30,"7271054940",7.29,"1",727105494010
31,"7271054940",18.14,"1",727105494010
32,"7271054940",23.86,"1",727105494010
33,"7271054940",37.71,"1",727105494010
34,"7271054940",57.14,"1",727105494010
35,"7271054940",69.14,"1",727105494010
36,"7271054940",78.29,"1",727105494010
37,"7271054940",89.71,"1",727105494010
38,"7271054940",121.14,"1",727105494010
39,"7271054940",86.86,"1",727105494010
40,"7271054940",66.86,"1",727105494010
41,"7271054940",50.29,"1",727105494010
