"wk","tr","nc","stg","id"
0,"13631252878",0.43,"2",136312528781
1,"13631252878",5.57,"2",136312528781
2,"13631252878",15.29,"2",136312528781
2,"13631252878",15.29,"3",136312528782
3,"13631252878",24.86,"3",136312528782
4,"13631252878",56.14,"3",136312528782
4,"13631252878",56.14,"4",136312528783
5,"13631252878",43.71,"4",136312528783
6,"13631252878",24.43,"4",136312528783
7,"13631252878",12.86,"4",136312528783
7,"13631252878",12.86,"3",136312528784
8,"13631252878",37.29,"3",136312528784
8,"13631252878",37.29,"4",136312528785
9,"13631252878",23.14,"4",136312528785
10,"13631252878",23.14,"4",136312528785
10,"13631252878",23.14,"3",136312528786
11,"13631252878",33.43,"3",136312528786
11,"13631252878",33.43,"4",136312528787
12,"13631252878",41.14,"4",136312528787
13,"13631252878",47.57,"4",136312528787
14,"13631252878",24.43,"4",136312528787
14,"13631252878",24.43,"3",136312528788
15,"13631252878",41.14,"3",136312528788
15,"13631252878",41.14,"4",136312528789
16,"13631252878",33.43,"4",136312528789
17,"13631252878",16.71,"4",136312528789
17,"13631252878",16.71,"3",1363125287810
18,"13631252878",21.86,"3",1363125287810
19,"13631252878",25.71,"3",1363125287810
20,"13631252878",24.43,"3",1363125287810
20,"13631252878",24.43,"4",1363125287811
21,"13631252878",29.57,"4",1363125287811
22,"13631252878",14.14,"4",1363125287811
22,"13631252878",14.14,"3",1363125287812
23,"13631252878",11.57,"3",1363125287812
24,"13631252878",9.86,"3",1363125287812
25,"13631252878",11.14,"3",1363125287812
26,"13631252878",9.0,"3",1363125287812
27,"13631252878",10.29,"3",1363125287812
28,"13631252878",6.43,"3",1363125287812
29,"13631252878",7.71,"3",1363125287812
29,"13631252878",7.71,"2",1363125287813
30,"13631252878",12.0,"2",1363125287813
31,"13631252878",21.86,"2",1363125287813
32,"13631252878",25.71,"2",1363125287813
33,"13631252878",47.57,"2",1363125287813
33,"13631252878",47.57,"3",1363125287814
34,"13631252878",46.29,"3",1363125287814
35,"13631252878",84.86,"3",1363125287814
35,"13631252878",84.86,"4",1363125287815
36,"13631252878",115.71,"4",1363125287815
37,"13631252878",57.86,"4",1363125287815
38,"13631252878",84.86,"4",1363125287815
39,"13631252878",104.14,"4",1363125287815
40,"13631252878",50.14,"4",1363125287815
41,"13631252878",30.86,"4",1363125287815
41,"13631252878",30.86,"3",1363125287816
42,"13631252878",15.43,"3",1363125287816
43,"13631252878",24.43,"3",1363125287816
43,"13631252878",24.43,"4",1363125287817
44,"13631252878",10.29,"4",1363125287817
45,"13631252878",8.57,"4",1363125287817
45,"13631252878",8.57,"3",1363125287818
46,"13631252878",11.14,"3",1363125287818
47,"13631252878",12.0,"3",1363125287818
47,"13631252878",12.0,"2",1363125287819
48,"13631252878",15.86,"2",1363125287819
49,"13631252878",41.14,"2",1363125287819
50,"13631252878",102.86,"2",1363125287819
50,"13631252878",102.86,"3",1363125287820
51,"13631252878",158.14,"3",1363125287820
51,"13631252878",158.14,"4",1363125287821
52,"13631252878",69.43,"4",1363125287821
53,"13631252878",19.29,"4",1363125287821
54,"13631252878",69.43,"4",1363125287821
55,"13631252878",23.14,"4",1363125287821
56,"13631252878",50.14,"4",1363125287821
57,"13631252878",24.43,"4",1363125287821
58,"13631252878",21.86,"4",1363125287821
58,"13631252878",21.86,"3",1363125287822
59,"13631252878",20.57,"3",1363125287822
60,"13631252878",12.86,"3",1363125287822
60,"13631252878",12.86,"2",1363125287823
61,"13631252878",15.43,"2",1363125287823
62,"13631252878",14.14,"2",1363125287823
63,"13631252878",5.14,"2",1363125287823
64,"13631252878",9.43,"2",1363125287823
65,"13631252878",11.14,"2",1363125287823
66,"13631252878",14.57,"2",1363125287823
67,"13631252878",15.0,"2",1363125287823
68,"13631252878",20.14,"2",1363125287823
69,"13631252878",27.0,"2",1363125287823
70,"13631252878",37.29,"2",1363125287823
71,"13631252878",38.57,"2",1363125287823
71,"13631252878",38.57,"3",1363125287824
72,"13631252878",52.71,"3",1363125287824
72,"13631252878",52.71,"4",1363125287825
73,"13631252878",36.0,"4",1363125287825
74,"13631252878",21.86,"4",1363125287825
75,"13631252878",18.0,"4",1363125287825
75,"13631252878",18.0,"3",1363125287826
76,"13631252878",14.14,"3",1363125287826
77,"13631252878",10.29,"3",1363125287826
77,"13631252878",10.29,"2",1363125287827
78,"13631252878",11.57,"2",1363125287827
79,"13631252878",14.14,"2",1363125287827
80,"13631252878",11.57,"2",1363125287827
81,"13631252878",24.43,"2",1363125287827
81,"13631252878",24.43,"2",1363196169927
0,"13631961699",0.29,"2",1363196169927
1,"13631961699",3.0,"2",1363196169927
2,"13631961699",11.43,"2",1363196169927
2,"13631961699",11.43,"3",1363196169928
3,"13631961699",33.0,"3",1363196169928
4,"13631961699",68.57,"3",1363196169928
4,"13631961699",68.57,"4",1363196169929
5,"13631961699",97.71,"4",1363196169929
6,"13631961699",104.14,"4",1363196169929
7,"13631961699",46.29,"4",1363196169929
8,"13631961699",42.43,"4",1363196169929
9,"13631961699",46.29,"4",1363196169929
10,"13631961699",38.57,"4",1363196169929
11,"13631961699",52.71,"4",1363196169929
12,"13631961699",24.43,"4",1363196169929
12,"13631961699",24.43,"3",1363196169930
13,"13631961699",16.71,"3",1363196169930
14,"13631961699",20.57,"3",1363196169930
15,"13631961699",16.71,"3",1363196169930
16,"13631961699",10.29,"3",1363196169930
17,"13631961699",15.86,"3",1363196169930
18,"13631961699",13.71,"3",1363196169930
19,"13631961699",8.57,"3",1363196169930
20,"13631961699",8.57,"3",1363196169930
21,"13631961699",6.43,"3",1363196169930
22,"13631961699",6.43,"3",1363196169930
23,"13631961699",5.57,"3",1363196169930
23,"13631961699",5.57,"2",1363196169931
24,"13631961699",18.0,"2",1363196169931
24,"13631961699",18.0,"3",1363196169932
25,"13631961699",17.14,"3",1363196169932
26,"13631961699",14.57,"3",1363196169932
27,"13631961699",24.0,"3",1363196169932
28,"13631961699",32.14,"3",1363196169932
29,"13631961699",43.71,"3",1363196169932
29,"13631961699",43.71,"2",1363196169933
30,"13631961699",69.43,"2",1363196169933
30,"13631961699",69.43,"3",1363196169934
31,"13631961699",59.14,"3",1363196169934
31,"13631961699",59.14,"4",1363196169935
32,"13631961699",108.0,"4",1363196169935
33,"13631961699",34.71,"4",1363196169935
34,"13631961699",42.43,"4",1363196169935
35,"13631961699",33.43,"4",1363196169935
36,"13631961699",37.29,"4",1363196169935
37,"13631961699",24.43,"4",1363196169935
37,"13631961699",24.43,"3",1363196169936
38,"13631961699",18.0,"3",1363196169936
39,"13631961699",19.29,"3",1363196169936
39,"13631961699",19.29,"2",1363196169937
40,"13631961699",18.0,"2",1363196169937
41,"13631961699",24.43,"2",1363196169937
42,"13631961699",11.57,"2",1363196169937
43,"13631961699",9.0,"2",1363196169937
44,"13631961699",25.71,"2",1363196169937
45,"13631961699",20.14,"2",1363196169937
46,"13631961699",39.86,"2",1363196169937
46,"13631961699",39.86,"3",1363196169938
47,"13631961699",33.43,"3",1363196169938
48,"13631961699",47.57,"3",1363196169938
49,"13631961699",43.71,"3",1363196169938
50,"13631961699",65.57,"3",1363196169938
50,"13631961699",65.57,"4",1363196169939
51,"13631961699",39.86,"4",1363196169939
52,"13631961699",37.29,"4",1363196169939
53,"13631961699",16.71,"4",1363196169939
54,"13631961699",12.86,"4",1363196169939
54,"13631961699",12.86,"3",1363196169940
55,"13631961699",19.29,"3",1363196169940
56,"13631961699",13.29,"3",1363196169940
56,"13631961699",13.29,"2",1363196169941
57,"13631961699",19.71,"2",1363196169941
58,"13631961699",25.71,"2",1363196169941
59,"13631961699",54.0,"2",1363196169941
59,"13631961699",54.0,"3",1363196169942
60,"13631961699",54.0,"3",1363196169942
60,"13631961699",54.0,"4",1363196169943
61,"13631961699",34.71,"4",1363196169943
62,"13631961699",33.43,"4",1363196169943
63,"13631961699",23.14,"4",1363196169943
64,"13631961699",16.71,"4",1363196169943
64,"13631961699",16.71,"3",1363196169944
65,"13631961699",16.71,"3",1363196169944
66,"13631961699",12.86,"3",1363196169944
66,"13631961699",12.86,"2",1363196169945
67,"13631961699",9.43,"2",1363196169945
68,"13631961699",9.43,"2",1363196169945
69,"13631961699",4.71,"2",1363196169945
70,"13631961699",9.0,"2",1363196169945
71,"13631961699",9.0,"2",1363196169945
72,"13631961699",11.14,"2",1363196169945
73,"13631961699",16.29,"2",1363196169945
74,"13631961699",14.14,"2",1363196169945
75,"13631961699",14.57,"2",1363196169945
76,"13631961699",30.86,"2",1363196169945
77,"13631961699",59.14,"2",1363196169945
77,"13631961699",59.14,"3",1363196169946
78,"13631961699",100.29,"3",1363196169946
78,"13631961699",100.29,"4",1363196169947
79,"13631961699",96.43,"4",1363196169947
80,"13631961699",42.43,"4",1363196169947
81,"13631961699",30.86,"4",1363196169947
81,"13631961699",30.86,"2",1363205353648
0,"13632053536",0.0,"2",1363205353648
1,"13632053536",3.71,"2",1363205353648
2,"13632053536",9.86,"2",1363205353648
2,"13632053536",9.86,"3",1363205353649
3,"13632053536",30.86,"3",1363205353649
4,"13632053536",67.29,"3",1363205353649
4,"13632053536",67.29,"4",1363205353650
