"wk","tr","nc","stg","id"
0,"2802014539",0.0,"1",28020145391
1,"2802014539",0.0,"1",28020145391
2,"2802014539",1.0,"1",28020145391
3,"2802014539",10.29,"1",28020145391
3,"2802014539",10.29,"2",28020145392
4,"2802014539",28.0,"2",28020145392
4,"2802014539",28.0,"4",28020145393
5,"2802014539",24.0,"4",28020145393
6,"2802014539",12.57,"4",28020145393
6,"2802014539",12.57,"3",28020145394
7,"2802014539",16.57,"3",28020145394
8,"2802014539",28.57,"3",28020145394
9,"2802014539",39.43,"3",28020145394
9,"2802014539",39.43,"4",28020145395
10,"2802014539",34.29,"4",28020145395
11,"2802014539",21.71,"4",28020145395
11,"2802014539",21.71,"3",28020145396
12,"2802014539",20.0,"3",28020145396
13,"2802014539",32.0,"3",28020145396
14,"2802014539",32.57,"3",28020145396
14,"2802014539",32.57,"4",28020145397
15,"2802014539",20.57,"4",28020145397
16,"2802014539",12.0,"4",28020145397
16,"2802014539",12.0,"3",28020145398
17,"2802014539",11.43,"3",28020145398
18,"2802014539",9.29,"3",28020145398
19,"2802014539",5.14,"3",28020145398
19,"2802014539",5.14,"2",28020145399
20,"2802014539",3.14,"2",28020145399
21,"2802014539",1.29,"2",28020145399
21,"2802014539",1.29,"1b",280201453910
22,"2802014539",1.86,"1b",280201453910
22,"2802014539",1.86,"2",280201453911
23,"2802014539",2.43,"2",280201453911
24,"2802014539",1.86,"2",280201453911
25,"2802014539",2.0,"2",280201453911
26,"2802014539",0.57,"2",280201453911
26,"2802014539",0.57,"1b",280201453912
27,"2802014539",1.0,"1b",280201453912
27,"2802014539",1.0,"2",280201453913
28,"2802014539",0.43,"2",280201453913
29,"2802014539",0.0,"2",280201453913
29,"2802014539",0.0,"1b",280201453914
30,"2802014539",0.43,"1b",280201453914
31,"2802014539",3.0,"1b",280201453914
31,"2802014539",3.0,"1",280201453915
32,"2802014539",6.86,"1",280201453915
33,"2802014539",11.29,"1",280201453915
34,"2802014539",20.57,"1",280201453915
35,"2802014539",12.57,"1",280201453915
36,"2802014539",17.71,"1",280201453915
37,"2802014539",21.71,"1",280201453915
38,"2802014539",30.29,"1",280201453915
39,"2802014539",66.29,"1",280201453915
39,"2802014539",66.29,"1b",280201453916
40,"2802014539",58.86,"1b",280201453916
40,"2802014539",58.86,"3",280201453917
41,"2802014539",34.29,"3",280201453917
42,"2802014539",32.0,"3",280201453917
43,"2802014539",29.71,"3",280201453917
43,"2802014539",29.71,"2",280201453918
44,"2802014539",13.71,"2",280201453918
45,"2802014539",12.0,"2",280201453918
45,"2802014539",12.0,"3",280201453919
46,"2802014539",6.86,"3",280201453919
47,"2802014539",4.0,"3",280201453919
47,"2802014539",4.0,"2",280201453920
48,"2802014539",3.29,"2",280201453920
49,"2802014539",5.29,"2",280201453920
49,"2802014539",5.29,"1b",280201453921
50,"2802014539",3.57,"1b",280201453921
51,"2802014539",5.57,"1b",280201453921
51,"2802014539",5.57,"1",280201453922
52,"2802014539",11.43,"1",280201453922
53,"2802014539",12.86,"1",280201453922
54,"2802014539",9.86,"1",280201453922
55,"2802014539",6.86,"1",280201453922
56,"2802014539",6.86,"1",280201453922
57,"2802014539",17.71,"1",280201453922
58,"2802014539",36.57,"1",280201453922
59,"2802014539",54.29,"1",280201453922
59,"2802014539",54.29,"1b",280201453923
60,"2802014539",42.86,"1b",280201453923
60,"2802014539",42.86,"2",280201453924
61,"2802014539",35.43,"2",280201453924
61,"2802014539",35.43,"3",280201453925
62,"2802014539",21.71,"3",280201453925
