"wk","tr","nc","stg","id"
0,"2021643951",0.0,"1",20216439511
1,"2021643951",0.0,"1",20216439511
2,"2021643951",1.29,"1",20216439511
3,"2021643951",15.14,"1",20216439511
3,"2021643951",15.14,"3",20216439512
4,"2021643951",29.43,"3",20216439512
4,"2021643951",29.43,"4",20216439513
5,"2021643951",26.57,"4",20216439513
6,"2021643951",23.14,"4",20216439513
6,"2021643951",23.14,"3",20216439514
7,"2021643951",16.71,"3",20216439514
8,"2021643951",18.0,"3",20216439514
9,"2021643951",16.71,"3",20216439514
10,"2021643951",18.0,"3",20216439514
11,"2021643951",16.71,"3",20216439514
12,"2021643951",19.29,"3",20216439514
13,"2021643951",20.57,"3",20216439514
14,"2021643951",24.43,"3",20216439514
14,"2021643951",24.43,"2",20216439515
15,"2021643951",41.14,"2",20216439515
16,"2021643951",100.29,"2",20216439515
16,"2021643951",100.29,"3",20216439516
17,"2021643951",61.71,"3",20216439516
17,"2021643951",61.71,"4",20216439517
18,"2021643951",42.43,"4",20216439517
19,"2021643951",46.29,"4",20216439517
20,"2021643951",16.71,"4",20216439517
21,"2021643951",25.71,"4",20216439517
22,"2021643951",14.14,"4",20216439517
22,"2021643951",14.14,"3",20216439518
23,"2021643951",11.57,"3",20216439518
24,"2021643951",9.43,"3",20216439518
24,"2021643951",9.43,"2",20216439519
25,"2021643951",9.0,"2",20216439519
26,"2021643951",6.0,"2",20216439519
26,"2021643951",6.0,"1b",202164395110
27,"2021643951",13.29,"1b",202164395110
28,"2021643951",12.86,"1b",202164395110
28,"2021643951",12.86,"1",202164395111
29,"2021643951",11.57,"1",202164395111
30,"2021643951",19.29,"1",202164395111
31,"2021643951",31.29,"1",202164395111
32,"2021643951",47.57,"1",202164395111
33,"2021643951",36.0,"1",202164395111
34,"2021643951",45.0,"1",202164395111
35,"2021643951",47.57,"1",202164395111
36,"2021643951",84.86,"1",202164395111
37,"2021643951",96.43,"1",202164395111
38,"2021643951",69.43,"1",202164395111
39,"2021643951",69.43,"1",202164395111
40,"2021643951",77.14,"1",202164395111
41,"2021643951",84.86,"1",202164395111
42,"2021643951",61.71,"1",202164395111
43,"2021643951",138.86,"1",202164395111
