"wk","tr","nc","stg","id"
0,"11241231948",0.29,"2",112412319481
1,"11241231948",3.57,"2",112412319481
2,"11241231948",22.86,"2",112412319481
2,"11241231948",22.86,"3",112412319482
3,"11241231948",76.29,"3",112412319482
3,"11241231948",76.29,"4",112412319483
4,"11241231948",218.57,"4",112412319483
5,"11241231948",266.14,"4",112412319483
6,"11241231948",520.71,"4",112412319483
7,"11241231948",405.0,"4",112412319483
8,"11241231948",324.0,"4",112412319483
9,"11241231948",520.71,"4",112412319483
10,"11241231948",393.43,"4",112412319483
11,"11241231948",347.14,"4",112412319483
12,"11241231948",277.71,"4",112412319483
13,"11241231948",266.14,"4",112412319483
14,"11241231948",138.86,"4",112412319483
15,"11241231948",208.29,"4",112412319483
16,"11241231948",104.14,"4",112412319483
17,"11241231948",65.57,"4",112412319483
18,"11241231948",150.43,"4",112412319483
19,"11241231948",96.43,"4",112412319483
20,"11241231948",73.29,"4",112412319483
21,"11241231948",69.43,"4",112412319483
22,"11241231948",34.71,"4",112412319483
23,"11241231948",32.14,"4",112412319483
24,"11241231948",32.14,"4",112412319483
25,"11241231948",18.0,"4",112412319483
25,"11241231948",18.0,"3",112412319484
26,"11241231948",10.29,"3",112412319484
27,"11241231948",15.86,"3",112412319484
28,"11241231948",19.29,"3",112412319484
28,"11241231948",19.29,"2",112412319485
29,"11241231948",13.71,"2",112412319485
30,"11241231948",18.0,"2",112412319485
31,"11241231948",13.71,"2",112412319485
32,"11241231948",19.71,"2",112412319485
33,"11241231948",30.0,"2",112412319485
34,"11241231948",79.71,"2",112412319485
35,"11241231948",145.29,"2",112412319485
36,"11241231948",281.57,"2",112412319485
36,"11241231948",281.57,"3",112412319486
37,"11241231948",532.29,"3",112412319486
37,"11241231948",532.29,"4",112412319487
38,"11241231948",405.0,"4",112412319487
39,"11241231948",428.14,"4",112412319487
40,"11241231948",312.43,"4",112412319487
41,"11241231948",243.0,"4",112412319487
42,"11241231948",127.29,"4",112412319487
42,"11241231948",127.29,"3",112412319488
43,"11241231948",111.86,"3",112412319488
43,"11241231948",111.86,"4",112412319489
44,"11241231948",119.57,"4",112412319489
45,"11241231948",104.14,"4",112412319489
45,"11241231948",104.14,"3",1124123194810
46,"11241231948",73.29,"3",1124123194810
47,"11241231948",108.0,"3",1124123194810
47,"11241231948",108.0,"2",1124123194811
48,"11241231948",100.29,"2",1124123194811
49,"11241231948",185.14,"2",1124123194811
50,"11241231948",532.29,"2",1124123194811
50,"11241231948",532.29,"3",1124123194812
51,"11241231948",543.86,"3",1124123194812
51,"11241231948",543.86,"4",1124123194813
52,"11241231948",324.0,"4",1124123194813
53,"11241231948",324.0,"4",1124123194813
54,"11241231948",208.29,"4",1124123194813
55,"11241231948",138.86,"4",1124123194813
55,"11241231948",138.86,"3",1124123194814
56,"11241231948",127.29,"3",1124123194814
57,"11241231948",131.14,"3",1124123194814
58,"11241231948",115.71,"3",1124123194814
58,"11241231948",115.71,"2",1124123194815
59,"11241231948",138.86,"2",1124123194815
60,"11241231948",77.14,"2",1124123194815
61,"11241231948",138.86,"2",1124123194815
62,"11241231948",189.0,"2",1124123194815
63,"11241231948",358.71,"2",1124123194815
63,"11241231948",358.71,"3",1124123194816
64,"11241231948",682.71,"3",1124123194816
64,"11241231948",682.71,"4",1124123194817
65,"11241231948",810.0,"4",1124123194817
66,"11241231948",763.71,"4",1124123194817
67,"11241231948",451.29,"4",1124123194817
68,"11241231948",277.71,"4",1124123194817
69,"11241231948",416.57,"4",1124123194817
70,"11241231948",243.0,"4",1124123194817
71,"11241231948",173.57,"4",1124123194817
71,"11241231948",173.57,"3",1124123194818
72,"11241231948",289.29,"3",1124123194818
72,"11241231948",289.29,"4",1124123194819
73,"11241231948",219.86,"4",1124123194819
74,"11241231948",127.29,"4",1124123194819
74,"11241231948",127.29,"3",1124123194820
75,"11241231948",54.0,"3",1124123194820
76,"11241231948",115.71,"3",1124123194820
76,"11241231948",115.71,"2",1124123194821
77,"11241231948",192.86,"2",1124123194821
78,"11241231948",331.71,"2",1124123194821
78,"11241231948",331.71,"3",1124123194822
79,"11241231948",393.43,"3",1124123194822
79,"11241231948",393.43,"4",1124123194823
80,"11241231948",324.0,"4",1124123194823
81,"11241231948",289.29,"4",1124123194823
81,"11241231948",289.29,"2",1124129271924
0,"11241292719",0.57,"2",1124129271924
