"wk","tr","nc","stg","id"
0,"11382010551",0.0,"1",113820105511
1,"11382010551",0.71,"1",113820105511
1,"11382010551",0.71,"1b",113820105512
2,"11382010551",0.0,"1b",113820105512
3,"11382010551",0.0,"1b",113820105512
3,"11382010551",0.0,"1",113820105513
4,"11382010551",0.14,"1",113820105513
5,"11382010551",3.14,"1",113820105513
5,"11382010551",3.14,"2",113820105514
6,"11382010551",6.71,"2",113820105514
6,"11382010551",6.71,"3",113820105515
7,"11382010551",7.86,"3",113820105515
8,"11382010551",18.0,"3",113820105515
9,"11382010551",6.86,"3",113820105515
10,"11382010551",19.29,"3",113820105515
11,"11382010551",14.14,"3",113820105515
12,"11382010551",8.14,"3",113820105515
13,"11382010551",11.57,"3",113820105515
14,"11382010551",10.29,"3",113820105515
14,"11382010551",10.29,"2",113820105516
15,"11382010551",11.57,"2",113820105516
16,"11382010551",11.57,"2",113820105516
16,"11382010551",11.57,"1b",113820105517
17,"11382010551",14.14,"1b",113820105517
18,"11382010551",14.57,"1b",113820105517
18,"11382010551",14.57,"1",113820105518
19,"11382010551",25.29,"1",113820105518
20,"11382010551",99.86,"1",113820105518
20,"11382010551",99.86,"2",113820105519
21,"11382010551",239.14,"2",113820105519
21,"11382010551",239.14,"3",1138201055110
22,"11382010551",370.29,"3",1138201055110
22,"11382010551",370.29,"4",1138201055111
23,"11382010551",219.86,"4",1138201055111
24,"11382010551",208.29,"4",1138201055111
25,"11382010551",127.29,"4",1138201055111
26,"11382010551",92.57,"4",1138201055111
27,"11382010551",111.86,"4",1138201055111
28,"11382010551",100.29,"4",1138201055111
29,"11382010551",46.29,"4",1138201055111
29,"11382010551",46.29,"3",1138201055112
30,"11382010551",11.57,"3",1138201055112
31,"11382010551",29.57,"3",1138201055112
31,"11382010551",29.57,"2",1138201055113
32,"11382010551",20.57,"2",1138201055113
33,"11382010551",23.14,"2",1138201055113
33,"11382010551",23.14,"1b",1138201055114
34,"11382010551",36.0,"1b",1138201055114
35,"11382010551",78.43,"1b",1138201055114
35,"11382010551",78.43,"1",1138201055115
36,"11382010551",272.57,"1",1138201055115
36,"11382010551",272.57,"1b",1138201055116
37,"11382010551",586.29,"1b",1138201055116
37,"11382010551",586.29,"2",1138201055117
38,"11382010551",1249.71,"2",1138201055117
38,"11382010551",1249.71,"4",1138201055118
39,"11382010551",1110.86,"4",1138201055118
40,"11382010551",937.29,"4",1138201055118
41,"11382010551",277.71,"4",1138201055118
42,"11382010551",555.43,"4",1138201055118
43,"11382010551",335.57,"4",1138201055118
44,"11382010551",405.0,"4",1138201055118
45,"11382010551",173.57,"4",1138201055118
46,"11382010551",81.0,"4",1138201055118
46,"11382010551",81.0,"3",1138201055119
47,"11382010551",119.57,"3",1138201055119
48,"11382010551",146.57,"3",1138201055119
49,"11382010551",57.86,"3",1138201055119
49,"11382010551",57.86,"2",1138201055120
