"wk","tr","nc","stg","id"
0,"4011030464",0.0,"1",40110304641
1,"4011030464",0.0,"1",40110304641
2,"4011030464",0.0,"1",40110304641
3,"4011030464",0.0,"1",40110304641
4,"4011030464",0.0,"1",40110304641
5,"4011030464",0.0,"1",40110304641
6,"4011030464",0.0,"1",40110304641
7,"4011030464",0.0,"1",40110304641
8,"4011030464",0.0,"1",40110304641
9,"4011030464",0.14,"1",40110304641
10,"4011030464",0.0,"1",40110304641
11,"4011030464",0.0,"1",40110304641
12,"4011030464",0.0,"1",40110304641
13,"4011030464",0.0,"1",40110304641
14,"4011030464",0.0,"1",40110304641
15,"4011030464",0.0,"1",40110304641
16,"4011030464",0.0,"1",40110304641
17,"4011030464",0.0,"1",40110304641
18,"4011030464",0.0,"1",40110304641
19,"4011030464",0.14,"1",40110304641
20,"4011030464",0.0,"1",40110304641
21,"4011030464",0.0,"1",40110304641
22,"4011030464",0.14,"1",40110304641
23,"4011030464",0.86,"1",40110304641
24,"4011030464",2.0,"1",40110304641
25,"4011030464",1.29,"1",40110304641
26,"4011030464",2.29,"1",40110304641
27,"4011030464",3.86,"1",40110304641
28,"4011030464",5.57,"1",40110304641
29,"4011030464",9.43,"1",40110304641
30,"4011030464",19.71,"1",40110304641
31,"4011030464",29.57,"1",40110304641
32,"4011030464",63.43,"1",40110304641
33,"4011030464",86.29,"1",40110304641
34,"4011030464",137.14,"1",40110304641
35,"4011030464",249.14,"1",40110304641
36,"4011030464",491.43,"1",40110304641
37,"4011030464",493.71,"1",40110304641
38,"4011030464",960.0,"1",40110304641
39,"4011030464",1526.86,"1",40110304641
39,"4011030464",1526.86,"1b",40110304642
40,"4011030464",1755.43,"1b",40110304642
40,"4011030464",1755.43,"2",40110304643
41,"4011030464",2340.57,"2",40110304643
41,"4011030464",2340.57,"3",40110304644
42,"4011030464",2596.57,"3",40110304644
42,"4011030464",2596.57,"4",40110304645
43,"4011030464",2669.71,"4",40110304645
44,"4011030464",1243.43,"4",40110304645
44,"4011030464",1243.43,"3",40110304646
45,"4011030464",694.86,"3",40110304646
45,"4011030464",694.86,"4",40110304647
46,"4011030464",274.29,"4",40110304647
47,"4011030464",100.57,"4",40110304647
47,"4011030464",100.57,"3",40110304648
48,"4011030464",54.86,"3",40110304648
49,"4011030464",31.43,"3",40110304648
49,"4011030464",31.43,"2",40110304649
50,"4011030464",13.14,"2",40110304649
51,"4011030464",6.29,"2",40110304649
51,"4011030464",6.29,"1b",401103046410
52,"4011030464",4.71,"1b",401103046410
52,"4011030464",4.71,"1",401103046411
53,"4011030464",4.57,"1",401103046411
54,"4011030464",6.0,"1",401103046411
55,"4011030464",7.57,"1",401103046411
56,"4011030464",14.14,"1",401103046411
57,"4011030464",17.29,"1",401103046411
58,"4011030464",17.57,"1",401103046411
59,"4011030464",33.71,"1",401103046411
60,"4011030464",51.43,"1",401103046411
61,"4011030464",46.29,"1",401103046411
62,"4011030464",80.57,"1",401103046411
63,"4011030464",86.86,"1",401103046411
64,"4011030464",164.57,"1",401103046411
65,"4011030464",285.71,"1",401103046411
66,"4011030464",482.29,"1",401103046411
67,"4011030464",859.43,"1",401103046411
68,"4011030464",1088.0,"1",401103046411
68,"4011030464",1088.0,"1b",401103046412
69,"4011030464",1389.71,"1b",401103046412
70,"4011030464",3145.14,"1b",401103046412
70,"4011030464",3145.14,"2",401103046413
71,"4011030464",3730.29,"2",401103046413
71,"4011030464",3730.29,"3",401103046414
72,"4011030464",3218.29,"3",401103046414
72,"4011030464",3218.29,"4",401103046415
73,"4011030464",1536.0,"4",401103046415
74,"4011030464",621.71,"4",401103046415
74,"4011030464",621.71,"3",401103046416
75,"4011030464",621.71,"3",401103046416
75,"4011030464",621.71,"4",401103046417
76,"4011030464",182.86,"4",401103046417
77,"4011030464",89.14,"4",401103046417
77,"4011030464",89.14,"3",401103046418
78,"4011030464",43.43,"3",401103046418
79,"4011030464",22.86,"3",401103046418
79,"4011030464",22.86,"2",401103046419
80,"4011030464",16.0,"2",401103046419
81,"4011030464",5.86,"2",401103046419
81,"4011030464",5.86,"1",401114971120
0,"4011149711",0.0,"1",401114971120
1,"4011149711",0.0,"1",401114971120
2,"4011149711",0.14,"1",401114971120
3,"4011149711",0.0,"1",401114971120
4,"4011149711",0.14,"1",401114971120
5,"4011149711",0.0,"1",401114971120
6,"4011149711",0.0,"1",401114971120
7,"4011149711",0.14,"1",401114971120
8,"4011149711",0.14,"1",401114971120
9,"4011149711",0.14,"1",401114971120
10,"4011149711",0.0,"1",401114971120
10,"4011149711",0.0,"1b",401114971121
11,"4011149711",0.57,"1b",401114971121
12,"4011149711",0.14,"1b",401114971121
12,"4011149711",0.14,"1",401114971122
13,"4011149711",0.14,"1",401114971122
14,"4011149711",0.71,"1",401114971122
14,"4011149711",0.71,"1b",401114971123
15,"4011149711",0.14,"1b",401114971123
16,"4011149711",0.14,"1b",401114971123
16,"4011149711",0.14,"1",401114971124
17,"4011149711",0.14,"1",401114971124
18,"4011149711",0.0,"1",401114971124
19,"4011149711",0.57,"1",401114971124
20,"4011149711",0.86,"1",401114971124
21,"4011149711",0.29,"1",401114971124
22,"4011149711",0.14,"1",401114971124
23,"4011149711",0.0,"1",401114971124
24,"4011149711",0.0,"1",401114971124
25,"4011149711",0.57,"1",401114971124
26,"4011149711",2.0,"1",401114971124
27,"4011149711",4.71,"1",401114971124
28,"4011149711",9.14,"1",401114971124
29,"4011149711",14.86,"1",401114971124
30,"4011149711",21.43,"1",401114971124
31,"4011149711",10.86,"1",401114971124
32,"4011149711",16.0,"1",401114971124
33,"4011149711",28.0,"1",401114971124
34,"4011149711",84.57,"1",401114971124
35,"4011149711",87.43,"1",401114971124
36,"4011149711",141.71,"1",401114971124
37,"4011149711",153.14,"1",401114971124
38,"4011149711",251.43,"1",401114971124
39,"4011149711",395.43,"1",401114971124
40,"4011149711",786.29,"1",401114971124
41,"4011149711",1801.14,"1",401114971124
42,"4011149711",2962.29,"1",401114971124
42,"4011149711",2962.29,"1b",401114971125
43,"4011149711",4022.86,"1b",401114971125
43,"4011149711",4022.86,"2",401114971126
44,"4011149711",2706.29,"2",401114971126
44,"4011149711",2706.29,"3",401114971127
45,"4011149711",2121.14,"3",401114971127
45,"4011149711",2121.14,"4",401114971128
46,"4011149711",987.43,"4",401114971128
47,"4011149711",347.43,"4",401114971128
47,"4011149711",347.43,"3",401114971129
48,"4011149711",192.0,"3",401114971129
49,"4011149711",246.86,"3",401114971129
49,"4011149711",246.86,"2",401114971130
50,"4011149711",299.43,"2",401114971130
51,"4011149711",107.43,"2",401114971130
51,"4011149711",107.43,"1",401114971131
52,"4011149711",73.14,"1",401114971131
53,"4011149711",59.43,"1",401114971131
54,"4011149711",96.0,"1",401114971131
55,"4011149711",164.57,"1",401114971131
56,"4011149711",292.57,"1",401114971131
57,"4011149711",457.14,"1",401114971131
58,"4011149711",603.43,"1",401114971131
59,"4011149711",1225.14,"1",401114971131
60,"4011149711",1718.86,"1",401114971131
60,"4011149711",1718.86,"1b",401114971132
61,"4011149711",3108.57,"1b",401114971132
61,"4011149711",3108.57,"2",401114971133
62,"4011149711",4059.43,"2",401114971133
62,"4011149711",4059.43,"3",401114971134
63,"4011149711",2962.29,"3",401114971134
63,"4011149711",2962.29,"4",401114971135
64,"4011149711",1389.71,"4",401114971135
65,"4011149711",841.14,"4",401114971135
65,"4011149711",841.14,"3",401114971136
66,"4011149711",457.14,"3",401114971136
67,"4011149711",502.86,"3",401114971136
67,"4011149711",502.86,"2",401114971137
68,"4011149711",393.14,"2",401114971137
69,"4011149711",448.0,"2",401114971137
69,"4011149711",448.0,"1b",401114971138
70,"4011149711",521.14,"1b",401114971138
70,"4011149711",521.14,"1",401114971139
71,"4011149711",813.71,"1",401114971139
72,"4011149711",996.57,"1",401114971139
73,"4011149711",1920.0,"1",401114971139
73,"4011149711",1920.0,"1b",401114971140
74,"4011149711",3218.29,"1b",401114971140
74,"4011149711",3218.29,"2",401114971141
75,"4011149711",4973.71,"2",401114971141
75,"4011149711",4973.71,"3",401114971142
76,"4011149711",3657.14,"3",401114971142
76,"4011149711",3657.14,"4",401114971143
77,"4011149711",1316.57,"4",401114971143
78,"4011149711",512.0,"4",401114971143
78,"4011149711",512.0,"3",401114971144
79,"4011149711",493.71,"3",401114971144
79,"4011149711",493.71,"4",401114971145
80,"4011149711",137.14,"4",401114971145
81,"4011149711",61.71,"4",401114971145
