"wk","tr","nc","stg","id"
0,"11451329940",0.0,"1",114513299401
1,"11451329940",0.0,"1",114513299401
2,"11451329940",0.0,"1",114513299401
3,"11451329940",0.29,"1",114513299401
4,"11451329940",0.29,"1",114513299401
5,"11451329940",1.29,"1",114513299401
6,"11451329940",4.43,"1",114513299401
6,"11451329940",4.43,"2",114513299402
7,"11451329940",8.14,"2",114513299402
8,"11451329940",16.14,"2",114513299402
8,"11451329940",16.14,"3",114513299403
9,"11451329940",20.14,"3",114513299403
10,"11451329940",33.14,"3",114513299403
11,"11451329940",41.14,"3",114513299403
12,"11451329940",59.43,"3",114513299403
13,"11451329940",80.57,"3",114513299403
13,"11451329940",80.57,"4",114513299404
14,"11451329940",61.71,"4",114513299404
15,"11451329940",54.86,"4",114513299404
16,"11451329940",20.57,"4",114513299404
17,"11451329940",19.43,"4",114513299404
17,"11451329940",19.43,"3",114513299405
18,"11451329940",8.0,"3",114513299405
19,"11451329940",6.86,"3",114513299405
19,"11451329940",6.86,"2",114513299406
20,"11451329940",4.43,"2",114513299406
21,"11451329940",6.29,"2",114513299406
21,"11451329940",6.29,"1b",114513299407
22,"11451329940",13.29,"1b",114513299407
23,"11451329940",31.43,"1b",114513299407
23,"11451329940",31.43,"1",114513299408
24,"11451329940",126.29,"1",114513299408
24,"11451329940",126.29,"2",114513299409
25,"11451329940",306.29,"2",114513299409
25,"11451329940",306.29,"4",1145132994010
26,"11451329940",166.86,"4",1145132994010
27,"11451329940",89.14,"4",1145132994010
28,"11451329940",73.14,"4",1145132994010
29,"11451329940",49.14,"4",1145132994010
29,"11451329940",49.14,"3",1145132994011
30,"11451329940",65.71,"3",1145132994011
31,"11451329940",108.0,"3",1145132994011
31,"11451329940",108.0,"2",1145132994012
32,"11451329940",196.57,"2",1145132994012
33,"11451329940",445.71,"2",1145132994012
33,"11451329940",445.71,"1",1145132994013
34,"11451329940",1334.86,"1",1145132994013
34,"11451329940",1334.86,"1b",1145132994014
35,"11451329940",6107.43,"1b",1145132994014
35,"11451329940",6107.43,"2",1145132994015
36,"11451329940",9106.29,"2",1145132994015
36,"11451329940",9106.29,"3",1145132994016
37,"11451329940",10240.0,"3",1145132994016
37,"11451329940",10240.0,"4",1145132994017
38,"11451329940",6875.43,"4",1145132994017
39,"11451329940",5266.29,"4",1145132994017
40,"11451329940",2779.43,"4",1145132994017
40,"11451329940",2779.43,"3",1145132994018
41,"11451329940",1828.57,"3",1145132994018
41,"11451329940",1828.57,"4",1145132994019
42,"11451329940",1316.57,"4",1145132994019
43,"11451329940",987.43,"4",1145132994019
43,"11451329940",987.43,"3",1145132994020
44,"11451329940",1462.86,"3",1145132994020
45,"11451329940",1718.86,"3",1145132994020
45,"11451329940",1718.86,"2",1145132994021
46,"11451329940",2450.29,"2",1145132994021
46,"11451329940",2450.29,"3",1145132994022
47,"11451329940",3474.29,"3",1145132994022
47,"11451329940",3474.29,"4",1145132994023
48,"11451329940",3218.29,"4",1145132994023
49,"11451329940",2121.14,"4",1145132994023
49,"11451329940",2121.14,"3",1145132994024
50,"11451329940",1828.57,"3",1145132994024
50,"11451329940",1828.57,"4",1145132994025
51,"11451329940",1462.86,"4",1145132994025
52,"11451329940",914.29,"4",1145132994025
52,"11451329940",914.29,"3",1145132994026
53,"11451329940",1572.57,"3",1145132994026
53,"11451329940",1572.57,"4",1145132994027
54,"11451329940",1609.14,"4",1145132994027
55,"11451329940",1426.29,"4",1145132994027
55,"11451329940",1426.29,"3",1145132994028
56,"11451329940",987.43,"3",1145132994028
57,"11451329940",1572.57,"3",1145132994028
57,"11451329940",1572.57,"4",1145132994029
58,"11451329940",1718.86,"4",1145132994029
59,"11451329940",658.29,"4",1145132994029
59,"11451329940",658.29,"3",1145132994030
60,"11451329940",466.29,"3",1145132994030
60,"11451329940",466.29,"4",1145132994031
61,"11451329940",320.0,"4",1145132994031
62,"11451329940",237.71,"4",1145132994031
62,"11451329940",237.71,"3",1145132994032
63,"11451329940",150.86,"3",1145132994032
64,"11451329940",171.43,"3",1145132994032
64,"11451329940",171.43,"2",1145132994033
65,"11451329940",212.57,"2",1145132994033
66,"11451329940",352.0,"2",1145132994033
66,"11451329940",352.0,"1b",1145132994034
67,"11451329940",1042.29,"1b",1145132994034
67,"11451329940",1042.29,"1",1145132994035
68,"11451329940",3172.57,"1",1145132994035
68,"11451329940",3172.57,"1b",1145132994036
69,"11451329940",7277.71,"1b",1145132994036
69,"11451329940",7277.71,"3",1145132994037
70,"11451329940",6144.0,"3",1145132994037
70,"11451329940",6144.0,"4",1145132994038
71,"11451329940",4096.0,"4",1145132994038
72,"11451329940",3510.86,"4",1145132994038
72,"11451329940",3510.86,"3",1145132994039
73,"11451329940",4169.14,"3",1145132994039
73,"11451329940",4169.14,"4",1145132994040
74,"11451329940",2084.57,"4",1145132994040
75,"11451329940",1060.57,"4",1145132994040
75,"11451329940",1060.57,"3",1145132994041
76,"11451329940",1243.43,"3",1145132994041
77,"11451329940",2121.14,"3",1145132994041
77,"11451329940",2121.14,"2",1145132994042
78,"11451329940",3218.29,"2",1145132994042
78,"11451329940",3218.29,"3",1145132994043
79,"11451329940",3730.29,"3",1145132994043
79,"11451329940",3730.29,"4",1145132994044
80,"11451329940",2560.0,"4",1145132994044
81,"11451329940",1718.86,"4",1145132994044
81,"11451329940",1718.86,"1",1145133352545
0,"11451333525",0.0,"1",1145133352545
1,"11451333525",0.0,"1",1145133352545
2,"11451333525",0.14,"1",1145133352545
3,"11451333525",0.71,"1",1145133352545
4,"11451333525",4.71,"1",1145133352545
4,"11451333525",4.71,"1b",1145133352546
5,"11451333525",27.43,"1b",1145133352546
5,"11451333525",27.43,"3",1145133352547
6,"11451333525",30.43,"3",1145133352547
7,"11451333525",57.14,"3",1145133352547
7,"11451333525",57.14,"4",1145133352548
8,"11451333525",45.14,"4",1145133352548
9,"11451333525",26.86,"4",1145133352548
10,"11451333525",26.29,"4",1145133352548
10,"11451333525",26.29,"3",1145133352549
11,"11451333525",30.29,"3",1145133352549
12,"11451333525",33.14,"3",1145133352549
13,"11451333525",69.14,"3",1145133352549
13,"11451333525",69.14,"4",1145133352550
14,"11451333525",106.86,"4",1145133352550
15,"11451333525",70.86,"4",1145133352550
16,"11451333525",34.29,"4",1145133352550
17,"11451333525",14.86,"4",1145133352550
17,"11451333525",14.86,"3",1145133352551
18,"11451333525",9.43,"3",1145133352551
19,"11451333525",6.43,"3",1145133352551
19,"11451333525",6.43,"2",1145133352552
20,"11451333525",6.43,"2",1145133352552
21,"11451333525",12.71,"2",1145133352552
21,"11451333525",12.71,"1b",1145133352553
22,"11451333525",24.43,"1b",1145133352553
23,"11451333525",44.0,"1b",1145133352553
23,"11451333525",44.0,"1",1145133352554
24,"11451333525",132.0,"1",1145133352554
24,"11451333525",132.0,"2",1145133352555
25,"11451333525",409.14,"2",1145133352555
25,"11451333525",409.14,"4",1145133352556
26,"11451333525",457.14,"4",1145133352556
27,"11451333525",228.57,"4",1145133352556
28,"11451333525",210.29,"4",1145133352556
29,"11451333525",107.43,"4",1145133352556
29,"11451333525",107.43,"3",1145133352557
30,"11451333525",123.43,"3",1145133352557
31,"11451333525",169.14,"3",1145133352557
31,"11451333525",169.14,"2",1145133352558
32,"11451333525",354.29,"2",1145133352558
33,"11451333525",548.57,"2",1145133352558
34,"11451333525",969.14,"2",1145133352558
