"wk","tr","nc","stg","id"
0,"3491030464",0.0,"1",34910304641
1,"3491030464",0.0,"1",34910304641
2,"3491030464",0.0,"1",34910304641
3,"3491030464",0.0,"1",34910304641
4,"3491030464",0.0,"1",34910304641
5,"3491030464",0.0,"1",34910304641
6,"3491030464",0.0,"1",34910304641
7,"3491030464",0.0,"1",34910304641
8,"3491030464",0.0,"1",34910304641
9,"3491030464",0.14,"1",34910304641
10,"3491030464",2.0,"1",34910304641
10,"3491030464",2.0,"1b",34910304642
11,"3491030464",6.86,"1b",34910304642
11,"3491030464",6.86,"2",34910304643
12,"3491030464",11.43,"2",34910304643
12,"3491030464",11.43,"3",34910304644
13,"3491030464",20.57,"3",34910304644
14,"3491030464",25.71,"3",34910304644
15,"3491030464",27.43,"3",34910304644
15,"3491030464",27.43,"2",34910304645
16,"3491030464",40.57,"2",34910304645
17,"3491030464",72.57,"2",34910304645
17,"3491030464",72.57,"3",34910304646
18,"3491030464",72.57,"3",34910304646
18,"3491030464",72.57,"4",34910304647
19,"3491030464",41.14,"4",34910304647
20,"3491030464",13.71,"4",34910304647
21,"3491030464",5.29,"4",34910304647
21,"3491030464",5.29,"3",34910304648
22,"3491030464",2.71,"3",34910304648
23,"3491030464",1.29,"3",34910304648
23,"3491030464",1.29,"2",34910304649
24,"3491030464",2.14,"2",34910304649
25,"3491030464",3.57,"2",34910304649
25,"3491030464",3.57,"1b",349103046410
26,"3491030464",3.71,"1b",349103046410
27,"3491030464",6.86,"1b",349103046410
27,"3491030464",6.86,"1",349103046411
28,"3491030464",10.29,"1",349103046411
29,"3491030464",18.29,"1",349103046411
30,"3491030464",40.86,"1",349103046411
31,"3491030464",87.43,"1",349103046411
32,"3491030464",229.71,"1",349103046411
33,"3491030464",452.57,"1",349103046411
33,"3491030464",452.57,"1b",349103046412
34,"3491030464",978.29,"1b",349103046412
34,"3491030464",978.29,"2",349103046413
35,"3491030464",1225.14,"2",349103046413
35,"3491030464",1225.14,"4",349103046414
36,"3491030464",1097.14,"4",349103046414
37,"3491030464",658.29,"4",349103046414
38,"3491030464",658.29,"4",349103046414
39,"3491030464",146.29,"4",349103046414
40,"3491030464",98.29,"4",349103046414
41,"3491030464",66.29,"4",349103046414
41,"3491030464",66.29,"3",349103046415
42,"3491030464",38.86,"3",349103046415
43,"3491030464",19.43,"3",349103046415
43,"3491030464",19.43,"2",349103046416
44,"3491030464",15.43,"2",349103046416
45,"3491030464",14.43,"2",349103046416
45,"3491030464",14.43,"1b",349103046417
46,"3491030464",12.86,"1b",349103046417
47,"3491030464",13.14,"1b",349103046417
47,"3491030464",13.14,"1",349103046418
48,"3491030464",16.0,"1",349103046418
49,"3491030464",25.86,"1",349103046418
50,"3491030464",55.43,"1",349103046418
51,"3491030464",113.14,"1",349103046418
52,"3491030464",212.57,"1",349103046418
53,"3491030464",681.14,"1",349103046418
53,"3491030464",681.14,"2",349103046419
54,"3491030464",877.71,"2",349103046419
54,"3491030464",877.71,"4",349103046420
55,"3491030464",713.14,"4",349103046420
56,"3491030464",356.57,"4",349103046420
57,"3491030464",256.0,"4",349103046420
58,"3491030464",112.0,"4",349103046420
59,"3491030464",70.86,"4",349103046420
59,"3491030464",70.86,"3",349103046421
60,"3491030464",32.0,"3",349103046421
61,"3491030464",21.71,"3",349103046421
61,"3491030464",21.71,"2",349103046422
62,"3491030464",24.0,"2",349103046422
63,"3491030464",22.86,"2",349103046422
63,"3491030464",22.86,"1b",349103046423
64,"3491030464",25.71,"1b",349103046423
65,"3491030464",40.57,"1b",349103046423
65,"3491030464",40.57,"1",349103046424
