"wk","tr","nc","stg","id"
0,"3301030464",0.0,"1",33010304641
1,"3301030464",0.0,"1",33010304641
2,"3301030464",0.0,"1",33010304641
3,"3301030464",0.0,"1",33010304641
4,"3301030464",0.0,"1",33010304641
5,"3301030464",0.0,"1",33010304641
6,"3301030464",0.0,"1",33010304641
7,"3301030464",0.0,"1",33010304641
8,"3301030464",0.0,"1",33010304641
9,"3301030464",0.14,"1",33010304641
10,"3301030464",0.86,"1",33010304641
11,"3301030464",5.57,"1",33010304641
11,"3301030464",5.57,"2",33010304642
12,"3301030464",13.71,"2",33010304642
12,"3301030464",13.71,"3",33010304643
13,"3301030464",17.71,"3",33010304643
14,"3301030464",16.14,"3",33010304643
14,"3301030464",16.14,"2",33010304644
15,"3301030464",19.43,"2",33010304644
16,"3301030464",24.0,"2",33010304644
16,"3301030464",24.0,"1b",33010304645
17,"3301030464",40.0,"1b",33010304645
18,"3301030464",78.29,"1b",33010304645
18,"3301030464",78.29,"2",33010304646
19,"3301030464",68.57,"2",33010304646
19,"3301030464",68.57,"3",33010304647
20,"3301030464",34.29,"3",33010304647
20,"3301030464",34.29,"4",33010304648
21,"3301030464",25.14,"4",33010304648
22,"3301030464",8.57,"4",33010304648
22,"3301030464",8.57,"3",33010304649
23,"3301030464",4.43,"3",33010304649
24,"3301030464",2.86,"3",33010304649
24,"3301030464",2.86,"2",330103046410
25,"3301030464",2.86,"2",330103046410
26,"3301030464",3.14,"2",330103046410
26,"3301030464",3.14,"1b",330103046411
27,"3301030464",2.29,"1b",330103046411
28,"3301030464",3.14,"1b",330103046411
28,"3301030464",3.14,"1",330103046412
29,"3301030464",7.43,"1",330103046412
30,"3301030464",19.86,"1",330103046412
31,"3301030464",26.29,"1",330103046412
32,"3301030464",20.0,"1",330103046412
33,"3301030464",50.86,"1",330103046412
34,"3301030464",95.43,"1",330103046412
35,"3301030464",155.43,"1",330103046412
36,"3301030464",253.71,"1",330103046412
37,"3301030464",601.14,"1",330103046412
37,"3301030464",601.14,"1b",330103046413
38,"3301030464",1088.0,"1b",330103046413
38,"3301030464",1088.0,"3",330103046414
39,"3301030464",1636.57,"3",330103046414
39,"3301030464",1636.57,"4",330103046415
40,"3301030464",548.57,"4",330103046415
41,"3301030464",347.43,"4",330103046415
42,"3301030464",77.71,"4",330103046415
43,"3301030464",64.0,"4",330103046415
43,"3301030464",64.0,"3",330103046416
44,"3301030464",38.86,"3",330103046416
45,"3301030464",12.57,"3",330103046416
45,"3301030464",12.57,"2",330103046417
46,"3301030464",8.57,"2",330103046417
47,"3301030464",9.14,"2",330103046417
47,"3301030464",9.14,"1b",330103046418
48,"3301030464",6.43,"1b",330103046418
49,"3301030464",8.14,"1b",330103046418
49,"3301030464",8.14,"1",330103046419
50,"3301030464",10.57,"1",330103046419
51,"3301030464",15.57,"1",330103046419
52,"3301030464",25.43,"1",330103046419
53,"3301030464",61.71,"1",330103046419
54,"3301030464",106.86,"1",330103046419
55,"3301030464",281.14,"1",330103046419
56,"3301030464",505.14,"1",330103046419
56,"3301030464",505.14,"2",330103046420
57,"3301030464",630.86,"2",330103046420
57,"3301030464",630.86,"3",330103046421
58,"3301030464",694.86,"3",330103046421
58,"3301030464",694.86,"4",330103046422
59,"3301030464",402.29,"4",330103046422
60,"3301030464",146.29,"4",330103046422
61,"3301030464",166.86,"4",330103046422
62,"3301030464",70.86,"4",330103046422
62,"3301030464",70.86,"3",330103046423
63,"3301030464",36.57,"3",330103046423
