"wk","tr","nc","stg","id"
0,"10221329940",0.0,"1",102213299401
1,"10221329940",0.0,"1",102213299401
2,"10221329940",0.0,"1",102213299401
3,"10221329940",0.14,"1",102213299401
4,"10221329940",1.0,"1",102213299401
4,"10221329940",1.0,"1b",102213299402
5,"10221329940",1.29,"1b",102213299402
5,"10221329940",1.29,"2",102213299403
6,"10221329940",0.57,"2",102213299403
7,"10221329940",0.14,"2",102213299403
7,"10221329940",0.14,"1b",102213299404
8,"10221329940",0.29,"1b",102213299404
9,"10221329940",0.29,"1b",102213299404
9,"10221329940",0.29,"1",102213299405
10,"10221329940",1.29,"1",102213299405
10,"10221329940",1.29,"1b",102213299406
11,"10221329940",0.57,"1b",102213299406
11,"10221329940",0.57,"2",102213299407
12,"10221329940",2.0,"2",102213299407
13,"10221329940",3.57,"2",102213299407
14,"10221329940",2.0,"2",102213299407
15,"10221329940",3.14,"2",102213299407
15,"10221329940",3.14,"1b",102213299408
16,"10221329940",6.43,"1b",102213299408
17,"10221329940",4.14,"1b",102213299408
17,"10221329940",4.14,"1",102213299409
18,"10221329940",9.14,"1",102213299409
19,"10221329940",11.14,"1",102213299409
20,"10221329940",22.14,"1",102213299409
21,"10221329940",30.14,"1",102213299409
22,"10221329940",55.43,"1",102213299409
23,"10221329940",93.71,"1",102213299409
23,"10221329940",93.71,"1b",1022132994010
24,"10221329940",41.14,"1b",1022132994010
25,"10221329940",29.71,"1b",1022132994010
25,"10221329940",29.71,"1",1022132994011
26,"10221329940",33.71,"1",1022132994011
27,"10221329940",33.14,"1",1022132994011
28,"10221329940",76.57,"1",1022132994011
29,"10221329940",103.43,"1",1022132994011
30,"10221329940",221.71,"1",1022132994011
31,"10221329940",322.29,"1",1022132994011
32,"10221329940",416.0,"1",1022132994011
33,"10221329940",192.0,"1",1022132994011
34,"10221329940",210.29,"1",1022132994011
35,"10221329940",363.43,"1",1022132994011
36,"10221329940",539.43,"1",1022132994011
37,"10221329940",896.0,"1",1022132994011
38,"10221329940",1417.14,"1",1022132994011
38,"10221329940",1417.14,"1b",1022132994012
39,"10221329940",841.14,"1b",1022132994012
40,"10221329940",1097.14,"1b",1022132994012
40,"10221329940",1097.14,"1",1022132994013
41,"10221329940",1865.14,"1",1022132994013
42,"10221329940",2304.0,"1",1022132994013
42,"10221329940",2304.0,"1b",1022132994014
43,"10221329940",1572.57,"1b",1022132994014
43,"10221329940",1572.57,"2",1022132994015
44,"10221329940",1426.29,"2",1022132994015
44,"10221329940",1426.29,"3",1022132994016
45,"10221329940",356.57,"3",1022132994016
45,"10221329940",356.57,"4",1022132994017
46,"10221329940",219.43,"4",1022132994017
47,"10221329940",61.71,"4",1022132994017
47,"10221329940",61.71,"3",1022132994018
48,"10221329940",56.0,"3",1022132994018
49,"10221329940",54.86,"3",1022132994018
49,"10221329940",54.86,"2",1022132994019
50,"10221329940",84.0,"2",1022132994019
51,"10221329940",84.57,"2",1022132994019
51,"10221329940",84.57,"1",1022132994020
52,"10221329940",68.57,"1",1022132994020
53,"10221329940",50.29,"1",1022132994020
54,"10221329940",64.0,"1",1022132994020
55,"10221329940",83.43,"1",1022132994020
56,"10221329940",73.14,"1",1022132994020
57,"10221329940",99.43,"1",1022132994020
58,"10221329940",98.29,"1",1022132994020
59,"10221329940",178.29,"1",1022132994020
60,"10221329940",180.57,"1",1022132994020
61,"10221329940",267.43,"1",1022132994020
62,"10221329940",269.71,"1",1022132994020
63,"10221329940",395.43,"1",1022132994020
64,"10221329940",566.86,"1",1022132994020
65,"10221329940",1408.0,"1",1022132994020
66,"10221329940",2075.43,"1",1022132994020
66,"10221329940",2075.43,"1b",1022132994021
67,"10221329940",1718.86,"1b",1022132994021
68,"10221329940",1828.57,"1b",1022132994021
68,"10221329940",1828.57,"2",1022132994022
69,"10221329940",1280.0,"2",1022132994022
69,"10221329940",1280.0,"3",1022132994023
70,"10221329940",896.0,"3",1022132994023
70,"10221329940",896.0,"4",1022132994024
71,"10221329940",237.71,"4",1022132994024
72,"10221329940",128.0,"4",1022132994024
72,"10221329940",128.0,"3",1022132994025
73,"10221329940",80.0,"3",1022132994025
74,"10221329940",68.57,"3",1022132994025
74,"10221329940",68.57,"2",1022132994026
75,"10221329940",84.57,"2",1022132994026
76,"10221329940",153.14,"2",1022132994026
76,"10221329940",153.14,"1",1022132994027
77,"10221329940",176.0,"1",1022132994027
78,"10221329940",283.43,"1",1022132994027
79,"10221329940",523.43,"1",1022132994027
80,"10221329940",667.43,"1",1022132994027
81,"10221329940",1097.14,"1",1022132994027
81,"10221329940",1097.14,"1",1022133352527
0,"10221333525",0.0,"1",1022133352527
1,"10221333525",0.0,"1",1022133352527
2,"10221333525",0.14,"1",1022133352527
3,"10221333525",0.43,"1",1022133352527
4,"10221333525",1.0,"1",1022133352527
4,"10221333525",1.0,"1b",1022133352528
5,"10221333525",1.14,"1b",1022133352528
5,"10221333525",1.14,"2",1022133352529
6,"10221333525",0.14,"2",1022133352529
7,"10221333525",0.14,"2",1022133352529
7,"10221333525",0.14,"1b",1022133352530
8,"10221333525",0.14,"1b",1022133352530
9,"10221333525",0.0,"1b",1022133352530
9,"10221333525",0.0,"1",1022133352531
10,"10221333525",0.0,"1",1022133352531
11,"10221333525",0.0,"1",1022133352531
12,"10221333525",0.14,"1",1022133352531
