"wk","tr","nc","stg","id"
0,"2141030464",0.0,"1",21410304641
1,"2141030464",0.0,"1",21410304641
2,"2141030464",0.0,"1",21410304641
3,"2141030464",0.0,"1",21410304641
4,"2141030464",0.0,"1",21410304641
5,"2141030464",0.0,"1",21410304641
6,"2141030464",0.0,"1",21410304641
7,"2141030464",0.0,"1",21410304641
8,"2141030464",0.0,"1",21410304641
9,"2141030464",0.14,"1",21410304641
10,"2141030464",0.14,"1",21410304641
11,"2141030464",0.14,"1",21410304641
11,"2141030464",0.14,"1b",21410304642
12,"2141030464",0.0,"1b",21410304642
13,"2141030464",0.0,"1b",21410304642
13,"2141030464",0.0,"1",21410304643
14,"2141030464",0.0,"1",21410304643
15,"2141030464",0.0,"1",21410304643
16,"2141030464",0.0,"1",21410304643
17,"2141030464",0.0,"1",21410304643
18,"2141030464",0.0,"1",21410304643
19,"2141030464",0.14,"1",21410304643
20,"2141030464",0.0,"1",21410304643
21,"2141030464",0.0,"1",21410304643
22,"2141030464",0.14,"1",21410304643
23,"2141030464",0.0,"1",21410304643
24,"2141030464",0.0,"1",21410304643
25,"2141030464",0.0,"1",21410304643
26,"2141030464",0.0,"1",21410304643
27,"2141030464",0.0,"1",21410304643
28,"2141030464",0.0,"1",21410304643
29,"2141030464",0.0,"1",21410304643
30,"2141030464",1.14,"1",21410304643
31,"2141030464",3.86,"1",21410304643
32,"2141030464",7.86,"1",21410304643
33,"2141030464",11.14,"1",21410304643
34,"2141030464",13.29,"1",21410304643
35,"2141030464",14.29,"1",21410304643
36,"2141030464",18.0,"1",21410304643
37,"2141030464",13.71,"1",21410304643
38,"2141030464",17.14,"1",21410304643
39,"2141030464",30.86,"1",21410304643
40,"2141030464",37.14,"1",21410304643
41,"2141030464",40.57,"1",21410304643
42,"2141030464",58.29,"1",21410304643
43,"2141030464",63.43,"1",21410304643
44,"2141030464",60.57,"1",21410304643
45,"2141030464",59.43,"1",21410304643
46,"2141030464",70.86,"1",21410304643
47,"2141030464",57.14,"1",21410304643
48,"2141030464",59.43,"1",21410304643
49,"2141030464",70.86,"1",21410304643
50,"2141030464",26.86,"1",21410304643
51,"2141030464",18.29,"1",21410304643
52,"2141030464",23.43,"1",21410304643
53,"2141030464",16.57,"1",21410304643
54,"2141030464",13.71,"1",21410304643
55,"2141030464",15.43,"1",21410304643
56,"2141030464",24.57,"1",21410304643
57,"2141030464",29.71,"1",21410304643
58,"2141030464",28.0,"1",21410304643
59,"2141030464",17.71,"1",21410304643
60,"2141030464",22.86,"1",21410304643
61,"2141030464",34.29,"1",21410304643
62,"2141030464",36.0,"1",21410304643
63,"2141030464",61.14,"1",21410304643
64,"2141030464",57.71,"1",21410304643
65,"2141030464",39.43,"1",21410304643
66,"2141030464",42.29,"1",21410304643
67,"2141030464",41.71,"1",21410304643
68,"2141030464",36.0,"1",21410304643
69,"2141030464",37.14,"1",21410304643
70,"2141030464",36.57,"1",21410304643
71,"2141030464",44.57,"1",21410304643
72,"2141030464",53.71,"1",21410304643
73,"2141030464",65.14,"1",21410304643
74,"2141030464",56.0,"1",21410304643
75,"2141030464",55.43,"1",21410304643
76,"2141030464",61.14,"1",21410304643
77,"2141030464",74.29,"1",21410304643
78,"2141030464",83.43,"1",21410304643
79,"2141030464",68.57,"1",21410304643
80,"2141030464",150.86,"1",21410304643
81,"2141030464",230.86,"1",21410304643
81,"2141030464",230.86,"1",21411497113
0,"2141149711",0.0,"1",21411497113
1,"2141149711",0.0,"1",21411497113
2,"2141149711",0.14,"1",21411497113
3,"2141149711",0.43,"1",21411497113
3,"2141149711",0.43,"1b",21411497114
4,"2141149711",0.86,"1b",21411497114
4,"2141149711",0.86,"2",21411497115
5,"2141149711",1.71,"2",21411497115
6,"2141149711",2.57,"2",21411497115
7,"2141149711",0.86,"2",21411497115
7,"2141149711",0.86,"1b",21411497116
8,"2141149711",0.71,"1b",21411497116
9,"2141149711",2.86,"1b",21411497116
9,"2141149711",2.86,"2",21411497117
10,"2141149711",4.71,"2",21411497117
11,"2141149711",4.14,"2",21411497117
12,"2141149711",5.14,"2",21411497117
13,"2141149711",5.86,"2",21411497117
14,"2141149711",7.29,"2",21411497117
14,"2141149711",7.29,"1b",21411497118
15,"2141149711",6.29,"1b",21411497118
16,"2141149711",5.86,"1b",21411497118
16,"2141149711",5.86,"1",21411497119
17,"2141149711",7.71,"1",21411497119
18,"2141149711",6.14,"1",21411497119
19,"2141149711",4.43,"1",21411497119
20,"2141149711",3.43,"1",21411497119
21,"2141149711",3.0,"1",21411497119
22,"2141149711",7.0,"1",21411497119
23,"2141149711",5.29,"1",21411497119
24,"2141149711",2.43,"1",21411497119
25,"2141149711",2.14,"1",21411497119
26,"2141149711",1.29,"1",21411497119
27,"2141149711",0.29,"1",21411497119
28,"2141149711",0.14,"1",21411497119
29,"2141149711",0.14,"1",21411497119
30,"2141149711",1.57,"1",21411497119
