"wk","tr","nc","stg","id"
0,"6711329940",0.0,"1",67113299401
1,"6711329940",0.0,"1",67113299401
2,"6711329940",0.0,"1",67113299401
3,"6711329940",0.14,"1",67113299401
4,"6711329940",0.71,"1",67113299401
5,"6711329940",1.0,"1",67113299401
5,"6711329940",1.0,"1b",67113299402
6,"6711329940",3.14,"1b",67113299402
6,"6711329940",3.14,"2",67113299403
7,"6711329940",5.57,"2",67113299403
8,"6711329940",14.71,"2",67113299403
9,"6711329940",30.43,"2",67113299403
9,"6711329940",30.43,"3",67113299404
10,"6711329940",29.71,"3",67113299404
11,"6711329940",29.14,"3",67113299404
11,"6711329940",29.14,"4",67113299405
12,"6711329940",16.57,"4",67113299405
13,"6711329940",9.71,"4",67113299405
13,"6711329940",9.71,"3",67113299406
14,"6711329940",8.0,"3",67113299406
15,"6711329940",6.0,"3",67113299406
15,"6711329940",6.0,"2",67113299407
16,"6711329940",8.86,"2",67113299407
17,"6711329940",6.0,"2",67113299407
17,"6711329940",6.0,"3",67113299408
18,"6711329940",5.0,"3",67113299408
19,"6711329940",2.0,"3",67113299408
19,"6711329940",2.0,"2",67113299409
20,"6711329940",1.86,"2",67113299409
21,"6711329940",1.43,"2",67113299409
21,"6711329940",1.43,"1b",671132994010
22,"6711329940",5.71,"1b",671132994010
22,"6711329940",5.71,"2",671132994011
23,"6711329940",11.29,"2",671132994011
23,"6711329940",11.29,"3",671132994012
24,"6711329940",8.57,"3",671132994012
25,"6711329940",2.71,"3",671132994012
25,"6711329940",2.71,"2",671132994013
26,"6711329940",2.0,"2",671132994013
27,"6711329940",1.14,"2",671132994013
28,"6711329940",1.0,"2",671132994013
29,"6711329940",1.14,"2",671132994013
30,"6711329940",3.0,"2",671132994013
30,"6711329940",3.0,"1b",671132994014
31,"6711329940",5.43,"1b",671132994014
32,"6711329940",9.43,"1b",671132994014
32,"6711329940",9.43,"1",671132994015
33,"6711329940",19.71,"1",671132994015
34,"6711329940",41.29,"1",671132994015
35,"6711329940",66.86,"1",671132994015
36,"6711329940",112.57,"1",671132994015
36,"6711329940",112.57,"2",671132994016
37,"6711329940",86.86,"2",671132994016
37,"6711329940",86.86,"4",671132994017
38,"6711329940",73.14,"4",671132994017
39,"6711329940",24.0,"4",671132994017
40,"6711329940",13.14,"4",671132994017
40,"6711329940",13.14,"3",671132994018
41,"6711329940",7.86,"3",671132994018
42,"6711329940",3.71,"3",671132994018
42,"6711329940",3.71,"2",671132994019
43,"6711329940",2.71,"2",671132994019
44,"6711329940",5.43,"2",671132994019
44,"6711329940",5.43,"1b",671132994020
45,"6711329940",6.43,"1b",671132994020
46,"6711329940",13.57,"1b",671132994020
46,"6711329940",13.57,"1",671132994021
47,"6711329940",21.43,"1",671132994021
48,"6711329940",39.57,"1",671132994021
49,"6711329940",88.57,"1",671132994021
49,"6711329940",88.57,"1b",671132994022
50,"6711329940",151.43,"1b",671132994022
50,"6711329940",151.43,"3",671132994023
51,"6711329940",109.71,"3",671132994023
51,"6711329940",109.71,"4",671132994024
52,"6711329940",30.86,"4",671132994024
53,"6711329940",16.0,"4",671132994024
54,"6711329940",7.14,"4",671132994024
54,"6711329940",7.14,"3",671132994025
55,"6711329940",2.71,"3",671132994025
56,"6711329940",2.29,"3",671132994025
56,"6711329940",2.29,"2",671132994026
57,"6711329940",2.86,"2",671132994026
58,"6711329940",3.0,"2",671132994026
58,"6711329940",3.0,"1b",671132994027
59,"6711329940",5.43,"1b",671132994027
60,"6711329940",12.71,"1b",671132994027
60,"6711329940",12.71,"1",671132994028
61,"6711329940",27.86,"1",671132994028
62,"6711329940",22.86,"1",671132994028
63,"6711329940",57.71,"1",671132994028
63,"6711329940",57.71,"1b",671132994029
64,"6711329940",81.71,"1b",671132994029
64,"6711329940",81.71,"2",671132994030
65,"6711329940",74.29,"2",671132994030
65,"6711329940",74.29,"3",671132994031
66,"6711329940",38.86,"3",671132994031
66,"6711329940",38.86,"4",671132994032
67,"6711329940",15.43,"4",671132994032
68,"6711329940",6.86,"4",671132994032
68,"6711329940",6.86,"3",671132994033
69,"6711329940",3.86,"3",671132994033
70,"6711329940",5.14,"3",671132994033
70,"6711329940",5.14,"2",671132994034
71,"6711329940",5.43,"2",671132994034
72,"6711329940",5.57,"2",671132994034
72,"6711329940",5.57,"1b",671132994035
73,"6711329940",9.86,"1b",671132994035
74,"6711329940",12.43,"1b",671132994035
74,"6711329940",12.43,"1",671132994036
75,"6711329940",28.86,"1",671132994036
76,"6711329940",25.14,"1",671132994036
77,"6711329940",45.71,"1",671132994036
78,"6711329940",80.0,"1",671132994036
78,"6711329940",80.0,"1b",671132994037
79,"6711329940",92.57,"1b",671132994037
79,"6711329940",92.57,"3",671132994038
80,"6711329940",38.86,"3",671132994038
80,"6711329940",38.86,"4",671132994039
81,"6711329940",12.0,"4",671132994039
81,"6711329940",12.0,"1",671133352540
0,"6711333525",0.0,"1",671133352540
1,"6711333525",0.0,"1",671133352540
2,"6711333525",0.43,"1",671133352540
3,"6711333525",4.0,"1",671133352540
3,"6711333525",4.0,"1b",671133352541
4,"6711333525",9.71,"1b",671133352541
4,"6711333525",9.71,"3",671133352542
5,"6711333525",11.86,"3",671133352542
6,"6711333525",22.29,"3",671133352542
7,"6711333525",34.29,"3",671133352542
8,"6711333525",42.29,"3",671133352542
8,"6711333525",42.29,"4",671133352543
9,"6711333525",43.43,"4",671133352543
10,"6711333525",28.57,"4",671133352543
11,"6711333525",24.57,"4",671133352543
11,"6711333525",24.57,"3",671133352544
12,"6711333525",31.43,"3",671133352544
13,"6711333525",50.86,"3",671133352544
14,"6711333525",62.29,"3",671133352544
14,"6711333525",62.29,"4",671133352545
15,"6711333525",66.86,"4",671133352545
16,"6711333525",36.0,"4",671133352545
17,"6711333525",22.29,"4",671133352545
