"wk","tr","nc","stg","id"
0,"10311329940",0.0,"1",103113299401
1,"10311329940",0.0,"1",103113299401
2,"10311329940",0.0,"1",103113299401
3,"10311329940",1.29,"1",103113299401
4,"10311329940",2.57,"1",103113299401
4,"10311329940",2.57,"2",103113299402
5,"10311329940",4.14,"2",103113299402
6,"10311329940",4.86,"2",103113299402
7,"10311329940",9.0,"2",103113299402
8,"10311329940",10.43,"2",103113299402
8,"10311329940",10.43,"3",103113299403
9,"10311329940",10.14,"3",103113299403
10,"10311329940",10.86,"3",103113299403
11,"10311329940",15.71,"3",103113299403
12,"10311329940",15.43,"3",103113299403
13,"10311329940",14.71,"3",103113299403
14,"10311329940",20.57,"3",103113299403
14,"10311329940",20.57,"2",103113299404
15,"10311329940",29.14,"2",103113299404
16,"10311329940",46.86,"2",103113299404
16,"10311329940",46.86,"1b",103113299405
17,"10311329940",91.43,"1b",103113299405
17,"10311329940",91.43,"3",103113299406
18,"10311329940",38.86,"3",103113299406
18,"10311329940",38.86,"4",103113299407
19,"10311329940",41.14,"4",103113299407
20,"10311329940",13.71,"4",103113299407
20,"10311329940",13.71,"3",103113299408
21,"10311329940",7.43,"3",103113299408
22,"10311329940",3.86,"3",103113299408
22,"10311329940",3.86,"2",103113299409
23,"10311329940",0.71,"2",103113299409
24,"10311329940",0.43,"2",103113299409
24,"10311329940",0.43,"1b",1031132994010
25,"10311329940",0.29,"1b",1031132994010
26,"10311329940",0.43,"1b",1031132994010
26,"10311329940",0.43,"1",1031132994011
27,"10311329940",0.0,"1",1031132994011
28,"10311329940",0.14,"1",1031132994011
29,"10311329940",0.0,"1",1031132994011
30,"10311329940",0.14,"1",1031132994011
31,"10311329940",0.43,"1",1031132994011
32,"10311329940",0.43,"1",1031132994011
33,"10311329940",0.57,"1",1031132994011
34,"10311329940",1.14,"1",1031132994011
35,"10311329940",1.86,"1",1031132994011
36,"10311329940",3.71,"1",1031132994011
37,"10311329940",7.71,"1",1031132994011
38,"10311329940",9.0,"1",1031132994011
39,"10311329940",19.43,"1",1031132994011
40,"10311329940",56.57,"1",1031132994011
41,"10311329940",82.29,"1",1031132994011
42,"10311329940",142.86,"1",1031132994011
43,"10311329940",306.29,"1",1031132994011
44,"10311329940",544.0,"1",1031132994011
45,"10311329940",813.71,"1",1031132994011
46,"10311329940",1682.29,"1",1031132994011
46,"10311329940",1682.29,"1b",1031132994012
47,"10311329940",3547.43,"1b",1031132994012
47,"10311329940",3547.43,"2",1031132994013
48,"10311329940",5485.71,"2",1031132994013
48,"10311329940",5485.71,"3",1031132994014
49,"10311329940",3986.29,"3",1031132994014
49,"10311329940",3986.29,"4",1031132994015
50,"10311329940",2048.0,"4",1031132994015
51,"10311329940",1280.0,"4",1031132994015
51,"10311329940",1280.0,"3",1031132994016
52,"10311329940",530.29,"3",1031132994016
