"wk","tr","nc","stg","id"
0,"361030464",0.0,"1",3610304641
1,"361030464",0.0,"1",3610304641
2,"361030464",0.0,"1",3610304641
3,"361030464",0.0,"1",3610304641
4,"361030464",0.0,"1",3610304641
5,"361030464",0.0,"1",3610304641
6,"361030464",0.0,"1",3610304641
7,"361030464",0.0,"1",3610304641
8,"361030464",0.0,"1",3610304641
9,"361030464",0.14,"1",3610304641
10,"361030464",0.0,"1",3610304641
11,"361030464",0.0,"1",3610304641
12,"361030464",0.0,"1",3610304641
13,"361030464",0.0,"1",3610304641
14,"361030464",0.0,"1",3610304641
15,"361030464",0.0,"1",3610304641
16,"361030464",0.0,"1",3610304641
17,"361030464",0.0,"1",3610304641
18,"361030464",0.0,"1",3610304641
19,"361030464",0.14,"1",3610304641
20,"361030464",0.0,"1",3610304641
21,"361030464",0.0,"1",3610304641
22,"361030464",0.14,"1",3610304641
23,"361030464",0.14,"1",3610304641
24,"361030464",0.0,"1",3610304641
25,"361030464",0.0,"1",3610304641
26,"361030464",0.0,"1",3610304641
27,"361030464",0.0,"1",3610304641
28,"361030464",0.0,"1",3610304641
29,"361030464",0.0,"1",3610304641
30,"361030464",6.43,"1",3610304641
31,"361030464",11.86,"1",3610304641
32,"361030464",20.86,"1",3610304641
33,"361030464",20.0,"1",3610304641
34,"361030464",34.86,"1",3610304641
35,"361030464",58.86,"1",3610304641
36,"361030464",62.86,"1",3610304641
36,"361030464",62.86,"1b",3610304642
37,"361030464",66.29,"1b",3610304642
37,"361030464",66.29,"2",3610304643
38,"361030464",48.0,"2",3610304643
38,"361030464",48.0,"3",3610304644
39,"361030464",29.14,"3",3610304644
40,"361030464",14.29,"3",3610304644
40,"361030464",14.29,"2",3610304645
41,"361030464",13.29,"2",3610304645
42,"361030464",13.43,"2",3610304645
42,"361030464",13.43,"1b",3610304646
43,"361030464",16.71,"1b",3610304646
44,"361030464",15.14,"1b",3610304646
44,"361030464",15.14,"1",3610304647
45,"361030464",17.0,"1",3610304647
46,"361030464",26.29,"1",3610304647
47,"361030464",40.57,"1",3610304647
48,"361030464",41.14,"1",3610304647
48,"361030464",41.14,"1b",3610304648
49,"361030464",40.57,"1b",3610304648
50,"361030464",43.43,"1b",3610304648
51,"361030464",47.43,"1b",3610304648
52,"361030464",48.57,"1b",3610304648
52,"361030464",48.57,"1",3610304649
53,"361030464",50.86,"1",3610304649
54,"361030464",57.71,"1",3610304649
55,"361030464",67.43,"1",3610304649
56,"361030464",58.29,"1",3610304649
57,"361030464",78.86,"1",3610304649
57,"361030464",78.86,"2",36103046410
58,"361030464",77.71,"2",36103046410
58,"361030464",77.71,"4",36103046411
59,"361030464",41.14,"4",36103046411
60,"361030464",11.43,"4",36103046411
61,"361030464",12.57,"4",36103046411
61,"361030464",12.57,"3",36103046412
62,"361030464",9.57,"3",36103046412
63,"361030464",9.0,"3",36103046412
63,"361030464",9.0,"2",36103046413
64,"361030464",13.0,"2",36103046413
65,"361030464",10.86,"2",36103046413
65,"361030464",10.86,"1b",36103046414
66,"361030464",15.29,"1b",36103046414
67,"361030464",18.14,"1b",36103046414
67,"361030464",18.14,"1",36103046415
68,"361030464",18.14,"1",36103046415
69,"361030464",20.57,"1",36103046415
70,"361030464",28.0,"1",36103046415
71,"361030464",38.86,"1",36103046415
72,"361030464",51.43,"1",36103046415
73,"361030464",60.0,"1",36103046415
73,"361030464",60.0,"1b",36103046416
74,"361030464",63.43,"1b",36103046416
74,"361030464",63.43,"2",36103046417
75,"361030464",44.0,"2",36103046417
75,"361030464",44.0,"3",36103046418
76,"361030464",28.57,"3",36103046418
77,"361030464",19.43,"3",36103046418
77,"361030464",19.43,"2",36103046419
78,"361030464",11.71,"2",36103046419
79,"361030464",8.86,"2",36103046419
79,"361030464",8.86,"1b",36103046420
80,"361030464",13.43,"1b",36103046420
81,"361030464",15.29,"1b",36103046420
81,"361030464",15.29,"1",36114971121
0,"361149711",0.0,"1",36114971121
1,"361149711",0.0,"1",36114971121
2,"361149711",0.29,"1",36114971121
3,"361149711",0.0,"1",36114971121
4,"361149711",0.71,"1",36114971121
5,"361149711",2.57,"1",36114971121
5,"361149711",2.57,"2",36114971122
6,"361149711",3.29,"2",36114971122
7,"361149711",2.71,"2",36114971122
7,"361149711",2.71,"1b",36114971123
8,"361149711",8.57,"1b",36114971123
8,"361149711",8.57,"2",36114971124
9,"361149711",9.86,"2",36114971124
9,"361149711",9.86,"3",36114971125
10,"361149711",9.29,"3",36114971125
11,"361149711",10.14,"3",36114971125
12,"361149711",4.57,"3",36114971125
12,"361149711",4.57,"2",36114971126
13,"361149711",2.14,"2",36114971126
14,"361149711",1.57,"2",36114971126
15,"361149711",2.0,"2",36114971126
16,"361149711",1.57,"2",36114971126
17,"361149711",0.86,"2",36114971126
18,"361149711",0.14,"2",36114971126
18,"361149711",0.14,"1b",36114971127
19,"361149711",0.29,"1b",36114971127
20,"361149711",0.0,"1b",36114971127
20,"361149711",0.0,"1",36114971128
21,"361149711",0.29,"1",36114971128
22,"361149711",0.14,"1",36114971128
23,"361149711",0.0,"1",36114971128
24,"361149711",0.0,"1",36114971128
25,"361149711",0.29,"1",36114971128
26,"361149711",0.29,"1",36114971128
27,"361149711",0.29,"1",36114971128
28,"361149711",1.43,"1",36114971128
28,"361149711",1.43,"1b",36114971129
29,"361149711",2.71,"1b",36114971129
30,"361149711",8.0,"1b",36114971129
30,"361149711",8.0,"1",36114971130
31,"361149711",9.71,"1",36114971130
32,"361149711",16.57,"1",36114971130
33,"361149711",24.0,"1",36114971130
34,"361149711",46.29,"1",36114971130
35,"361149711",72.0,"1",36114971130
36,"361149711",78.29,"1",36114971130
37,"361149711",81.14,"1",36114971130
37,"361149711",81.14,"3",36114971131
38,"361149711",41.14,"3",36114971131
38,"361149711",41.14,"4",36114971132
39,"361149711",21.71,"4",36114971132
40,"361149711",9.71,"4",36114971132
40,"361149711",9.71,"3",36114971133
41,"361149711",8.57,"3",36114971133
42,"361149711",9.57,"3",36114971133
42,"361149711",9.57,"2",36114971134
43,"361149711",9.86,"2",36114971134
44,"361149711",13.29,"2",36114971134
44,"361149711",13.29,"1b",36114971135
45,"361149711",14.43,"1b",36114971135
46,"361149711",18.71,"1b",36114971135
46,"361149711",18.71,"1",36114971136
47,"361149711",24.86,"1",36114971136
48,"361149711",21.14,"1",36114971136
49,"361149711",17.71,"1",36114971136
50,"361149711",18.86,"1",36114971136
51,"361149711",13.14,"1",36114971136
52,"361149711",21.71,"1",36114971136
53,"361149711",46.29,"1",36114971136
54,"361149711",64.0,"1",36114971136
55,"361149711",69.71,"1",36114971136
56,"361149711",63.43,"1",36114971136
56,"361149711",63.43,"1b",36114971137
57,"361149711",57.14,"1b",36114971137
57,"361149711",57.14,"2",36114971138
58,"361149711",40.57,"2",36114971138
59,"361149711",26.29,"2",36114971138
59,"361149711",26.29,"1b",36114971139
60,"361149711",28.57,"1b",36114971139
61,"361149711",24.0,"1b",36114971139
61,"361149711",24.0,"1",36114971140
62,"361149711",26.29,"1",36114971140
63,"361149711",34.29,"1",36114971140
64,"361149711",39.43,"1",36114971140
65,"361149711",53.14,"1",36114971140
66,"361149711",69.14,"1",36114971140
67,"361149711",76.57,"1",36114971140
68,"361149711",88.57,"1",36114971140
68,"361149711",88.57,"3",36114971141
69,"361149711",11.43,"3",36114971141
69,"361149711",11.43,"4",36114971142
70,"361149711",13.71,"4",36114971142
71,"361149711",8.86,"4",36114971142
71,"361149711",8.86,"3",36114971143
72,"361149711",9.14,"3",36114971143
73,"361149711",7.29,"3",36114971143
73,"361149711",7.29,"2",36114971144
74,"361149711",9.29,"2",36114971144
75,"361149711",10.0,"2",36114971144
75,"361149711",10.0,"1b",36114971145
76,"361149711",17.29,"1b",36114971145
77,"361149711",19.71,"1b",36114971145
77,"361149711",19.71,"1",36114971146
78,"361149711",28.43,"1",36114971146
79,"361149711",41.14,"1",36114971146
80,"361149711",38.86,"1",36114971146
81,"361149711",30.29,"1",36114971146
81,"361149711",30.29,"1",36116045346
0,"361160453",0.0,"1",36116045346
1,"361160453",0.0,"1",36116045346
