"wk","tr","nc","stg","id"
0,"1561030464",0.0,"1",15610304641
1,"1561030464",0.0,"1",15610304641
2,"1561030464",0.0,"1",15610304641
3,"1561030464",0.0,"1",15610304641
4,"1561030464",0.0,"1",15610304641
5,"1561030464",0.0,"1",15610304641
6,"1561030464",0.0,"1",15610304641
7,"1561030464",0.0,"1",15610304641
8,"1561030464",0.0,"1",15610304641
9,"1561030464",0.14,"1",15610304641
10,"1561030464",1.43,"1",15610304641
11,"1561030464",3.71,"1",15610304641
11,"1561030464",3.71,"2",15610304642
12,"1561030464",7.0,"2",15610304642
12,"1561030464",7.0,"3",15610304643
13,"1561030464",6.0,"3",15610304643
14,"1561030464",6.14,"3",15610304643
14,"1561030464",6.14,"2",15610304644
15,"1561030464",7.29,"2",15610304644
16,"1561030464",8.86,"2",15610304644
16,"1561030464",8.86,"3",15610304645
17,"1561030464",8.29,"3",15610304645
18,"1561030464",8.29,"3",15610304645
19,"1561030464",7.71,"3",15610304645
20,"1561030464",4.14,"3",15610304645
21,"1561030464",2.86,"3",15610304645
22,"1561030464",2.0,"3",15610304645
22,"1561030464",2.0,"2",15610304646
23,"1561030464",1.29,"2",15610304646
24,"1561030464",0.86,"2",15610304646
25,"1561030464",0.29,"2",15610304646
26,"1561030464",0.29,"2",15610304646
27,"1561030464",0.0,"2",15610304646
27,"1561030464",0.0,"1b",15610304647
28,"1561030464",0.0,"1b",15610304647
29,"1561030464",0.0,"1b",15610304647
29,"1561030464",0.0,"1",15610304648
30,"1561030464",1.57,"1",15610304648
31,"1561030464",3.14,"1",15610304648
32,"1561030464",7.0,"1",15610304648
33,"1561030464",11.14,"1",15610304648
34,"1561030464",16.43,"1",15610304648
35,"1561030464",28.43,"1",15610304648
36,"1561030464",41.71,"1",15610304648
37,"1561030464",81.71,"1",15610304648
37,"1561030464",81.71,"1b",15610304649
38,"1561030464",93.71,"1b",15610304649
38,"1561030464",93.71,"3",156103046410
39,"1561030464",50.29,"3",156103046410
40,"1561030464",57.14,"3",156103046410
40,"1561030464",57.14,"2",156103046411
41,"1561030464",59.43,"2",156103046411
41,"1561030464",59.43,"3",156103046412
42,"1561030464",45.71,"3",156103046412
43,"1561030464",26.29,"3",156103046412
43,"1561030464",26.29,"4",156103046413
44,"1561030464",19.43,"4",156103046413
45,"1561030464",7.43,"4",156103046413
45,"1561030464",7.43,"3",156103046414
46,"1561030464",5.43,"3",156103046414
47,"1561030464",3.71,"3",156103046414
47,"1561030464",3.71,"2",156103046415
48,"1561030464",4.29,"2",156103046415
49,"1561030464",3.57,"2",156103046415
49,"1561030464",3.57,"1b",156103046416
50,"1561030464",5.43,"1b",156103046416
51,"1561030464",10.14,"1b",156103046416
51,"1561030464",10.14,"1",156103046417
52,"1561030464",17.29,"1",156103046417
53,"1561030464",26.14,"1",156103046417
54,"1561030464",42.29,"1",156103046417
55,"1561030464",64.57,"1",156103046417
55,"1561030464",64.57,"1b",156103046418
56,"1561030464",107.43,"1b",156103046418
56,"1561030464",107.43,"3",156103046419
57,"1561030464",84.57,"3",156103046419
57,"1561030464",84.57,"4",156103046420
58,"1561030464",32.0,"4",156103046420
59,"1561030464",14.29,"4",156103046420
60,"1561030464",5.29,"4",156103046420
60,"1561030464",5.29,"3",156103046421
61,"1561030464",4.57,"3",156103046421
62,"1561030464",3.43,"3",156103046421
62,"1561030464",3.43,"2",156103046422
63,"1561030464",4.86,"2",156103046422
64,"1561030464",7.0,"2",156103046422
64,"1561030464",7.0,"1b",156103046423
65,"1561030464",8.14,"1b",156103046423
66,"1561030464",8.71,"1b",156103046423
66,"1561030464",8.71,"1",156103046424
67,"1561030464",18.57,"1",156103046424
68,"1561030464",19.57,"1",156103046424
69,"1561030464",29.71,"1",156103046424
70,"1561030464",52.0,"1",156103046424
71,"1561030464",76.57,"1",156103046424
71,"1561030464",76.57,"1b",156103046425
72,"1561030464",107.43,"1b",156103046425
72,"1561030464",107.43,"3",156103046426
73,"1561030464",45.71,"3",156103046426
73,"1561030464",45.71,"4",156103046427
74,"1561030464",43.43,"4",156103046427
75,"1561030464",12.0,"4",156103046427
76,"1561030464",4.57,"4",156103046427
76,"1561030464",4.57,"3",156103046428
77,"1561030464",3.29,"3",156103046428
78,"1561030464",3.14,"3",156103046428
78,"1561030464",3.14,"2",156103046429
79,"1561030464",4.57,"2",156103046429
80,"1561030464",7.57,"2",156103046429
80,"1561030464",7.57,"1b",156103046430
81,"1561030464",10.71,"1b",156103046430
81,"1561030464",10.71,"1",156114971131
0,"1561149711",0.0,"1",156114971131
1,"1561149711",0.0,"1",156114971131
2,"1561149711",0.14,"1",156114971131
3,"1561149711",0.86,"1",156114971131
3,"1561149711",0.86,"1b",156114971132
4,"1561149711",2.43,"1b",156114971132
4,"1561149711",2.43,"2",156114971133
5,"1561149711",3.43,"2",156114971133
6,"1561149711",9.0,"2",156114971133
7,"1561149711",20.71,"2",156114971133
7,"1561149711",20.71,"3",156114971134
8,"1561149711",23.71,"3",156114971134
8,"1561149711",23.71,"4",156114971135
9,"1561149711",12.0,"4",156114971135
10,"1561149711",8.0,"4",156114971135
10,"1561149711",8.0,"3",156114971136
11,"1561149711",7.29,"3",156114971136
12,"1561149711",5.86,"3",156114971136
12,"1561149711",5.86,"2",156114971137
13,"1561149711",3.57,"2",156114971137
14,"1561149711",3.29,"2",156114971137
15,"1561149711",3.57,"2",156114971137
16,"1561149711",4.29,"2",156114971137
17,"1561149711",2.71,"2",156114971137
18,"1561149711",6.57,"2",156114971137
19,"1561149711",7.14,"2",156114971137
20,"1561149711",8.29,"2",156114971137
21,"1561149711",11.57,"2",156114971137
21,"1561149711",11.57,"3",156114971138
22,"1561149711",7.71,"3",156114971138
23,"1561149711",5.14,"3",156114971138
23,"1561149711",5.14,"2",156114971139
24,"1561149711",4.29,"2",156114971139
25,"1561149711",2.29,"2",156114971139
26,"1561149711",2.86,"2",156114971139
27,"1561149711",1.29,"2",156114971139
28,"1561149711",2.71,"2",156114971139
29,"1561149711",4.43,"2",156114971139
30,"1561149711",5.14,"2",156114971139
31,"1561149711",8.14,"2",156114971139
31,"1561149711",8.14,"1b",156114971140
32,"1561149711",17.71,"1b",156114971140
33,"1561149711",25.43,"1b",156114971140
33,"1561149711",25.43,"1",156114971141
34,"1561149711",41.71,"1",156114971141
35,"1561149711",69.71,"1",156114971141
35,"1561149711",69.71,"1b",156114971142
36,"1561149711",90.86,"1b",156114971142
36,"1561149711",90.86,"2",156114971143
37,"1561149711",84.57,"2",156114971143
37,"1561149711",84.57,"3",156114971144
38,"1561149711",66.29,"3",156114971144
38,"1561149711",66.29,"4",156114971145
39,"1561149711",24.57,"4",156114971145
40,"1561149711",17.71,"4",156114971145
40,"1561149711",17.71,"3",156114971146
41,"1561149711",8.71,"3",156114971146
42,"1561149711",5.29,"3",156114971146
42,"1561149711",5.29,"2",156114971147
43,"1561149711",4.71,"2",156114971147
44,"1561149711",8.57,"2",156114971147
44,"1561149711",8.57,"1b",156114971148
45,"1561149711",13.57,"1b",156114971148
46,"1561149711",19.86,"1b",156114971148
46,"1561149711",19.86,"1",156114971149
47,"1561149711",34.57,"1",156114971149
48,"1561149711",67.43,"1",156114971149
