"wk","tr","nc","stg","id"
0,"2921030464",0.0,"1",29210304641
1,"2921030464",0.0,"1",29210304641
2,"2921030464",0.0,"1",29210304641
3,"2921030464",0.0,"1",29210304641
4,"2921030464",0.0,"1",29210304641
5,"2921030464",0.0,"1",29210304641
6,"2921030464",0.0,"1",29210304641
7,"2921030464",0.0,"1",29210304641
8,"2921030464",0.0,"1",29210304641
9,"2921030464",0.14,"1",29210304641
10,"2921030464",0.86,"1",29210304641
11,"2921030464",1.43,"1",29210304641
11,"2921030464",1.43,"2",29210304642
12,"2921030464",1.14,"2",29210304642
13,"2921030464",0.71,"2",29210304642
13,"2921030464",0.71,"1b",29210304643
14,"2921030464",0.43,"1b",29210304643
15,"2921030464",0.14,"1b",29210304643
15,"2921030464",0.14,"1",29210304644
16,"2921030464",0.0,"1",29210304644
17,"2921030464",0.0,"1",29210304644
18,"2921030464",0.0,"1",29210304644
19,"2921030464",0.14,"1",29210304644
20,"2921030464",0.0,"1",29210304644
21,"2921030464",0.0,"1",29210304644
22,"2921030464",0.14,"1",29210304644
23,"2921030464",0.0,"1",29210304644
24,"2921030464",0.14,"1",29210304644
25,"2921030464",0.29,"1",29210304644
26,"2921030464",0.29,"1",29210304644
27,"2921030464",0.0,"1",29210304644
28,"2921030464",0.0,"1",29210304644
29,"2921030464",0.0,"1",29210304644
30,"2921030464",7.0,"1",29210304644
31,"2921030464",16.14,"1",29210304644
32,"2921030464",30.86,"1",29210304644
33,"2921030464",61.14,"1",29210304644
34,"2921030464",85.14,"1",29210304644
35,"2921030464",93.71,"1",29210304644
36,"2921030464",258.29,"1",29210304644
37,"2921030464",361.14,"1",29210304644
37,"2921030464",361.14,"1b",29210304645
38,"2921030464",539.43,"1b",29210304645
39,"2921030464",512.0,"1b",29210304645
39,"2921030464",512.0,"2",29210304646
40,"2921030464",493.71,"2",29210304646
40,"2921030464",493.71,"3",29210304647
41,"2921030464",356.57,"3",29210304647
42,"2921030464",256.0,"3",29210304647
43,"2921030464",144.0,"3",29210304647
43,"2921030464",144.0,"4",29210304648
44,"2921030464",89.14,"4",29210304648
45,"2921030464",68.57,"4",29210304648
45,"2921030464",68.57,"3",29210304649
46,"2921030464",35.43,"3",29210304649
47,"2921030464",19.43,"3",29210304649
47,"2921030464",19.43,"2",292103046410
48,"2921030464",22.86,"2",292103046410
49,"2921030464",27.43,"2",292103046410
49,"2921030464",27.43,"1b",292103046411
50,"2921030464",29.14,"1b",292103046411
51,"2921030464",41.14,"1b",292103046411
51,"2921030464",41.14,"1",292103046412
52,"2921030464",60.0,"1",292103046412
53,"2921030464",81.71,"1",292103046412
54,"2921030464",77.71,"1",292103046412
55,"2921030464",93.71,"1",292103046412
56,"2921030464",100.57,"1",292103046412
57,"2921030464",134.86,"1",292103046412
