"wk","tr","nc","stg","id"
0,"5841329940",0.0,"1",58413299401
1,"5841329940",0.0,"1",58413299401
2,"5841329940",0.0,"1",58413299401
3,"5841329940",0.14,"1",58413299401
4,"5841329940",1.57,"1",58413299401
4,"5841329940",1.57,"1b",58413299402
5,"5841329940",0.71,"1b",58413299402
5,"5841329940",0.71,"2",58413299403
6,"5841329940",0.14,"2",58413299403
6,"5841329940",0.14,"1b",58413299404
7,"5841329940",0.0,"1b",58413299404
8,"5841329940",0.29,"1b",58413299404
9,"5841329940",0.86,"1b",58413299404
10,"5841329940",0.14,"1b",58413299404
11,"5841329940",0.57,"1b",58413299404
11,"5841329940",0.57,"1",58413299405
12,"5841329940",0.57,"1",58413299405
12,"5841329940",0.57,"1b",58413299406
13,"5841329940",1.86,"1b",58413299406
14,"5841329940",2.29,"1b",58413299406
15,"5841329940",4.43,"1b",58413299406
15,"5841329940",4.43,"2",58413299407
16,"5841329940",4.0,"2",58413299407
17,"5841329940",4.71,"2",58413299407
18,"5841329940",4.0,"2",58413299407
19,"5841329940",2.71,"2",58413299407
20,"5841329940",3.29,"2",58413299407
21,"5841329940",2.29,"2",58413299407
22,"5841329940",1.29,"2",58413299407
23,"5841329940",0.43,"2",58413299407
23,"5841329940",0.43,"1b",58413299408
24,"5841329940",0.57,"1b",58413299408
25,"5841329940",0.14,"1b",58413299408
25,"5841329940",0.14,"1",58413299409
26,"5841329940",0.0,"1",58413299409
27,"5841329940",0.0,"1",58413299409
28,"5841329940",0.0,"1",58413299409
29,"5841329940",0.0,"1",58413299409
30,"5841329940",0.14,"1",58413299409
31,"5841329940",0.57,"1",58413299409
32,"5841329940",0.57,"1",58413299409
33,"5841329940",0.29,"1",58413299409
34,"5841329940",1.29,"1",58413299409
35,"5841329940",5.43,"1",58413299409
36,"5841329940",3.57,"1",58413299409
37,"5841329940",5.57,"1",58413299409
38,"5841329940",3.14,"1",58413299409
39,"5841329940",3.14,"1",58413299409
40,"5841329940",3.0,"1",58413299409
41,"5841329940",7.43,"1",58413299409
42,"5841329940",8.57,"1",58413299409
43,"5841329940",13.71,"1",58413299409
44,"5841329940",19.71,"1",58413299409
45,"5841329940",14.57,"1",58413299409
46,"5841329940",12.71,"1",58413299409
47,"5841329940",10.86,"1",58413299409
48,"5841329940",13.71,"1",58413299409
49,"5841329940",15.86,"1",58413299409
50,"5841329940",13.0,"1",58413299409
51,"5841329940",16.29,"1",58413299409
52,"5841329940",15.86,"1",58413299409
53,"5841329940",16.0,"1",58413299409
54,"5841329940",17.29,"1",58413299409
55,"5841329940",22.57,"1",58413299409
56,"5841329940",30.86,"1",58413299409
57,"5841329940",40.0,"1",58413299409
58,"5841329940",37.71,"1",58413299409
59,"5841329940",54.86,"1",58413299409
60,"5841329940",72.57,"1",58413299409
60,"5841329940",72.57,"1b",584132994010
61,"5841329940",70.29,"1b",584132994010
62,"5841329940",58.29,"1b",584132994010
63,"5841329940",42.86,"1b",584132994010
63,"5841329940",42.86,"1",584132994011
64,"5841329940",61.14,"1",584132994011
64,"5841329940",61.14,"1b",584132994012
65,"5841329940",57.14,"1b",584132994012
66,"5841329940",51.43,"1b",584132994012
67,"5841329940",39.43,"1b",584132994012
67,"5841329940",39.43,"1",584132994013
68,"5841329940",42.29,"1",584132994013
69,"5841329940",40.57,"1",584132994013
70,"5841329940",42.29,"1",584132994013
71,"5841329940",61.71,"1",584132994013
71,"5841329940",61.71,"1b",584132994014
72,"5841329940",52.0,"1b",584132994014
72,"5841329940",52.0,"2",584132994015
73,"5841329940",33.14,"2",584132994015
74,"5841329940",15.43,"2",584132994015
74,"5841329940",15.43,"1b",584132994016
75,"5841329940",9.0,"1b",584132994016
76,"5841329940",7.29,"1b",584132994016
76,"5841329940",7.29,"1",584132994017
77,"5841329940",9.29,"1",584132994017
78,"5841329940",14.43,"1",584132994017
79,"5841329940",11.71,"1",584132994017
80,"5841329940",15.14,"1",584132994017
81,"5841329940",17.71,"1",584132994017
81,"5841329940",17.71,"1",584133352517
0,"5841333525",0.0,"1",584133352517
1,"5841333525",0.0,"1",584133352517
2,"5841333525",0.14,"1",584133352517
3,"5841333525",0.43,"1",584133352517
4,"5841333525",0.43,"1",584133352517
5,"5841333525",1.71,"1",584133352517
5,"5841333525",1.71,"2",584133352518
6,"5841333525",0.29,"2",584133352518
7,"5841333525",0.71,"2",584133352518
7,"5841333525",0.71,"1b",584133352519
8,"5841333525",0.43,"1b",584133352519
9,"5841333525",0.57,"1b",584133352519
10,"5841333525",0.0,"1b",584133352519
10,"5841333525",0.0,"1",584133352520
11,"5841333525",0.0,"1",584133352520
12,"5841333525",0.14,"1",584133352520
13,"5841333525",0.29,"1",584133352520
13,"5841333525",0.29,"1b",584133352521
14,"5841333525",0.29,"1b",584133352521
15,"5841333525",1.0,"1b",584133352521
16,"5841333525",0.29,"1b",584133352521
17,"5841333525",0.14,"1b",584133352521
18,"5841333525",0.29,"1b",584133352521
19,"5841333525",0.14,"1b",584133352521
19,"5841333525",0.14,"1",584133352522
20,"5841333525",0.57,"1",584133352522
21,"5841333525",0.57,"1",584133352522
22,"5841333525",2.14,"1",584133352522
23,"5841333525",4.71,"1",584133352522
23,"5841333525",4.71,"2",584133352523
24,"5841333525",4.14,"2",584133352523
25,"5841333525",3.14,"2",584133352523
26,"5841333525",1.57,"2",584133352523
27,"5841333525",1.29,"2",584133352523
27,"5841333525",1.29,"1b",584133352524
28,"5841333525",0.86,"1b",584133352524
28,"5841333525",0.86,"2",584133352525
29,"5841333525",0.29,"2",584133352525
30,"5841333525",0.43,"2",584133352525
30,"5841333525",0.43,"1b",584133352526
31,"5841333525",0.43,"1b",584133352526
32,"5841333525",0.71,"1b",584133352526
32,"5841333525",0.71,"1",584133352527
33,"5841333525",2.0,"1",584133352527
34,"5841333525",2.29,"1",584133352527
35,"5841333525",4.14,"1",584133352527
36,"5841333525",12.71,"1",584133352527
37,"5841333525",13.14,"1",584133352527
38,"5841333525",12.43,"1",584133352527
39,"5841333525",12.29,"1",584133352527
40,"5841333525",12.57,"1",584133352527
41,"5841333525",20.29,"1",584133352527
42,"5841333525",28.29,"1",584133352527
43,"5841333525",42.29,"1",584133352527
44,"5841333525",47.43,"1",584133352527
45,"5841333525",60.0,"1",584133352527
46,"5841333525",45.14,"1",584133352527
47,"5841333525",65.71,"1",584133352527
48,"5841333525",67.43,"1",584133352527
49,"5841333525",91.43,"1",584133352527
49,"5841333525",91.43,"2",584133352528
50,"5841333525",61.71,"2",584133352528
50,"5841333525",61.71,"4",584133352529
51,"5841333525",18.29,"4",584133352529
52,"5841333525",8.0,"4",584133352529
52,"5841333525",8.0,"3",584133352530
53,"5841333525",2.0,"3",584133352530
54,"5841333525",0.71,"3",584133352530
54,"5841333525",0.71,"2",584133352531
55,"5841333525",1.29,"2",584133352531
56,"5841333525",0.71,"2",584133352531
56,"5841333525",0.71,"1b",584133352532
57,"5841333525",1.57,"1b",584133352532
58,"5841333525",2.57,"1b",584133352532
58,"5841333525",2.57,"1",584133352533
59,"5841333525",1.57,"1",584133352533
60,"5841333525",4.14,"1",584133352533
61,"5841333525",11.71,"1",584133352533
62,"5841333525",9.0,"1",584133352533
63,"5841333525",8.14,"1",584133352533
64,"5841333525",12.14,"1",584133352533
65,"5841333525",16.57,"1",584133352533
66,"5841333525",10.29,"1",584133352533
67,"5841333525",8.14,"1",584133352533
68,"5841333525",11.14,"1",584133352533
69,"5841333525",13.0,"1",584133352533
70,"5841333525",13.71,"1",584133352533
71,"5841333525",14.0,"1",584133352533
72,"5841333525",27.57,"1",584133352533
73,"5841333525",12.0,"1",584133352533
74,"5841333525",11.71,"1",584133352533
75,"5841333525",6.14,"1",584133352533
76,"5841333525",8.0,"1",584133352533
77,"5841333525",6.14,"1",584133352533
78,"5841333525",7.43,"1",584133352533
79,"5841333525",14.0,"1",584133352533
80,"5841333525",19.14,"1",584133352533
81,"5841333525",15.43,"1",584133352533
81,"5841333525",15.43,"1",584154611633
0,"5841546116",0.0,"1",584154611633
1,"5841546116",0.0,"1",584154611633
2,"5841546116",0.0,"1",584154611633
3,"5841546116",0.0,"1",584154611633
4,"5841546116",0.14,"1",584154611633
5,"5841546116",0.14,"1",584154611633
6,"5841546116",2.0,"1",584154611633
6,"5841546116",2.0,"1b",584154611634
7,"5841546116",4.57,"1b",584154611634
7,"5841546116",4.57,"2",584154611635
8,"5841546116",5.86,"2",584154611635
9,"5841546116",6.0,"2",584154611635
10,"5841546116",8.14,"2",584154611635
11,"5841546116",14.43,"2",584154611635
11,"5841546116",14.43,"3",584154611636
12,"5841546116",10.0,"3",584154611636
13,"5841546116",11.86,"3",584154611636
13,"5841546116",11.86,"2",584154611637
14,"5841546116",18.43,"2",584154611637
14,"5841546116",18.43,"3",584154611638
15,"5841546116",14.71,"3",584154611638
16,"5841546116",14.71,"3",584154611638
17,"5841546116",12.0,"3",584154611638
18,"5841546116",8.71,"3",584154611638
19,"5841546116",4.14,"3",584154611638
19,"5841546116",4.14,"2",584154611639
20,"5841546116",4.57,"2",584154611639
21,"5841546116",4.0,"2",584154611639
22,"5841546116",2.43,"2",584154611639
22,"5841546116",2.43,"1b",584154611640
23,"5841546116",4.43,"1b",584154611640
23,"5841546116",4.43,"2",584154611641
24,"5841546116",6.86,"2",584154611641
25,"5841546116",4.0,"2",584154611641
26,"5841546116",3.29,"2",584154611641
27,"5841546116",3.0,"2",584154611641
28,"5841546116",1.0,"2",584154611641
28,"5841546116",1.0,"1b",584154611642
29,"5841546116",0.43,"1b",584154611642
30,"5841546116",0.43,"1b",584154611642
30,"5841546116",0.43,"1",584154611643
31,"5841546116",2.14,"1",584154611643
32,"5841546116",2.29,"1",584154611643
33,"5841546116",4.43,"1",584154611643
34,"5841546116",6.43,"1",584154611643
35,"5841546116",8.71,"1",584154611643
36,"5841546116",22.29,"1",584154611643
37,"5841546116",22.71,"1",584154611643
38,"5841546116",16.0,"1",584154611643
39,"5841546116",18.86,"1",584154611643
40,"5841546116",16.0,"1",584154611643
41,"5841546116",34.86,"1",584154611643
42,"5841546116",68.0,"1",584154611643
42,"5841546116",68.0,"1b",584154611644
43,"5841546116",69.71,"1b",584154611644
43,"5841546116",69.71,"2",584154611645
44,"5841546116",44.57,"2",584154611645
45,"5841546116",36.57,"2",584154611645
45,"5841546116",36.57,"1b",584154611646
46,"5841546116",34.29,"1b",584154611646
47,"5841546116",33.14,"1b",584154611646
47,"5841546116",33.14,"1",584154611647
48,"5841546116",42.29,"1",584154611647
49,"5841546116",37.71,"1",584154611647
50,"5841546116",46.29,"1",584154611647
51,"5841546116",69.71,"1",584154611647
51,"5841546116",69.71,"1b",584154611648
52,"5841546116",94.86,"1b",584154611648
52,"5841546116",94.86,"2",584154611649
53,"5841546116",45.14,"2",584154611649
53,"5841546116",45.14,"4",584154611650
54,"5841546116",12.57,"4",584154611650
55,"5841546116",1.86,"4",584154611650
55,"5841546116",1.86,"3",584154611651
56,"5841546116",2.0,"3",584154611651
57,"5841546116",0.86,"3",584154611651
57,"5841546116",0.86,"2",584154611652
58,"5841546116",0.43,"2",584154611652
59,"5841546116",0.57,"2",584154611652
59,"5841546116",0.57,"1b",584154611653
60,"5841546116",0.29,"1b",584154611653
61,"5841546116",0.43,"1b",584154611653
61,"5841546116",0.43,"1",584154611654
