"wk","tr","nc","stg","id"
0,"1231036958",0.0,"1",12310369581
1,"1231036958",0.0,"1",12310369581
2,"1231036958",0.0,"1",12310369581
3,"1231036958",0.14,"1",12310369581
4,"1231036958",0.0,"1",12310369581
5,"1231036958",0.0,"1",12310369581
6,"1231036958",0.0,"1",12310369581
7,"1231036958",0.0,"1",12310369581
8,"1231036958",0.0,"1",12310369581
9,"1231036958",0.0,"1",12310369581
10,"1231036958",0.0,"1",12310369581
11,"1231036958",0.14,"1",12310369581
12,"1231036958",0.0,"1",12310369581
13,"1231036958",0.0,"1",12310369581
14,"1231036958",0.0,"1",12310369581
15,"1231036958",0.14,"1",12310369581
16,"1231036958",0.14,"1",12310369581
17,"1231036958",0.14,"1",12310369581
18,"1231036958",0.0,"1",12310369581
19,"1231036958",0.14,"1",12310369581
20,"1231036958",0.0,"1",12310369581
21,"1231036958",0.0,"1",12310369581
22,"1231036958",0.0,"1",12310369581
23,"1231036958",0.0,"1",12310369581
24,"1231036958",0.0,"1",12310369581
25,"1231036958",0.0,"1",12310369581
26,"1231036958",0.14,"1",12310369581
27,"1231036958",0.0,"1",12310369581
28,"1231036958",0.14,"1",12310369581
29,"1231036958",0.0,"1",12310369581
30,"1231036958",0.0,"1",12310369581
31,"1231036958",0.0,"1",12310369581
32,"1231036958",0.14,"1",12310369581
33,"1231036958",1.14,"1",12310369581
34,"1231036958",2.57,"1",12310369581
35,"1231036958",3.43,"1",12310369581
36,"1231036958",6.86,"1",12310369581
37,"1231036958",16.0,"1",12310369581
38,"1231036958",18.0,"1",12310369581
39,"1231036958",12.57,"1",12310369581
40,"1231036958",29.14,"1",12310369581
41,"1231036958",14.86,"1",12310369581
42,"1231036958",24.57,"1",12310369581
43,"1231036958",61.14,"1",12310369581
43,"1231036958",61.14,"1b",12310369582
44,"1231036958",73.14,"1b",12310369582
44,"1231036958",73.14,"2",12310369583
45,"1231036958",68.57,"2",12310369583
45,"1231036958",68.57,"3",12310369584
46,"1231036958",34.29,"3",12310369584
46,"1231036958",34.29,"4",12310369585
47,"1231036958",24.0,"4",12310369585
48,"1231036958",16.57,"4",12310369585
48,"1231036958",16.57,"3",12310369586
49,"1231036958",5.71,"3",12310369586
50,"1231036958",4.86,"3",12310369586
50,"1231036958",4.86,"2",12310369587
51,"1231036958",1.0,"2",12310369587
52,"1231036958",0.57,"2",12310369587
52,"1231036958",0.57,"1b",12310369588
53,"1231036958",1.71,"1b",12310369588
54,"1231036958",4.29,"1b",12310369588
54,"1231036958",4.29,"1",12310369589
55,"1231036958",4.14,"1",12310369589
56,"1231036958",7.86,"1",12310369589
