"wk","tr","nc","stg","id"
0,"961036958",0.0,"1",9610369581
1,"961036958",0.0,"1",9610369581
2,"961036958",0.0,"1",9610369581
3,"961036958",0.14,"1",9610369581
4,"961036958",0.0,"1",9610369581
5,"961036958",0.0,"1",9610369581
6,"961036958",0.0,"1",9610369581
7,"961036958",0.0,"1",9610369581
8,"961036958",0.0,"1",9610369581
9,"961036958",0.0,"1",9610369581
10,"961036958",0.0,"1",9610369581
11,"961036958",0.14,"1",9610369581
12,"961036958",0.71,"1",9610369581
12,"961036958",0.71,"2",9610369582
13,"961036958",0.86,"2",9610369582
14,"961036958",0.0,"2",9610369582
14,"961036958",0.0,"1b",9610369583
15,"961036958",0.14,"1b",9610369583
16,"961036958",1.57,"1b",9610369583
16,"961036958",1.57,"2",9610369584
17,"961036958",2.29,"2",9610369584
18,"961036958",0.14,"2",9610369584
18,"961036958",0.14,"1b",9610369585
19,"961036958",0.29,"1b",9610369585
20,"961036958",0.0,"1b",9610369585
21,"961036958",0.14,"1b",9610369585
21,"961036958",0.14,"1",9610369586
22,"961036958",0.0,"1",9610369586
23,"961036958",0.0,"1",9610369586
24,"961036958",0.0,"1",9610369586
25,"961036958",0.0,"1",9610369586
26,"961036958",0.14,"1",9610369586
27,"961036958",1.57,"1",9610369586
28,"961036958",5.29,"1",9610369586
29,"961036958",5.43,"1",9610369586
30,"961036958",8.14,"1",9610369586
31,"961036958",1.71,"1",9610369586
32,"961036958",1.29,"1",9610369586
33,"961036958",0.0,"1",9610369586
34,"961036958",0.14,"1",9610369586
35,"961036958",0.0,"1",9610369586
36,"961036958",0.0,"1",9610369586
37,"961036958",0.0,"1",9610369586
38,"961036958",0.0,"1",9610369586
39,"961036958",0.0,"1",9610369586
40,"961036958",0.0,"1",9610369586
41,"961036958",0.0,"1",9610369586
42,"961036958",0.29,"1",9610369586
43,"961036958",0.0,"1",9610369586
44,"961036958",0.0,"1",9610369586
45,"961036958",0.0,"1",9610369586
46,"961036958",0.0,"1",9610369586
47,"961036958",0.0,"1",9610369586
48,"961036958",0.0,"1",9610369586
49,"961036958",0.0,"1",9610369586
50,"961036958",0.14,"1",9610369586
51,"961036958",0.0,"1",9610369586
52,"961036958",0.43,"1",9610369586
53,"961036958",26.29,"1",9610369586
54,"961036958",45.0,"1",9610369586
55,"961036958",48.57,"1",9610369586
56,"961036958",56.57,"1",9610369586
57,"961036958",52.0,"1",9610369586
58,"961036958",65.71,"1",9610369586
59,"961036958",112.0,"1",9610369586
60,"961036958",148.57,"1",9610369586
61,"961036958",100.57,"1",9610369586
62,"961036958",105.14,"1",9610369586
63,"961036958",86.86,"1",9610369586
64,"961036958",125.71,"1",9610369586
65,"961036958",217.14,"1",9610369586
66,"961036958",219.43,"1",9610369586
67,"961036958",169.14,"1",9610369586
68,"961036958",214.86,"1",9610369586
69,"961036958",228.57,"1",9610369586
