"wk","tr","nc","stg","id"
0,"2411054940",0.0,"1",24110549401
1,"2411054940",0.0,"1",24110549401
2,"2411054940",0.0,"1",24110549401
3,"2411054940",0.0,"1",24110549401
4,"2411054940",0.14,"1",24110549401
5,"2411054940",0.43,"1",24110549401
5,"2411054940",0.43,"1b",24110549402
6,"2411054940",0.14,"1b",24110549402
7,"2411054940",0.43,"1b",24110549402
8,"2411054940",1.29,"1b",24110549402
8,"2411054940",1.29,"2",24110549403
9,"2411054940",0.71,"2",24110549403
10,"2411054940",0.14,"2",24110549403
10,"2411054940",0.14,"1b",24110549404
11,"2411054940",0.43,"1b",24110549404
12,"2411054940",0.0,"1b",24110549404
13,"2411054940",0.57,"1b",24110549404
14,"2411054940",0.0,"1b",24110549404
14,"2411054940",0.0,"1",24110549405
15,"2411054940",0.0,"1",24110549405
16,"2411054940",0.0,"1",24110549405
17,"2411054940",0.0,"1",24110549405
18,"2411054940",0.0,"1",24110549405
19,"2411054940",0.29,"1",24110549405
20,"2411054940",0.43,"1",24110549405
20,"2411054940",0.43,"1b",24110549406
21,"2411054940",0.57,"1b",24110549406
21,"2411054940",0.57,"2",24110549407
22,"2411054940",0.14,"2",24110549407
23,"2411054940",0.0,"2",24110549407
23,"2411054940",0.0,"1b",24110549408
24,"2411054940",0.0,"1b",24110549408
25,"2411054940",0.0,"1b",24110549408
25,"2411054940",0.0,"1",24110549409
26,"2411054940",0.0,"1",24110549409
27,"2411054940",0.43,"1",24110549409
28,"2411054940",1.0,"1",24110549409
28,"2411054940",1.0,"2",241105494010
29,"2411054940",1.29,"2",241105494010
30,"2411054940",32.86,"2",241105494010
30,"2411054940",32.86,"1b",241105494011
31,"2411054940",66.86,"1b",241105494011
31,"2411054940",66.86,"2",241105494012
32,"2411054940",100.57,"2",241105494012
32,"2411054940",100.57,"3",241105494013
33,"2411054940",91.43,"3",241105494013
33,"2411054940",91.43,"4",241105494014
34,"2411054940",73.14,"4",241105494014
35,"2411054940",80.0,"4",241105494014
36,"2411054940",91.43,"4",241105494014
37,"2411054940",57.14,"4",241105494014
38,"2411054940",96.0,"4",241105494014
39,"2411054940",64.0,"4",241105494014
40,"2411054940",75.43,"4",241105494014
41,"2411054940",89.14,"4",241105494014
42,"2411054940",80.0,"4",241105494014
43,"2411054940",82.29,"4",241105494014
44,"2411054940",112.0,"4",241105494014
45,"2411054940",109.71,"4",241105494014
46,"2411054940",73.14,"4",241105494014
47,"2411054940",50.29,"4",241105494014
48,"2411054940",60.57,"4",241105494014
49,"2411054940",44.57,"4",241105494014
50,"2411054940",55.43,"4",241105494014
51,"2411054940",61.71,"4",241105494014
52,"2411054940",66.29,"4",241105494014
53,"2411054940",52.57,"4",241105494014
54,"2411054940",52.57,"4",241105494014
55,"2411054940",52.57,"4",241105494014
56,"2411054940",55.43,"4",241105494014
57,"2411054940",64.57,"4",241105494014
58,"2411054940",56.0,"4",241105494014
59,"2411054940",80.0,"4",241105494014
60,"2411054940",54.86,"4",241105494014
61,"2411054940",41.14,"4",241105494014
62,"2411054940",41.14,"4",241105494014
63,"2411054940",45.14,"4",241105494014
64,"2411054940",54.29,"4",241105494014
65,"2411054940",66.29,"4",241105494014
66,"2411054940",65.71,"4",241105494014
67,"2411054940",61.71,"4",241105494014
68,"2411054940",45.71,"4",241105494014
68,"2411054940",45.71,"3",241105494015
69,"2411054940",61.71,"3",241105494015
69,"2411054940",61.71,"4",241105494016
70,"2411054940",50.29,"4",241105494016
71,"2411054940",54.86,"4",241105494016
71,"2411054940",54.86,"3",241105494017
72,"2411054940",84.57,"3",241105494017
72,"2411054940",84.57,"4",241105494018
73,"2411054940",38.86,"4",241105494018
74,"2411054940",42.86,"4",241105494018
75,"2411054940",46.29,"4",241105494018
76,"2411054940",58.29,"4",241105494018
77,"2411054940",58.29,"4",241105494018
78,"2411054940",66.86,"4",241105494018
79,"2411054940",60.57,"4",241105494018
80,"2411054940",59.43,"4",241105494018
81,"2411054940",89.14,"4",241105494018
81,"2411054940",89.14,"1",241114830719
0,"2411148307",0.14,"1",241114830719
1,"2411148307",0.0,"1",241114830719
2,"2411148307",0.0,"1",241114830719
3,"2411148307",0.0,"1",241114830719
4,"2411148307",0.0,"1",241114830719
5,"2411148307",0.0,"1",241114830719
6,"2411148307",0.0,"1",241114830719
7,"2411148307",0.14,"1",241114830719
8,"2411148307",0.0,"1",241114830719
9,"2411148307",0.0,"1",241114830719
10,"2411148307",0.0,"1",241114830719
11,"2411148307",0.0,"1",241114830719
12,"2411148307",0.0,"1",241114830719
13,"2411148307",0.29,"1",241114830719
14,"2411148307",0.57,"1",241114830719
14,"2411148307",0.57,"1b",241114830720
15,"2411148307",0.57,"1b",241114830720
15,"2411148307",0.57,"2",241114830721
16,"2411148307",0.29,"2",241114830721
17,"2411148307",0.43,"2",241114830721
17,"2411148307",0.43,"1b",241114830722
18,"2411148307",0.14,"1b",241114830722
19,"2411148307",0.29,"1b",241114830722
20,"2411148307",2.0,"1b",241114830722
20,"2411148307",2.0,"2",241114830723
21,"2411148307",1.0,"2",241114830723
21,"2411148307",1.0,"1b",241114830724
22,"2411148307",0.86,"1b",241114830724
23,"2411148307",2.0,"1b",241114830724
24,"2411148307",7.43,"1b",241114830724
24,"2411148307",7.43,"2",241114830725
25,"2411148307",6.86,"2",241114830725
25,"2411148307",6.86,"3",241114830726
26,"2411148307",4.14,"3",241114830726
