"wk","tr","nc","stg","id"
0,"1611030464",0.0,"1",16110304641
1,"1611030464",0.0,"1",16110304641
2,"1611030464",0.0,"1",16110304641
3,"1611030464",0.0,"1",16110304641
4,"1611030464",0.0,"1",16110304641
5,"1611030464",0.0,"1",16110304641
6,"1611030464",0.0,"1",16110304641
7,"1611030464",0.0,"1",16110304641
8,"1611030464",0.0,"1",16110304641
9,"1611030464",0.14,"1",16110304641
10,"1611030464",2.0,"1",16110304641
10,"1611030464",2.0,"1b",16110304642
11,"1611030464",9.14,"1b",16110304642
11,"1611030464",9.14,"3",16110304643
12,"1611030464",13.71,"3",16110304643
13,"1611030464",14.29,"3",16110304643
14,"1611030464",14.86,"3",16110304643
15,"1611030464",16.57,"3",16110304643
16,"1611030464",16.0,"3",16110304643
17,"1611030464",9.71,"3",16110304643
18,"1611030464",14.86,"3",16110304643
19,"1611030464",21.14,"3",16110304643
20,"1611030464",37.14,"3",16110304643
21,"1611030464",41.71,"3",16110304643
21,"1611030464",41.71,"4",16110304644
22,"1611030464",35.43,"4",16110304644
23,"1611030464",19.43,"4",16110304644
23,"1611030464",19.43,"3",16110304645
24,"1611030464",15.43,"3",16110304645
25,"1611030464",23.43,"3",16110304645
26,"1611030464",19.43,"3",16110304645
27,"1611030464",29.71,"3",16110304645
28,"1611030464",30.86,"3",16110304645
29,"1611030464",26.29,"3",16110304645
30,"1611030464",36.0,"3",16110304645
31,"1611030464",58.86,"3",16110304645
31,"1611030464",58.86,"4",16110304646
32,"1611030464",49.14,"4",16110304646
33,"1611030464",25.71,"4",16110304646
34,"1611030464",20.0,"4",16110304646
34,"1611030464",20.0,"3",16110304647
35,"1611030464",30.29,"3",16110304647
36,"1611030464",49.71,"3",16110304647
37,"1611030464",50.29,"3",16110304647
37,"1611030464",50.29,"4",16110304648
38,"1611030464",32.0,"4",16110304648
39,"1611030464",28.0,"4",16110304648
40,"1611030464",28.0,"4",16110304648
41,"1611030464",19.43,"4",16110304648
41,"1611030464",19.43,"3",16110304649
42,"1611030464",32.57,"3",16110304649
43,"1611030464",37.14,"3",16110304649
44,"1611030464",59.43,"3",16110304649
44,"1611030464",59.43,"4",161103046410
45,"1611030464",44.0,"4",161103046410
46,"1611030464",45.71,"4",161103046410
47,"1611030464",31.43,"4",161103046410
48,"1611030464",28.0,"4",161103046410
48,"1611030464",28.0,"3",161103046411
49,"1611030464",29.14,"3",161103046411
50,"1611030464",45.71,"3",161103046411
51,"1611030464",74.86,"3",161103046411
51,"1611030464",74.86,"4",161103046412
52,"1611030464",41.14,"4",161103046412
53,"1611030464",38.86,"4",161103046412
53,"1611030464",38.86,"3",161103046413
54,"1611030464",45.71,"3",161103046413
55,"1611030464",84.57,"3",161103046413
55,"1611030464",84.57,"4",161103046414
56,"1611030464",130.29,"4",161103046414
57,"1611030464",98.29,"4",161103046414
58,"1611030464",109.71,"4",161103046414
59,"1611030464",68.57,"4",161103046414
60,"1611030464",61.71,"4",161103046414
61,"1611030464",70.86,"4",161103046414
62,"1611030464",59.43,"4",161103046414
63,"1611030464",34.29,"4",161103046414
63,"1611030464",34.29,"3",161103046415
64,"1611030464",26.86,"3",161103046415
64,"1611030464",26.86,"4",161103046416
65,"1611030464",30.86,"4",161103046416
66,"1611030464",36.0,"4",161103046416
66,"1611030464",36.0,"3",161103046417
67,"1611030464",36.57,"3",161103046417
68,"1611030464",54.29,"3",161103046417
69,"1611030464",68.57,"3",161103046417
69,"1611030464",68.57,"4",161103046418
70,"1611030464",61.14,"4",161103046418
71,"1611030464",36.57,"4",161103046418
72,"1611030464",38.86,"4",161103046418
72,"1611030464",38.86,"3",161103046419
73,"1611030464",54.86,"3",161103046419
73,"1611030464",54.86,"4",161103046420
74,"1611030464",52.57,"4",161103046420
75,"1611030464",13.71,"4",161103046420
75,"1611030464",13.71,"3",161103046421
76,"1611030464",25.71,"3",161103046421
77,"1611030464",30.86,"3",161103046421
77,"1611030464",30.86,"2",161103046422
78,"1611030464",57.14,"2",161103046422
78,"1611030464",57.14,"3",161103046423
79,"1611030464",80.0,"3",161103046423
79,"1611030464",80.0,"4",161103046424
80,"1611030464",52.57,"4",161103046424
81,"1611030464",73.14,"4",161103046424
81,"1611030464",73.14,"1",161114971125
0,"1611149711",0.0,"1",161114971125
1,"1611149711",0.0,"1",161114971125
2,"1611149711",0.14,"1",161114971125
3,"1611149711",0.0,"1",161114971125
4,"1611149711",1.0,"1",161114971125
5,"1611149711",3.57,"1",161114971125
5,"1611149711",3.57,"2",161114971126
6,"1611149711",7.14,"2",161114971126
7,"1611149711",17.0,"2",161114971126
7,"1611149711",17.0,"3",161114971127
8,"1611149711",32.57,"3",161114971127
8,"1611149711",32.57,"4",161114971128
9,"1611149711",41.71,"4",161114971128
10,"1611149711",33.71,"4",161114971128
10,"1611149711",33.71,"3",161114971129
11,"1611149711",28.57,"3",161114971129
12,"1611149711",42.86,"3",161114971129
13,"1611149711",80.0,"3",161114971129
13,"1611149711",80.0,"4",161114971130
14,"1611149711",64.57,"4",161114971130
15,"1611149711",22.86,"4",161114971130
16,"1611149711",16.57,"4",161114971130
17,"1611149711",9.57,"4",161114971130
17,"1611149711",9.57,"3",161114971131
18,"1611149711",3.43,"3",161114971131
19,"1611149711",3.14,"3",161114971131
