"wk","tr","nc","stg","id"
0,"10971329940",0.0,"1",109713299401
1,"10971329940",0.0,"1",109713299401
2,"10971329940",0.0,"1",109713299401
3,"10971329940",0.29,"1",109713299401
4,"10971329940",0.29,"1",109713299401
5,"10971329940",1.29,"1",109713299401
6,"10971329940",4.43,"1",109713299401
6,"10971329940",4.43,"2",109713299402
7,"10971329940",8.14,"2",109713299402
8,"10971329940",16.14,"2",109713299402
8,"10971329940",16.14,"3",109713299403
9,"10971329940",20.14,"3",109713299403
10,"10971329940",33.14,"3",109713299403
11,"10971329940",41.14,"3",109713299403
12,"10971329940",59.43,"3",109713299403
13,"10971329940",80.57,"3",109713299403
13,"10971329940",80.57,"4",109713299404
14,"10971329940",61.71,"4",109713299404
15,"10971329940",54.86,"4",109713299404
16,"10971329940",20.57,"4",109713299404
17,"10971329940",19.43,"4",109713299404
17,"10971329940",19.43,"3",109713299405
18,"10971329940",8.0,"3",109713299405
19,"10971329940",6.86,"3",109713299405
19,"10971329940",6.86,"2",109713299406
20,"10971329940",4.43,"2",109713299406
21,"10971329940",6.29,"2",109713299406
21,"10971329940",6.29,"1b",109713299407
22,"10971329940",13.29,"1b",109713299407
23,"10971329940",31.43,"1b",109713299407
23,"10971329940",31.43,"1",109713299408
24,"10971329940",126.29,"1",109713299408
24,"10971329940",126.29,"2",109713299409
25,"10971329940",306.29,"2",109713299409
25,"10971329940",306.29,"4",1097132994010
26,"10971329940",166.86,"4",1097132994010
27,"10971329940",89.14,"4",1097132994010
28,"10971329940",73.14,"4",1097132994010
29,"10971329940",49.14,"4",1097132994010
29,"10971329940",49.14,"3",1097132994011
30,"10971329940",33.14,"3",1097132994011
31,"10971329940",16.57,"3",1097132994011
31,"10971329940",16.57,"2",1097132994012
32,"10971329940",14.86,"2",1097132994012
33,"10971329940",24.57,"2",1097132994012
33,"10971329940",24.57,"1",1097132994013
34,"10971329940",39.43,"1",1097132994013
35,"10971329940",112.0,"1",1097132994013
36,"10971329940",397.71,"1",1097132994013
37,"10971329940",1787.43,"1",1097132994013
37,"10971329940",1787.43,"1b",1097132994014
38,"10971329940",4918.86,"1b",1097132994014
38,"10971329940",4918.86,"2",1097132994015
39,"10971329940",10569.14,"2",1097132994015
39,"10971329940",10569.14,"3",1097132994016
40,"10971329940",11410.29,"3",1097132994016
40,"10971329940",11410.29,"4",1097132994017
41,"10971329940",11410.29,"4",1097132994017
42,"10971329940",6875.43,"4",1097132994017
43,"10971329940",4681.14,"4",1097132994017
44,"10971329940",2340.57,"4",1097132994017
44,"10971329940",2340.57,"3",1097132994018
45,"10971329940",1536.0,"3",1097132994018
45,"10971329940",1536.0,"4",1097132994019
46,"10971329940",1133.71,"4",1097132994019
47,"10971329940",475.43,"4",1097132994019
47,"10971329940",475.43,"3",1097132994020
48,"10971329940",310.86,"3",1097132994020
49,"10971329940",219.43,"3",1097132994020
49,"10971329940",219.43,"2",1097132994021
50,"10971329940",169.14,"2",1097132994021
50,"10971329940",169.14,"1b",1097132994022
51,"10971329940",123.43,"1b",1097132994022
51,"10971329940",123.43,"1",1097132994023
52,"10971329940",262.86,"1",1097132994023
53,"10971329940",752.0,"1",1097132994023
54,"10971329940",2176.0,"1",1097132994023
54,"10971329940",2176.0,"1b",1097132994024
55,"10971329940",7387.43,"1b",1097132994024
55,"10971329940",7387.43,"3",1097132994025
56,"10971329940",8484.57,"3",1097132994025
56,"10971329940",8484.57,"4",1097132994026
57,"10971329940",9069.71,"4",1097132994026
58,"10971329940",5266.29,"4",1097132994026
59,"10971329940",1755.43,"4",1097132994026
59,"10971329940",1755.43,"3",1097132994027
60,"10971329940",1718.86,"3",1097132994027
60,"10971329940",1718.86,"4",1097132994028
61,"10971329940",694.86,"4",1097132994028
62,"10971329940",813.71,"4",1097132994028
62,"10971329940",813.71,"3",1097132994029
63,"10971329940",557.71,"3",1097132994029
63,"10971329940",557.71,"4",1097132994030
64,"10971329940",292.57,"4",1097132994030
65,"10971329940",256.0,"4",1097132994030
65,"10971329940",256.0,"3",1097132994031
66,"10971329940",164.57,"3",1097132994031
67,"10971329940",125.71,"3",1097132994031
67,"10971329940",125.71,"2",1097132994032
68,"10971329940",246.86,"2",1097132994032
68,"10971329940",246.86,"1b",1097132994033
69,"10971329940",260.57,"1b",1097132994033
69,"10971329940",260.57,"1",1097132994034
70,"10971329940",493.71,"1",1097132994034
71,"10971329940",1078.86,"1",1097132994034
72,"10971329940",3940.57,"1",1097132994034
72,"10971329940",3940.57,"1b",1097132994035
73,"10971329940",7021.71,"1b",1097132994035
73,"10971329940",7021.71,"2",1097132994036
74,"10971329940",9508.57,"2",1097132994036
74,"10971329940",9508.57,"3",1097132994037
75,"10971329940",11702.86,"3",1097132994037
75,"10971329940",11702.86,"4",1097132994038
76,"10971329940",7021.71,"4",1097132994038
77,"10971329940",4827.43,"4",1097132994038
77,"10971329940",4827.43,"3",1097132994039
78,"10971329940",4681.14,"3",1097132994039
78,"10971329940",4681.14,"4",1097132994040
79,"10971329940",3364.57,"4",1097132994040
80,"10971329940",2157.71,"4",1097132994040
81,"10971329940",731.43,"4",1097132994040
81,"10971329940",731.43,"1",1097133352541
0,"10971333525",0.0,"1",1097133352541
1,"10971333525",0.0,"1",1097133352541
2,"10971333525",0.14,"1",1097133352541
3,"10971333525",0.71,"1",1097133352541
4,"10971333525",4.71,"1",1097133352541
4,"10971333525",4.71,"1b",1097133352542
5,"10971333525",27.43,"1b",1097133352542
5,"10971333525",27.43,"3",1097133352543
