"wk","tr","nc","stg","id"
0,"261030464",0.0,"1",2610304641
1,"261030464",0.0,"1",2610304641
2,"261030464",0.0,"1",2610304641
3,"261030464",0.0,"1",2610304641
4,"261030464",0.0,"1",2610304641
5,"261030464",0.0,"1",2610304641
6,"261030464",0.0,"1",2610304641
7,"261030464",0.0,"1",2610304641
8,"261030464",0.0,"1",2610304641
9,"261030464",0.14,"1",2610304641
10,"261030464",0.14,"1",2610304641
10,"261030464",0.14,"1b",2610304642
11,"261030464",0.0,"1b",2610304642
12,"261030464",0.0,"1b",2610304642
12,"261030464",0.0,"1",2610304643
13,"261030464",0.0,"1",2610304643
14,"261030464",0.0,"1",2610304643
15,"261030464",0.0,"1",2610304643
16,"261030464",0.0,"1",2610304643
17,"261030464",0.0,"1",2610304643
18,"261030464",0.0,"1",2610304643
19,"261030464",0.14,"1",2610304643
20,"261030464",0.0,"1",2610304643
21,"261030464",0.0,"1",2610304643
22,"261030464",0.14,"1",2610304643
23,"261030464",0.0,"1",2610304643
24,"261030464",0.0,"1",2610304643
25,"261030464",0.0,"1",2610304643
26,"261030464",0.0,"1",2610304643
27,"261030464",0.0,"1",2610304643
28,"261030464",0.0,"1",2610304643
29,"261030464",0.0,"1",2610304643
30,"261030464",1.0,"1",2610304643
31,"261030464",2.57,"1",2610304643
32,"261030464",3.86,"1",2610304643
33,"261030464",9.86,"1",2610304643
34,"261030464",13.14,"1",2610304643
35,"261030464",16.86,"1",2610304643
36,"261030464",16.29,"1",2610304643
37,"261030464",13.71,"1",2610304643
38,"261030464",25.71,"1",2610304643
39,"261030464",32.57,"1",2610304643
40,"261030464",34.29,"1",2610304643
40,"261030464",34.29,"1b",2610304644
41,"261030464",43.43,"1b",2610304644
42,"261030464",38.29,"1b",2610304644
43,"261030464",40.57,"1b",2610304644
44,"261030464",32.0,"1b",2610304644
45,"261030464",38.86,"1b",2610304644
46,"261030464",44.57,"1b",2610304644
47,"261030464",49.71,"1b",2610304644
48,"261030464",63.43,"1b",2610304644
48,"261030464",63.43,"1",2610304645
49,"261030464",96.57,"1",2610304645
49,"261030464",96.57,"1b",2610304646
50,"261030464",73.14,"1b",2610304646
50,"261030464",73.14,"2",2610304647
51,"261030464",45.71,"2",2610304647
51,"261030464",45.71,"3",2610304648
52,"261030464",36.57,"3",2610304648
53,"261030464",21.71,"3",2610304648
53,"261030464",21.71,"4",2610304649
54,"261030464",6.29,"4",2610304649
55,"261030464",3.57,"4",2610304649
55,"261030464",3.57,"3",26103046410
56,"261030464",2.57,"3",26103046410
57,"261030464",2.0,"3",26103046410
57,"261030464",2.0,"2",26103046411
58,"261030464",2.86,"2",26103046411
59,"261030464",2.14,"2",26103046411
59,"261030464",2.14,"1b",26103046412
60,"261030464",2.86,"1b",26103046412
61,"261030464",4.86,"1b",26103046412
61,"261030464",4.86,"1",26103046413
62,"261030464",6.43,"1",26103046413
63,"261030464",10.14,"1",26103046413
64,"261030464",11.29,"1",26103046413
65,"261030464",17.29,"1",26103046413
66,"261030464",15.43,"1",26103046413
67,"261030464",17.71,"1",26103046413
68,"261030464",37.14,"1",26103046413
69,"261030464",45.14,"1",26103046413
70,"261030464",73.14,"1",26103046413
71,"261030464",81.14,"1",26103046413
71,"261030464",81.14,"1b",26103046414
72,"261030464",96.0,"1b",26103046414
72,"261030464",96.0,"2",26103046415
73,"261030464",77.71,"2",26103046415
74,"261030464",48.0,"2",26103046415
74,"261030464",48.0,"3",26103046416
75,"261030464",20.57,"3",26103046416
75,"261030464",20.57,"4",26103046417
76,"261030464",9.14,"4",26103046417
77,"261030464",2.86,"4",26103046417
77,"261030464",2.86,"3",26103046418
78,"261030464",3.29,"3",26103046418
79,"261030464",3.14,"3",26103046418
79,"261030464",3.14,"2",26103046419
80,"261030464",5.0,"2",26103046419
81,"261030464",5.57,"2",26103046419
81,"261030464",5.57,"1",26114971120
0,"261149711",0.0,"1",26114971120
1,"261149711",0.0,"1",26114971120
2,"261149711",0.29,"1",26114971120
