"wk","tr","nc","stg","id"
0,"10581054940",0.0,"1",105810549401
1,"10581054940",0.0,"1",105810549401
2,"10581054940",0.0,"1",105810549401
3,"10581054940",0.0,"1",105810549401
4,"10581054940",0.14,"1",105810549401
5,"10581054940",0.0,"1",105810549401
6,"10581054940",0.14,"1",105810549401
7,"10581054940",0.29,"1",105810549401
7,"10581054940",0.29,"1b",105810549402
8,"10581054940",0.0,"1b",105810549402
9,"10581054940",0.71,"1b",105810549402
10,"10581054940",0.71,"1b",105810549402
11,"10581054940",0.57,"1b",105810549402
12,"10581054940",0.29,"1b",105810549402
13,"10581054940",0.57,"1b",105810549402
14,"10581054940",0.29,"1b",105810549402
14,"10581054940",0.29,"1",105810549403
15,"10581054940",0.43,"1",105810549403
16,"10581054940",0.0,"1",105810549403
17,"10581054940",0.29,"1",105810549403
18,"10581054940",0.14,"1",105810549403
19,"10581054940",1.29,"1",105810549403
20,"10581054940",3.86,"1",105810549403
21,"10581054940",2.29,"1",105810549403
22,"10581054940",2.86,"1",105810549403
23,"10581054940",5.57,"1",105810549403
24,"10581054940",8.14,"1",105810549403
25,"10581054940",12.29,"1",105810549403
26,"10581054940",20.29,"1",105810549403
27,"10581054940",37.29,"1",105810549403
28,"10581054940",105.14,"1",105810549403
28,"10581054940",105.14,"2",105810549404
29,"10581054940",141.71,"2",105810549404
29,"10581054940",141.71,"3",105810549405
30,"10581054940",169.14,"3",105810549405
30,"10581054940",169.14,"2",105810549406
31,"10581054940",146.29,"2",105810549406
32,"10581054940",141.71,"2",105810549406
32,"10581054940",141.71,"1b",105810549407
33,"10581054940",249.14,"1b",105810549407
33,"10581054940",249.14,"1",105810549408
34,"10581054940",509.71,"1",105810549408
35,"10581054940",1490.29,"1",105810549408
35,"10581054940",1490.29,"1b",105810549409
36,"10581054940",3958.86,"1b",105810549409
36,"10581054940",3958.86,"2",1058105494010
37,"10581054940",10057.14,"2",1058105494010
37,"10581054940",10057.14,"3",1058105494011
38,"10581054940",13019.43,"3",1058105494011
38,"10581054940",13019.43,"4",1058105494012
39,"10581054940",5997.71,"4",1058105494012
40,"10581054940",2048.0,"4",1058105494012
40,"10581054940",2048.0,"3",1058105494013
41,"10581054940",1536.0,"3",1058105494013
41,"10581054940",1536.0,"4",1058105494014
42,"10581054940",1206.86,"4",1058105494014
43,"10581054940",594.29,"4",1058105494014
43,"10581054940",594.29,"3",1058105494015
44,"10581054940",329.14,"3",1058105494015
45,"10581054940",192.0,"3",1058105494015
45,"10581054940",192.0,"2",1058105494016
46,"10581054940",329.14,"2",1058105494016
47,"10581054940",768.0,"2",1058105494016
48,"10581054940",941.71,"2",1058105494016
49,"10581054940",1664.0,"2",1058105494016
49,"10581054940",1664.0,"3",1058105494017
50,"10581054940",1316.57,"3",1058105494017
50,"10581054940",1316.57,"4",1058105494018
51,"10581054940",1280.0,"4",1058105494018
52,"10581054940",749.71,"4",1058105494018
52,"10581054940",749.71,"3",1058105494019
53,"10581054940",356.57,"3",1058105494019
53,"10581054940",356.57,"4",1058105494020
54,"10581054940",228.57,"4",1058105494020
55,"10581054940",178.29,"4",1058105494020
55,"10581054940",178.29,"3",1058105494021
56,"10581054940",84.57,"3",1058105494021
57,"10581054940",59.43,"3",1058105494021
57,"10581054940",59.43,"2",1058105494022
58,"10581054940",29.14,"2",1058105494022
59,"10581054940",34.86,"2",1058105494022
59,"10581054940",34.86,"1",1058105494023
60,"10581054940",64.0,"1",1058105494023
61,"10581054940",118.86,"1",1058105494023
62,"10581054940",196.57,"1",1058105494023
63,"10581054940",564.57,"1",1058105494023
64,"10581054940",1472.0,"1",1058105494023
64,"10581054940",1472.0,"1b",1058105494024
65,"10581054940",3584.0,"1b",1058105494024
65,"10581054940",3584.0,"2",1058105494025
66,"10581054940",4352.0,"2",1058105494025
66,"10581054940",4352.0,"3",1058105494026
67,"10581054940",5266.29,"3",1058105494026
67,"10581054940",5266.29,"4",1058105494027
68,"10581054940",7021.71,"4",1058105494027
69,"10581054940",3072.0,"4",1058105494027
70,"10581054940",1718.86,"4",1058105494027
71,"10581054940",950.86,"4",1058105494027
71,"10581054940",950.86,"3",1058105494028
72,"10581054940",512.0,"3",1058105494028
72,"10581054940",512.0,"4",1058105494029
73,"10581054940",256.0,"4",1058105494029
74,"10581054940",102.86,"4",1058105494029
74,"10581054940",102.86,"3",1058105494030
75,"10581054940",64.0,"3",1058105494030
76,"10581054940",36.57,"3",1058105494030
76,"10581054940",36.57,"2",1058105494031
77,"10581054940",24.0,"2",1058105494031
77,"10581054940",24.0,"1b",1058105494032
78,"10581054940",13.14,"1b",1058105494032
78,"10581054940",13.14,"1",1058105494033
79,"10581054940",15.57,"1",1058105494033
80,"10581054940",18.0,"1",1058105494033
81,"10581054940",39.29,"1",1058105494033
81,"10581054940",39.29,"1",1058114830733
0,"10581148307",0.14,"1",1058114830733
1,"10581148307",0.43,"1",1058114830733
1,"10581148307",0.43,"1b",1058114830734
2,"10581148307",0.29,"1b",1058114830734
3,"10581148307",0.0,"1b",1058114830734
3,"10581148307",0.0,"1",1058114830735
4,"10581148307",0.0,"1",1058114830735
5,"10581148307",0.0,"1",1058114830735
6,"10581148307",0.0,"1",1058114830735
7,"10581148307",0.14,"1",1058114830735
8,"10581148307",0.86,"1",1058114830735
8,"10581148307",0.86,"2",1058114830736
9,"10581148307",1.86,"2",1058114830736
10,"10581148307",0.86,"2",1058114830736
10,"10581148307",0.86,"1b",1058114830737
11,"10581148307",0.57,"1b",1058114830737
12,"10581148307",0.29,"1b",1058114830737
13,"10581148307",0.71,"1b",1058114830737
14,"10581148307",1.0,"1b",1058114830737
14,"10581148307",1.0,"2",1058114830738
15,"10581148307",1.57,"2",1058114830738
16,"10581148307",0.57,"2",1058114830738
16,"10581148307",0.57,"1b",1058114830739
17,"10581148307",0.43,"1b",1058114830739
18,"10581148307",0.57,"1b",1058114830739
18,"10581148307",0.57,"1",1058114830740
19,"10581148307",2.14,"1",1058114830740
20,"10581148307",5.71,"1",1058114830740
21,"10581148307",18.57,"1",1058114830740
22,"10581148307",39.0,"1",1058114830740
23,"10581148307",92.57,"1",1058114830740
23,"10581148307",92.57,"2",1058114830741
24,"10581148307",97.71,"2",1058114830741
24,"10581148307",97.71,"4",1058114830742
25,"10581148307",102.86,"4",1058114830742
26,"10581148307",82.29,"4",1058114830742
27,"10581148307",68.57,"4",1058114830742
28,"10581148307",36.57,"4",1058114830742
29,"10581148307",16.57,"4",1058114830742
29,"10581148307",16.57,"3",1058114830743
30,"10581148307",13.71,"3",1058114830743
31,"10581148307",10.86,"3",1058114830743
31,"10581148307",10.86,"2",1058114830744
32,"10581148307",14.43,"2",1058114830744
33,"10581148307",20.14,"2",1058114830744
33,"10581148307",20.14,"1",1058114830745
34,"10581148307",18.29,"1",1058114830745
35,"10581148307",72.0,"1",1058114830745
36,"10581148307",133.14,"1",1058114830745
37,"10581148307",409.14,"1",1058114830745
38,"10581148307",907.43,"1",1058114830745
39,"10581148307",3666.29,"1",1058114830745
39,"10581148307",3666.29,"1b",1058114830746
40,"10581148307",8082.29,"1b",1058114830746
40,"10581148307",8082.29,"3",1058114830747
41,"10581148307",10825.14,"3",1058114830747
41,"10581148307",10825.14,"4",1058114830748
42,"10581148307",5266.29,"4",1058114830748
43,"10581148307",3218.29,"4",1058114830748
44,"10581148307",1828.57,"4",1058114830748
44,"10581148307",1828.57,"3",1058114830749
45,"10581148307",1426.29,"3",1058114830749
45,"10581148307",1426.29,"4",1058114830750
46,"10581148307",804.57,"4",1058114830750
47,"10581148307",594.29,"4",1058114830750
47,"10581148307",594.29,"3",1058114830751
48,"10581148307",429.71,"3",1058114830751
49,"10581148307",338.29,"3",1058114830751
49,"10581148307",338.29,"2",1058114830752
50,"10581148307",557.71,"2",1058114830752
50,"10581148307",557.71,"1b",1058114830753
51,"10581148307",914.29,"1b",1058114830753
51,"10581148307",914.29,"1",1058114830754
52,"10581148307",2514.29,"1",1058114830754
52,"10581148307",2514.29,"1b",1058114830755
53,"10581148307",3547.43,"1b",1058114830755
53,"10581148307",3547.43,"2",1058114830756
54,"10581148307",3657.14,"2",1058114830756
54,"10581148307",3657.14,"3",1058114830757
55,"10581148307",4534.86,"3",1058114830757
55,"10581148307",4534.86,"4",1058114830758
56,"10581148307",2779.43,"4",1058114830758
57,"10581148307",1206.86,"4",1058114830758
57,"10581148307",1206.86,"3",1058114830759
58,"10581148307",1865.14,"3",1058114830759
58,"10581148307",1865.14,"4",1058114830760
59,"10581148307",1243.43,"4",1058114830760
60,"10581148307",841.14,"4",1058114830760
60,"10581148307",841.14,"3",1058114830761
61,"10581148307",548.57,"3",1058114830761
61,"10581148307",548.57,"4",1058114830762
62,"10581148307",292.57,"4",1058114830762
63,"10581148307",146.29,"4",1058114830762
63,"10581148307",146.29,"3",1058114830763
64,"10581148307",91.43,"3",1058114830763
65,"10581148307",98.29,"3",1058114830763
65,"10581148307",98.29,"2",1058114830764
66,"10581148307",59.43,"2",1058114830764
66,"10581148307",59.43,"1b",1058114830765
67,"10581148307",77.71,"1b",1058114830765
67,"10581148307",77.71,"1",1058114830766
68,"10581148307",233.14,"1",1058114830766
69,"10581148307",605.71,"1",1058114830766
70,"10581148307",1645.71,"1",1058114830766
70,"10581148307",1645.71,"1b",1058114830767
71,"10581148307",3977.14,"1b",1058114830767
71,"10581148307",3977.14,"2",1058114830768
72,"10581148307",6729.14,"2",1058114830768
72,"10581148307",6729.14,"3",1058114830769
73,"10581148307",6875.43,"3",1058114830769
73,"10581148307",6875.43,"4",1058114830770
74,"10581148307",5266.29,"4",1058114830770
75,"10581148307",4096.0,"4",1058114830770
75,"10581148307",4096.0,"3",1058114830771
76,"10581148307",2304.0,"3",1058114830771
76,"10581148307",2304.0,"4",1058114830772
77,"10581148307",1060.57,"4",1058114830772
78,"10581148307",484.57,"4",1058114830772
78,"10581148307",484.57,"3",1058114830773
79,"10581148307",310.86,"3",1058114830773
80,"10581148307",246.86,"3",1058114830773
80,"10581148307",246.86,"2",1058114830774
81,"10581148307",566.86,"2",1058114830774
81,"10581148307",566.86,"1",1058118490075
0,"10581184900",0.29,"1",1058118490075
1,"10581184900",2.29,"1",1058118490075
1,"10581184900",2.29,"2",1058118490076
2,"10581184900",4.14,"2",1058118490076
3,"10581184900",8.43,"2",1058118490076
4,"10581184900",6.29,"2",1058118490076
4,"10581184900",6.29,"3",1058118490077
5,"10581184900",7.0,"3",1058118490077
6,"10581184900",7.43,"3",1058118490077
7,"10581184900",12.43,"3",1058118490077
8,"10581184900",19.0,"3",1058118490077
9,"10581184900",23.43,"3",1058118490077
10,"10581184900",42.29,"3",1058118490077
11,"10581184900",45.14,"3",1058118490077
11,"10581184900",45.14,"4",1058118490078
12,"10581184900",30.86,"4",1058118490078
13,"10581184900",24.57,"4",1058118490078
14,"10581184900",15.43,"4",1058118490078
14,"10581184900",15.43,"3",1058118490079
15,"10581184900",10.71,"3",1058118490079
16,"10581184900",7.43,"3",1058118490079
16,"10581184900",7.43,"2",1058118490080
17,"10581184900",4.71,"2",1058118490080
18,"10581184900",5.71,"2",1058118490080
18,"10581184900",5.71,"1b",1058118490081
19,"10581184900",4.14,"1b",1058118490081
20,"10581184900",5.29,"1b",1058118490081
20,"10581184900",5.29,"1",1058118490082
21,"10581184900",11.0,"1",1058118490082
22,"10581184900",42.14,"1",1058118490082
22,"10581184900",42.14,"1b",1058118490083
23,"10581184900",105.14,"1b",1058118490083
23,"10581184900",105.14,"2",1058118490084
24,"10581184900",162.29,"2",1058118490084
24,"10581184900",162.29,"4",1058118490085
25,"10581184900",128.0,"4",1058118490085
26,"10581184900",73.14,"4",1058118490085
27,"10581184900",27.43,"4",1058118490085
28,"10581184900",25.71,"4",1058118490085
29,"10581184900",18.86,"4",1058118490085
29,"10581184900",18.86,"3",1058118490086
30,"10581184900",8.0,"3",1058118490086
31,"10581184900",10.0,"3",1058118490086
31,"10581184900",10.0,"2",1058118490087
32,"10581184900",6.29,"2",1058118490087
33,"10581184900",6.86,"2",1058118490087
33,"10581184900",6.86,"1",1058118490088
34,"10581184900",18.57,"1",1058118490088
35,"10581184900",73.0,"1",1058118490088
36,"10581184900",236.57,"1",1058118490088
37,"10581184900",646.86,"1",1058118490088
38,"10581184900",2459.43,"1",1058118490088
38,"10581184900",2459.43,"1b",1058118490089
39,"10581184900",7972.57,"1b",1058118490089
39,"10581184900",7972.57,"3",1058118490090
40,"10581184900",9508.57,"3",1058118490090
40,"10581184900",9508.57,"4",1058118490091
41,"10581184900",10532.57,"4",1058118490091
42,"10581184900",7899.43,"4",1058118490091
43,"10581184900",5120.0,"4",1058118490091
44,"10581184900",2048.0,"4",1058118490091
44,"10581184900",2048.0,"3",1058118490092
45,"10581184900",1755.43,"3",1058118490092
45,"10581184900",1755.43,"4",1058118490093
46,"10581184900",841.14,"4",1058118490093
47,"10581184900",329.14,"4",1058118490093
47,"10581184900",329.14,"3",1058118490094
48,"10581184900",292.57,"3",1058118490094
49,"10581184900",132.57,"3",1058118490094
49,"10581184900",132.57,"2",1058118490095
50,"10581184900",102.86,"2",1058118490095
51,"10581184900",144.0,"2",1058118490095
51,"10581184900",144.0,"1",1058118490096
52,"10581184900",372.57,"1",1058118490096
53,"10581184900",873.14,"1",1058118490096
54,"10581184900",3620.57,"1",1058118490096
54,"10581184900",3620.57,"1b",1058118490097
55,"10581184900",7204.57,"1b",1058118490097
55,"10581184900",7204.57,"3",1058118490098
56,"10581184900",8484.57,"3",1058118490098
56,"10581184900",8484.57,"4",1058118490099
