"wk","tr","nc","stg","id"
0,"221030464",0.0,"1",2210304641
1,"221030464",0.0,"1",2210304641
2,"221030464",0.0,"1",2210304641
3,"221030464",0.0,"1",2210304641
4,"221030464",0.0,"1",2210304641
5,"221030464",0.0,"1",2210304641
6,"221030464",0.0,"1",2210304641
7,"221030464",0.0,"1",2210304641
8,"221030464",0.0,"1",2210304641
9,"221030464",0.14,"1",2210304641
10,"221030464",0.14,"1",2210304641
11,"221030464",0.14,"1",2210304641
11,"221030464",0.14,"1b",2210304642
12,"221030464",0.0,"1b",2210304642
13,"221030464",0.0,"1b",2210304642
13,"221030464",0.0,"1",2210304643
14,"221030464",0.0,"1",2210304643
15,"221030464",0.0,"1",2210304643
16,"221030464",0.0,"1",2210304643
17,"221030464",0.0,"1",2210304643
18,"221030464",0.0,"1",2210304643
19,"221030464",0.14,"1",2210304643
20,"221030464",0.0,"1",2210304643
21,"221030464",0.0,"1",2210304643
22,"221030464",0.14,"1",2210304643
23,"221030464",0.0,"1",2210304643
24,"221030464",0.0,"1",2210304643
25,"221030464",0.0,"1",2210304643
26,"221030464",0.0,"1",2210304643
27,"221030464",0.0,"1",2210304643
28,"221030464",0.0,"1",2210304643
29,"221030464",0.0,"1",2210304643
30,"221030464",1.14,"1",2210304643
31,"221030464",3.86,"1",2210304643
32,"221030464",7.86,"1",2210304643
33,"221030464",11.14,"1",2210304643
34,"221030464",13.29,"1",2210304643
35,"221030464",14.29,"1",2210304643
36,"221030464",18.0,"1",2210304643
37,"221030464",13.71,"1",2210304643
38,"221030464",17.14,"1",2210304643
39,"221030464",30.86,"1",2210304643
40,"221030464",37.14,"1",2210304643
41,"221030464",40.57,"1",2210304643
42,"221030464",58.29,"1",2210304643
43,"221030464",63.43,"1",2210304643
44,"221030464",60.57,"1",2210304643
44,"221030464",60.57,"1b",2210304644
45,"221030464",52.57,"1b",2210304644
46,"221030464",36.57,"1b",2210304644
47,"221030464",29.71,"1b",2210304644
47,"221030464",29.71,"2",2210304645
48,"221030464",8.0,"2",2210304645
49,"221030464",2.86,"2",2210304645
49,"221030464",2.86,"1b",2210304646
50,"221030464",3.71,"1b",2210304646
51,"221030464",5.86,"1b",2210304646
51,"221030464",5.86,"1",2210304647
52,"221030464",3.86,"1",2210304647
53,"221030464",5.14,"1",2210304647
54,"221030464",7.86,"1",2210304647
55,"221030464",9.71,"1",2210304647
56,"221030464",7.0,"1",2210304647
57,"221030464",7.29,"1",2210304647
58,"221030464",9.29,"1",2210304647
59,"221030464",10.0,"1",2210304647
60,"221030464",9.43,"1",2210304647
61,"221030464",9.43,"1",2210304647
62,"221030464",11.0,"1",2210304647
63,"221030464",9.14,"1",2210304647
64,"221030464",8.86,"1",2210304647
65,"221030464",8.86,"1",2210304647
66,"221030464",7.29,"1",2210304647
67,"221030464",9.57,"1",2210304647
68,"221030464",12.86,"1",2210304647
69,"221030464",12.71,"1",2210304647
70,"221030464",13.57,"1",2210304647
71,"221030464",12.57,"1",2210304647
72,"221030464",13.71,"1",2210304647
73,"221030464",12.0,"1",2210304647
74,"221030464",9.0,"1",2210304647
75,"221030464",16.0,"1",2210304647
76,"221030464",20.57,"1",2210304647
77,"221030464",12.57,"1",2210304647
78,"221030464",16.0,"1",2210304647
79,"221030464",14.86,"1",2210304647
80,"221030464",18.29,"1",2210304647
81,"221030464",24.57,"1",2210304647
81,"221030464",24.57,"1",2211497117
0,"221149711",0.0,"1",2211497117
1,"221149711",0.0,"1",2211497117
2,"221149711",0.14,"1",2211497117
3,"221149711",0.43,"1",2211497117
3,"221149711",0.43,"1b",2211497118
4,"221149711",0.86,"1b",2211497118
4,"221149711",0.86,"2",2211497119
5,"221149711",1.71,"2",2211497119
6,"221149711",2.57,"2",2211497119
7,"221149711",0.86,"2",2211497119
7,"221149711",0.86,"1b",22114971110
8,"221149711",0.71,"1b",22114971110
9,"221149711",2.86,"1b",22114971110
9,"221149711",2.86,"2",22114971111
10,"221149711",4.71,"2",22114971111
11,"221149711",4.14,"2",22114971111
12,"221149711",5.14,"2",22114971111
13,"221149711",5.86,"2",22114971111
14,"221149711",7.29,"2",22114971111
14,"221149711",7.29,"3",22114971112
15,"221149711",5.0,"3",22114971112
16,"221149711",1.43,"3",22114971112
16,"221149711",1.43,"2",22114971113
17,"221149711",1.71,"2",22114971113
18,"221149711",0.29,"2",22114971113
18,"221149711",0.29,"1b",22114971114
19,"221149711",1.0,"1b",22114971114
20,"221149711",0.43,"1b",22114971114
20,"221149711",0.43,"1",22114971115
21,"221149711",0.71,"1",22114971115
22,"221149711",3.57,"1",22114971115
22,"221149711",3.57,"2",22114971116
23,"221149711",2.86,"2",22114971116
24,"221149711",1.14,"2",22114971116
25,"221149711",1.29,"2",22114971116
26,"221149711",0.57,"2",22114971116
26,"221149711",0.57,"1b",22114971117
27,"221149711",0.57,"1b",22114971117
28,"221149711",0.57,"1b",22114971117
29,"221149711",0.43,"1b",22114971117
29,"221149711",0.43,"1",22114971118
30,"221149711",1.43,"1",22114971118
31,"221149711",3.43,"1",22114971118
32,"221149711",3.14,"1",22114971118
33,"221149711",5.0,"1",22114971118
34,"221149711",7.71,"1",22114971118
35,"221149711",8.86,"1",22114971118
36,"221149711",12.86,"1",22114971118
37,"221149711",16.57,"1",22114971118
38,"221149711",16.43,"1",22114971118
39,"221149711",14.71,"1",22114971118
40,"221149711",11.86,"1",22114971118
41,"221149711",14.14,"1",22114971118
42,"221149711",17.14,"1",22114971118
43,"221149711",17.57,"1",22114971118
44,"221149711",13.29,"1",22114971118
45,"221149711",12.57,"1",22114971118
46,"221149711",12.0,"1",22114971118
47,"221149711",13.86,"1",22114971118
48,"221149711",14.86,"1",22114971118
49,"221149711",19.14,"1",22114971118
50,"221149711",14.57,"1",22114971118
51,"221149711",19.29,"1",22114971118
52,"221149711",22.43,"1",22114971118
53,"221149711",14.86,"1",22114971118
54,"221149711",37.71,"1",22114971118
55,"221149711",72.0,"1",22114971118
56,"221149711",81.14,"1",22114971118
56,"221149711",81.14,"1b",22114971119
57,"221149711",69.71,"1b",22114971119
57,"221149711",69.71,"2",22114971120
58,"221149711",45.71,"2",22114971120
58,"221149711",45.71,"3",22114971121
59,"221149711",20.57,"3",22114971121
60,"221149711",8.86,"3",22114971121
60,"221149711",8.86,"2",22114971122
61,"221149711",5.43,"2",22114971122
62,"221149711",3.14,"2",22114971122
62,"221149711",3.14,"1b",22114971123
63,"221149711",3.29,"1b",22114971123
64,"221149711",2.86,"1b",22114971123
64,"221149711",2.86,"1",22114971124
65,"221149711",5.29,"1",22114971124
66,"221149711",16.43,"1",22114971124
67,"221149711",29.57,"1",22114971124
68,"221149711",19.43,"1",22114971124
69,"221149711",24.57,"1",22114971124
70,"221149711",24.0,"1",22114971124
71,"221149711",46.29,"1",22114971124
72,"221149711",54.29,"1",22114971124
72,"221149711",54.29,"1b",22114971125
73,"221149711",60.57,"1b",22114971125
74,"221149711",42.29,"1b",22114971125
75,"221149711",35.43,"1b",22114971125
76,"221149711",27.43,"1b",22114971125
76,"221149711",27.43,"1",22114971126
77,"221149711",42.29,"1",22114971126
78,"221149711",40.0,"1",22114971126
79,"221149711",44.57,"1",22114971126
80,"221149711",47.43,"1",22114971126
80,"221149711",47.43,"1b",22114971127
81,"221149711",39.43,"1b",22114971127
81,"221149711",39.43,"1",22116045328
0,"221160453",0.0,"1",22116045328
1,"221160453",0.0,"1",22116045328
2,"221160453",0.0,"1",22116045328
3,"221160453",0.29,"1",22116045328
4,"221160453",0.0,"1",22116045328
5,"221160453",0.29,"1",22116045328
5,"221160453",0.29,"1b",22116045329
6,"221160453",0.14,"1b",22116045329
7,"221160453",0.14,"1b",22116045329
7,"221160453",0.14,"1",22116045330
8,"221160453",0.14,"1",22116045330
9,"221160453",0.0,"1",22116045330
10,"221160453",0.0,"1",22116045330
11,"221160453",0.0,"1",22116045330
12,"221160453",0.14,"1",22116045330
13,"221160453",0.0,"1",22116045330
14,"221160453",0.0,"1",22116045330
15,"221160453",0.0,"1",22116045330
16,"221160453",0.14,"1",22116045330
17,"221160453",0.14,"1",22116045330
18,"221160453",0.57,"1",22116045330
18,"221160453",0.57,"1b",22116045331
19,"221160453",0.43,"1b",22116045331
20,"221160453",0.71,"1b",22116045331
20,"221160453",0.71,"2",22116045332
21,"221160453",0.29,"2",22116045332
22,"221160453",0.14,"2",22116045332
22,"221160453",0.14,"1b",22116045333
23,"221160453",0.71,"1b",22116045333
24,"221160453",0.43,"1b",22116045333
25,"221160453",0.29,"1b",22116045333
26,"221160453",0.14,"1b",22116045333
26,"221160453",0.14,"1",22116045334
27,"221160453",0.14,"1",22116045334
28,"221160453",0.14,"1",22116045334
29,"221160453",0.14,"1",22116045334
30,"221160453",2.0,"1",22116045334
31,"221160453",3.29,"1",22116045334
32,"221160453",8.43,"1",22116045334
33,"221160453",19.14,"1",22116045334
34,"221160453",21.71,"1",22116045334
