"wk","tr","nc","stg","id"
0,"1901030464",0.0,"1",19010304641
1,"1901030464",0.0,"1",19010304641
2,"1901030464",0.0,"1",19010304641
3,"1901030464",0.0,"1",19010304641
4,"1901030464",0.0,"1",19010304641
5,"1901030464",0.0,"1",19010304641
6,"1901030464",0.0,"1",19010304641
7,"1901030464",0.0,"1",19010304641
8,"1901030464",0.0,"1",19010304641
9,"1901030464",0.14,"1",19010304641
10,"1901030464",0.86,"1",19010304641
11,"1901030464",5.57,"1",19010304641
11,"1901030464",5.57,"2",19010304642
12,"1901030464",13.71,"2",19010304642
12,"1901030464",13.71,"3",19010304643
13,"1901030464",17.71,"3",19010304643
14,"1901030464",16.14,"3",19010304643
15,"1901030464",9.71,"3",19010304643
16,"1901030464",4.57,"3",19010304643
16,"1901030464",4.57,"2",19010304644
17,"1901030464",3.14,"2",19010304644
17,"1901030464",3.14,"3",19010304645
18,"1901030464",2.29,"3",19010304645
19,"1901030464",1.57,"3",19010304645
19,"1901030464",1.57,"2",19010304646
20,"1901030464",1.0,"2",19010304646
21,"1901030464",1.14,"2",19010304646
21,"1901030464",1.14,"1b",19010304647
22,"1901030464",1.43,"1b",19010304647
23,"1901030464",5.29,"1b",19010304647
23,"1901030464",5.29,"2",19010304648
24,"1901030464",6.43,"2",19010304648
25,"1901030464",8.29,"2",19010304648
25,"1901030464",8.29,"3",19010304649
26,"1901030464",5.43,"3",19010304649
27,"1901030464",2.57,"3",19010304649
27,"1901030464",2.57,"2",190103046410
28,"1901030464",3.14,"2",190103046410
29,"1901030464",5.14,"2",190103046410
29,"1901030464",5.14,"1b",190103046411
30,"1901030464",37.57,"1b",190103046411
31,"1901030464",90.29,"1b",190103046411
31,"1901030464",90.29,"1",190103046412
32,"1901030464",150.29,"1",190103046412
32,"1901030464",150.29,"1b",190103046413
33,"1901030464",281.14,"1b",190103046413
33,"1901030464",281.14,"4",190103046414
34,"1901030464",265.14,"4",190103046414
35,"1901030464",171.43,"4",190103046414
36,"1901030464",107.43,"4",190103046414
37,"1901030464",128.0,"4",190103046414
38,"1901030464",105.14,"4",190103046414
39,"1901030464",91.43,"4",190103046414
40,"1901030464",89.14,"4",190103046414
41,"1901030464",64.0,"4",190103046414
42,"1901030464",75.43,"4",190103046414
43,"1901030464",80.0,"4",190103046414
44,"1901030464",59.43,"4",190103046414
45,"1901030464",50.86,"4",190103046414
46,"1901030464",53.71,"4",190103046414
47,"1901030464",60.0,"4",190103046414
48,"1901030464",60.0,"4",190103046414
49,"1901030464",58.29,"4",190103046414
50,"1901030464",71.43,"4",190103046414
51,"1901030464",57.14,"4",190103046414
52,"1901030464",66.29,"4",190103046414
53,"1901030464",41.14,"4",190103046414
53,"1901030464",41.14,"3",190103046415
54,"1901030464",70.86,"3",190103046415
55,"1901030464",130.29,"3",190103046415
55,"1901030464",130.29,"4",190103046416
56,"1901030464",96.0,"4",190103046416
57,"1901030464",84.57,"4",190103046416
58,"1901030464",89.14,"4",190103046416
59,"1901030464",89.14,"4",190103046416
60,"1901030464",98.29,"4",190103046416
61,"1901030464",84.57,"4",190103046416
62,"1901030464",70.86,"4",190103046416
63,"1901030464",44.57,"4",190103046416
64,"1901030464",42.29,"4",190103046416
65,"1901030464",68.57,"4",190103046416
65,"1901030464",68.57,"3",190103046417
66,"1901030464",85.14,"3",190103046417
66,"1901030464",85.14,"4",190103046418
67,"1901030464",57.14,"4",190103046418
68,"1901030464",45.71,"4",190103046418
68,"1901030464",45.71,"3",190103046419
69,"1901030464",44.57,"3",190103046419
69,"1901030464",44.57,"4",190103046420
70,"1901030464",57.14,"4",190103046420
71,"1901030464",57.71,"4",190103046420
72,"1901030464",57.14,"4",190103046420
73,"1901030464",61.14,"4",190103046420
74,"1901030464",65.71,"4",190103046420
75,"1901030464",59.43,"4",190103046420
76,"1901030464",67.43,"4",190103046420
77,"1901030464",61.71,"4",190103046420
78,"1901030464",53.14,"4",190103046420
79,"1901030464",57.14,"4",190103046420
80,"1901030464",60.0,"4",190103046420
81,"1901030464",60.57,"4",190103046420
81,"1901030464",60.57,"1",190114971121
0,"1901149711",0.0,"1",190114971121
1,"1901149711",0.0,"1",190114971121
2,"1901149711",0.29,"1",190114971121
3,"1901149711",0.57,"1",190114971121
4,"1901149711",1.43,"1",190114971121
4,"1901149711",1.43,"2",190114971122
5,"1901149711",1.71,"2",190114971122
6,"1901149711",1.29,"2",190114971122
6,"1901149711",1.29,"1b",190114971123
7,"1901149711",6.14,"1b",190114971123
8,"1901149711",21.29,"1b",190114971123
8,"1901149711",21.29,"3",190114971124
9,"1901149711",29.0,"3",190114971124
10,"1901149711",45.71,"3",190114971124
11,"1901149711",77.14,"3",190114971124
11,"1901149711",77.14,"4",190114971125
12,"1901149711",80.57,"4",190114971125
13,"1901149711",52.57,"4",190114971125
14,"1901149711",34.29,"4",190114971125
15,"1901149711",14.86,"4",190114971125
16,"1901149711",10.29,"4",190114971125
16,"1901149711",10.29,"3",190114971126
17,"1901149711",5.29,"3",190114971126
18,"1901149711",5.29,"3",190114971126
18,"1901149711",5.29,"2",190114971127
19,"1901149711",3.0,"2",190114971127
20,"1901149711",4.86,"2",190114971127
21,"1901149711",9.86,"2",190114971127
22,"1901149711",11.57,"2",190114971127
22,"1901149711",11.57,"3",190114971128
23,"1901149711",8.0,"3",190114971128
24,"1901149711",5.29,"3",190114971128
24,"1901149711",5.29,"2",190114971129
25,"1901149711",5.14,"2",190114971129
26,"1901149711",2.57,"2",190114971129
27,"1901149711",2.14,"2",190114971129
28,"1901149711",2.0,"2",190114971129
29,"1901149711",2.29,"2",190114971129
29,"1901149711",2.29,"1b",190114971130
30,"1901149711",36.43,"1b",190114971130
31,"1901149711",98.29,"1b",190114971130
31,"1901149711",98.29,"1",190114971131
32,"1901149711",201.71,"1",190114971131
32,"1901149711",201.71,"2",190114971132
33,"1901149711",390.86,"2",190114971132
33,"1901149711",390.86,"4",190114971133
34,"1901149711",226.29,"4",190114971133
35,"1901149711",128.0,"4",190114971133
36,"1901149711",102.86,"4",190114971133
37,"1901149711",91.43,"4",190114971133
38,"1901149711",54.86,"4",190114971133
39,"1901149711",54.29,"4",190114971133
40,"1901149711",64.57,"4",190114971133
41,"1901149711",52.0,"4",190114971133
41,"1901149711",52.0,"3",190114971134
42,"1901149711",73.14,"3",190114971134
43,"1901149711",83.43,"3",190114971134
44,"1901149711",85.14,"3",190114971134
44,"1901149711",85.14,"4",190114971135
45,"1901149711",83.43,"4",190114971135
46,"1901149711",66.29,"4",190114971135
47,"1901149711",66.29,"4",190114971135
48,"1901149711",43.43,"4",190114971135
49,"1901149711",41.71,"4",190114971135
50,"1901149711",46.86,"4",190114971135
50,"1901149711",46.86,"3",190114971136
51,"1901149711",66.86,"3",190114971136
52,"1901149711",69.14,"3",190114971136
53,"1901149711",89.71,"3",190114971136
53,"1901149711",89.71,"4",190114971137
54,"1901149711",97.14,"4",190114971137
55,"1901149711",82.29,"4",190114971137
56,"1901149711",49.71,"4",190114971137
57,"1901149711",57.71,"4",190114971137
58,"1901149711",46.29,"4",190114971137
59,"1901149711",43.43,"4",190114971137
59,"1901149711",43.43,"3",190114971138
60,"1901149711",80.57,"3",190114971138
61,"1901149711",87.43,"3",190114971138
61,"1901149711",87.43,"4",190114971139
62,"1901149711",91.43,"4",190114971139
63,"1901149711",80.0,"4",190114971139
64,"1901149711",102.86,"4",190114971139
64,"1901149711",102.86,"3",190114971140
65,"1901149711",50.86,"3",190114971140
65,"1901149711",50.86,"4",190114971141
66,"1901149711",56.0,"4",190114971141
67,"1901149711",53.71,"4",190114971141
68,"1901149711",58.86,"4",190114971141
68,"1901149711",58.86,"3",190114971142
69,"1901149711",68.0,"3",190114971142
70,"1901149711",94.86,"3",190114971142
70,"1901149711",94.86,"4",190114971143
71,"1901149711",96.0,"4",190114971143
72,"1901149711",77.71,"4",190114971143
73,"1901149711",45.71,"4",190114971143
74,"1901149711",46.29,"4",190114971143
74,"1901149711",46.29,"3",190114971144
75,"1901149711",64.0,"3",190114971144
76,"1901149711",65.71,"3",190114971144
77,"1901149711",91.43,"3",190114971144
77,"1901149711",91.43,"4",190114971145
78,"1901149711",103.43,"4",190114971145
79,"1901149711",68.57,"4",190114971145
80,"1901149711",55.43,"4",190114971145
81,"1901149711",45.71,"4",190114971145
81,"1901149711",45.71,"1",190116045346
0,"1901160453",0.0,"1",190116045346
1,"1901160453",0.0,"1",190116045346
2,"1901160453",0.0,"1",190116045346
3,"1901160453",0.57,"1",190116045346
4,"1901160453",4.14,"1",190116045346
4,"1901160453",4.14,"2",190116045347
5,"1901160453",2.71,"2",190116045347
6,"1901160453",7.0,"2",190116045347
7,"1901160453",12.57,"2",190116045347
7,"1901160453",12.57,"3",190116045348
8,"1901160453",21.29,"3",190116045348
9,"1901160453",40.0,"3",190116045348
9,"1901160453",40.0,"4",190116045349
10,"1901160453",32.57,"4",190116045349
11,"1901160453",20.0,"4",190116045349
11,"1901160453",20.0,"3",190116045350
