"wk","tr","nc","stg","id"
0,"3901030464",0.0,"1",39010304641
1,"3901030464",0.0,"1",39010304641
2,"3901030464",0.0,"1",39010304641
3,"3901030464",0.0,"1",39010304641
4,"3901030464",0.0,"1",39010304641
5,"3901030464",0.0,"1",39010304641
6,"3901030464",0.0,"1",39010304641
7,"3901030464",0.0,"1",39010304641
8,"3901030464",0.0,"1",39010304641
9,"3901030464",0.14,"1",39010304641
10,"3901030464",0.14,"1",39010304641
11,"3901030464",0.14,"1",39010304641
11,"3901030464",0.14,"1b",39010304642
12,"3901030464",0.0,"1b",39010304642
13,"3901030464",0.0,"1b",39010304642
13,"3901030464",0.0,"1",39010304643
14,"3901030464",0.0,"1",39010304643
15,"3901030464",0.0,"1",39010304643
16,"3901030464",0.0,"1",39010304643
17,"3901030464",0.0,"1",39010304643
18,"3901030464",0.0,"1",39010304643
19,"3901030464",0.14,"1",39010304643
20,"3901030464",0.0,"1",39010304643
21,"3901030464",0.0,"1",39010304643
22,"3901030464",0.14,"1",39010304643
23,"3901030464",0.0,"1",39010304643
24,"3901030464",0.0,"1",39010304643
25,"3901030464",0.0,"1",39010304643
26,"3901030464",0.0,"1",39010304643
27,"3901030464",0.0,"1",39010304643
28,"3901030464",0.0,"1",39010304643
29,"3901030464",0.0,"1",39010304643
30,"3901030464",0.0,"1",39010304643
31,"3901030464",0.29,"1",39010304643
32,"3901030464",0.14,"1",39010304643
33,"3901030464",0.86,"1",39010304643
34,"3901030464",1.57,"1",39010304643
35,"3901030464",2.0,"1",39010304643
36,"3901030464",5.29,"1",39010304643
37,"3901030464",6.71,"1",39010304643
38,"3901030464",8.0,"1",39010304643
39,"3901030464",6.29,"1",39010304643
40,"3901030464",4.14,"1",39010304643
41,"3901030464",3.57,"1",39010304643
42,"3901030464",2.71,"1",39010304643
43,"3901030464",6.0,"1",39010304643
44,"3901030464",9.86,"1",39010304643
45,"3901030464",11.86,"1",39010304643
46,"3901030464",6.86,"1",39010304643
47,"3901030464",6.86,"1",39010304643
48,"3901030464",6.14,"1",39010304643
49,"3901030464",7.14,"1",39010304643
50,"3901030464",5.86,"1",39010304643
51,"3901030464",7.0,"1",39010304643
52,"3901030464",7.0,"1",39010304643
53,"3901030464",6.71,"1",39010304643
54,"3901030464",9.0,"1",39010304643
55,"3901030464",7.86,"1",39010304643
56,"3901030464",9.29,"1",39010304643
57,"3901030464",6.86,"1",39010304643
58,"3901030464",9.57,"1",39010304643
59,"3901030464",16.0,"1",39010304643
60,"3901030464",19.29,"1",39010304643
61,"3901030464",8.57,"1",39010304643
62,"3901030464",8.57,"1",39010304643
63,"3901030464",10.29,"1",39010304643
64,"3901030464",6.29,"1",39010304643
65,"3901030464",6.57,"1",39010304643
66,"3901030464",5.0,"1",39010304643
67,"3901030464",4.86,"1",39010304643
68,"3901030464",4.0,"1",39010304643
69,"3901030464",1.86,"1",39010304643
70,"3901030464",1.86,"1",39010304643
71,"3901030464",1.57,"1",39010304643
72,"3901030464",1.29,"1",39010304643
73,"3901030464",1.57,"1",39010304643
74,"3901030464",0.29,"1",39010304643
75,"3901030464",1.14,"1",39010304643
76,"3901030464",1.0,"1",39010304643
77,"3901030464",0.57,"1",39010304643
78,"3901030464",0.43,"1",39010304643
79,"3901030464",0.57,"1",39010304643
80,"3901030464",0.29,"1",39010304643
81,"3901030464",0.14,"1",39010304643
81,"3901030464",0.14,"1",39011497113
0,"3901149711",0.0,"1",39011497113
1,"3901149711",0.0,"1",39011497113
2,"3901149711",0.14,"1",39011497113
3,"3901149711",0.43,"1",39011497113
3,"3901149711",0.43,"1b",39011497114
4,"3901149711",0.86,"1b",39011497114
4,"3901149711",0.86,"2",39011497115
5,"3901149711",1.71,"2",39011497115
6,"3901149711",2.57,"2",39011497115
7,"3901149711",0.86,"2",39011497115
7,"3901149711",0.86,"1b",39011497116
8,"3901149711",0.71,"1b",39011497116
9,"3901149711",2.86,"1b",39011497116
9,"3901149711",2.86,"2",39011497117
10,"3901149711",4.71,"2",39011497117
11,"3901149711",4.14,"2",39011497117
12,"3901149711",5.14,"2",39011497117
13,"3901149711",5.86,"2",39011497117
14,"3901149711",7.29,"2",39011497117
14,"3901149711",7.29,"1b",39011497118
15,"3901149711",6.29,"1b",39011497118
16,"3901149711",5.86,"1b",39011497118
16,"3901149711",5.86,"1",39011497119
17,"3901149711",7.71,"1",39011497119
18,"3901149711",6.14,"1",39011497119
19,"3901149711",4.43,"1",39011497119
20,"3901149711",3.43,"1",39011497119
21,"3901149711",3.0,"1",39011497119
22,"3901149711",7.0,"1",39011497119
23,"3901149711",5.29,"1",39011497119
24,"3901149711",2.43,"1",39011497119
25,"3901149711",2.14,"1",39011497119
26,"3901149711",1.29,"1",39011497119
27,"3901149711",0.29,"1",39011497119
28,"3901149711",0.14,"1",39011497119
29,"3901149711",0.14,"1",39011497119
30,"3901149711",1.57,"1",39011497119
31,"3901149711",0.71,"1",39011497119
32,"3901149711",0.29,"1",39011497119
33,"3901149711",0.57,"1",39011497119
34,"3901149711",0.57,"1",39011497119
35,"3901149711",0.29,"1",39011497119
36,"3901149711",0.29,"1",39011497119
37,"3901149711",0.43,"1",39011497119
38,"3901149711",1.0,"1",39011497119
39,"3901149711",0.43,"1",39011497119
40,"3901149711",0.0,"1",39011497119
41,"3901149711",0.43,"1",39011497119
42,"3901149711",0.86,"1",39011497119
43,"3901149711",1.43,"1",39011497119
44,"3901149711",0.71,"1",39011497119
45,"3901149711",0.43,"1",39011497119
46,"3901149711",0.43,"1",39011497119
47,"3901149711",0.71,"1",39011497119
48,"3901149711",0.71,"1",39011497119
49,"3901149711",1.43,"1",39011497119
50,"3901149711",1.29,"1",39011497119
51,"3901149711",0.43,"1",39011497119
52,"3901149711",0.57,"1",39011497119
53,"3901149711",1.14,"1",39011497119
54,"3901149711",1.57,"1",39011497119
55,"3901149711",0.29,"1",39011497119
56,"3901149711",2.14,"1",39011497119
57,"3901149711",3.29,"1",39011497119
58,"3901149711",5.14,"1",39011497119
59,"3901149711",8.0,"1",39011497119
60,"3901149711",8.29,"1",39011497119
61,"3901149711",8.86,"1",39011497119
62,"3901149711",14.57,"1",39011497119
63,"3901149711",14.29,"1",39011497119
64,"3901149711",15.57,"1",39011497119
65,"3901149711",13.14,"1",39011497119
66,"3901149711",11.14,"1",39011497119
67,"3901149711",5.86,"1",39011497119
68,"3901149711",7.71,"1",39011497119
69,"3901149711",7.43,"1",39011497119
70,"3901149711",8.57,"1",39011497119
71,"3901149711",7.57,"1",39011497119
72,"3901149711",5.0,"1",39011497119
73,"3901149711",6.14,"1",39011497119
74,"3901149711",4.86,"1",39011497119
75,"3901149711",8.57,"1",39011497119
76,"3901149711",6.43,"1",39011497119
77,"3901149711",6.57,"1",39011497119
78,"3901149711",5.57,"1",39011497119
79,"3901149711",4.57,"1",39011497119
80,"3901149711",7.57,"1",39011497119
81,"3901149711",11.71,"1",39011497119
81,"3901149711",11.71,"1",39011604539
0,"3901160453",0.0,"1",39011604539
1,"3901160453",0.0,"1",39011604539
2,"3901160453",0.0,"1",39011604539
3,"3901160453",0.29,"1",39011604539
4,"3901160453",0.0,"1",39011604539
5,"3901160453",0.29,"1",39011604539
5,"3901160453",0.29,"1b",390116045310
6,"3901160453",0.14,"1b",390116045310
7,"3901160453",0.14,"1b",390116045310
7,"3901160453",0.14,"1",390116045311
8,"3901160453",0.14,"1",390116045311
9,"3901160453",0.0,"1",390116045311
10,"3901160453",0.0,"1",390116045311
11,"3901160453",0.0,"1",390116045311
12,"3901160453",0.14,"1",390116045311
13,"3901160453",0.0,"1",390116045311
14,"3901160453",0.0,"1",390116045311
15,"3901160453",0.0,"1",390116045311
16,"3901160453",0.14,"1",390116045311
17,"3901160453",0.14,"1",390116045311
18,"3901160453",0.57,"1",390116045311
19,"3901160453",0.43,"1",390116045311
20,"3901160453",1.57,"1",390116045311
21,"3901160453",3.29,"1",390116045311
22,"3901160453",6.29,"1",390116045311
23,"3901160453",16.57,"1",390116045311
24,"3901160453",14.0,"1",390116045311
25,"3901160453",13.86,"1",390116045311
26,"3901160453",18.57,"1",390116045311
27,"3901160453",21.43,"1",390116045311
28,"3901160453",16.57,"1",390116045311
29,"3901160453",40.57,"1",390116045311
30,"3901160453",41.71,"1",390116045311
31,"3901160453",64.57,"1",390116045311
32,"3901160453",76.0,"1",390116045311
33,"3901160453",111.43,"1",390116045311
34,"3901160453",166.86,"1",390116045311
35,"3901160453",267.43,"1",390116045311
36,"3901160453",406.86,"1",390116045311
37,"3901160453",603.43,"1",390116045311
38,"3901160453",1234.29,"1",390116045311
39,"3901160453",2075.43,"1",390116045311
40,"3901160453",2998.86,"1",390116045311
40,"3901160453",2998.86,"1b",390116045312
41,"3901160453",4498.29,"1b",390116045312
41,"3901160453",4498.29,"2",390116045313
42,"3901160453",5339.43,"2",390116045313
42,"3901160453",5339.43,"3",390116045314
43,"3901160453",658.29,"3",390116045314
43,"3901160453",658.29,"4",390116045315
44,"3901160453",512.0,"4",390116045315
45,"3901160453",219.43,"4",390116045315
45,"3901160453",219.43,"3",390116045316
46,"3901160453",66.29,"3",390116045316
47,"3901160453",20.57,"3",390116045316
47,"3901160453",20.57,"2",390116045317
48,"3901160453",6.86,"2",390116045317
49,"3901160453",4.14,"2",390116045317
49,"3901160453",4.14,"1",390116045318
50,"3901160453",2.71,"1",390116045318
51,"3901160453",2.43,"1",390116045318
52,"3901160453",3.86,"1",390116045318
53,"3901160453",1.86,"1",390116045318
54,"3901160453",2.14,"1",390116045318
55,"3901160453",4.14,"1",390116045318
56,"3901160453",6.29,"1",390116045318
57,"3901160453",9.43,"1",390116045318
58,"3901160453",20.0,"1",390116045318
59,"3901160453",15.14,"1",390116045318
60,"3901160453",19.0,"1",390116045318
61,"3901160453",20.29,"1",390116045318
62,"3901160453",8.14,"1",390116045318
63,"3901160453",14.0,"1",390116045318
64,"3901160453",17.43,"1",390116045318
65,"3901160453",18.57,"1",390116045318
66,"3901160453",14.71,"1",390116045318
67,"3901160453",9.43,"1",390116045318
68,"3901160453",13.29,"1",390116045318
69,"3901160453",16.43,"1",390116045318
70,"3901160453",17.57,"1",390116045318
71,"3901160453",25.57,"1",390116045318
72,"3901160453",16.0,"1",390116045318
73,"3901160453",10.71,"1",390116045318
74,"3901160453",9.0,"1",390116045318
75,"3901160453",10.57,"1",390116045318
76,"3901160453",7.86,"1",390116045318
77,"3901160453",12.43,"1",390116045318
78,"3901160453",12.71,"1",390116045318
79,"3901160453",14.43,"1",390116045318
80,"3901160453",15.71,"1",390116045318
81,"3901160453",23.14,"1",390116045318
81,"3901160453",23.14,"1",390126176718
0,"3901261767",0.14,"1",390126176718
1,"3901261767",0.0,"1",390126176718
2,"3901261767",0.0,"1",390126176718
3,"3901261767",0.0,"1",390126176718
4,"3901261767",0.0,"1",390126176718
5,"3901261767",0.0,"1",390126176718
6,"3901261767",0.0,"1",390126176718
7,"3901261767",0.0,"1",390126176718
8,"3901261767",0.0,"1",390126176718
9,"3901261767",0.0,"1",390126176718
10,"3901261767",0.0,"1",390126176718
11,"3901261767",0.14,"1",390126176718
12,"3901261767",0.14,"1",390126176718
13,"3901261767",0.29,"1",390126176718
14,"3901261767",1.71,"1",390126176718
15,"3901261767",5.29,"1",390126176718
16,"3901261767",5.86,"1",390126176718
17,"3901261767",12.43,"1",390126176718
18,"3901261767",21.86,"1",390126176718
19,"3901261767",30.29,"1",390126176718
20,"3901261767",34.86,"1",390126176718
21,"3901261767",77.71,"1",390126176718
22,"3901261767",138.86,"1",390126176718
22,"3901261767",138.86,"2",390126176719
23,"3901261767",128.0,"2",390126176719
23,"3901261767",128.0,"4",390126176720
24,"3901261767",68.57,"4",390126176720
25,"3901261767",55.43,"4",390126176720
26,"3901261767",18.86,"4",390126176720
27,"3901261767",7.43,"4",390126176720
27,"3901261767",7.43,"3",390126176721
28,"3901261767",3.14,"3",390126176721
29,"3901261767",1.43,"3",390126176721
29,"3901261767",1.43,"2",390126176722
30,"3901261767",1.0,"2",390126176722
30,"3901261767",1.0,"1b",390126176723
31,"3901261767",1.14,"1b",390126176723
31,"3901261767",1.14,"1",390126176724
32,"3901261767",2.86,"1",390126176724
33,"3901261767",1.29,"1",390126176724
34,"3901261767",3.0,"1",390126176724
35,"3901261767",7.43,"1",390126176724
36,"3901261767",10.71,"1",390126176724
37,"3901261767",13.57,"1",390126176724
38,"3901261767",17.14,"1",390126176724
39,"3901261767",26.86,"1",390126176724
40,"3901261767",53.14,"1",390126176724
41,"3901261767",68.0,"1",390126176724
42,"3901261767",100.57,"1",390126176724
43,"3901261767",272.0,"1",390126176724
44,"3901261767",489.14,"1",390126176724
45,"3901261767",676.57,"1",390126176724
46,"3901261767",1206.86,"1",390126176724
47,"3901261767",2422.86,"1",390126176724
47,"3901261767",2422.86,"1b",390126176725
48,"3901261767",2852.57,"1b",390126176725
48,"3901261767",2852.57,"2",390126176726
49,"3901261767",3766.86,"2",390126176726
49,"3901261767",3766.86,"3",390126176727
50,"3901261767",2706.29,"3",390126176727
