"wk","tr","nc","stg","id"
0,"2281036958",0.0,"1",22810369581
1,"2281036958",0.0,"1",22810369581
2,"2281036958",0.0,"1",22810369581
3,"2281036958",0.14,"1",22810369581
4,"2281036958",0.0,"1",22810369581
5,"2281036958",0.0,"1",22810369581
6,"2281036958",0.0,"1",22810369581
7,"2281036958",0.0,"1",22810369581
8,"2281036958",0.0,"1",22810369581
9,"2281036958",0.0,"1",22810369581
10,"2281036958",0.0,"1",22810369581
11,"2281036958",0.14,"1",22810369581
12,"2281036958",0.0,"1",22810369581
13,"2281036958",0.0,"1",22810369581
14,"2281036958",0.0,"1",22810369581
15,"2281036958",0.14,"1",22810369581
16,"2281036958",0.14,"1",22810369581
17,"2281036958",0.14,"1",22810369581
18,"2281036958",0.0,"1",22810369581
19,"2281036958",0.14,"1",22810369581
20,"2281036958",0.0,"1",22810369581
21,"2281036958",0.0,"1",22810369581
22,"2281036958",0.0,"1",22810369581
23,"2281036958",0.0,"1",22810369581
24,"2281036958",0.0,"1",22810369581
25,"2281036958",0.0,"1",22810369581
26,"2281036958",0.14,"1",22810369581
27,"2281036958",0.0,"1",22810369581
28,"2281036958",0.14,"1",22810369581
29,"2281036958",0.0,"1",22810369581
30,"2281036958",0.0,"1",22810369581
31,"2281036958",0.0,"1",22810369581
32,"2281036958",0.14,"1",22810369581
33,"2281036958",0.0,"1",22810369581
34,"2281036958",0.0,"1",22810369581
35,"2281036958",0.0,"1",22810369581
36,"2281036958",0.0,"1",22810369581
37,"2281036958",0.0,"1",22810369581
38,"2281036958",0.0,"1",22810369581
39,"2281036958",0.0,"1",22810369581
40,"2281036958",0.0,"1",22810369581
41,"2281036958",0.0,"1",22810369581
42,"2281036958",0.29,"1",22810369581
43,"2281036958",0.86,"1",22810369581
44,"2281036958",4.14,"1",22810369581
45,"2281036958",2.86,"1",22810369581
46,"2281036958",3.14,"1",22810369581
47,"2281036958",1.71,"1",22810369581
48,"2281036958",1.71,"1",22810369581
49,"2281036958",0.57,"1",22810369581
50,"2281036958",0.57,"1",22810369581
51,"2281036958",0.0,"1",22810369581
52,"2281036958",0.14,"1",22810369581
53,"2281036958",1.14,"1",22810369581
54,"2281036958",2.57,"1",22810369581
55,"2281036958",3.43,"1",22810369581
56,"2281036958",4.86,"1",22810369581
57,"2281036958",4.29,"1",22810369581
58,"2281036958",2.86,"1",22810369581
59,"2281036958",1.86,"1",22810369581
60,"2281036958",1.57,"1",22810369581
61,"2281036958",3.29,"1",22810369581
62,"2281036958",3.71,"1",22810369581
63,"2281036958",3.0,"1",22810369581
64,"2281036958",2.14,"1",22810369581
65,"2281036958",4.71,"1",22810369581
66,"2281036958",4.43,"1",22810369581
67,"2281036958",8.43,"1",22810369581
68,"2281036958",11.57,"1",22810369581
69,"2281036958",8.86,"1",22810369581
70,"2281036958",5.14,"1",22810369581
71,"2281036958",4.86,"1",22810369581
72,"2281036958",5.57,"1",22810369581
73,"2281036958",4.86,"1",22810369581
74,"2281036958",3.86,"1",22810369581
75,"2281036958",5.14,"1",22810369581
76,"2281036958",3.43,"1",22810369581
77,"2281036958",1.86,"1",22810369581
78,"2281036958",3.29,"1",22810369581
79,"2281036958",3.29,"1",22810369581
80,"2281036958",6.29,"1",22810369581
81,"2281036958",4.29,"1",22810369581
82,"2281036958",8.14,"1",22810369581
83,"2281036958",8.71,"1",22810369581
84,"2281036958",6.71,"1",22810369581
