"wk","tr","nc","stg","id"
0,"5021054940",0.0,"1",50210549401
1,"5021054940",0.0,"1",50210549401
2,"5021054940",0.0,"1",50210549401
3,"5021054940",0.0,"1",50210549401
4,"5021054940",0.29,"1",50210549401
5,"5021054940",1.86,"1",50210549401
5,"5021054940",1.86,"2",50210549402
6,"5021054940",1.71,"2",50210549402
7,"5021054940",3.14,"2",50210549402
8,"5021054940",1.0,"2",50210549402
9,"5021054940",1.57,"2",50210549402
10,"5021054940",0.71,"2",50210549402
10,"5021054940",0.71,"1b",50210549403
11,"5021054940",0.14,"1b",50210549403
12,"5021054940",0.71,"1b",50210549403
13,"5021054940",0.43,"1b",50210549403
14,"5021054940",0.43,"1b",50210549403
14,"5021054940",0.43,"1",50210549404
15,"5021054940",0.43,"1",50210549404
16,"5021054940",0.0,"1",50210549404
17,"5021054940",0.0,"1",50210549404
18,"5021054940",0.0,"1",50210549404
19,"5021054940",0.14,"1",50210549404
20,"5021054940",0.0,"1",50210549404
21,"5021054940",0.0,"1",50210549404
22,"5021054940",0.0,"1",50210549404
23,"5021054940",0.0,"1",50210549404
24,"5021054940",0.0,"1",50210549404
25,"5021054940",0.0,"1",50210549404
26,"5021054940",0.0,"1",50210549404
27,"5021054940",0.29,"1",50210549404
28,"5021054940",0.14,"1",50210549404
29,"5021054940",0.29,"1",50210549404
30,"5021054940",30.86,"1",50210549404
31,"5021054940",72.43,"1",50210549404
32,"5021054940",79.43,"1",50210549404
33,"5021054940",64.0,"1",50210549404
34,"5021054940",132.57,"1",50210549404
35,"5021054940",130.29,"1",50210549404
36,"5021054940",160.0,"1",50210549404
37,"5021054940",180.57,"1",50210549404
38,"5021054940",256.0,"1",50210549404
38,"5021054940",256.0,"1b",50210549405
39,"5021054940",164.57,"1b",50210549405
40,"5021054940",125.71,"1b",50210549405
40,"5021054940",125.71,"1",50210549406
41,"5021054940",118.86,"1",50210549406
42,"5021054940",192.0,"1",50210549406
43,"5021054940",265.14,"1",50210549406
43,"5021054940",265.14,"1b",50210549407
44,"5021054940",205.71,"1b",50210549407
45,"5021054940",187.43,"1b",50210549407
46,"5021054940",157.71,"1b",50210549407
47,"5021054940",157.71,"1b",50210549407
48,"5021054940",153.14,"1b",50210549407
49,"5021054940",112.0,"1b",50210549407
50,"5021054940",123.43,"1b",50210549407
50,"5021054940",123.43,"1",50210549408
51,"5021054940",166.86,"1",50210549408
52,"5021054940",148.57,"1",50210549408
53,"5021054940",185.14,"1",50210549408
54,"5021054940",173.71,"1",50210549408
55,"5021054940",146.29,"1",50210549408
56,"5021054940",157.71,"1",50210549408
57,"5021054940",269.71,"1",50210549408
57,"5021054940",269.71,"1b",50210549409
58,"5021054940",233.14,"1b",50210549409
58,"5021054940",233.14,"2",502105494010
59,"5021054940",123.43,"2",502105494010
60,"5021054940",84.57,"2",502105494010
61,"5021054940",89.14,"2",502105494010
61,"5021054940",89.14,"1b",502105494011
62,"5021054940",70.86,"1b",502105494011
63,"5021054940",80.0,"1b",502105494011
63,"5021054940",80.0,"1",502105494012
64,"5021054940",121.14,"1",502105494012
65,"5021054940",134.86,"1",502105494012
66,"5021054940",251.43,"1",502105494012
67,"5021054940",278.86,"1",502105494012
67,"5021054940",278.86,"1b",502105494013
68,"5021054940",214.86,"1b",502105494013
68,"5021054940",214.86,"2",502105494014
69,"5021054940",93.71,"2",502105494014
70,"5021054940",70.86,"2",502105494014
70,"5021054940",70.86,"1b",502105494015
71,"5021054940",47.43,"1b",502105494015
72,"5021054940",70.86,"1b",502105494015
72,"5021054940",70.86,"1",502105494016
73,"5021054940",89.14,"1",502105494016
74,"5021054940",77.71,"1",502105494016
75,"5021054940",134.86,"1",502105494016
76,"5021054940",198.86,"1",502105494016
77,"5021054940",173.71,"1",502105494016
78,"5021054940",240.0,"1",502105494016
79,"5021054940",333.71,"1",502105494016
79,"5021054940",333.71,"1b",502105494017
80,"5021054940",205.71,"1b",502105494017
80,"5021054940",205.71,"2",502105494018
81,"5021054940",160.0,"2",502105494018
81,"5021054940",160.0,"1",502114830719
0,"5021148307",0.14,"1",502114830719
1,"5021148307",0.14,"1",502114830719
2,"5021148307",0.57,"1",502114830719
3,"5021148307",1.43,"1",502114830719
3,"5021148307",1.43,"2",502114830720
4,"5021148307",2.0,"2",502114830720
5,"5021148307",0.86,"2",502114830720
5,"5021148307",0.86,"1b",502114830721
6,"5021148307",0.0,"1b",502114830721
7,"5021148307",0.43,"1b",502114830721
8,"5021148307",0.29,"1b",502114830721
9,"5021148307",0.57,"1b",502114830721
10,"5021148307",0.0,"1b",502114830721
10,"5021148307",0.0,"1",502114830722
11,"5021148307",0.29,"1",502114830722
11,"5021148307",0.29,"1b",502114830723
12,"5021148307",0.0,"1b",502114830723
13,"5021148307",0.29,"1b",502114830723
13,"5021148307",0.29,"1",502114830724
14,"5021148307",0.0,"1",502114830724
15,"5021148307",1.14,"1",502114830724
16,"5021148307",0.86,"1",502114830724
17,"5021148307",0.57,"1",502114830724
18,"5021148307",0.43,"1",502114830724
19,"5021148307",0.29,"1",502114830724
20,"5021148307",0.14,"1",502114830724
21,"5021148307",0.43,"1",502114830724
22,"5021148307",0.0,"1",502114830724
23,"5021148307",0.71,"1",502114830724
24,"5021148307",0.71,"1",502114830724
25,"5021148307",0.14,"1",502114830724
26,"5021148307",0.0,"1",502114830724
27,"5021148307",0.43,"1",502114830724
28,"5021148307",0.14,"1",502114830724
29,"5021148307",0.14,"1",502114830724
30,"5021148307",32.29,"1",502114830724
31,"5021148307",58.0,"1",502114830724
32,"5021148307",116.0,"1",502114830724
33,"5021148307",116.57,"1",502114830724
34,"5021148307",182.86,"1",502114830724
35,"5021148307",297.14,"1",502114830724
35,"5021148307",297.14,"1b",502114830725
36,"5021148307",230.86,"1b",502114830725
36,"5021148307",230.86,"2",502114830726
37,"5021148307",189.71,"2",502114830726
38,"5021148307",160.0,"2",502114830726
39,"5021148307",134.86,"2",502114830726
40,"5021148307",100.57,"2",502114830726
40,"5021148307",100.57,"1b",502114830727
41,"5021148307",93.71,"1b",502114830727
42,"5021148307",123.43,"1b",502114830727
42,"5021148307",123.43,"1",502114830728
43,"5021148307",194.29,"1",502114830728
44,"5021148307",310.86,"1",502114830728
44,"5021148307",310.86,"1b",502114830729
45,"5021148307",194.29,"1b",502114830729
45,"5021148307",194.29,"2",502114830730
46,"5021148307",107.43,"2",502114830730
46,"5021148307",107.43,"3",502114830731
47,"5021148307",73.14,"3",502114830731
48,"5021148307",48.57,"3",502114830731
48,"5021148307",48.57,"2",502114830732
49,"5021148307",48.0,"2",502114830732
50,"5021148307",52.57,"2",502114830732
50,"5021148307",52.57,"1b",502114830733
51,"5021148307",62.29,"1b",502114830733
52,"5021148307",81.71,"1b",502114830733
52,"5021148307",81.71,"1",502114830734
53,"5021148307",77.71,"1",502114830734
54,"5021148307",61.71,"1",502114830734
55,"5021148307",141.71,"1",502114830734
56,"5021148307",160.0,"1",502114830734
57,"5021148307",249.14,"1",502114830734
58,"5021148307",262.86,"1",502114830734
59,"5021148307",260.57,"1",502114830734
59,"5021148307",260.57,"1b",502114830735
60,"5021148307",169.14,"1b",502114830735
60,"5021148307",169.14,"2",502114830736
61,"5021148307",164.57,"2",502114830736
62,"5021148307",112.0,"2",502114830736
63,"5021148307",114.29,"2",502114830736
63,"5021148307",114.29,"1b",502114830737
64,"5021148307",86.86,"1b",502114830737
65,"5021148307",98.29,"1b",502114830737
65,"5021148307",98.29,"1",502114830738
66,"5021148307",96.0,"1",502114830738
67,"5021148307",148.57,"1",502114830738
68,"5021148307",276.57,"1",502114830738
68,"5021148307",276.57,"1b",502114830739
69,"5021148307",272.0,"1b",502114830739
69,"5021148307",272.0,"2",502114830740
70,"5021148307",249.14,"2",502114830740
70,"5021148307",249.14,"3",502114830741
71,"5021148307",164.57,"3",502114830741
72,"5021148307",82.29,"3",502114830741
72,"5021148307",82.29,"2",502114830742
73,"5021148307",77.71,"2",502114830742
74,"5021148307",89.14,"2",502114830742
74,"5021148307",89.14,"1b",502114830743
75,"5021148307",123.43,"1b",502114830743
76,"5021148307",132.57,"1b",502114830743
76,"5021148307",132.57,"1",502114830744
77,"5021148307",150.86,"1",502114830744
78,"5021148307",128.0,"1",502114830744
79,"5021148307",230.86,"1",502114830744
80,"5021148307",358.86,"1",502114830744
80,"5021148307",358.86,"2",502114830745
81,"5021148307",201.14,"2",502114830745
81,"5021148307",201.14,"1",502118490046
0,"5021184900",0.57,"1",502118490046
1,"5021184900",1.86,"1",502118490046
1,"5021184900",1.86,"2",502118490047
2,"5021184900",2.57,"2",502118490047
3,"5021184900",2.86,"2",502118490047
4,"5021184900",2.43,"2",502118490047
5,"5021184900",1.57,"2",502118490047
6,"5021184900",1.14,"2",502118490047
7,"5021184900",0.86,"2",502118490047
7,"5021184900",0.86,"1b",502118490048
8,"5021184900",0.43,"1b",502118490048
8,"5021184900",0.43,"2",502118490049
9,"5021184900",1.57,"2",502118490049
10,"5021184900",3.0,"2",502118490049
11,"5021184900",1.43,"2",502118490049
12,"5021184900",0.86,"2",502118490049
12,"5021184900",0.86,"1b",502118490050
13,"5021184900",0.57,"1b",502118490050
14,"5021184900",0.0,"1b",502118490050
14,"5021184900",0.0,"1",502118490051
15,"5021184900",0.29,"1",502118490051
16,"5021184900",0.0,"1",502118490051
17,"5021184900",0.14,"1",502118490051
18,"5021184900",0.43,"1",502118490051
19,"5021184900",0.86,"1",502118490051
20,"5021184900",0.29,"1",502118490051
21,"5021184900",0.29,"1",502118490051
22,"5021184900",0.0,"1",502118490051
23,"5021184900",0.43,"1",502118490051
24,"5021184900",0.29,"1",502118490051
25,"5021184900",0.0,"1",502118490051
26,"5021184900",0.0,"1",502118490051
27,"5021184900",0.0,"1",502118490051
28,"5021184900",0.0,"1",502118490051
29,"5021184900",0.0,"1",502118490051
30,"5021184900",35.43,"1",502118490051
31,"5021184900",59.43,"1",502118490051
32,"5021184900",88.57,"1",502118490051
33,"5021184900",86.86,"1",502118490051
34,"5021184900",144.0,"1",502118490051
35,"5021184900",256.0,"1",502118490051
35,"5021184900",256.0,"1b",502118490052
36,"5021184900",176.0,"1b",502118490052
37,"5021184900",130.29,"1b",502118490052
38,"5021184900",128.0,"1b",502118490052
38,"5021184900",128.0,"1",502118490053
39,"5021184900",205.71,"1",502118490053
40,"5021184900",242.29,"1",502118490053
40,"5021184900",242.29,"1b",502118490054
41,"5021184900",217.14,"1b",502118490054
41,"5021184900",217.14,"2",502118490055
42,"5021184900",208.0,"2",502118490055
42,"5021184900",208.0,"3",502118490056
43,"5021184900",102.86,"3",502118490056
44,"5021184900",102.86,"3",502118490056
44,"5021184900",102.86,"2",502118490057
45,"5021184900",68.57,"2",502118490057
46,"5021184900",54.86,"2",502118490057
46,"5021184900",54.86,"1b",502118490058
47,"5021184900",53.71,"1b",502118490058
48,"5021184900",82.86,"1b",502118490058
48,"5021184900",82.86,"1",502118490059
49,"5021184900",57.14,"1",502118490059
50,"5021184900",98.29,"1",502118490059
51,"5021184900",98.29,"1",502118490059
52,"5021184900",162.29,"1",502118490059
53,"5021184900",294.86,"1",502118490059
53,"5021184900",294.86,"1b",502118490060
54,"5021184900",256.0,"1b",502118490060
54,"5021184900",256.0,"2",502118490061
55,"5021184900",100.57,"2",502118490061
55,"5021184900",100.57,"3",502118490062
56,"5021184900",86.86,"3",502118490062
57,"5021184900",70.86,"3",502118490062
57,"5021184900",70.86,"2",502118490063
58,"5021184900",93.71,"2",502118490063
