"wk","tr","nc","stg","id"
0,"2031054940",0.0,"1",20310549401
1,"2031054940",0.0,"1",20310549401
2,"2031054940",0.0,"1",20310549401
3,"2031054940",0.0,"1",20310549401
4,"2031054940",0.14,"1",20310549401
5,"2031054940",0.0,"1",20310549401
6,"2031054940",0.14,"1",20310549401
7,"2031054940",0.14,"1",20310549401
8,"2031054940",1.0,"1",20310549401
8,"2031054940",1.0,"1b",20310549402
9,"2031054940",0.57,"1b",20310549402
9,"2031054940",0.57,"2",20310549403
10,"2031054940",0.57,"2",20310549403
11,"2031054940",0.14,"2",20310549403
11,"2031054940",0.14,"1b",20310549404
12,"2031054940",0.29,"1b",20310549404
13,"2031054940",0.0,"1b",20310549404
13,"2031054940",0.0,"1",20310549405
14,"2031054940",0.0,"1",20310549405
15,"2031054940",0.0,"1",20310549405
16,"2031054940",0.0,"1",20310549405
17,"2031054940",0.0,"1",20310549405
18,"2031054940",0.0,"1",20310549405
19,"2031054940",0.14,"1",20310549405
20,"2031054940",0.0,"1",20310549405
21,"2031054940",0.0,"1",20310549405
22,"2031054940",0.0,"1",20310549405
23,"2031054940",0.0,"1",20310549405
24,"2031054940",0.0,"1",20310549405
25,"2031054940",0.0,"1",20310549405
26,"2031054940",0.0,"1",20310549405
27,"2031054940",0.29,"1",20310549405
28,"2031054940",0.29,"1",20310549405
29,"2031054940",0.57,"1",20310549405
30,"2031054940",7.57,"1",20310549405
31,"2031054940",19.71,"1",20310549405
32,"2031054940",37.0,"1",20310549405
32,"2031054940",37.0,"1b",20310549406
33,"2031054940",41.71,"1b",20310549406
33,"2031054940",41.71,"2",20310549407
34,"2031054940",50.29,"2",20310549407
34,"2031054940",50.29,"3",20310549408
35,"2031054940",36.0,"3",20310549408
36,"2031054940",26.86,"3",20310549408
37,"2031054940",25.71,"3",20310549408
38,"2031054940",31.43,"3",20310549408
39,"2031054940",21.14,"3",20310549408
40,"2031054940",22.86,"3",20310549408
41,"2031054940",22.29,"3",20310549408
41,"2031054940",22.29,"2",20310549409
42,"2031054940",22.29,"2",20310549409
43,"2031054940",20.57,"2",20310549409
43,"2031054940",20.57,"1b",203105494010
44,"2031054940",26.29,"1b",203105494010
45,"2031054940",25.14,"1b",203105494010
45,"2031054940",25.14,"1",203105494011
46,"2031054940",29.71,"1",203105494011
47,"2031054940",61.71,"1",203105494011
47,"2031054940",61.71,"1b",203105494012
48,"2031054940",116.57,"1b",203105494012
48,"2031054940",116.57,"3",203105494013
49,"2031054940",98.29,"3",203105494013
49,"2031054940",98.29,"4",203105494014
50,"2031054940",29.71,"4",203105494014
51,"2031054940",14.86,"4",203105494014
52,"2031054940",19.43,"4",203105494014
52,"2031054940",19.43,"3",203105494015
53,"2031054940",12.14,"3",203105494015
54,"2031054940",15.43,"3",203105494015
54,"2031054940",15.43,"2",203105494016
55,"2031054940",18.29,"2",203105494016
56,"2031054940",23.29,"2",203105494016
56,"2031054940",23.29,"1b",203105494017
57,"2031054940",34.86,"1b",203105494017
58,"2031054940",39.43,"1b",203105494017
58,"2031054940",39.43,"2",203105494018
59,"2031054940",24.57,"2",203105494018
60,"2031054940",36.57,"2",203105494018
61,"2031054940",29.14,"2",203105494018
61,"2031054940",29.14,"1b",203105494019
62,"2031054940",38.86,"1b",203105494019
62,"2031054940",38.86,"2",203105494020
63,"2031054940",35.43,"2",203105494020
64,"2031054940",24.0,"2",203105494020
65,"2031054940",29.14,"2",203105494020
65,"2031054940",29.14,"1b",203105494021
66,"2031054940",40.57,"1b",203105494021
67,"2031054940",47.43,"1b",203105494021
67,"2031054940",47.43,"2",203105494022
