"wk","tr","nc","stg","id"
0,"771036958",0.0,"1",7710369581
1,"771036958",0.0,"1",7710369581
2,"771036958",0.0,"1",7710369581
3,"771036958",0.14,"1",7710369581
4,"771036958",0.0,"1",7710369581
5,"771036958",0.0,"1",7710369581
6,"771036958",0.0,"1",7710369581
7,"771036958",0.0,"1",7710369581
8,"771036958",0.0,"1",7710369581
9,"771036958",0.0,"1",7710369581
10,"771036958",0.0,"1",7710369581
11,"771036958",0.14,"1",7710369581
12,"771036958",0.0,"1",7710369581
13,"771036958",0.0,"1",7710369581
14,"771036958",0.0,"1",7710369581
15,"771036958",0.14,"1",7710369581
16,"771036958",0.14,"1",7710369581
17,"771036958",0.14,"1",7710369581
18,"771036958",0.0,"1",7710369581
19,"771036958",0.14,"1",7710369581
20,"771036958",0.0,"1",7710369581
21,"771036958",0.0,"1",7710369581
22,"771036958",0.0,"1",7710369581
23,"771036958",0.0,"1",7710369581
24,"771036958",0.0,"1",7710369581
25,"771036958",0.0,"1",7710369581
26,"771036958",0.14,"1",7710369581
27,"771036958",0.0,"1",7710369581
28,"771036958",0.14,"1",7710369581
29,"771036958",0.43,"1",7710369581
29,"771036958",0.43,"1b",7710369582
30,"771036958",1.29,"1b",7710369582
30,"771036958",1.29,"2",7710369583
31,"771036958",0.0,"2",7710369583
32,"771036958",0.29,"2",7710369583
32,"771036958",0.29,"1b",7710369584
33,"771036958",0.0,"1b",7710369584
34,"771036958",0.0,"1b",7710369584
34,"771036958",0.0,"1",7710369585
35,"771036958",0.0,"1",7710369585
36,"771036958",0.0,"1",7710369585
37,"771036958",0.0,"1",7710369585
38,"771036958",0.0,"1",7710369585
39,"771036958",0.0,"1",7710369585
40,"771036958",0.0,"1",7710369585
41,"771036958",0.0,"1",7710369585
42,"771036958",0.43,"1",7710369585
42,"771036958",0.43,"1b",7710369586
43,"771036958",0.0,"1b",7710369586
44,"771036958",0.0,"1b",7710369586
44,"771036958",0.0,"1",7710369587
45,"771036958",0.0,"1",7710369587
46,"771036958",0.0,"1",7710369587
47,"771036958",0.0,"1",7710369587
48,"771036958",0.0,"1",7710369587
49,"771036958",0.0,"1",7710369587
50,"771036958",0.14,"1",7710369587
51,"771036958",0.0,"1",7710369587
52,"771036958",0.14,"1",7710369587
53,"771036958",5.57,"1",7710369587
54,"771036958",14.14,"1",7710369587
55,"771036958",24.86,"1",7710369587
56,"771036958",28.57,"1",7710369587
57,"771036958",50.29,"1",7710369587
58,"771036958",67.43,"1",7710369587
58,"771036958",67.43,"1b",7710369588
59,"771036958",127.43,"1b",7710369588
59,"771036958",127.43,"2",7710369589
60,"771036958",125.71,"2",7710369589
60,"771036958",125.71,"3",77103695810
61,"771036958",114.29,"3",77103695810
61,"771036958",114.29,"4",77103695811
62,"771036958",36.57,"4",77103695811
63,"771036958",13.71,"4",77103695811
63,"771036958",13.71,"3",77103695812
64,"771036958",16.0,"3",77103695812
65,"771036958",14.71,"3",77103695812
65,"771036958",14.71,"2",77103695813
66,"771036958",13.57,"2",77103695813
67,"771036958",12.29,"2",77103695813
67,"771036958",12.29,"1b",77103695814
68,"771036958",13.43,"1b",77103695814
69,"771036958",13.43,"1b",77103695814
69,"771036958",13.43,"1",77103695815
70,"771036958",19.57,"1",77103695815
71,"771036958",26.29,"1",77103695815
72,"771036958",50.86,"1",77103695815
72,"771036958",50.86,"1b",77103695816
73,"771036958",61.14,"1b",77103695816
74,"771036958",48.0,"1b",77103695816
75,"771036958",24.57,"1b",77103695816
75,"771036958",24.57,"1",77103695817
76,"771036958",26.29,"1",77103695817
77,"771036958",32.0,"1",77103695817
78,"771036958",37.14,"1",77103695817
78,"771036958",37.14,"1b",77103695818
79,"771036958",23.43,"1b",77103695818
80,"771036958",20.57,"1b",77103695818
80,"771036958",20.57,"1",77103695819
81,"771036958",36.57,"1",77103695819
82,"771036958",24.0,"1",77103695819
83,"771036958",32.0,"1",77103695819
84,"771036958",28.57,"1",77103695819
85,"771036958",32.57,"1",77103695819
86,"771036958",25.14,"1",77103695819
87,"771036958",29.14,"1",77103695819
88,"771036958",39.43,"1",77103695819
89,"771036958",38.29,"1",77103695819
90,"771036958",32.57,"1",77103695819
91,"771036958",34.29,"1",77103695819
92,"771036958",41.14,"1",77103695819
93,"771036958",61.71,"1",77103695819
94,"771036958",64.0,"1",77103695819
94,"771036958",64.0,"1b",77103695820
95,"771036958",100.57,"1b",77103695820
95,"771036958",100.57,"2",77103695821
96,"771036958",73.14,"2",77103695821
96,"771036958",73.14,"3",77103695822
97,"771036958",52.57,"3",77103695822
97,"771036958",52.57,"4",77103695823
98,"771036958",29.14,"4",77103695823
99,"771036958",12.57,"4",77103695823
99,"771036958",12.57,"3",77103695824
100,"771036958",10.71,"3",77103695824
101,"771036958",9.29,"3",77103695824
101,"771036958",9.29,"2",77103695825
102,"771036958",9.71,"2",77103695825
103,"771036958",7.57,"2",77103695825
103,"771036958",7.57,"1b",77103695826
104,"771036958",9.71,"1b",77103695826
104,"771036958",9.71,"1",77106119027
0,"771061190",0.0,"1",77106119027
1,"771061190",0.0,"1",77106119027
2,"771061190",0.14,"1",77106119027
3,"771061190",0.14,"1",77106119027
4,"771061190",1.57,"1",77106119027
4,"771061190",1.57,"2",77106119028
5,"771061190",5.0,"2",77106119028
6,"771061190",3.43,"2",77106119028
7,"771061190",5.0,"2",77106119028
7,"771061190",5.0,"3",77106119029
8,"771061190",5.29,"3",77106119029
9,"771061190",4.43,"3",77106119029
9,"771061190",4.43,"2",77106119030
10,"771061190",1.29,"2",77106119030
11,"771061190",1.29,"2",77106119030
12,"771061190",0.71,"2",77106119030
12,"771061190",0.71,"1b",77106119031
13,"771061190",0.14,"1b",77106119031
14,"771061190",0.0,"1b",77106119031
14,"771061190",0.0,"1",77106119032
15,"771061190",0.0,"1",77106119032
16,"771061190",0.0,"1",77106119032
17,"771061190",0.14,"1",77106119032
18,"771061190",0.29,"1",77106119032
18,"771061190",0.29,"1b",77106119033
19,"771061190",0.0,"1b",77106119033
20,"771061190",0.0,"1b",77106119033
20,"771061190",0.0,"1",77106119034
21,"771061190",0.0,"1",77106119034
22,"771061190",0.0,"1",77106119034
23,"771061190",0.0,"1",77106119034
24,"771061190",0.14,"1",77106119034
25,"771061190",0.29,"1",77106119034
26,"771061190",0.0,"1",77106119034
27,"771061190",0.0,"1",77106119034
28,"771061190",0.0,"1",77106119034
29,"771061190",0.0,"1",77106119034
30,"771061190",0.29,"1",77106119034
