"wk","tr","nc","stg","id"
0,"3871030464",0.0,"1",38710304641
1,"3871030464",0.0,"1",38710304641
2,"3871030464",0.0,"1",38710304641
3,"3871030464",0.0,"1",38710304641
4,"3871030464",0.0,"1",38710304641
5,"3871030464",0.0,"1",38710304641
6,"3871030464",0.0,"1",38710304641
7,"3871030464",0.0,"1",38710304641
8,"3871030464",0.0,"1",38710304641
9,"3871030464",0.14,"1",38710304641
10,"3871030464",0.0,"1",38710304641
11,"3871030464",0.0,"1",38710304641
12,"3871030464",0.0,"1",38710304641
13,"3871030464",0.0,"1",38710304641
14,"3871030464",0.0,"1",38710304641
15,"3871030464",0.0,"1",38710304641
16,"3871030464",0.0,"1",38710304641
17,"3871030464",0.0,"1",38710304641
18,"3871030464",0.0,"1",38710304641
19,"3871030464",0.14,"1",38710304641
20,"3871030464",0.71,"1",38710304641
21,"3871030464",1.14,"1",38710304641
22,"3871030464",0.43,"1",38710304641
23,"3871030464",0.0,"1",38710304641
24,"3871030464",0.0,"1",38710304641
25,"3871030464",0.0,"1",38710304641
26,"3871030464",0.0,"1",38710304641
27,"3871030464",0.0,"1",38710304641
28,"3871030464",0.0,"1",38710304641
29,"3871030464",0.0,"1",38710304641
30,"3871030464",0.0,"1",38710304641
31,"3871030464",0.14,"1",38710304641
32,"3871030464",0.14,"1",38710304641
33,"3871030464",0.43,"1",38710304641
34,"3871030464",1.57,"1",38710304641
35,"3871030464",1.14,"1",38710304641
36,"3871030464",1.0,"1",38710304641
37,"3871030464",0.86,"1",38710304641
38,"3871030464",1.29,"1",38710304641
39,"3871030464",1.0,"1",38710304641
40,"3871030464",2.86,"1",38710304641
41,"3871030464",4.71,"1",38710304641
42,"3871030464",7.29,"1",38710304641
43,"3871030464",11.57,"1",38710304641
44,"3871030464",9.86,"1",38710304641
45,"3871030464",10.86,"1",38710304641
46,"3871030464",13.29,"1",38710304641
47,"3871030464",9.43,"1",38710304641
48,"3871030464",13.0,"1",38710304641
49,"3871030464",9.71,"1",38710304641
50,"3871030464",10.29,"1",38710304641
51,"3871030464",10.57,"1",38710304641
52,"3871030464",10.86,"1",38710304641
53,"3871030464",12.86,"1",38710304641
54,"3871030464",10.14,"1",38710304641
55,"3871030464",12.57,"1",38710304641
56,"3871030464",10.86,"1",38710304641
57,"3871030464",11.29,"1",38710304641
58,"3871030464",13.14,"1",38710304641
59,"3871030464",13.43,"1",38710304641
60,"3871030464",13.43,"1",38710304641
61,"3871030464",10.43,"1",38710304641
62,"3871030464",12.14,"1",38710304641
63,"3871030464",16.0,"1",38710304641
64,"3871030464",11.43,"1",38710304641
65,"3871030464",7.86,"1",38710304641
66,"3871030464",9.71,"1",38710304641
67,"3871030464",11.57,"1",38710304641
68,"3871030464",11.0,"1",38710304641
69,"3871030464",14.14,"1",38710304641
70,"3871030464",14.86,"1",38710304641
71,"3871030464",13.0,"1",38710304641
72,"3871030464",10.71,"1",38710304641
73,"3871030464",12.86,"1",38710304641
74,"3871030464",10.86,"1",38710304641
75,"3871030464",12.43,"1",38710304641
76,"3871030464",13.71,"1",38710304641
77,"3871030464",11.0,"1",38710304641
78,"3871030464",8.29,"1",38710304641
79,"3871030464",7.14,"1",38710304641
80,"3871030464",3.57,"1",38710304641
81,"3871030464",1.57,"1",38710304641
81,"3871030464",1.57,"1",38711497111
0,"3871149711",0.0,"1",38711497111
1,"3871149711",0.0,"1",38711497111
2,"3871149711",0.14,"1",38711497111
3,"3871149711",0.0,"1",38711497111
4,"3871149711",0.14,"1",38711497111
5,"3871149711",0.43,"1",38711497111
6,"3871149711",0.0,"1",38711497111
6,"3871149711",0.0,"1b",38711497112
7,"3871149711",0.43,"1b",38711497112
8,"3871149711",0.71,"1b",38711497112
9,"3871149711",0.0,"1b",38711497112
9,"3871149711",0.0,"1",38711497113
10,"3871149711",0.0,"1",38711497113
11,"3871149711",0.0,"1",38711497113
12,"3871149711",0.0,"1",38711497113
13,"3871149711",0.0,"1",38711497113
14,"3871149711",0.43,"1",38711497113
15,"3871149711",0.14,"1",38711497113
16,"3871149711",0.0,"1",38711497113
17,"3871149711",0.0,"1",38711497113
18,"3871149711",0.0,"1",38711497113
19,"3871149711",0.29,"1",38711497113
20,"3871149711",0.0,"1",38711497113
21,"3871149711",0.0,"1",38711497113
22,"3871149711",0.0,"1",38711497113
23,"3871149711",0.0,"1",38711497113
24,"3871149711",0.0,"1",38711497113
25,"3871149711",0.29,"1",38711497113
26,"3871149711",0.0,"1",38711497113
27,"3871149711",0.14,"1",38711497113
28,"3871149711",0.14,"1",38711497113
29,"3871149711",0.14,"1",38711497113
30,"3871149711",0.29,"1",38711497113
31,"3871149711",0.0,"1",38711497113
32,"3871149711",0.0,"1",38711497113
33,"3871149711",0.29,"1",38711497113
34,"3871149711",0.14,"1",38711497113
35,"3871149711",0.43,"1",38711497113
36,"3871149711",1.57,"1",38711497113
37,"3871149711",1.86,"1",38711497113
38,"3871149711",3.29,"1",38711497113
39,"3871149711",4.29,"1",38711497113
40,"3871149711",5.86,"1",38711497113
41,"3871149711",8.43,"1",38711497113
42,"3871149711",11.86,"1",38711497113
43,"3871149711",12.29,"1",38711497113
44,"3871149711",11.43,"1",38711497113
45,"3871149711",9.0,"1",38711497113
46,"3871149711",11.0,"1",38711497113
47,"3871149711",16.43,"1",38711497113
48,"3871149711",19.0,"1",38711497113
49,"3871149711",21.71,"1",38711497113
50,"3871149711",21.14,"1",38711497113
51,"3871149711",11.43,"1",38711497113
52,"3871149711",4.14,"1",38711497113
53,"3871149711",3.57,"1",38711497113
54,"3871149711",5.57,"1",38711497113
55,"3871149711",3.0,"1",38711497113
56,"3871149711",1.71,"1",38711497113
57,"3871149711",0.57,"1",38711497113
58,"3871149711",0.14,"1",38711497113
59,"3871149711",0.14,"1",38711497113
60,"3871149711",0.14,"1",38711497113
61,"3871149711",0.14,"1",38711497113
62,"3871149711",0.14,"1",38711497113
63,"3871149711",1.14,"1",38711497113
64,"3871149711",7.29,"1",38711497113
65,"3871149711",8.86,"1",38711497113
66,"3871149711",12.0,"1",38711497113
67,"3871149711",9.43,"1",38711497113
68,"3871149711",15.29,"1",38711497113
69,"3871149711",19.0,"1",38711497113
70,"3871149711",13.86,"1",38711497113
71,"3871149711",15.0,"1",38711497113
72,"3871149711",14.71,"1",38711497113
73,"3871149711",15.29,"1",38711497113
74,"3871149711",11.71,"1",38711497113
75,"3871149711",12.57,"1",38711497113
76,"3871149711",10.0,"1",38711497113
77,"3871149711",11.86,"1",38711497113
78,"3871149711",9.57,"1",38711497113
79,"3871149711",9.14,"1",38711497113
80,"3871149711",12.43,"1",38711497113
81,"3871149711",6.71,"1",38711497113
81,"3871149711",6.71,"1",38711604533
0,"3871160453",0.0,"1",38711604533
1,"3871160453",0.0,"1",38711604533
2,"3871160453",0.0,"1",38711604533
3,"3871160453",0.29,"1",38711604533
4,"3871160453",0.0,"1",38711604533
5,"3871160453",0.0,"1",38711604533
6,"3871160453",0.0,"1",38711604533
7,"3871160453",0.0,"1",38711604533
8,"3871160453",0.14,"1",38711604533
9,"3871160453",0.0,"1",38711604533
10,"3871160453",0.0,"1",38711604533
11,"3871160453",0.0,"1",38711604533
12,"3871160453",0.14,"1",38711604533
13,"3871160453",0.14,"1",38711604533
14,"3871160453",1.57,"1",38711604533
15,"3871160453",2.14,"1",38711604533
16,"3871160453",0.57,"1",38711604533
17,"3871160453",1.14,"1",38711604533
18,"3871160453",0.71,"1",38711604533
19,"3871160453",1.0,"1",38711604533
20,"3871160453",0.71,"1",38711604533
21,"3871160453",0.71,"1",38711604533
22,"3871160453",0.43,"1",38711604533
23,"3871160453",2.57,"1",38711604533
24,"3871160453",9.71,"1",38711604533
25,"3871160453",17.71,"1",38711604533
26,"3871160453",33.43,"1",38711604533
27,"3871160453",42.86,"1",38711604533
28,"3871160453",68.0,"1",38711604533
29,"3871160453",81.71,"1",38711604533
29,"3871160453",81.71,"1b",38711604534
30,"3871160453",66.29,"1b",38711604534
31,"3871160453",128.0,"1b",38711604534
31,"3871160453",128.0,"1",38711604535
32,"3871160453",160.0,"1",38711604535
33,"3871160453",340.57,"1",38711604535
34,"3871160453",457.14,"1",38711604535
35,"3871160453",950.86,"1",38711604535
36,"3871160453",1865.14,"1",38711604535
37,"3871160453",2962.29,"1",38711604535
37,"3871160453",2962.29,"1b",38711604536
38,"3871160453",5156.57,"1b",38711604536
38,"3871160453",5156.57,"2",38711604537
39,"3871160453",5851.43,"2",38711604537
39,"3871160453",5851.43,"3",38711604538
40,"3871160453",6729.14,"3",38711604538
40,"3871160453",6729.14,"4",38711604539
41,"3871160453",4242.29,"4",38711604539
42,"3871160453",1974.86,"4",38711604539
42,"3871160453",1974.86,"3",387116045310
43,"3871160453",731.43,"3",387116045310
44,"3871160453",384.0,"3",387116045310
44,"3871160453",384.0,"4",387116045311
45,"3871160453",173.71,"4",387116045311
46,"3871160453",34.29,"4",387116045311
46,"3871160453",34.29,"3",387116045312
47,"3871160453",20.57,"3",387116045312
48,"3871160453",10.14,"3",387116045312
48,"3871160453",10.14,"2",387116045313
49,"3871160453",2.86,"2",387116045313
50,"3871160453",1.57,"2",387116045313
50,"3871160453",1.57,"1",387116045314
51,"3871160453",3.29,"1",387116045314
52,"3871160453",3.0,"1",387116045314
53,"3871160453",8.71,"1",387116045314
54,"3871160453",7.14,"1",387116045314
55,"3871160453",11.0,"1",387116045314
56,"3871160453",17.29,"1",387116045314
57,"3871160453",20.43,"1",387116045314
58,"3871160453",10.86,"1",387116045314
59,"3871160453",12.14,"1",387116045314
60,"3871160453",13.14,"1",387116045314
61,"3871160453",14.43,"1",387116045314
62,"3871160453",19.29,"1",387116045314
63,"3871160453",20.86,"1",387116045314
64,"3871160453",31.43,"1",387116045314
65,"3871160453",52.0,"1",387116045314
66,"3871160453",44.57,"1",387116045314
67,"3871160453",54.29,"1",387116045314
68,"3871160453",71.43,"1",387116045314
69,"3871160453",64.0,"1",387116045314
70,"3871160453",24.0,"1",387116045314
71,"3871160453",12.0,"1",387116045314
72,"3871160453",7.14,"1",387116045314
73,"3871160453",5.71,"1",387116045314
74,"3871160453",6.57,"1",387116045314
75,"3871160453",5.71,"1",387116045314
76,"3871160453",6.14,"1",387116045314
77,"3871160453",11.71,"1",387116045314
78,"3871160453",26.71,"1",387116045314
79,"3871160453",18.86,"1",387116045314
80,"3871160453",28.57,"1",387116045314
81,"3871160453",32.0,"1",387116045314
81,"3871160453",32.0,"1",387126176714
0,"3871261767",0.14,"1",387126176714
1,"3871261767",0.0,"1",387126176714
2,"3871261767",0.14,"1",387126176714
3,"3871261767",0.43,"1",387126176714
4,"3871261767",2.86,"1",387126176714
4,"3871261767",2.86,"2",387126176715
5,"3871261767",4.86,"2",387126176715
6,"3871261767",4.86,"2",387126176715
7,"3871261767",3.71,"2",387126176715
8,"3871261767",4.57,"2",387126176715
9,"3871261767",6.57,"2",387126176715
10,"3871261767",9.57,"2",387126176715
10,"3871261767",9.57,"3",387126176716
11,"3871261767",8.57,"3",387126176716
12,"3871261767",8.86,"3",387126176716
13,"3871261767",8.29,"3",387126176716
14,"3871261767",5.71,"3",387126176716
14,"3871261767",5.71,"2",387126176717
15,"3871261767",3.43,"2",387126176717
16,"3871261767",1.43,"2",387126176717
16,"3871261767",1.43,"1b",387126176718
17,"3871261767",1.86,"1b",387126176718
18,"3871261767",1.43,"1b",387126176718
18,"3871261767",1.43,"1",387126176719
19,"3871261767",2.29,"1",387126176719
20,"3871261767",7.29,"1",387126176719
21,"3871261767",15.0,"1",387126176719
22,"3871261767",33.57,"1",387126176719
23,"3871261767",38.29,"1",387126176719
24,"3871261767",97.14,"1",387126176719
