"wk","tr","nc","stg","id"
0,"10431054940",0.0,"1",104310549401
1,"10431054940",0.0,"1",104310549401
2,"10431054940",0.0,"1",104310549401
3,"10431054940",0.0,"1",104310549401
4,"10431054940",0.14,"1",104310549401
5,"10431054940",0.71,"1",104310549401
5,"10431054940",0.71,"1b",104310549402
6,"10431054940",0.29,"1b",104310549402
7,"10431054940",0.57,"1b",104310549402
7,"10431054940",0.57,"1",104310549403
8,"10431054940",2.29,"1",104310549403
8,"10431054940",2.29,"1b",104310549404
9,"10431054940",6.14,"1b",104310549404
9,"10431054940",6.14,"3",104310549405
10,"10431054940",6.29,"3",104310549405
11,"10431054940",6.14,"3",104310549405
11,"10431054940",6.14,"2",104310549406
12,"10431054940",4.57,"2",104310549406
13,"10431054940",5.0,"2",104310549406
13,"10431054940",5.0,"3",104310549407
14,"10431054940",1.86,"3",104310549407
15,"10431054940",0.71,"3",104310549407
15,"10431054940",0.71,"2",104310549408
16,"10431054940",0.71,"2",104310549408
17,"10431054940",0.0,"2",104310549408
17,"10431054940",0.0,"1b",104310549409
18,"10431054940",0.0,"1b",104310549409
19,"10431054940",0.29,"1b",104310549409
19,"10431054940",0.29,"1",1043105494010
20,"10431054940",1.29,"1",1043105494010
21,"10431054940",1.29,"1",1043105494010
22,"10431054940",0.86,"1",1043105494010
23,"10431054940",0.43,"1",1043105494010
24,"10431054940",0.0,"1",1043105494010
25,"10431054940",0.0,"1",1043105494010
26,"10431054940",0.0,"1",1043105494010
27,"10431054940",0.86,"1",1043105494010
28,"10431054940",1.71,"1",1043105494010
29,"10431054940",3.43,"1",1043105494010
30,"10431054940",3.43,"1",1043105494010
31,"10431054940",2.43,"1",1043105494010
32,"10431054940",3.43,"1",1043105494010
33,"10431054940",5.0,"1",1043105494010
34,"10431054940",4.0,"1",1043105494010
35,"10431054940",8.29,"1",1043105494010
36,"10431054940",15.86,"1",1043105494010
37,"10431054940",14.14,"1",1043105494010
38,"10431054940",14.29,"1",1043105494010
39,"10431054940",19.14,"1",1043105494010
40,"10431054940",16.86,"1",1043105494010
41,"10431054940",17.71,"1",1043105494010
42,"10431054940",21.14,"1",1043105494010
43,"10431054940",6.29,"1",1043105494010
44,"10431054940",4.29,"1",1043105494010
45,"10431054940",4.57,"1",1043105494010
46,"10431054940",3.0,"1",1043105494010
47,"10431054940",8.29,"1",1043105494010
48,"10431054940",8.71,"1",1043105494010
49,"10431054940",7.43,"1",1043105494010
50,"10431054940",17.14,"1",1043105494010
51,"10431054940",20.29,"1",1043105494010
52,"10431054940",15.43,"1",1043105494010
53,"10431054940",13.71,"1",1043105494010
54,"10431054940",17.14,"1",1043105494010
55,"10431054940",32.57,"1",1043105494010
56,"10431054940",40.57,"1",1043105494010
57,"10431054940",62.29,"1",1043105494010
58,"10431054940",82.29,"1",1043105494010
59,"10431054940",105.14,"1",1043105494010
60,"10431054940",178.29,"1",1043105494010
61,"10431054940",253.71,"1",1043105494010
62,"10431054940",475.43,"1",1043105494010
63,"10431054940",429.71,"1",1043105494010
64,"10431054940",749.71,"1",1043105494010
65,"10431054940",1526.86,"1",1043105494010
65,"10431054940",1526.86,"1b",1043105494011
66,"10431054940",1700.57,"1b",1043105494011
66,"10431054940",1700.57,"2",1043105494012
67,"10431054940",1865.14,"2",1043105494012
67,"10431054940",1865.14,"3",1043105494013
68,"10431054940",1426.29,"3",1043105494013
68,"10431054940",1426.29,"4",1043105494014
69,"10431054940",731.43,"4",1043105494014
70,"10431054940",356.57,"4",1043105494014
70,"10431054940",356.57,"3",1043105494015
71,"10431054940",283.43,"3",1043105494015
72,"10431054940",123.43,"3",1043105494015
72,"10431054940",123.43,"2",1043105494016
73,"10431054940",100.57,"2",1043105494016
74,"10431054940",50.29,"2",1043105494016
74,"10431054940",50.29,"1",1043105494017
75,"10431054940",46.86,"1",1043105494017
76,"10431054940",31.43,"1",1043105494017
77,"10431054940",33.14,"1",1043105494017
78,"10431054940",26.29,"1",1043105494017
79,"10431054940",38.86,"1",1043105494017
80,"10431054940",57.71,"1",1043105494017
81,"10431054940",56.57,"1",1043105494017
81,"10431054940",56.57,"1",1043114830717
