"wk","tr","nc","stg","id"
0,"2351030464",0.0,"1",23510304641
1,"2351030464",0.0,"1",23510304641
2,"2351030464",0.0,"1",23510304641
3,"2351030464",0.0,"1",23510304641
4,"2351030464",0.0,"1",23510304641
5,"2351030464",0.0,"1",23510304641
6,"2351030464",0.0,"1",23510304641
7,"2351030464",0.0,"1",23510304641
8,"2351030464",0.0,"1",23510304641
9,"2351030464",0.14,"1",23510304641
10,"2351030464",0.57,"1",23510304641
11,"2351030464",2.29,"1",23510304641
11,"2351030464",2.29,"1b",23510304642
12,"2351030464",2.14,"1b",23510304642
12,"2351030464",2.14,"2",23510304643
13,"2351030464",1.43,"2",23510304643
13,"2351030464",1.43,"1b",23510304644
14,"2351030464",3.0,"1b",23510304644
15,"2351030464",7.57,"1b",23510304644
15,"2351030464",7.57,"1",23510304645
16,"2351030464",11.57,"1",23510304645
17,"2351030464",11.71,"1",23510304645
18,"2351030464",15.0,"1",23510304645
19,"2351030464",13.43,"1",23510304645
20,"2351030464",8.0,"1",23510304645
21,"2351030464",5.71,"1",23510304645
22,"2351030464",2.43,"1",23510304645
23,"2351030464",4.29,"1",23510304645
24,"2351030464",5.14,"1",23510304645
25,"2351030464",1.14,"1",23510304645
26,"2351030464",0.57,"1",23510304645
27,"2351030464",0.29,"1",23510304645
28,"2351030464",0.43,"1",23510304645
29,"2351030464",0.29,"1",23510304645
30,"2351030464",7.14,"1",23510304645
31,"2351030464",12.0,"1",23510304645
32,"2351030464",18.14,"1",23510304645
33,"2351030464",17.86,"1",23510304645
34,"2351030464",24.57,"1",23510304645
35,"2351030464",32.0,"1",23510304645
36,"2351030464",48.0,"1",23510304645
37,"2351030464",47.43,"1",23510304645
38,"2351030464",77.14,"1",23510304645
39,"2351030464",73.14,"1",23510304645
40,"2351030464",130.29,"1",23510304645
41,"2351030464",164.57,"1",23510304645
42,"2351030464",160.0,"1",23510304645
43,"2351030464",212.57,"1",23510304645
44,"2351030464",226.29,"1",23510304645
45,"2351030464",146.29,"1",23510304645
46,"2351030464",144.0,"1",23510304645
47,"2351030464",112.0,"1",23510304645
48,"2351030464",171.43,"1",23510304645
49,"2351030464",121.14,"1",23510304645
50,"2351030464",148.57,"1",23510304645
51,"2351030464",210.29,"1",23510304645
52,"2351030464",242.29,"1",23510304645
53,"2351030464",256.0,"1",23510304645
54,"2351030464",262.86,"1",23510304645
55,"2351030464",240.0,"1",23510304645
55,"2351030464",240.0,"1b",23510304646
56,"2351030464",237.71,"1b",23510304646
57,"2351030464",301.71,"1b",23510304646
57,"2351030464",301.71,"1",23510304647
58,"2351030464",822.86,"1",23510304647
58,"2351030464",822.86,"1b",23510304648
59,"2351030464",676.57,"1b",23510304648
59,"2351030464",676.57,"2",23510304649
60,"2351030464",621.71,"2",23510304649
60,"2351030464",621.71,"3",235103046410
61,"2351030464",310.86,"3",235103046410
61,"2351030464",310.86,"4",235103046411
62,"2351030464",246.86,"4",235103046411
63,"2351030464",64.0,"4",235103046411
64,"2351030464",41.14,"4",235103046411
64,"2351030464",41.14,"3",235103046412
65,"2351030464",22.86,"3",235103046412
66,"2351030464",17.14,"3",235103046412
66,"2351030464",17.14,"2",235103046413
67,"2351030464",19.43,"2",235103046413
68,"2351030464",19.43,"2",235103046413
68,"2351030464",19.43,"1b",235103046414
69,"2351030464",28.0,"1b",235103046414
70,"2351030464",32.0,"1b",235103046414
70,"2351030464",32.0,"1",235103046415
71,"2351030464",46.86,"1",235103046415
72,"2351030464",60.57,"1",235103046415
