"wk","tr","nc","stg","id"
0,"7311054940",0.0,"1",73110549401
1,"7311054940",0.0,"1",73110549401
2,"7311054940",0.0,"1",73110549401
3,"7311054940",0.0,"1",73110549401
4,"7311054940",0.14,"1",73110549401
4,"7311054940",0.14,"1b",73110549402
5,"7311054940",1.57,"1b",73110549402
5,"7311054940",1.57,"2",73110549403
6,"7311054940",0.71,"2",73110549403
7,"7311054940",1.29,"2",73110549403
7,"7311054940",1.29,"1b",73110549404
8,"7311054940",3.14,"1b",73110549404
8,"7311054940",3.14,"2",73110549405
9,"7311054940",4.86,"2",73110549405
10,"7311054940",3.86,"2",73110549405
11,"7311054940",2.43,"2",73110549405
12,"7311054940",0.86,"2",73110549405
12,"7311054940",0.86,"1b",73110549406
13,"7311054940",0.71,"1b",73110549406
13,"7311054940",0.71,"2",73110549407
14,"7311054940",0.71,"2",73110549407
15,"7311054940",0.86,"2",73110549407
15,"7311054940",0.86,"1b",73110549408
16,"7311054940",0.29,"1b",73110549408
17,"7311054940",0.0,"1b",73110549408
17,"7311054940",0.0,"1",73110549409
18,"7311054940",0.0,"1",73110549409
19,"7311054940",0.14,"1",73110549409
20,"7311054940",0.0,"1",73110549409
21,"7311054940",0.0,"1",73110549409
22,"7311054940",0.0,"1",73110549409
23,"7311054940",0.0,"1",73110549409
24,"7311054940",0.0,"1",73110549409
25,"7311054940",0.0,"1",73110549409
26,"7311054940",0.0,"1",73110549409
27,"7311054940",0.71,"1",73110549409
28,"7311054940",3.43,"1",73110549409
29,"7311054940",3.0,"1",73110549409
30,"7311054940",15.57,"1",73110549409
31,"7311054940",36.14,"1",73110549409
32,"7311054940",91.43,"1",73110549409
33,"7311054940",152.57,"1",73110549409
34,"7311054940",358.86,"1",73110549409
34,"7311054940",358.86,"2",731105494010
35,"7311054940",502.86,"2",731105494010
35,"7311054940",502.86,"4",731105494011
36,"7311054940",283.43,"4",731105494011
37,"7311054940",237.71,"4",731105494011
38,"7311054940",80.0,"4",731105494011
38,"7311054940",80.0,"3",731105494012
39,"7311054940",52.57,"3",731105494012
40,"7311054940",49.14,"3",731105494012
40,"7311054940",49.14,"2",731105494013
41,"7311054940",32.57,"2",731105494013
42,"7311054940",27.43,"2",731105494013
42,"7311054940",27.43,"1b",731105494014
43,"7311054940",39.43,"1b",731105494014
44,"7311054940",38.86,"1b",731105494014
44,"7311054940",38.86,"1",731105494015
45,"7311054940",79.43,"1",731105494015
46,"7311054940",169.71,"1",731105494015
47,"7311054940",253.71,"1",731105494015
47,"7311054940",253.71,"1b",731105494016
48,"7311054940",290.29,"1b",731105494016
48,"7311054940",290.29,"2",731105494017
49,"7311054940",306.29,"2",731105494017
49,"7311054940",306.29,"3",731105494018
50,"7311054940",274.29,"3",731105494018
50,"7311054940",274.29,"4",731105494019
51,"7311054940",192.0,"4",731105494019
52,"7311054940",112.0,"4",731105494019
53,"7311054940",64.0,"4",731105494019
53,"7311054940",64.0,"3",731105494020
54,"7311054940",26.29,"3",731105494020
55,"7311054940",20.57,"3",731105494020
55,"7311054940",20.57,"2",731105494021
56,"7311054940",38.86,"2",731105494021
57,"7311054940",54.29,"2",731105494021
57,"7311054940",54.29,"1b",731105494022
58,"7311054940",77.71,"1b",731105494022
59,"7311054940",106.29,"1b",731105494022
60,"7311054940",153.14,"1b",731105494022
60,"7311054940",153.14,"1",731105494023
61,"7311054940",214.86,"1",731105494023
62,"7311054940",422.86,"1",731105494023
62,"7311054940",422.86,"2",731105494024
63,"7311054940",576.0,"2",731105494024
63,"7311054940",576.0,"4",731105494025
64,"7311054940",237.71,"4",731105494025
65,"7311054940",144.0,"4",731105494025
66,"7311054940",123.43,"4",731105494025
67,"7311054940",52.57,"4",731105494025
67,"7311054940",52.57,"3",731105494026
68,"7311054940",49.71,"3",731105494026
69,"7311054940",47.43,"3",731105494026
69,"7311054940",47.43,"2",731105494027
70,"7311054940",58.86,"2",731105494027
71,"7311054940",40.0,"2",731105494027
71,"7311054940",40.0,"1b",731105494028
72,"7311054940",27.43,"1b",731105494028
73,"7311054940",48.57,"1b",731105494028
73,"7311054940",48.57,"1",731105494029
74,"7311054940",86.29,"1",731105494029
75,"7311054940",87.43,"1",731105494029
76,"7311054940",249.14,"1",731105494029
77,"7311054940",365.71,"1",731105494029
77,"7311054940",365.71,"2",731105494030
78,"7311054940",342.86,"2",731105494030
78,"7311054940",342.86,"4",731105494031
79,"7311054940",137.14,"4",731105494031
80,"7311054940",84.57,"4",731105494031
80,"7311054940",84.57,"3",731105494032
81,"7311054940",75.43,"3",731105494032
81,"7311054940",75.43,"1",731114830733
0,"7311148307",0.14,"1",731114830733
1,"7311148307",0.43,"1",731114830733
1,"7311148307",0.43,"1b",731114830734
2,"7311148307",1.14,"1b",731114830734
2,"7311148307",1.14,"2",731114830735
3,"7311148307",1.0,"2",731114830735
