"wk","tr","nc","stg","id"
0,"711054940",0.0,"1",7110549401
1,"711054940",0.0,"1",7110549401
2,"711054940",0.0,"1",7110549401
3,"711054940",0.0,"1",7110549401
4,"711054940",0.14,"1",7110549401
5,"711054940",0.0,"1",7110549401
6,"711054940",0.14,"1",7110549401
7,"711054940",0.14,"1",7110549401
8,"711054940",0.0,"1",7110549401
8,"711054940",0.0,"1b",7110549402
9,"711054940",0.0,"1b",7110549402
10,"711054940",0.0,"1b",7110549402
10,"711054940",0.0,"1",7110549403
11,"711054940",0.0,"1",7110549403
12,"711054940",0.0,"1",7110549403
13,"711054940",0.0,"1",7110549403
14,"711054940",0.0,"1",7110549403
15,"711054940",0.0,"1",7110549403
16,"711054940",0.0,"1",7110549403
17,"711054940",0.0,"1",7110549403
18,"711054940",0.0,"1",7110549403
19,"711054940",0.14,"1",7110549403
20,"711054940",0.0,"1",7110549403
20,"711054940",0.0,"1b",7110549404
21,"711054940",0.43,"1b",7110549404
22,"711054940",0.0,"1b",7110549404
22,"711054940",0.0,"1",7110549405
23,"711054940",0.0,"1",7110549405
24,"711054940",0.0,"1",7110549405
25,"711054940",0.0,"1",7110549405
26,"711054940",0.0,"1",7110549405
27,"711054940",0.29,"1",7110549405
28,"711054940",1.0,"1",7110549405
28,"711054940",1.0,"1b",7110549406
29,"711054940",0.29,"1b",7110549406
29,"711054940",0.29,"2",7110549407
30,"711054940",5.29,"2",7110549407
31,"711054940",9.43,"2",7110549407
31,"711054940",9.43,"1b",7110549408
32,"711054940",11.29,"1b",7110549408
33,"711054940",14.29,"1b",7110549408
33,"711054940",14.29,"1",7110549409
34,"711054940",18.0,"1",7110549409
35,"711054940",27.71,"1",7110549409
36,"711054940",24.57,"1",7110549409
37,"711054940",27.43,"1",7110549409
38,"711054940",25.71,"1",7110549409
39,"711054940",26.86,"1",7110549409
40,"711054940",32.57,"1",7110549409
41,"711054940",29.14,"1",7110549409
42,"711054940",25.71,"1",7110549409
43,"711054940",26.86,"1",7110549409
44,"711054940",49.71,"1",7110549409
45,"711054940",26.86,"1",7110549409
46,"711054940",21.14,"1",7110549409
47,"711054940",29.14,"1",7110549409
48,"711054940",40.57,"1",7110549409
49,"711054940",44.57,"1",7110549409
49,"711054940",44.57,"1b",71105494010
50,"711054940",36.0,"1b",71105494010
51,"711054940",26.86,"1b",71105494010
51,"711054940",26.86,"1",71105494011
52,"711054940",25.71,"1",71105494011
53,"711054940",18.86,"1",71105494011
54,"711054940",27.43,"1",71105494011
55,"711054940",23.43,"1",71105494011
56,"711054940",46.29,"1",71105494011
56,"711054940",46.29,"1b",71105494012
57,"711054940",32.57,"1b",71105494012
58,"711054940",22.86,"1b",71105494012
59,"711054940",14.86,"1b",71105494012
59,"711054940",14.86,"1",71105494013
60,"711054940",14.57,"1",71105494013
61,"711054940",14.57,"1",71105494013
62,"711054940",17.14,"1",71105494013
63,"711054940",17.43,"1",71105494013
64,"711054940",21.86,"1",71105494013
65,"711054940",23.14,"1",71105494013
66,"711054940",28.57,"1",71105494013
67,"711054940",41.71,"1",71105494013
68,"711054940",52.57,"1",71105494013
69,"711054940",53.14,"1",71105494013
69,"711054940",53.14,"1b",71105494014
70,"711054940",40.0,"1b",71105494014
71,"711054940",29.71,"1b",71105494014
72,"711054940",23.43,"1b",71105494014
72,"711054940",23.43,"1",71105494015
73,"711054940",28.0,"1",71105494015
74,"711054940",42.29,"1",71105494015
74,"711054940",42.29,"1b",71105494016
75,"711054940",43.43,"1b",71105494016
76,"711054940",45.14,"1b",71105494016
76,"711054940",45.14,"2",71105494017
77,"711054940",28.57,"2",71105494017
78,"711054940",19.43,"2",71105494017
78,"711054940",19.43,"1b",71105494018
79,"711054940",15.71,"1b",71105494018
80,"711054940",13.57,"1b",71105494018
80,"711054940",13.57,"1",71105494019
81,"711054940",19.43,"1",71105494019
81,"711054940",19.43,"1",71114830719
0,"711148307",0.14,"1",71114830719
1,"711148307",0.57,"1",71114830719
1,"711148307",0.57,"1b",71114830720
2,"711148307",0.29,"1b",71114830720
3,"711148307",0.29,"1b",71114830720
4,"711148307",1.0,"1b",71114830720
4,"711148307",1.0,"2",71114830721
5,"711148307",0.43,"2",71114830721
6,"711148307",0.57,"2",71114830721
6,"711148307",0.57,"1b",71114830722
7,"711148307",0.43,"1b",71114830722
8,"711148307",0.57,"1b",71114830722
9,"711148307",0.57,"1b",71114830722
10,"711148307",0.43,"1b",71114830722
11,"711148307",0.0,"1b",71114830722
11,"711148307",0.0,"1",71114830723
12,"711148307",0.0,"1",71114830723
13,"711148307",0.29,"1",71114830723
14,"711148307",0.0,"1",71114830723
15,"711148307",0.0,"1",71114830723
16,"711148307",0.0,"1",71114830723
17,"711148307",0.0,"1",71114830723
18,"711148307",0.14,"1",71114830723
