"wk","tr","nc","stg","id"
0,"11351054940",0.0,"1",113510549401
1,"11351054940",0.0,"1",113510549401
2,"11351054940",0.0,"1",113510549401
3,"11351054940",0.0,"1",113510549401
4,"11351054940",0.14,"1",113510549401
4,"11351054940",0.14,"1b",113510549402
5,"11351054940",1.57,"1b",113510549402
5,"11351054940",1.57,"2",113510549403
6,"11351054940",0.71,"2",113510549403
7,"11351054940",1.29,"2",113510549403
7,"11351054940",1.29,"1b",113510549404
8,"11351054940",3.14,"1b",113510549404
8,"11351054940",3.14,"2",113510549405
9,"11351054940",4.86,"2",113510549405
10,"11351054940",3.86,"2",113510549405
11,"11351054940",2.43,"2",113510549405
12,"11351054940",0.86,"2",113510549405
12,"11351054940",0.86,"1b",113510549406
13,"11351054940",0.71,"1b",113510549406
13,"11351054940",0.71,"2",113510549407
14,"11351054940",0.71,"2",113510549407
15,"11351054940",0.71,"2",113510549407
15,"11351054940",0.71,"1b",113510549408
16,"11351054940",1.0,"1b",113510549408
17,"11351054940",0.71,"1b",113510549408
17,"11351054940",0.71,"1",113510549409
18,"11351054940",0.43,"1",113510549409
19,"11351054940",0.71,"1",113510549409
20,"11351054940",0.71,"1",113510549409
21,"11351054940",0.14,"1",113510549409
22,"11351054940",0.43,"1",113510549409
23,"11351054940",0.14,"1",113510549409
24,"11351054940",0.0,"1",113510549409
25,"11351054940",0.0,"1",113510549409
26,"11351054940",0.0,"1",113510549409
27,"11351054940",1.0,"1",113510549409
28,"11351054940",4.57,"1",113510549409
29,"11351054940",7.86,"1",113510549409
30,"11351054940",41.14,"1",113510549409
31,"11351054940",140.0,"1",113510549409
32,"11351054940",368.0,"1",113510549409
33,"11351054940",795.43,"1",113510549409
34,"11351054940",1581.71,"1",113510549409
34,"11351054940",1581.71,"1b",1135105494010
35,"11351054940",1764.57,"1b",1135105494010
35,"11351054940",1764.57,"2",1135105494011
36,"11351054940",2304.0,"2",1135105494011
36,"11351054940",2304.0,"3",1135105494012
37,"11351054940",1718.86,"3",1135105494012
37,"11351054940",1718.86,"4",1135105494013
38,"11351054940",795.43,"4",1135105494013
39,"11351054940",292.57,"4",1135105494013
39,"11351054940",292.57,"3",1135105494014
40,"11351054940",100.57,"3",1135105494014
41,"11351054940",77.71,"3",1135105494014
