"wk","tr","nc","stg","id"
0,"11111054940",0.0,"1",111110549401
1,"11111054940",0.0,"1",111110549401
2,"11111054940",0.0,"1",111110549401
3,"11111054940",0.0,"1",111110549401
4,"11111054940",0.14,"1",111110549401
5,"11111054940",0.71,"1",111110549401
5,"11111054940",0.71,"1b",111110549402
6,"11111054940",0.29,"1b",111110549402
7,"11111054940",0.57,"1b",111110549402
7,"11111054940",0.57,"1",111110549403
8,"11111054940",2.29,"1",111110549403
8,"11111054940",2.29,"1b",111110549404
9,"11111054940",6.14,"1b",111110549404
9,"11111054940",6.14,"3",111110549405
10,"11111054940",6.29,"3",111110549405
11,"11111054940",6.14,"3",111110549405
11,"11111054940",6.14,"2",111110549406
12,"11111054940",4.57,"2",111110549406
13,"11111054940",5.0,"2",111110549406
13,"11111054940",5.0,"3",111110549407
14,"11111054940",1.86,"3",111110549407
15,"11111054940",0.29,"3",111110549407
15,"11111054940",0.29,"2",111110549408
16,"11111054940",0.57,"2",111110549408
17,"11111054940",0.14,"2",111110549408
17,"11111054940",0.14,"1b",111110549409
18,"11111054940",0.0,"1b",111110549409
19,"11111054940",0.43,"1b",111110549409
19,"11111054940",0.43,"1",1111105494010
20,"11111054940",0.86,"1",1111105494010
21,"11111054940",0.43,"1",1111105494010
22,"11111054940",0.0,"1",1111105494010
23,"11111054940",0.29,"1",1111105494010
24,"11111054940",0.29,"1",1111105494010
25,"11111054940",0.71,"1",1111105494010
26,"11111054940",0.0,"1",1111105494010
27,"11111054940",0.71,"1",1111105494010
28,"11111054940",1.0,"1",1111105494010
29,"11111054940",1.14,"1",1111105494010
30,"11111054940",7.29,"1",1111105494010
31,"11111054940",18.14,"1",1111105494010
32,"11111054940",23.86,"1",1111105494010
33,"11111054940",37.71,"1",1111105494010
34,"11111054940",57.14,"1",1111105494010
35,"11111054940",69.14,"1",1111105494010
36,"11111054940",78.29,"1",1111105494010
37,"11111054940",89.71,"1",1111105494010
38,"11111054940",121.14,"1",1111105494010
39,"11111054940",86.86,"1",1111105494010
40,"11111054940",66.86,"1",1111105494010
41,"11111054940",50.29,"1",1111105494010
42,"11111054940",68.0,"1",1111105494010
43,"11111054940",86.86,"1",1111105494010
44,"11111054940",66.86,"1",1111105494010
45,"11111054940",84.57,"1",1111105494010
46,"11111054940",91.43,"1",1111105494010
47,"11111054940",75.43,"1",1111105494010
48,"11111054940",116.57,"1",1111105494010
49,"11111054940",224.0,"1",1111105494010
50,"11111054940",308.57,"1",1111105494010
51,"11111054940",324.57,"1",1111105494010
52,"11111054940",438.86,"1",1111105494010
53,"11111054940",722.29,"1",1111105494010
54,"11111054940",758.86,"1",1111105494010
55,"11111054940",1042.29,"1",1111105494010
55,"11111054940",1042.29,"1b",1111105494011
56,"11111054940",1526.86,"1b",1111105494011
56,"11111054940",1526.86,"2",1111105494012
57,"11111054940",1453.71,"2",1111105494012
57,"11111054940",1453.71,"3",1111105494013
58,"11111054940",1572.57,"3",1111105494013
58,"11111054940",1572.57,"4",1111105494014
59,"11111054940",475.43,"4",1111105494014
60,"11111054940",256.0,"4",1111105494014
60,"11111054940",256.0,"3",1111105494015
61,"11111054940",102.86,"3",1111105494015
62,"11111054940",49.71,"3",1111105494015
62,"11111054940",49.71,"2",1111105494016
63,"11111054940",28.0,"2",1111105494016
64,"11111054940",21.14,"2",1111105494016
64,"11111054940",21.14,"1b",1111105494017
65,"11111054940",21.14,"1b",1111105494017
65,"11111054940",21.14,"1",1111105494018
66,"11111054940",20.29,"1",1111105494018
67,"11111054940",20.0,"1",1111105494018
68,"11111054940",29.71,"1",1111105494018
69,"11111054940",45.71,"1",1111105494018
70,"11111054940",61.71,"1",1111105494018
71,"11111054940",45.71,"1",1111105494018
72,"11111054940",48.0,"1",1111105494018
73,"11111054940",43.43,"1",1111105494018
74,"11111054940",60.57,"1",1111105494018
75,"11111054940",98.29,"1",1111105494018
76,"11111054940",91.43,"1",1111105494018
77,"11111054940",56.57,"1",1111105494018
78,"11111054940",49.71,"1",1111105494018
79,"11111054940",77.71,"1",1111105494018
80,"11111054940",77.14,"1",1111105494018
81,"11111054940",77.14,"1",1111105494018
81,"11111054940",77.14,"1",1111114830718
0,"11111148307",0.14,"1",1111114830718
1,"11111148307",0.14,"1",1111114830718
1,"11111148307",0.14,"1b",1111114830719
2,"11111148307",0.43,"1b",1111114830719
3,"11111148307",0.0,"1b",1111114830719
3,"11111148307",0.0,"1",1111114830720
4,"11111148307",0.57,"1",1111114830720
4,"11111148307",0.57,"1b",1111114830721
5,"11111148307",1.71,"1b",1111114830721
5,"11111148307",1.71,"2",1111114830722
6,"11111148307",1.57,"2",1111114830722
7,"11111148307",1.43,"2",1111114830722
8,"11111148307",1.14,"2",1111114830722
9,"11111148307",1.57,"2",1111114830722
10,"11111148307",1.14,"2",1111114830722
11,"11111148307",1.29,"2",1111114830722
12,"11111148307",0.29,"2",1111114830722
12,"11111148307",0.29,"1b",1111114830723
13,"11111148307",0.57,"1b",1111114830723
14,"11111148307",0.57,"1b",1111114830723
14,"11111148307",0.57,"1",1111114830724
15,"11111148307",0.0,"1",1111114830724
16,"11111148307",0.0,"1",1111114830724
17,"11111148307",0.0,"1",1111114830724
18,"11111148307",0.14,"1",1111114830724
19,"11111148307",0.43,"1",1111114830724
20,"11111148307",0.14,"1",1111114830724
21,"11111148307",0.14,"1",1111114830724
22,"11111148307",0.43,"1",1111114830724
23,"11111148307",0.71,"1",1111114830724
24,"11111148307",2.29,"1",1111114830724
25,"11111148307",1.71,"1",1111114830724
26,"11111148307",1.57,"1",1111114830724
27,"11111148307",1.14,"1",1111114830724
28,"11111148307",0.29,"1",1111114830724
29,"11111148307",0.29,"1",1111114830724
30,"11111148307",9.57,"1",1111114830724
31,"11111148307",25.43,"1",1111114830724
32,"11111148307",40.43,"1",1111114830724
33,"11111148307",56.57,"1",1111114830724
34,"11111148307",88.57,"1",1111114830724
35,"11111148307",94.86,"1",1111114830724
36,"11111148307",176.0,"1",1111114830724
37,"11111148307",269.71,"1",1111114830724
38,"11111148307",557.71,"1",1111114830724
39,"11111148307",1097.14,"1",1111114830724
39,"11111148307",1097.14,"1b",1111114830725
40,"11111148307",1865.14,"1b",1111114830725
40,"11111148307",1865.14,"2",1111114830726
41,"11111148307",2925.71,"2",1111114830726
41,"11111148307",2925.71,"3",1111114830727
42,"11111148307",2998.86,"3",1111114830727
42,"11111148307",2998.86,"4",1111114830728
43,"11111148307",2194.29,"4",1111114830728
44,"11111148307",877.71,"4",1111114830728
44,"11111148307",877.71,"3",1111114830729
45,"11111148307",201.14,"3",1111114830729
46,"11111148307",141.71,"3",1111114830729
46,"11111148307",141.71,"2",1111114830730
47,"11111148307",61.71,"2",1111114830730
48,"11111148307",112.0,"2",1111114830730
48,"11111148307",112.0,"1b",1111114830731
49,"11111148307",141.71,"1b",1111114830731
49,"11111148307",141.71,"1",1111114830732
50,"11111148307",189.71,"1",1111114830732
51,"11111148307",219.43,"1",1111114830732
52,"11111148307",349.71,"1",1111114830732
53,"11111148307",681.14,"1",1111114830732
54,"11111148307",777.14,"1",1111114830732
55,"11111148307",1462.86,"1",1111114830732
56,"11111148307",1654.86,"1",1111114830732
56,"11111148307",1654.86,"1b",1111114830733
57,"11111148307",2121.14,"1b",1111114830733
57,"11111148307",2121.14,"2",1111114830734
58,"11111148307",2742.86,"2",1111114830734
58,"11111148307",2742.86,"3",1111114830735
59,"11111148307",1645.71,"3",1111114830735
59,"11111148307",1645.71,"4",1111114830736
60,"11111148307",850.29,"4",1111114830736
61,"11111148307",329.14,"4",1111114830736
61,"11111148307",329.14,"3",1111114830737
62,"11111148307",182.86,"3",1111114830737
63,"11111148307",54.86,"3",1111114830737
63,"11111148307",54.86,"2",1111114830738
64,"11111148307",29.14,"2",1111114830738
64,"11111148307",29.14,"1b",1111114830739
65,"11111148307",21.71,"1b",1111114830739
65,"11111148307",21.71,"1",1111114830740
66,"11111148307",44.57,"1",1111114830740
67,"11111148307",62.29,"1",1111114830740
68,"11111148307",98.29,"1",1111114830740
69,"11111148307",46.86,"1",1111114830740
70,"11111148307",70.29,"1",1111114830740
71,"11111148307",56.57,"1",1111114830740
72,"11111148307",89.71,"1",1111114830740
73,"11111148307",88.0,"1",1111114830740
74,"11111148307",57.71,"1",1111114830740
75,"11111148307",40.57,"1",1111114830740
76,"11111148307",34.86,"1",1111114830740
77,"11111148307",48.57,"1",1111114830740
78,"11111148307",50.86,"1",1111114830740
79,"11111148307",74.29,"1",1111114830740
80,"11111148307",88.0,"1",1111114830740
81,"11111148307",108.57,"1",1111114830740
