"wk","tr","nc","stg","id"
0,"4631054940",0.0,"1",46310549401
1,"4631054940",0.0,"1",46310549401
2,"4631054940",0.0,"1",46310549401
3,"4631054940",0.0,"1",46310549401
4,"4631054940",0.14,"1",46310549401
5,"4631054940",0.0,"1",46310549401
6,"4631054940",0.14,"1",46310549401
7,"4631054940",0.14,"1",46310549401
8,"4631054940",0.0,"1",46310549401
8,"4631054940",0.0,"1b",46310549402
9,"4631054940",0.0,"1b",46310549402
10,"4631054940",0.0,"1b",46310549402
10,"4631054940",0.0,"1",46310549403
11,"4631054940",0.0,"1",46310549403
12,"4631054940",0.0,"1",46310549403
13,"4631054940",0.0,"1",46310549403
14,"4631054940",0.0,"1",46310549403
15,"4631054940",0.0,"1",46310549403
16,"4631054940",0.0,"1",46310549403
17,"4631054940",0.0,"1",46310549403
18,"4631054940",0.0,"1",46310549403
19,"4631054940",0.14,"1",46310549403
20,"4631054940",0.0,"1",46310549403
21,"4631054940",0.29,"1",46310549403
22,"4631054940",0.0,"1",46310549403
23,"4631054940",0.0,"1",46310549403
24,"4631054940",0.0,"1",46310549403
25,"4631054940",0.0,"1",46310549403
26,"4631054940",0.0,"1",46310549403
27,"4631054940",0.43,"1",46310549403
28,"4631054940",0.57,"1",46310549403
29,"4631054940",0.29,"1",46310549403
30,"4631054940",7.43,"1",46310549403
31,"4631054940",14.0,"1",46310549403
32,"4631054940",17.0,"1",46310549403
33,"4631054940",20.71,"1",46310549403
34,"4631054940",24.86,"1",46310549403
35,"4631054940",33.71,"1",46310549403
36,"4631054940",43.43,"1",46310549403
37,"4631054940",47.43,"1",46310549403
38,"4631054940",50.86,"1",46310549403
39,"4631054940",51.43,"1",46310549403
40,"4631054940",38.29,"1",46310549403
41,"4631054940",18.29,"1",46310549403
42,"4631054940",31.43,"1",46310549403
43,"4631054940",46.86,"1",46310549403
44,"4631054940",31.43,"1",46310549403
45,"4631054940",42.29,"1",46310549403
46,"4631054940",45.71,"1",46310549403
47,"4631054940",49.71,"1",46310549403
48,"4631054940",33.14,"1",46310549403
49,"4631054940",37.14,"1",46310549403
50,"4631054940",35.43,"1",46310549403
51,"4631054940",25.14,"1",46310549403
52,"4631054940",22.29,"1",46310549403
