"wk","tr","nc","stg","id"
0,"3511030464",0.0,"1",35110304641
1,"3511030464",0.0,"1",35110304641
2,"3511030464",0.0,"1",35110304641
3,"3511030464",0.0,"1",35110304641
4,"3511030464",0.0,"1",35110304641
5,"3511030464",0.0,"1",35110304641
6,"3511030464",0.0,"1",35110304641
7,"3511030464",0.0,"1",35110304641
8,"3511030464",0.0,"1",35110304641
9,"3511030464",0.14,"1",35110304641
10,"3511030464",0.29,"1",35110304641
10,"3511030464",0.29,"1b",35110304642
11,"3511030464",0.0,"1b",35110304642
12,"3511030464",0.14,"1b",35110304642
13,"3511030464",0.0,"1b",35110304642
13,"3511030464",0.0,"1",35110304643
14,"3511030464",0.29,"1",35110304643
14,"3511030464",0.29,"1b",35110304644
15,"3511030464",0.0,"1b",35110304644
16,"3511030464",0.0,"1b",35110304644
16,"3511030464",0.0,"1",35110304645
17,"3511030464",0.0,"1",35110304645
18,"3511030464",0.0,"1",35110304645
19,"3511030464",0.14,"1",35110304645
20,"3511030464",0.0,"1",35110304645
21,"3511030464",0.0,"1",35110304645
22,"3511030464",0.14,"1",35110304645
23,"3511030464",0.29,"1",35110304645
24,"3511030464",0.0,"1",35110304645
25,"3511030464",0.0,"1",35110304645
26,"3511030464",0.0,"1",35110304645
27,"3511030464",0.0,"1",35110304645
28,"3511030464",0.0,"1",35110304645
29,"3511030464",0.0,"1",35110304645
30,"3511030464",1.86,"1",35110304645
31,"3511030464",4.86,"1",35110304645
32,"3511030464",10.43,"1",35110304645
33,"3511030464",17.86,"1",35110304645
34,"3511030464",21.43,"1",35110304645
35,"3511030464",18.29,"1",35110304645
36,"3511030464",44.0,"1",35110304645
37,"3511030464",56.57,"1",35110304645
38,"3511030464",57.14,"1",35110304645
39,"3511030464",67.43,"1",35110304645
40,"3511030464",90.29,"1",35110304645
41,"3511030464",77.71,"1",35110304645
42,"3511030464",102.86,"1",35110304645
43,"3511030464",100.57,"1",35110304645
44,"3511030464",112.0,"1",35110304645
45,"3511030464",80.0,"1",35110304645
46,"3511030464",100.57,"1",35110304645
47,"3511030464",144.0,"1",35110304645
48,"3511030464",219.43,"1",35110304645
49,"3511030464",324.57,"1",35110304645
50,"3511030464",521.14,"1",35110304645
50,"3511030464",521.14,"1b",35110304646
51,"3511030464",557.71,"1b",35110304646
51,"3511030464",557.71,"3",35110304647
52,"3511030464",466.29,"3",35110304647
53,"3511030464",448.0,"3",35110304647
53,"3511030464",448.0,"4",35110304648
54,"3511030464",256.0,"4",35110304648
55,"3511030464",68.57,"4",35110304648
56,"3511030464",14.86,"4",35110304648
56,"3511030464",14.86,"3",35110304649
57,"3511030464",5.71,"3",35110304649
58,"3511030464",3.0,"3",35110304649
58,"3511030464",3.0,"2",351103046410
59,"3511030464",3.14,"2",351103046410
60,"3511030464",6.57,"2",351103046410
60,"3511030464",6.57,"1b",351103046411
61,"3511030464",5.43,"1b",351103046411
62,"3511030464",6.14,"1b",351103046411
62,"3511030464",6.14,"1",351103046412
63,"3511030464",9.71,"1",351103046412
64,"3511030464",13.86,"1",351103046412
65,"3511030464",18.57,"1",351103046412
66,"3511030464",25.14,"1",351103046412
67,"3511030464",49.71,"1",351103046412
68,"3511030464",60.0,"1",351103046412
69,"3511030464",71.43,"1",351103046412
70,"3511030464",114.86,"1",351103046412
71,"3511030464",114.29,"1",351103046412
72,"3511030464",173.71,"1",351103046412
73,"3511030464",208.0,"1",351103046412
74,"3511030464",283.43,"1",351103046412
75,"3511030464",342.86,"1",351103046412
75,"3511030464",342.86,"1b",351103046413
76,"3511030464",548.57,"1b",351103046413
76,"3511030464",548.57,"2",351103046414
77,"3511030464",640.0,"2",351103046414
77,"3511030464",640.0,"3",351103046415
78,"3511030464",429.71,"3",351103046415
78,"3511030464",429.71,"4",351103046416
79,"3511030464",173.71,"4",351103046416
80,"3511030464",45.71,"4",351103046416
80,"3511030464",45.71,"3",351103046417
81,"3511030464",14.29,"3",351103046417
81,"3511030464",14.29,"1",351114971118
0,"3511149711",0.0,"1",351114971118
1,"3511149711",0.0,"1",351114971118
2,"3511149711",0.14,"1",351114971118
2,"3511149711",0.14,"1b",351114971119
3,"3511149711",2.14,"1b",351114971119
3,"3511149711",2.14,"2",351114971120
4,"3511149711",2.0,"2",351114971120
5,"3511149711",1.43,"2",351114971120
6,"3511149711",2.57,"2",351114971120
7,"3511149711",2.0,"2",351114971120
8,"3511149711",5.86,"2",351114971120
9,"3511149711",13.14,"2",351114971120
9,"3511149711",13.14,"3",351114971121
10,"3511149711",17.57,"3",351114971121
11,"3511149711",14.71,"3",351114971121
12,"3511149711",18.29,"3",351114971121
13,"3511149711",24.0,"3",351114971121
14,"3511149711",19.43,"3",351114971121
14,"3511149711",19.43,"2",351114971122
15,"3511149711",34.86,"2",351114971122
16,"3511149711",81.71,"2",351114971122
16,"3511149711",81.71,"1b",351114971123
17,"3511149711",192.57,"1b",351114971123
17,"3511149711",192.57,"3",351114971124
18,"3511149711",208.0,"3",351114971124
18,"3511149711",208.0,"4",351114971125
19,"3511149711",148.57,"4",351114971125
20,"3511149711",59.43,"4",351114971125
21,"3511149711",32.57,"4",351114971125
22,"3511149711",15.43,"4",351114971125
22,"3511149711",15.43,"3",351114971126
23,"3511149711",2.57,"3",351114971126
24,"3511149711",1.14,"3",351114971126
24,"3511149711",1.14,"2",351114971127
25,"3511149711",0.71,"2",351114971127
26,"3511149711",0.57,"2",351114971127
26,"3511149711",0.57,"1b",351114971128
27,"3511149711",0.57,"1b",351114971128
28,"3511149711",0.57,"1b",351114971128
28,"3511149711",0.57,"1",351114971129
29,"3511149711",1.14,"1",351114971129
30,"3511149711",2.29,"1",351114971129
31,"3511149711",4.43,"1",351114971129
32,"3511149711",13.0,"1",351114971129
33,"3511149711",23.57,"1",351114971129
34,"3511149711",44.29,"1",351114971129
35,"3511149711",61.71,"1",351114971129
36,"3511149711",76.57,"1",351114971129
37,"3511149711",77.71,"1",351114971129
38,"3511149711",78.29,"1",351114971129
39,"3511149711",121.71,"1",351114971129
40,"3511149711",176.0,"1",351114971129
41,"3511149711",244.57,"1",351114971129
42,"3511149711",361.14,"1",351114971129
42,"3511149711",361.14,"1b",351114971130
43,"3511149711",516.57,"1b",351114971130
44,"3511149711",1088.0,"1b",351114971130
44,"3511149711",1088.0,"3",351114971131
45,"3511149711",713.14,"3",351114971131
45,"3511149711",713.14,"4",351114971132
46,"3511149711",274.29,"4",351114971132
47,"3511149711",116.57,"4",351114971132
48,"3511149711",47.43,"4",351114971132
48,"3511149711",47.43,"3",351114971133
49,"3511149711",14.86,"3",351114971133
50,"3511149711",4.14,"3",351114971133
50,"3511149711",4.14,"2",351114971134
51,"3511149711",4.29,"2",351114971134
52,"3511149711",3.57,"2",351114971134
52,"3511149711",3.57,"1b",351114971135
53,"3511149711",6.29,"1b",351114971135
54,"3511149711",6.71,"1b",351114971135
54,"3511149711",6.71,"1",351114971136
55,"3511149711",15.14,"1",351114971136
56,"3511149711",21.0,"1",351114971136
57,"3511149711",28.43,"1",351114971136
58,"3511149711",36.57,"1",351114971136
59,"3511149711",52.0,"1",351114971136
60,"3511149711",90.29,"1",351114971136
61,"3511149711",137.14,"1",351114971136
62,"3511149711",214.86,"1",351114971136
63,"3511149711",313.14,"1",351114971136
64,"3511149711",475.43,"1",351114971136
64,"3511149711",475.43,"1b",351114971137
65,"3511149711",630.86,"1b",351114971137
66,"3511149711",1316.57,"1b",351114971137
66,"3511149711",1316.57,"3",351114971138
67,"3511149711",1325.71,"3",351114971138
67,"3511149711",1325.71,"4",351114971139
68,"3511149711",649.14,"4",351114971139
69,"3511149711",246.86,"4",351114971139
70,"3511149711",50.29,"4",351114971139
70,"3511149711",50.29,"3",351114971140
71,"3511149711",17.71,"3",351114971140
72,"3511149711",5.71,"3",351114971140
72,"3511149711",5.71,"2",351114971141
73,"3511149711",4.43,"2",351114971141
74,"3511149711",4.43,"2",351114971141
74,"3511149711",4.43,"1b",351114971142
75,"3511149711",5.29,"1b",351114971142
76,"3511149711",7.86,"1b",351114971142
76,"3511149711",7.86,"1",351114971143
77,"3511149711",13.0,"1",351114971143
78,"3511149711",17.71,"1",351114971143
79,"3511149711",18.29,"1",351114971143
80,"3511149711",27.29,"1",351114971143
81,"3511149711",56.0,"1",351114971143
81,"3511149711",56.0,"1",351116045343
0,"3511160453",0.0,"1",351116045343
1,"3511160453",0.0,"1",351116045343
2,"3511160453",0.0,"1",351116045343
3,"3511160453",0.29,"1",351116045343
4,"3511160453",0.0,"1",351116045343
5,"3511160453",0.43,"1",351116045343
6,"3511160453",1.14,"1",351116045343
6,"3511160453",1.14,"1b",351116045344
7,"3511160453",8.29,"1b",351116045344
7,"3511160453",8.29,"2",351116045345
8,"3511160453",15.57,"2",351116045345
8,"3511160453",15.57,"3",351116045346
9,"3511160453",31.14,"3",351116045346
9,"3511160453",31.14,"4",351116045347
10,"3511160453",40.57,"4",351116045347
11,"3511160453",22.29,"4",351116045347
11,"3511160453",22.29,"3",351116045348
12,"3511160453",14.29,"3",351116045348
13,"3511160453",21.14,"3",351116045348
14,"3511160453",21.71,"3",351116045348
14,"3511160453",21.71,"2",351116045349
15,"3511160453",29.14,"2",351116045349
16,"3511160453",67.43,"2",351116045349
16,"3511160453",67.43,"3",351116045350
17,"3511160453",84.57,"3",351116045350
17,"3511160453",84.57,"4",351116045351
18,"3511160453",98.29,"4",351116045351
19,"3511160453",64.0,"4",351116045351
20,"3511160453",29.14,"4",351116045351
21,"3511160453",13.14,"4",351116045351
21,"3511160453",13.14,"3",351116045352
22,"3511160453",6.43,"3",351116045352
23,"3511160453",4.14,"3",351116045352
23,"3511160453",4.14,"2",351116045353
24,"3511160453",1.0,"2",351116045353
25,"3511160453",0.71,"2",351116045353
25,"3511160453",0.71,"1b",351116045354
26,"3511160453",0.14,"1b",351116045354
27,"3511160453",1.43,"1b",351116045354
27,"3511160453",1.43,"1",351116045355
28,"3511160453",2.86,"1",351116045355
29,"3511160453",2.43,"1",351116045355
30,"3511160453",6.0,"1",351116045355
31,"3511160453",13.57,"1",351116045355
32,"3511160453",35.71,"1",351116045355
33,"3511160453",68.57,"1",351116045355
34,"3511160453",215.43,"1",351116045355
35,"3511160453",658.29,"1",351116045355
35,"3511160453",658.29,"2",351116045356
36,"3511160453",978.29,"2",351116045356
36,"3511160453",978.29,"3",351116045357
37,"3511160453",676.57,"3",351116045357
37,"3511160453",676.57,"4",351116045358
38,"3511160453",411.43,"4",351116045358
39,"3511160453",274.29,"4",351116045358
40,"3511160453",86.86,"4",351116045358
40,"3511160453",86.86,"3",351116045359
41,"3511160453",35.43,"3",351116045359
42,"3511160453",24.0,"3",351116045359
42,"3511160453",24.0,"2",351116045360
43,"3511160453",25.14,"2",351116045360
44,"3511160453",38.29,"2",351116045360
