"wk","tr","nc","stg","id"
0,"3401030464",0.0,"1",34010304641
1,"3401030464",0.0,"1",34010304641
2,"3401030464",0.0,"1",34010304641
3,"3401030464",0.0,"1",34010304641
4,"3401030464",0.0,"1",34010304641
5,"3401030464",0.0,"1",34010304641
6,"3401030464",0.0,"1",34010304641
7,"3401030464",0.0,"1",34010304641
8,"3401030464",0.0,"1",34010304641
9,"3401030464",0.14,"1",34010304641
10,"3401030464",0.0,"1",34010304641
11,"3401030464",0.0,"1",34010304641
12,"3401030464",0.0,"1",34010304641
13,"3401030464",0.0,"1",34010304641
14,"3401030464",0.0,"1",34010304641
15,"3401030464",0.0,"1",34010304641
16,"3401030464",0.0,"1",34010304641
17,"3401030464",0.0,"1",34010304641
18,"3401030464",0.0,"1",34010304641
19,"3401030464",0.14,"1",34010304641
20,"3401030464",0.0,"1",34010304641
21,"3401030464",0.0,"1",34010304641
22,"3401030464",0.14,"1",34010304641
23,"3401030464",0.29,"1",34010304641
24,"3401030464",0.43,"1",34010304641
25,"3401030464",1.0,"1",34010304641
26,"3401030464",1.86,"1",34010304641
27,"3401030464",2.57,"1",34010304641
28,"3401030464",2.0,"1",34010304641
29,"3401030464",1.43,"1",34010304641
30,"3401030464",5.0,"1",34010304641
31,"3401030464",10.57,"1",34010304641
32,"3401030464",20.14,"1",34010304641
33,"3401030464",39.14,"1",34010304641
34,"3401030464",88.57,"1",34010304641
35,"3401030464",120.57,"1",34010304641
36,"3401030464",240.0,"1",34010304641
37,"3401030464",368.0,"1",34010304641
37,"3401030464",368.0,"1b",34010304642
38,"3401030464",484.57,"1b",34010304642
39,"3401030464",1024.0,"1b",34010304642
39,"3401030464",1024.0,"2",34010304643
40,"3401030464",1417.14,"2",34010304643
40,"3401030464",1417.14,"4",34010304644
41,"3401030464",1170.29,"4",34010304644
42,"3401030464",310.86,"4",34010304644
43,"3401030464",146.29,"4",34010304644
43,"3401030464",146.29,"3",34010304645
44,"3401030464",118.86,"3",34010304645
45,"3401030464",102.86,"3",34010304645
45,"3401030464",102.86,"2",34010304646
46,"3401030464",121.14,"2",34010304646
47,"3401030464",118.86,"2",34010304646
47,"3401030464",118.86,"1b",34010304647
48,"3401030464",98.29,"1b",34010304647
49,"3401030464",137.14,"1b",34010304647
50,"3401030464",205.71,"1b",34010304647
51,"3401030464",258.29,"1b",34010304647
51,"3401030464",258.29,"1",34010304648
52,"3401030464",589.71,"1",34010304648
52,"3401030464",589.71,"1b",34010304649
53,"3401030464",813.71,"1b",34010304649
53,"3401030464",813.71,"2",340103046410
54,"3401030464",777.14,"2",340103046410
54,"3401030464",777.14,"3",340103046411
55,"3401030464",438.86,"3",340103046411
55,"3401030464",438.86,"4",340103046412
56,"3401030464",301.71,"4",340103046412
57,"3401030464",228.57,"4",340103046412
58,"3401030464",96.0,"4",340103046412
59,"3401030464",59.43,"4",340103046412
59,"3401030464",59.43,"3",340103046413
60,"3401030464",70.86,"3",340103046413
61,"3401030464",59.43,"3",340103046413
61,"3401030464",59.43,"2",340103046414
62,"3401030464",31.43,"2",340103046414
63,"3401030464",34.86,"2",340103046414
63,"3401030464",34.86,"1b",340103046415
64,"3401030464",48.57,"1b",340103046415
65,"3401030464",67.43,"1b",340103046415
65,"3401030464",67.43,"1",340103046416
66,"3401030464",90.86,"1",340103046416
67,"3401030464",182.86,"1",340103046416
68,"3401030464",505.14,"1",340103046416
68,"3401030464",505.14,"1b",340103046417
69,"3401030464",1069.71,"1b",340103046417
69,"3401030464",1069.71,"2",340103046418
70,"3401030464",1270.86,"2",340103046418
70,"3401030464",1270.86,"4",340103046419
71,"3401030464",658.29,"4",340103046419
72,"3401030464",329.14,"4",340103046419
73,"3401030464",228.57,"4",340103046419
74,"3401030464",125.71,"4",340103046419
75,"3401030464",48.0,"4",340103046419
75,"3401030464",48.0,"3",340103046420
76,"3401030464",18.29,"3",340103046420
77,"3401030464",12.57,"3",340103046420
77,"3401030464",12.57,"2",340103046421
78,"3401030464",4.71,"2",340103046421
79,"3401030464",3.14,"2",340103046421
79,"3401030464",3.14,"1b",340103046422
80,"3401030464",4.43,"1b",340103046422
81,"3401030464",6.14,"1b",340103046422
81,"3401030464",6.14,"1",340114971123
0,"3401149711",0.0,"1",340114971123
1,"3401149711",0.0,"1",340114971123
2,"3401149711",0.57,"1",340114971123
2,"3401149711",0.57,"1b",340114971124
3,"3401149711",0.71,"1b",340114971124
3,"3401149711",0.71,"2",340114971125
4,"3401149711",0.71,"2",340114971125
5,"3401149711",0.57,"2",340114971125
5,"3401149711",0.57,"1b",340114971126
6,"3401149711",3.57,"1b",340114971126
6,"3401149711",3.57,"2",340114971127
7,"3401149711",6.0,"2",340114971127
8,"3401149711",16.14,"2",340114971127
8,"3401149711",16.14,"3",340114971128
9,"3401149711",15.14,"3",340114971128
10,"3401149711",22.14,"3",340114971128
11,"3401149711",30.29,"3",340114971128
12,"3401149711",31.43,"3",340114971128
13,"3401149711",44.0,"3",340114971128
14,"3401149711",53.71,"3",340114971128
14,"3401149711",53.71,"4",340114971129
15,"3401149711",31.43,"4",340114971129
16,"3401149711",14.29,"4",340114971129
16,"3401149711",14.29,"3",340114971130
17,"3401149711",13.14,"3",340114971130
18,"3401149711",9.43,"3",340114971130
18,"3401149711",9.43,"2",340114971131
19,"3401149711",7.0,"2",340114971131
20,"3401149711",10.57,"2",340114971131
20,"3401149711",10.57,"1b",340114971132
21,"3401149711",17.57,"1b",340114971132
22,"3401149711",30.43,"1b",340114971132
23,"3401149711",52.0,"1b",340114971132
23,"3401149711",52.0,"1",340114971133
24,"3401149711",116.0,"1",340114971133
24,"3401149711",116.0,"2",340114971134
25,"3401149711",132.57,"2",340114971134
25,"3401149711",132.57,"4",340114971135
26,"3401149711",70.86,"4",340114971135
27,"3401149711",24.57,"4",340114971135
28,"3401149711",8.57,"4",340114971135
28,"3401149711",8.57,"3",340114971136
29,"3401149711",2.43,"3",340114971136
30,"3401149711",5.0,"3",340114971136
30,"3401149711",5.0,"2",340114971137
31,"3401149711",5.71,"2",340114971137
32,"3401149711",4.86,"2",340114971137
32,"3401149711",4.86,"1b",340114971138
33,"3401149711",8.43,"1b",340114971138
34,"3401149711",17.14,"1b",340114971138
34,"3401149711",17.14,"1",340114971139
35,"3401149711",49.0,"1",340114971139
36,"3401149711",96.57,"1",340114971139
37,"3401149711",194.86,"1",340114971139
38,"3401149711",560.0,"1",340114971139
38,"3401149711",560.0,"1b",340114971140
39,"3401149711",1133.71,"1b",340114971140
40,"3401149711",4214.86,"1b",340114971140
40,"3401149711",4214.86,"3",340114971141
41,"3401149711",4169.14,"3",340114971141
41,"3401149711",4169.14,"4",340114971142
42,"3401149711",1682.29,"4",340114971142
43,"3401149711",1243.43,"4",340114971142
44,"3401149711",566.86,"4",340114971142
45,"3401149711",320.0,"4",340114971142
46,"3401149711",93.71,"4",340114971142
47,"3401149711",57.14,"4",340114971142
47,"3401149711",57.14,"3",340114971143
48,"3401149711",17.71,"3",340114971143
49,"3401149711",19.43,"3",340114971143
49,"3401149711",19.43,"2",340114971144
50,"3401149711",14.0,"2",340114971144
51,"3401149711",11.14,"2",340114971144
51,"3401149711",11.14,"1b",340114971145
52,"3401149711",8.29,"1b",340114971145
53,"3401149711",16.0,"1b",340114971145
53,"3401149711",16.0,"1",340114971146
54,"3401149711",39.43,"1",340114971146
55,"3401149711",91.43,"1",340114971146
56,"3401149711",180.0,"1",340114971146
57,"3401149711",379.43,"1",340114971146
58,"3401149711",1030.86,"1",340114971146
58,"3401149711",1030.86,"1b",340114971147
59,"3401149711",1929.14,"1b",340114971147
59,"3401149711",1929.14,"4",340114971148
60,"3401149711",1353.14,"4",340114971148
61,"3401149711",987.43,"4",340114971148
62,"3401149711",530.29,"4",340114971148
63,"3401149711",237.71,"4",340114971148
64,"3401149711",54.86,"4",340114971148
65,"3401149711",27.43,"4",340114971148
65,"3401149711",27.43,"3",340114971149
66,"3401149711",9.71,"3",340114971149
67,"3401149711",5.57,"3",340114971149
67,"3401149711",5.57,"2",340114971150
68,"3401149711",4.71,"2",340114971150
69,"3401149711",5.14,"2",340114971150
69,"3401149711",5.14,"1b",340114971151
70,"3401149711",11.29,"1b",340114971151
71,"3401149711",20.14,"1b",340114971151
71,"3401149711",20.14,"1",340114971152
72,"3401149711",33.29,"1",340114971152
73,"3401149711",69.14,"1",340114971152
74,"3401149711",206.86,"1",340114971152
75,"3401149711",395.43,"1",340114971152
75,"3401149711",395.43,"1b",340114971153
76,"3401149711",434.29,"1b",340114971153
76,"3401149711",434.29,"3",340114971154
77,"3401149711",310.86,"3",340114971154
78,"3401149711",310.86,"3",340114971154
79,"3401149711",365.71,"3",340114971154
79,"3401149711",365.71,"2",340114971155
80,"3401149711",345.14,"2",340114971155
80,"3401149711",345.14,"3",340114971156
81,"3401149711",132.57,"3",340114971156
81,"3401149711",132.57,"1",340116045357
0,"3401160453",0.0,"1",340116045357
1,"3401160453",0.0,"1",340116045357
2,"3401160453",0.0,"1",340116045357
3,"3401160453",0.29,"1",340116045357
4,"3401160453",5.0,"1",340116045357
4,"3401160453",5.0,"1b",340116045358
5,"3401160453",35.14,"1b",340116045358
5,"3401160453",35.14,"3",340116045359
6,"3401160453",77.14,"3",340116045359
6,"3401160453",77.14,"4",340116045360
7,"3401160453",81.71,"4",340116045360
8,"3401160453",68.57,"4",340116045360
9,"3401160453",48.0,"4",340116045360
10,"3401160453",48.0,"4",340116045360
11,"3401160453",34.29,"4",340116045360
12,"3401160453",24.57,"4",340116045360
13,"3401160453",12.57,"4",340116045360
13,"3401160453",12.57,"3",340116045361
14,"3401160453",6.86,"3",340116045361
15,"3401160453",5.71,"3",340116045361
15,"3401160453",5.71,"2",340116045362
16,"3401160453",2.71,"2",340116045362
17,"3401160453",4.86,"2",340116045362
17,"3401160453",4.86,"1b",340116045363
18,"3401160453",11.14,"1b",340116045363
19,"3401160453",21.0,"1b",340116045363
19,"3401160453",21.0,"1",340116045364
20,"3401160453",24.29,"1",340116045364
21,"3401160453",38.86,"1",340116045364
22,"3401160453",108.0,"1",340116045364
22,"3401160453",108.0,"2",340116045365
23,"3401160453",144.0,"2",340116045365
23,"3401160453",144.0,"4",340116045366
24,"3401160453",105.14,"4",340116045366
25,"3401160453",43.43,"4",340116045366
26,"3401160453",12.57,"4",340116045366
26,"3401160453",12.57,"3",340116045367
27,"3401160453",7.43,"3",340116045367
28,"3401160453",6.29,"3",340116045367
28,"3401160453",6.29,"2",340116045368
29,"3401160453",2.0,"2",340116045368
30,"3401160453",6.43,"2",340116045368
30,"3401160453",6.43,"1b",340116045369
31,"3401160453",12.29,"1b",340116045369
32,"3401160453",30.86,"1b",340116045369
32,"3401160453",30.86,"1",340116045370
33,"3401160453",54.86,"1",340116045370
34,"3401160453",232.0,"1",340116045370
35,"3401160453",816.0,"1",340116045370
35,"3401160453",816.0,"2",340116045371
36,"3401160453",1600.0,"2",340116045371
36,"3401160453",1600.0,"4",340116045372
37,"3401160453",914.29,"4",340116045372
38,"3401160453",365.71,"4",340116045372
39,"3401160453",182.86,"4",340116045372
40,"3401160453",80.0,"4",340116045372
40,"3401160453",80.0,"3",340116045373
41,"3401160453",36.0,"3",340116045373
42,"3401160453",27.43,"3",340116045373
42,"3401160453",27.43,"2",340116045374
43,"3401160453",33.71,"2",340116045374
44,"3401160453",43.43,"2",340116045374
44,"3401160453",43.43,"1b",340116045375
45,"3401160453",52.0,"1b",340116045375
46,"3401160453",102.29,"1b",340116045375
46,"3401160453",102.29,"1",340116045376
47,"3401160453",205.71,"1",340116045376
48,"3401160453",816.0,"1",340116045376
48,"3401160453",816.0,"2",340116045377
49,"3401160453",1654.86,"2",340116045377
49,"3401160453",1654.86,"3",340116045378
50,"3401160453",1389.71,"3",340116045378
50,"3401160453",1389.71,"4",340116045379
51,"3401160453",950.86,"4",340116045379
52,"3401160453",448.0,"4",340116045379
53,"3401160453",155.43,"4",340116045379
54,"3401160453",73.14,"4",340116045379
54,"3401160453",73.14,"3",340116045380
55,"3401160453",37.14,"3",340116045380
56,"3401160453",32.57,"3",340116045380
56,"3401160453",32.57,"2",340116045381
57,"3401160453",17.71,"2",340116045381
58,"3401160453",33.14,"2",340116045381
58,"3401160453",33.14,"1b",340116045382
59,"3401160453",35.43,"1b",340116045382
60,"3401160453",46.29,"1b",340116045382
60,"3401160453",46.29,"1",340116045383
61,"3401160453",59.43,"1",340116045383
62,"3401160453",169.71,"1",340116045383
63,"3401160453",493.71,"1",340116045383
63,"3401160453",493.71,"1b",340116045384
64,"3401160453",914.29,"1b",340116045384
64,"3401160453",914.29,"2",340116045385
65,"3401160453",2322.29,"2",340116045385
65,"3401160453",2322.29,"4",340116045386
66,"3401160453",1024.0,"4",340116045386
67,"3401160453",594.29,"4",340116045386
68,"3401160453",411.43,"4",340116045386
69,"3401160453",374.86,"4",340116045386
70,"3401160453",160.0,"4",340116045386
71,"3401160453",82.29,"4",340116045386
71,"3401160453",82.29,"3",340116045387
72,"3401160453",73.14,"3",340116045387
73,"3401160453",86.86,"3",340116045387
73,"3401160453",86.86,"2",340116045388
74,"3401160453",130.29,"2",340116045388
75,"3401160453",148.57,"2",340116045388
75,"3401160453",148.57,"1b",340116045389
76,"3401160453",260.57,"1b",340116045389
77,"3401160453",384.0,"1b",340116045389
77,"3401160453",384.0,"3",340116045390
78,"3401160453",210.29,"3",340116045390
79,"3401160453",208.0,"3",340116045390
80,"3401160453",233.14,"3",340116045390
81,"3401160453",262.86,"3",340116045390
81,"3401160453",262.86,"1",340126176791
0,"3401261767",0.29,"1",340126176791
1,"3401261767",0.71,"1",340126176791
1,"3401261767",0.71,"2",340126176792
2,"3401261767",0.57,"2",340126176792
3,"3401261767",0.71,"2",340126176792
3,"3401261767",0.71,"1b",340126176793
4,"3401261767",0.86,"1b",340126176793
5,"3401261767",0.86,"1b",340126176793
5,"3401261767",0.86,"2",340126176794
6,"3401261767",2.14,"2",340126176794
7,"3401261767",0.57,"2",340126176794
7,"3401261767",0.57,"1b",340126176795
8,"3401261767",0.57,"1b",340126176795
9,"3401261767",0.57,"1b",340126176795
10,"3401261767",0.57,"1b",340126176795
11,"3401261767",0.43,"1b",340126176795
11,"3401261767",0.43,"1",340126176796
12,"3401261767",0.14,"1",340126176796
13,"3401261767",0.29,"1",340126176796
13,"3401261767",0.29,"1b",340126176797
14,"3401261767",1.29,"1b",340126176797
15,"3401261767",0.14,"1b",340126176797
15,"3401261767",0.14,"1",340126176798
16,"3401261767",1.0,"1",340126176798
17,"3401261767",2.57,"1",340126176798
18,"3401261767",7.86,"1",340126176798
19,"3401261767",36.29,"1",340126176798
20,"3401261767",117.71,"1",340126176798
20,"3401261767",117.71,"2",340126176799
21,"3401261767",320.0,"2",340126176799
21,"3401261767",320.0,"4",3401261767100
22,"3401261767",212.57,"4",3401261767100
23,"3401261767",125.71,"4",3401261767100
24,"3401261767",132.57,"4",3401261767100
25,"3401261767",93.71,"4",3401261767100
26,"3401261767",46.86,"4",3401261767100
27,"3401261767",22.86,"4",3401261767100
27,"3401261767",22.86,"3",3401261767101
28,"3401261767",12.0,"3",3401261767101
29,"3401261767",5.86,"3",3401261767101
29,"3401261767",5.86,"2",3401261767102
30,"3401261767",6.86,"2",3401261767102
31,"3401261767",14.57,"2",3401261767102
31,"3401261767",14.57,"1b",3401261767103
32,"3401261767",36.57,"1b",3401261767103
33,"3401261767",97.14,"1b",3401261767103
33,"3401261767",97.14,"1",3401261767104
34,"3401261767",344.0,"1",3401261767104
35,"3401261767",1021.71,"1",3401261767104
35,"3401261767",1021.71,"2",3401261767105
36,"3401261767",2240.0,"2",3401261767105
36,"3401261767",2240.0,"4",3401261767106
37,"3401261767",1389.71,"4",3401261767106
38,"3401261767",1938.29,"4",3401261767106
39,"3401261767",914.29,"4",3401261767106
40,"3401261767",667.43,"4",3401261767106
41,"3401261767",292.57,"4",3401261767106
42,"3401261767",146.29,"4",3401261767106
43,"3401261767",105.14,"4",3401261767106
43,"3401261767",105.14,"3",3401261767107
44,"3401261767",43.43,"3",3401261767107
45,"3401261767",18.86,"3",3401261767107
45,"3401261767",18.86,"2",3401261767108
46,"3401261767",20.0,"2",3401261767108
47,"3401261767",20.57,"2",3401261767108
47,"3401261767",20.57,"1b",3401261767109
48,"3401261767",35.43,"1b",3401261767109
49,"3401261767",114.29,"1b",3401261767109
49,"3401261767",114.29,"1",3401261767110
50,"3401261767",251.43,"1",3401261767110
51,"3401261767",880.0,"1",3401261767110
51,"3401261767",880.0,"2",3401261767111
52,"3401261767",2221.71,"2",3401261767111
52,"3401261767",2221.71,"3",3401261767112
53,"3401261767",2779.43,"3",3401261767112
53,"3401261767",2779.43,"4",3401261767113
54,"3401261767",1462.86,"4",3401261767113
55,"3401261767",841.14,"4",3401261767113
56,"3401261767",996.57,"4",3401261767113
57,"3401261767",438.86,"4",3401261767113
58,"3401261767",219.43,"4",3401261767113
59,"3401261767",160.0,"4",3401261767113
59,"3401261767",160.0,"3",3401261767114
60,"3401261767",96.0,"3",3401261767114
60,"3401261767",96.0,"4",3401261767115
61,"3401261767",59.43,"4",3401261767115
