"wk","tr","nc","stg","id"
0,"2321030464",0.0,"1",23210304641
1,"2321030464",0.0,"1",23210304641
2,"2321030464",0.0,"1",23210304641
3,"2321030464",0.0,"1",23210304641
4,"2321030464",0.0,"1",23210304641
5,"2321030464",0.0,"1",23210304641
6,"2321030464",0.0,"1",23210304641
7,"2321030464",0.0,"1",23210304641
8,"2321030464",0.0,"1",23210304641
9,"2321030464",0.14,"1",23210304641
10,"2321030464",0.0,"1",23210304641
11,"2321030464",0.0,"1",23210304641
12,"2321030464",0.0,"1",23210304641
13,"2321030464",0.0,"1",23210304641
14,"2321030464",0.0,"1",23210304641
15,"2321030464",0.0,"1",23210304641
16,"2321030464",0.0,"1",23210304641
17,"2321030464",0.0,"1",23210304641
18,"2321030464",0.0,"1",23210304641
19,"2321030464",0.14,"1",23210304641
20,"2321030464",0.0,"1",23210304641
21,"2321030464",0.0,"1",23210304641
22,"2321030464",0.14,"1",23210304641
23,"2321030464",0.0,"1",23210304641
24,"2321030464",0.0,"1",23210304641
25,"2321030464",0.0,"1",23210304641
26,"2321030464",0.0,"1",23210304641
27,"2321030464",0.0,"1",23210304641
28,"2321030464",0.0,"1",23210304641
29,"2321030464",0.0,"1",23210304641
30,"2321030464",6.0,"1",23210304641
31,"2321030464",11.29,"1",23210304641
32,"2321030464",17.57,"1",23210304641
33,"2321030464",20.43,"1",23210304641
34,"2321030464",10.86,"1",23210304641
35,"2321030464",10.71,"1",23210304641
36,"2321030464",13.0,"1",23210304641
37,"2321030464",14.86,"1",23210304641
38,"2321030464",15.0,"1",23210304641
39,"2321030464",13.71,"1",23210304641
40,"2321030464",13.0,"1",23210304641
41,"2321030464",13.71,"1",23210304641
42,"2321030464",16.86,"1",23210304641
43,"2321030464",14.71,"1",23210304641
44,"2321030464",18.0,"1",23210304641
45,"2321030464",16.0,"1",23210304641
46,"2321030464",16.86,"1",23210304641
47,"2321030464",13.29,"1",23210304641
48,"2321030464",13.57,"1",23210304641
49,"2321030464",15.0,"1",23210304641
50,"2321030464",14.86,"1",23210304641
51,"2321030464",16.29,"1",23210304641
52,"2321030464",13.71,"1",23210304641
53,"2321030464",16.29,"1",23210304641
54,"2321030464",15.57,"1",23210304641
55,"2321030464",12.86,"1",23210304641
56,"2321030464",12.14,"1",23210304641
57,"2321030464",15.71,"1",23210304641
58,"2321030464",14.43,"1",23210304641
59,"2321030464",15.0,"1",23210304641
60,"2321030464",16.14,"1",23210304641
61,"2321030464",16.29,"1",23210304641
62,"2321030464",16.29,"1",23210304641
63,"2321030464",17.86,"1",23210304641
64,"2321030464",14.86,"1",23210304641
65,"2321030464",16.14,"1",23210304641
66,"2321030464",21.29,"1",23210304641
67,"2321030464",18.0,"1",23210304641
68,"2321030464",21.71,"1",23210304641
69,"2321030464",23.43,"1",23210304641
70,"2321030464",21.14,"1",23210304641
71,"2321030464",17.14,"1",23210304641
72,"2321030464",12.43,"1",23210304641
73,"2321030464",11.86,"1",23210304641
74,"2321030464",12.71,"1",23210304641
75,"2321030464",15.86,"1",23210304641
76,"2321030464",16.43,"1",23210304641
77,"2321030464",16.29,"1",23210304641
78,"2321030464",19.0,"1",23210304641
79,"2321030464",15.86,"1",23210304641
80,"2321030464",15.57,"1",23210304641
81,"2321030464",14.43,"1",23210304641
81,"2321030464",14.43,"1",23211497111
0,"2321149711",0.0,"1",23211497111
1,"2321149711",0.0,"1",23211497111
2,"2321149711",0.29,"1",23211497111
3,"2321149711",0.0,"1",23211497111
4,"2321149711",0.71,"1",23211497111
5,"2321149711",2.57,"1",23211497111
5,"2321149711",2.57,"2",23211497112
6,"2321149711",3.29,"2",23211497112
7,"2321149711",2.71,"2",23211497112
7,"2321149711",2.71,"1b",23211497113
8,"2321149711",8.57,"1b",23211497113
8,"2321149711",8.57,"2",23211497114
9,"2321149711",9.86,"2",23211497114
9,"2321149711",9.86,"3",23211497115
10,"2321149711",9.29,"3",23211497115
11,"2321149711",10.14,"3",23211497115
12,"2321149711",4.57,"3",23211497115
12,"2321149711",4.57,"2",23211497116
13,"2321149711",2.14,"2",23211497116
14,"2321149711",1.57,"2",23211497116
14,"2321149711",1.57,"1b",23211497117
15,"2321149711",2.71,"1b",23211497117
16,"2321149711",1.57,"1b",23211497117
16,"2321149711",1.57,"1",23211497118
17,"2321149711",0.29,"1",23211497118
18,"2321149711",0.0,"1",23211497118
19,"2321149711",0.29,"1",23211497118
20,"2321149711",0.29,"1",23211497118
21,"2321149711",0.0,"1",23211497118
22,"2321149711",0.0,"1",23211497118
23,"2321149711",0.0,"1",23211497118
24,"2321149711",0.0,"1",23211497118
25,"2321149711",0.29,"1",23211497118
26,"2321149711",0.14,"1",23211497118
27,"2321149711",0.57,"1",23211497118
28,"2321149711",1.29,"1",23211497118
29,"2321149711",1.14,"1",23211497118
30,"2321149711",7.0,"1",23211497118
31,"2321149711",9.71,"1",23211497118
32,"2321149711",14.0,"1",23211497118
33,"2321149711",24.14,"1",23211497118
34,"2321149711",26.0,"1",23211497118
35,"2321149711",33.14,"1",23211497118
36,"2321149711",36.0,"1",23211497118
37,"2321149711",32.0,"1",23211497118
38,"2321149711",34.29,"1",23211497118
39,"2321149711",28.0,"1",23211497118
40,"2321149711",21.29,"1",23211497118
41,"2321149711",14.57,"1",23211497118
42,"2321149711",17.57,"1",23211497118
43,"2321149711",16.86,"1",23211497118
44,"2321149711",15.57,"1",23211497118
45,"2321149711",17.71,"1",23211497118
46,"2321149711",19.14,"1",23211497118
47,"2321149711",18.86,"1",23211497118
48,"2321149711",15.57,"1",23211497118
49,"2321149711",11.86,"1",23211497118
50,"2321149711",16.29,"1",23211497118
51,"2321149711",17.14,"1",23211497118
52,"2321149711",17.71,"1",23211497118
53,"2321149711",17.71,"1",23211497118
54,"2321149711",17.86,"1",23211497118
55,"2321149711",17.29,"1",23211497118
56,"2321149711",17.29,"1",23211497118
57,"2321149711",13.71,"1",23211497118
58,"2321149711",20.29,"1",23211497118
59,"2321149711",19.29,"1",23211497118
60,"2321149711",21.43,"1",23211497118
61,"2321149711",21.14,"1",23211497118
62,"2321149711",19.29,"1",23211497118
63,"2321149711",20.71,"1",23211497118
64,"2321149711",23.29,"1",23211497118
65,"2321149711",33.14,"1",23211497118
66,"2321149711",34.86,"1",23211497118
67,"2321149711",54.29,"1",23211497118
68,"2321149711",39.43,"1",23211497118
69,"2321149711",24.57,"1",23211497118
70,"2321149711",16.86,"1",23211497118
71,"2321149711",11.29,"1",23211497118
72,"2321149711",12.71,"1",23211497118
73,"2321149711",15.43,"1",23211497118
74,"2321149711",16.86,"1",23211497118
75,"2321149711",19.14,"1",23211497118
76,"2321149711",20.0,"1",23211497118
77,"2321149711",18.0,"1",23211497118
78,"2321149711",17.0,"1",23211497118
79,"2321149711",21.57,"1",23211497118
80,"2321149711",20.29,"1",23211497118
81,"2321149711",19.57,"1",23211497118
81,"2321149711",19.57,"1",23211604538
0,"2321160453",0.0,"1",23211604538
1,"2321160453",0.0,"1",23211604538
2,"2321160453",0.0,"1",23211604538
3,"2321160453",0.29,"1",23211604538
4,"2321160453",1.0,"1",23211604538
5,"2321160453",6.29,"1",23211604538
5,"2321160453",6.29,"2",23211604539
6,"2321160453",7.57,"2",23211604539
6,"2321160453",7.57,"3",232116045310
7,"2321160453",7.0,"3",232116045310
8,"2321160453",3.57,"3",232116045310
8,"2321160453",3.57,"2",232116045311
9,"2321160453",2.57,"2",232116045311
10,"2321160453",1.57,"2",232116045311
11,"2321160453",1.29,"2",232116045311
12,"2321160453",0.71,"2",232116045311
13,"2321160453",0.14,"2",232116045311
13,"2321160453",0.14,"1b",232116045312
14,"2321160453",0.43,"1b",232116045312
15,"2321160453",0.71,"1b",232116045312
15,"2321160453",0.71,"1",232116045313
16,"2321160453",0.29,"1",232116045313
17,"2321160453",0.29,"1",232116045313
18,"2321160453",1.14,"1",232116045313
19,"2321160453",0.71,"1",232116045313
20,"2321160453",0.71,"1",232116045313
21,"2321160453",0.29,"1",232116045313
22,"2321160453",0.29,"1",232116045313
23,"2321160453",0.29,"1",232116045313
24,"2321160453",0.0,"1",232116045313
25,"2321160453",0.0,"1",232116045313
26,"2321160453",0.0,"1",232116045313
27,"2321160453",0.43,"1",232116045313
28,"2321160453",0.0,"1",232116045313
29,"2321160453",0.14,"1",232116045313
30,"2321160453",7.71,"1",232116045313
31,"2321160453",20.29,"1",232116045313
32,"2321160453",30.57,"1",232116045313
33,"2321160453",37.71,"1",232116045313
34,"2321160453",48.0,"1",232116045313
35,"2321160453",116.57,"1",232116045313
36,"2321160453",128.0,"1",232116045313
37,"2321160453",139.43,"1",232116045313
38,"2321160453",226.29,"1",232116045313
39,"2321160453",256.0,"1",232116045313
39,"2321160453",256.0,"1b",232116045314
40,"2321160453",192.0,"1b",232116045314
41,"2321160453",155.43,"1b",232116045314
41,"2321160453",155.43,"1",232116045315
42,"2321160453",212.57,"1",232116045315
43,"2321160453",201.14,"1",232116045315
44,"2321160453",230.86,"1",232116045315
45,"2321160453",340.57,"1",232116045315
46,"2321160453",322.29,"1",232116045315
46,"2321160453",322.29,"1b",232116045316
47,"2321160453",521.14,"1b",232116045316
47,"2321160453",521.14,"2",232116045317
48,"2321160453",603.43,"2",232116045317
48,"2321160453",603.43,"3",232116045318
49,"2321160453",310.86,"3",232116045318
50,"2321160453",228.57,"3",232116045318
50,"2321160453",228.57,"4",232116045319
51,"2321160453",75.43,"4",232116045319
52,"2321160453",25.14,"4",232116045319
52,"2321160453",25.14,"3",232116045320
53,"2321160453",22.86,"3",232116045320
54,"2321160453",13.43,"3",232116045320
54,"2321160453",13.43,"2",232116045321
55,"2321160453",12.86,"2",232116045321
56,"2321160453",14.0,"2",232116045321
56,"2321160453",14.0,"1b",232116045322
57,"2321160453",17.14,"1b",232116045322
58,"2321160453",23.57,"1b",232116045322
58,"2321160453",23.57,"1",232116045323
59,"2321160453",37.0,"1",232116045323
60,"2321160453",45.14,"1",232116045323
61,"2321160453",84.57,"1",232116045323
62,"2321160453",92.57,"1",232116045323
63,"2321160453",86.86,"1",232116045323
64,"2321160453",53.71,"1",232116045323
65,"2321160453",51.43,"1",232116045323
66,"2321160453",62.29,"1",232116045323
67,"2321160453",62.29,"1",232116045323
68,"2321160453",91.43,"1",232116045323
69,"2321160453",69.14,"1",232116045323
70,"2321160453",123.43,"1",232116045323
71,"2321160453",203.43,"1",232116045323
72,"2321160453",297.14,"1",232116045323
73,"2321160453",464.0,"1",232116045323
73,"2321160453",464.0,"1b",232116045324
74,"2321160453",585.14,"1b",232116045324
74,"2321160453",585.14,"2",232116045325
75,"2321160453",594.29,"2",232116045325
75,"2321160453",594.29,"3",232116045326
76,"2321160453",457.14,"3",232116045326
76,"2321160453",457.14,"4",232116045327
77,"2321160453",178.29,"4",232116045327
78,"2321160453",41.14,"4",232116045327
78,"2321160453",41.14,"3",232116045328
79,"2321160453",7.43,"3",232116045328
80,"2321160453",9.0,"3",232116045328
80,"2321160453",9.0,"2",232116045329
81,"2321160453",11.29,"2",232116045329
81,"2321160453",11.29,"1",232126176730
0,"2321261767",0.14,"1",232126176730
1,"2321261767",0.0,"1",232126176730
2,"2321261767",0.0,"1",232126176730
