"wk","tr","nc","stg","id"
0,"1271585801",0.0,"2",12715858011
1,"1271585801",0.0,"2",12715858011
2,"1271585801",0.0,"2",12715858011
3,"1271585801",0.0,"2",12715858011
4,"1271585801",0.0,"2",12715858011
5,"1271585801",0.0,"2",12715858011
6,"1271585801",0.0,"2",12715858011
7,"1271585801",0.0,"2",12715858011
8,"1271585801",0.0,"2",12715858011
9,"1271585801",0.0,"2",12715858011
10,"1271585801",0.71,"2",12715858011
11,"1271585801",4.29,"2",12715858011
12,"1271585801",10.0,"2",12715858011
12,"1271585801",10.0,"3",12715858012
13,"1271585801",25.57,"3",12715858012
14,"1271585801",28.29,"3",12715858012
14,"1271585801",28.29,"4",12715858013
15,"1271585801",30.86,"4",12715858013
16,"1271585801",9.0,"4",12715858013
16,"1271585801",9.0,"3",12715858014
17,"1271585801",11.57,"3",12715858014
18,"1271585801",12.86,"3",12715858014
19,"1271585801",14.14,"3",12715858014
20,"1271585801",13.71,"3",12715858014
21,"1271585801",25.71,"3",12715858014
22,"1271585801",53.57,"3",12715858014
22,"1271585801",53.57,"4",12715858015
23,"1271585801",32.14,"4",12715858015
24,"1271585801",25.71,"4",12715858015
25,"1271585801",36.0,"4",12715858015
26,"1271585801",34.71,"4",12715858015
27,"1271585801",28.29,"4",12715858015
28,"1271585801",18.0,"4",12715858015
28,"1271585801",18.0,"3",12715858016
29,"1271585801",21.86,"3",12715858016
30,"1271585801",23.14,"3",12715858016
31,"1271585801",25.71,"3",12715858016
31,"1271585801",25.71,"2",12715858017
32,"1271585801",55.29,"2",12715858017
32,"1271585801",55.29,"3",12715858018
33,"1271585801",83.57,"3",12715858018
33,"1271585801",83.57,"4",12715858019
34,"1271585801",173.57,"4",12715858019
35,"1271585801",69.43,"4",12715858019
36,"1271585801",77.14,"4",12715858019
37,"1271585801",108.0,"4",12715858019
38,"1271585801",111.86,"4",12715858019
39,"1271585801",46.29,"4",12715858019
40,"1271585801",88.71,"4",12715858019
41,"1271585801",65.57,"4",12715858019
42,"1271585801",54.0,"4",12715858019
43,"1271585801",30.86,"4",12715858019
44,"1271585801",64.29,"4",12715858019
45,"1271585801",50.14,"4",12715858019
46,"1271585801",25.71,"4",12715858019
47,"1271585801",36.0,"4",12715858019
48,"1271585801",18.0,"4",12715858019
49,"1271585801",15.43,"4",12715858019
49,"1271585801",15.43,"3",127158580110
50,"1271585801",19.29,"3",127158580110
51,"1271585801",14.14,"3",127158580110
51,"1271585801",14.14,"2",127158580111
52,"1271585801",15.43,"2",127158580111
53,"1271585801",22.71,"2",127158580111
54,"1271585801",74.57,"2",127158580111
54,"1271585801",74.57,"3",127158580112
55,"1271585801",119.57,"3",127158580112
55,"1271585801",119.57,"4",127158580113
56,"1271585801",135.0,"4",127158580113
57,"1271585801",111.86,"4",127158580113
58,"1271585801",81.0,"4",127158580113
59,"1271585801",77.14,"4",127158580113
60,"1271585801",73.29,"4",127158580113
61,"1271585801",50.14,"4",127158580113
62,"1271585801",19.29,"4",127158580113
62,"1271585801",19.29,"3",127158580114
63,"1271585801",52.71,"3",127158580114
63,"1271585801",52.71,"4",127158580115
64,"1271585801",32.14,"4",127158580115
65,"1271585801",41.14,"4",127158580115
66,"1271585801",48.86,"4",127158580115
67,"1271585801",43.71,"4",127158580115
68,"1271585801",12.86,"4",127158580115
68,"1271585801",12.86,"3",127158580116
69,"1271585801",20.57,"3",127158580116
70,"1271585801",28.29,"3",127158580116
70,"1271585801",28.29,"4",127158580117
71,"1271585801",29.57,"4",127158580117
72,"1271585801",10.29,"4",127158580117
72,"1271585801",10.29,"3",127158580118
73,"1271585801",24.43,"3",127158580118
74,"1271585801",15.43,"3",127158580118
74,"1271585801",15.43,"4",127158580119
75,"1271585801",16.71,"4",127158580119
76,"1271585801",15.43,"4",127158580119
76,"1271585801",15.43,"3",127158580120
77,"1271585801",18.86,"3",127158580120
78,"1271585801",17.57,"3",127158580120
78,"1271585801",17.57,"2",127158580121
79,"1271585801",58.29,"2",127158580121
79,"1271585801",58.29,"3",127158580122
80,"1271585801",73.29,"3",127158580122
80,"1271585801",73.29,"4",127158580123
81,"1271585801",117.0,"2",12715940624
81,"1271585801",117.0,"4",127158580123
0,"127159406",0.0,"2",12715940624
1,"127159406",0.0,"2",12715940624
2,"127159406",0.57,"2",12715940624
3,"127159406",0.71,"2",12715940624
4,"127159406",0.71,"2",12715940624
5,"127159406",0.14,"2",12715940624
6,"127159406",0.43,"2",12715940624
7,"127159406",1.29,"2",12715940624
8,"127159406",0.71,"2",12715940624
9,"127159406",3.29,"2",12715940624
10,"127159406",3.43,"2",12715940624
11,"127159406",7.29,"2",12715940624
11,"127159406",7.29,"3",12715940625
12,"127159406",12.71,"3",12715940625
13,"127159406",12.86,"3",12715940625
14,"127159406",26.14,"3",12715940625
15,"127159406",52.29,"3",12715940625
15,"127159406",52.29,"4",12715940626
16,"127159406",24.43,"4",12715940626
17,"127159406",9.0,"4",12715940626
17,"127159406",9.0,"3",12715940627
18,"127159406",25.71,"3",12715940627
19,"127159406",23.14,"3",12715940627
