"wk","tr","nc","stg","id"
0,"11522010551",0.0,"2",115220105511
1,"11522010551",0.0,"2",115220105511
2,"11522010551",1.0,"2",115220105511
3,"11522010551",1.0,"2",115220105511
4,"11522010551",1.43,"2",115220105511
5,"11522010551",2.71,"2",115220105511
6,"11522010551",5.29,"2",115220105511
7,"11522010551",13.0,"2",115220105511
7,"11522010551",13.0,"3",115220105512
8,"11522010551",26.14,"3",115220105512
9,"11522010551",63.86,"3",115220105512
9,"11522010551",63.86,"4",115220105513
10,"11522010551",70.71,"4",115220105513
11,"11522010551",223.71,"4",115220105513
12,"11522010551",81.0,"4",115220105513
13,"11522010551",65.57,"4",115220105513
14,"11522010551",88.71,"4",115220105513
15,"11522010551",81.0,"4",115220105513
16,"11522010551",50.14,"4",115220105513
17,"11522010551",38.57,"4",115220105513
18,"11522010551",54.0,"4",115220105513
19,"11522010551",61.71,"4",115220105513
20,"11522010551",24.43,"4",115220105513
21,"11522010551",24.43,"4",115220105513
22,"11522010551",16.71,"4",115220105513
22,"11522010551",16.71,"3",115220105514
23,"11522010551",16.71,"3",115220105514
24,"11522010551",15.43,"3",115220105514
25,"11522010551",19.71,"3",115220105514
25,"11522010551",19.71,"2",115220105515
26,"11522010551",14.14,"2",115220105515
27,"11522010551",27.43,"2",115220105515
28,"11522010551",65.57,"2",115220105515
28,"11522010551",65.57,"3",115220105516
29,"11522010551",65.57,"3",115220105516
29,"11522010551",65.57,"4",115220105517
30,"11522010551",111.86,"4",115220105517
31,"11522010551",111.86,"4",115220105517
31,"11522010551",111.86,"3",115220105518
32,"11522010551",54.0,"3",115220105518
33,"11522010551",61.71,"3",115220105518
33,"11522010551",61.71,"2",115220105519
34,"11522010551",92.57,"2",115220105519
35,"11522010551",189.0,"2",115220105519
36,"11522010551",293.14,"2",115220105519
36,"11522010551",293.14,"3",1152201055110
37,"11522010551",416.57,"3",1152201055110
37,"11522010551",416.57,"4",1152201055111
38,"11522010551",115.71,"4",1152201055111
39,"11522010551",324.0,"4",1152201055111
40,"11522010551",196.71,"4",1152201055111
41,"11522010551",358.71,"4",1152201055111
42,"11522010551",208.29,"4",1152201055111
43,"11522010551",208.29,"4",1152201055111
44,"11522010551",208.29,"4",1152201055111
45,"11522010551",150.43,"4",1152201055111
46,"11522010551",138.86,"4",1152201055111
47,"11522010551",138.86,"4",1152201055111
48,"11522010551",115.71,"4",1152201055111
48,"11522010551",115.71,"3",1152201055112
49,"11522010551",243.0,"3",1152201055112
49,"11522010551",243.0,"4",1152201055113
50,"11522010551",416.57,"4",1152201055113
