"wk","tr","nc","stg","id"
0,"12892010551",0.14,"1",128920105511
1,"12892010551",0.86,"1",128920105511
1,"12892010551",0.86,"1b",128920105512
2,"12892010551",6.86,"1b",128920105512
2,"12892010551",6.86,"3",128920105513
3,"12892010551",8.29,"3",128920105513
4,"12892010551",15.43,"3",128920105513
5,"12892010551",12.0,"3",128920105513
6,"12892010551",12.43,"3",128920105513
7,"12892010551",23.14,"3",128920105513
8,"12892010551",66.0,"3",128920105513
8,"12892010551",66.0,"4",128920105514
9,"12892010551",48.86,"4",128920105514
10,"12892010551",42.43,"4",128920105514
11,"12892010551",23.14,"4",128920105514
11,"12892010551",23.14,"3",128920105515
12,"12892010551",19.29,"3",128920105515
13,"12892010551",30.86,"3",128920105515
14,"12892010551",37.29,"3",128920105515
15,"12892010551",56.57,"3",128920105515
15,"12892010551",56.57,"4",128920105516
16,"12892010551",63.0,"4",128920105516
17,"12892010551",102.86,"4",128920105516
18,"12892010551",84.86,"4",128920105516
19,"12892010551",57.86,"4",128920105516
20,"12892010551",54.0,"4",128920105516
21,"12892010551",42.43,"4",128920105516
22,"12892010551",37.29,"4",128920105516
23,"12892010551",59.14,"4",128920105516
24,"12892010551",29.57,"4",128920105516
25,"12892010551",33.43,"4",128920105516
26,"12892010551",14.14,"4",128920105516
27,"12892010551",15.43,"4",128920105516
27,"12892010551",15.43,"3",128920105517
28,"12892010551",14.14,"3",128920105517
29,"12892010551",15.43,"3",128920105517
29,"12892010551",15.43,"2",128920105518
30,"12892010551",25.71,"2",128920105518
30,"12892010551",25.71,"1b",128920105519
31,"12892010551",28.29,"1b",128920105519
31,"12892010551",28.29,"1",1289201055110
32,"12892010551",93.86,"1",1289201055110
33,"12892010551",324.0,"1",1289201055110
34,"12892010551",933.43,"1",1289201055110
35,"12892010551",2534.14,"1",1289201055110
35,"12892010551",2534.14,"1b",1289201055111
36,"12892010551",9685.29,"1b",1289201055111
36,"12892010551",9685.29,"3",1289201055112
37,"12892010551",17496.0,"3",1289201055112
37,"12892010551",17496.0,"4",1289201055113
38,"12892010551",28600.89,"4",1289201055113
39,"12892010551",22142.74,"4",1289201055113
40,"12892010551",17561.49,"4",1289201055113
41,"12892010551",9162.51,"4",1289201055113
42,"12892010551",8017.2,"4",1289201055113
43,"12892010551",8780.74,"4",1289201055113
44,"12892010551",4963.03,"4",1289201055113
44,"12892010551",4963.03,"3",1289201055114
45,"12892010551",8017.2,"3",1289201055114
45,"12892010551",8017.2,"4",1289201055115
46,"12892010551",5344.8,"4",1289201055115
47,"12892010551",763.54,"4",1289201055115
48,"12892010551",2707.71,"4",1289201055115
48,"12892010551",2707.71,"3",1289201055116
49,"12892010551",937.29,"3",1289201055116
49,"12892010551",937.29,"4",1289201055117
50,"12892010551",1041.43,"4",1289201055117
51,"12892010551",1249.71,"4",1289201055117
51,"12892010551",1249.71,"3",1289201055118
52,"12892010551",1388.57,"3",1289201055118
52,"12892010551",1388.57,"4",1289201055119
53,"12892010551",590.14,"4",1289201055119
54,"12892010551",451.29,"4",1289201055119
54,"12892010551",451.29,"3",1289201055120
55,"12892010551",347.14,"3",1289201055120
56,"12892010551",347.14,"3",1289201055120
56,"12892010551",347.14,"2",1289201055121
57,"12892010551",347.14,"2",1289201055121
58,"12892010551",567.0,"2",1289201055121
59,"12892010551",1099.29,"2",1289201055121
60,"12892010551",1527.43,"2",1289201055121
60,"12892010551",1527.43,"3",1289201055122
61,"12892010551",4269.86,"3",1289201055122
61,"12892010551",4269.86,"4",1289201055123
62,"12892010551",4061.57,"4",1289201055123
63,"12892010551",2395.29,"4",1289201055123
63,"12892010551",2395.29,"3",1289201055124
64,"12892010551",3540.86,"3",1289201055124
64,"12892010551",3540.86,"4",1289201055125
65,"12892010551",1353.86,"4",1289201055125
66,"12892010551",1353.86,"4",1289201055125
66,"12892010551",1353.86,"3",1289201055126
67,"12892010551",1041.43,"3",1289201055126
67,"12892010551",1041.43,"4",1289201055127
68,"12892010551",1110.86,"4",1289201055127
69,"12892010551",833.14,"4",1289201055127
69,"12892010551",833.14,"3",1289201055128
70,"12892010551",659.57,"3",1289201055128
71,"12892010551",1215.0,"3",1289201055128
71,"12892010551",1215.0,"4",1289201055129
72,"12892010551",798.43,"4",1289201055129
73,"12892010551",451.29,"4",1289201055129
73,"12892010551",451.29,"3",1289201055130
74,"12892010551",416.57,"3",1289201055130
75,"12892010551",613.29,"3",1289201055130
75,"12892010551",613.29,"2",1289201055131
76,"12892010551",601.71,"2",1289201055131
77,"12892010551",798.43,"2",1289201055131
77,"12892010551",798.43,"3",1289201055132
78,"12892010551",694.29,"3",1289201055132
78,"12892010551",694.29,"4",1289201055133
79,"12892010551",729.0,"4",1289201055133
80,"12892010551",451.29,"4",1289201055133
