"wk","tr","nc","stg","id"
0,"10672010551",0.0,"2",106720105511
1,"10672010551",0.0,"2",106720105511
2,"10672010551",0.0,"2",106720105511
3,"10672010551",0.0,"2",106720105511
4,"10672010551",0.0,"2",106720105511
5,"10672010551",0.0,"2",106720105511
6,"10672010551",0.0,"2",106720105511
7,"10672010551",0.0,"2",106720105511
8,"10672010551",0.0,"2",106720105511
9,"10672010551",0.0,"2",106720105511
10,"10672010551",0.0,"2",106720105511
11,"10672010551",0.14,"2",106720105511
12,"10672010551",0.29,"2",106720105511
13,"10672010551",0.86,"2",106720105511
14,"10672010551",0.71,"2",106720105511
15,"10672010551",0.29,"2",106720105511
16,"10672010551",0.14,"2",106720105511
17,"10672010551",0.57,"2",106720105511
18,"10672010551",0.29,"2",106720105511
19,"10672010551",0.57,"2",106720105511
20,"10672010551",0.71,"2",106720105511
21,"10672010551",0.71,"2",106720105511
22,"10672010551",0.86,"2",106720105511
23,"10672010551",1.71,"2",106720105511
24,"10672010551",1.14,"2",106720105511
25,"10672010551",1.43,"2",106720105511
26,"10672010551",0.71,"2",106720105511
27,"10672010551",1.0,"2",106720105511
28,"10672010551",1.43,"2",106720105511
29,"10672010551",0.57,"2",106720105511
30,"10672010551",0.71,"2",106720105511
31,"10672010551",1.86,"2",106720105511
32,"10672010551",8.71,"2",106720105511
33,"10672010551",14.0,"2",106720105511
34,"10672010551",18.0,"2",106720105511
35,"10672010551",14.57,"2",106720105511
36,"10672010551",20.14,"2",106720105511
37,"10672010551",21.86,"2",106720105511
38,"10672010551",63.0,"2",106720105511
39,"10672010551",77.14,"2",106720105511
40,"10672010551",111.86,"2",106720105511
41,"10672010551",50.14,"2",106720105511
42,"10672010551",84.86,"2",106720105511
43,"10672010551",65.57,"2",106720105511
44,"10672010551",88.71,"2",106720105511
45,"10672010551",104.14,"2",106720105511
46,"10672010551",84.86,"2",106720105511
47,"10672010551",131.14,"2",106720105511
48,"10672010551",196.71,"2",106720105511
49,"10672010551",262.29,"2",106720105511
49,"10672010551",262.29,"3",106720105512
50,"10672010551",289.29,"3",106720105512
50,"10672010551",289.29,"4",106720105513
51,"10672010551",231.43,"4",106720105513
52,"10672010551",150.43,"4",106720105513
53,"10672010551",185.14,"4",106720105513
54,"10672010551",150.43,"4",106720105513
55,"10672010551",104.14,"4",106720105513
56,"10672010551",92.57,"4",106720105513
57,"10672010551",127.29,"4",106720105513
58,"10672010551",61.71,"4",106720105513
58,"10672010551",61.71,"3",106720105514
59,"10672010551",23.14,"3",106720105514
60,"10672010551",45.0,"3",106720105514
60,"10672010551",45.0,"2",106720105515
61,"10672010551",50.14,"2",106720105515
62,"10672010551",55.29,"2",106720105515
63,"10672010551",59.14,"2",106720105515
64,"10672010551",91.29,"2",106720105515
65,"10672010551",65.57,"2",106720105515
66,"10672010551",65.57,"2",106720105515
67,"10672010551",34.71,"2",106720105515
68,"10672010551",69.43,"2",106720105515
69,"10672010551",84.86,"2",106720105515
70,"10672010551",84.86,"2",106720105515
71,"10672010551",115.71,"2",106720105515
72,"10672010551",142.71,"2",106720105515
73,"10672010551",231.43,"2",106720105515
73,"10672010551",231.43,"3",106720105516
74,"10672010551",651.86,"3",106720105516
74,"10672010551",651.86,"4",106720105517
75,"10672010551",671.14,"4",106720105517
76,"10672010551",1180.29,"4",106720105517
77,"10672010551",729.0,"4",106720105517
78,"10672010551",520.71,"4",106720105517
79,"10672010551",624.86,"4",106720105517
80,"10672010551",590.14,"4",106720105517
81,"10672010551",243.0,"4",106720105517
81,"10672010551",243.0,"2",106723680568
0,"10672368056",0.0,"2",106723680568
