"wk","tr","nc","stg","id"
0,"12742010551",0.14,"1",127420105511
1,"12742010551",0.86,"1",127420105511
1,"12742010551",0.86,"1b",127420105512
2,"12742010551",6.86,"1b",127420105512
2,"12742010551",6.86,"3",127420105513
3,"12742010551",8.29,"3",127420105513
4,"12742010551",15.43,"3",127420105513
5,"12742010551",12.0,"3",127420105513
6,"12742010551",12.43,"3",127420105513
7,"12742010551",23.14,"3",127420105513
8,"12742010551",66.0,"3",127420105513
8,"12742010551",66.0,"4",127420105514
9,"12742010551",48.86,"4",127420105514
10,"12742010551",42.43,"4",127420105514
11,"12742010551",23.14,"4",127420105514
11,"12742010551",23.14,"3",127420105515
12,"12742010551",18.0,"3",127420105515
13,"12742010551",25.71,"3",127420105515
14,"12742010551",39.86,"3",127420105515
14,"12742010551",39.86,"4",127420105516
15,"12742010551",57.86,"4",127420105516
16,"12742010551",38.57,"4",127420105516
17,"12742010551",24.43,"4",127420105516
18,"12742010551",15.43,"4",127420105516
18,"12742010551",15.43,"3",127420105517
19,"12742010551",16.71,"3",127420105517
20,"12742010551",12.0,"3",127420105517
20,"12742010551",12.0,"2",127420105518
21,"12742010551",16.29,"2",127420105518
22,"12742010551",15.86,"2",127420105518
22,"12742010551",15.86,"1b",127420105519
23,"12742010551",16.71,"1b",127420105519
24,"12742010551",25.29,"1b",127420105519
24,"12742010551",25.29,"1",1274201055110
25,"12742010551",63.0,"1",1274201055110
25,"12742010551",63.0,"1b",1274201055111
26,"12742010551",160.71,"1b",1274201055111
26,"12742010551",160.71,"3",1274201055112
27,"12742010551",327.86,"3",1274201055112
27,"12742010551",327.86,"4",1274201055113
28,"12742010551",266.14,"4",1274201055113
29,"12742010551",138.86,"4",1274201055113
29,"12742010551",138.86,"3",1274201055114
30,"12742010551",92.57,"3",1274201055114
31,"12742010551",181.29,"3",1274201055114
31,"12742010551",181.29,"2",1274201055115
32,"12742010551",227.57,"2",1274201055115
33,"12742010551",416.57,"2",1274201055115
33,"12742010551",416.57,"1b",1274201055116
34,"12742010551",381.86,"1b",1274201055116
34,"12742010551",381.86,"1",1274201055117
35,"12742010551",1319.14,"1",1274201055117
36,"12742010551",6318.0,"1",1274201055117
36,"12742010551",6318.0,"1b",1274201055118
37,"12742010551",17600.14,"1b",1274201055118
37,"12742010551",17600.14,"3",1274201055119
38,"12742010551",40540.97,"3",1274201055119
38,"12742010551",40540.97,"4",1274201055120
39,"12742010551",31687.03,"4",1274201055120
40,"12742010551",17561.49,"4",1274201055120
41,"12742010551",17943.26,"4",1274201055120
42,"12742010551",11071.37,"4",1274201055120
43,"12742010551",5344.8,"4",1274201055120
44,"12742010551",4963.03,"4",1274201055120
44,"12742010551",4963.03,"3",1274201055121
45,"12742010551",3054.17,"3",1274201055121
45,"12742010551",3054.17,"4",1274201055122
46,"12742010551",4269.86,"4",1274201055122
47,"12742010551",1874.57,"4",1274201055122
47,"12742010551",1874.57,"3",1274201055123
48,"12742010551",1458.0,"3",1274201055123
48,"12742010551",1458.0,"4",1274201055124
49,"12742010551",833.14,"4",1274201055124
50,"12742010551",1076.14,"4",1274201055124
50,"12742010551",1076.14,"3",1274201055125
51,"12742010551",555.43,"3",1274201055125
