"wk","tr","nc","stg","id"
0,"10292010551",0.0,"1",102920105511
1,"10292010551",0.0,"1",102920105511
2,"10292010551",0.0,"1",102920105511
3,"10292010551",0.0,"1",102920105511
4,"10292010551",0.0,"1",102920105511
5,"10292010551",0.0,"1",102920105511
6,"10292010551",0.0,"1",102920105511
7,"10292010551",0.0,"1",102920105511
8,"10292010551",0.0,"1",102920105511
9,"10292010551",0.0,"1",102920105511
10,"10292010551",0.0,"1",102920105511
11,"10292010551",0.0,"1",102920105511
12,"10292010551",0.71,"1",102920105511
13,"10292010551",1.57,"1",102920105511
13,"10292010551",1.57,"1b",102920105512
14,"10292010551",1.29,"1b",102920105512
14,"10292010551",1.29,"2",102920105513
15,"10292010551",1.43,"2",102920105513
15,"10292010551",1.43,"1b",102920105514
16,"10292010551",0.71,"1b",102920105514
17,"10292010551",1.0,"1b",102920105514
17,"10292010551",1.0,"1",102920105515
18,"10292010551",1.71,"1",102920105515
19,"10292010551",0.71,"1",102920105515
20,"10292010551",1.71,"1",102920105515
21,"10292010551",1.0,"1",102920105515
22,"10292010551",2.29,"1",102920105515
23,"10292010551",1.57,"1",102920105515
24,"10292010551",2.29,"1",102920105515
25,"10292010551",1.71,"1",102920105515
26,"10292010551",2.57,"1",102920105515
27,"10292010551",4.29,"1",102920105515
28,"10292010551",3.43,"1",102920105515
29,"10292010551",2.71,"1",102920105515
30,"10292010551",3.29,"1",102920105515
31,"10292010551",2.86,"1",102920105515
32,"10292010551",5.43,"1",102920105515
33,"10292010551",9.86,"1",102920105515
34,"10292010551",16.29,"1",102920105515
35,"10292010551",19.71,"1",102920105515
36,"10292010551",51.86,"1",102920105515
37,"10292010551",64.29,"1",102920105515
38,"10292010551",126.0,"1",102920105515
39,"10292010551",219.86,"1",102920105515
40,"10292010551",416.57,"1",102920105515
40,"10292010551",416.57,"1b",102920105516
41,"10292010551",648.0,"1b",102920105516
41,"10292010551",648.0,"2",102920105517
42,"10292010551",1215.0,"2",102920105517
42,"10292010551",1215.0,"4",102920105518
43,"10292010551",486.0,"4",102920105518
44,"10292010551",486.0,"4",102920105518
45,"10292010551",277.71,"4",102920105518
46,"10292010551",370.29,"4",102920105518
47,"10292010551",219.86,"4",102920105518
48,"10292010551",115.71,"4",102920105518
49,"10292010551",69.43,"4",102920105518
