"wk","tr","nc","stg","id"
0,"11585801",0.0,"1",115858011
1,"11585801",0.0,"1",115858011
2,"11585801",0.0,"1",115858011
3,"11585801",0.0,"1",115858011
4,"11585801",0.0,"1",115858011
5,"11585801",0.0,"1",115858011
6,"11585801",0.0,"1",115858011
7,"11585801",0.0,"1",115858011
8,"11585801",0.0,"1",115858011
9,"11585801",0.0,"1",115858011
10,"11585801",2.43,"1",115858011
10,"11585801",2.43,"2",115858012
11,"11585801",2.86,"2",115858012
12,"11585801",1.86,"2",115858012
13,"11585801",1.0,"2",115858012
13,"11585801",1.0,"1b",115858013
14,"11585801",1.71,"1b",115858013
14,"11585801",1.71,"2",115858014
15,"11585801",1.29,"2",115858014
16,"11585801",1.71,"2",115858014
17,"11585801",1.29,"2",115858014
18,"11585801",0.29,"2",115858014
18,"11585801",0.29,"1b",115858015
19,"11585801",0.57,"1b",115858015
20,"11585801",0.43,"1b",115858015
21,"11585801",0.43,"1b",115858015
22,"11585801",0.57,"1b",115858015
23,"11585801",0.14,"1b",115858015
24,"11585801",0.14,"1b",115858015
25,"11585801",0.0,"1b",115858015
25,"11585801",0.0,"1",115858016
26,"11585801",0.57,"1",115858016
26,"11585801",0.57,"1b",115858017
27,"11585801",0.71,"1b",115858017
27,"11585801",0.71,"2",115858018
28,"11585801",0.0,"2",115858018
29,"11585801",0.0,"2",115858018
29,"11585801",0.0,"1b",115858019
30,"11585801",0.29,"1b",115858019
31,"11585801",0.29,"1b",115858019
31,"11585801",0.29,"1",1158580110
32,"11585801",0.86,"1",1158580110
33,"11585801",1.57,"1",1158580110
34,"11585801",1.14,"1",1158580110
35,"11585801",1.29,"1",1158580110
36,"11585801",0.71,"1",1158580110
37,"11585801",0.71,"1",1158580110
38,"11585801",2.14,"1",1158580110
39,"11585801",2.57,"1",1158580110
40,"11585801",1.57,"1",1158580110
41,"11585801",1.57,"1",1158580110
42,"11585801",3.0,"1",1158580110
43,"11585801",3.43,"1",1158580110
44,"11585801",3.86,"1",1158580110
45,"11585801",4.57,"1",1158580110
46,"11585801",2.43,"1",1158580110
47,"11585801",5.86,"1",1158580110
48,"11585801",10.0,"1",1158580110
49,"11585801",16.71,"1",1158580110
50,"11585801",13.71,"1",1158580110
51,"11585801",12.86,"1",1158580110
52,"11585801",6.0,"1",1158580110
53,"11585801",16.71,"1",1158580110
54,"11585801",9.86,"1",1158580110
55,"11585801",8.14,"1",1158580110
56,"11585801",7.29,"1",1158580110
57,"11585801",11.14,"1",1158580110
58,"11585801",11.14,"1",1158580110
59,"11585801",10.71,"1",1158580110
60,"11585801",10.29,"1",1158580110
61,"11585801",15.86,"1",1158580110
62,"11585801",14.57,"1",1158580110
63,"11585801",17.14,"1",1158580110
64,"11585801",20.14,"1",1158580110
65,"11585801",31.71,"1",1158580110
66,"11585801",32.14,"1",1158580110
66,"11585801",32.14,"1b",1158580111
67,"11585801",29.57,"1b",1158580111
68,"11585801",33.43,"1b",1158580111
68,"11585801",33.43,"1",1158580112
69,"11585801",56.57,"1",1158580112
69,"11585801",56.57,"1b",1158580113
70,"11585801",77.14,"1b",1158580113
70,"11585801",77.14,"3",1158580114
71,"11585801",63.0,"3",1158580114
71,"11585801",63.0,"4",1158580115
72,"11585801",46.29,"4",1158580115
73,"11585801",50.14,"4",1158580115
74,"11585801",14.14,"4",1158580115
75,"11585801",15.43,"4",1158580115
75,"11585801",15.43,"3",1158580116
76,"11585801",12.86,"3",1158580116
77,"11585801",9.86,"3",1158580116
77,"11585801",9.86,"2",1158580117
78,"11585801",3.86,"2",1158580117
79,"11585801",1.43,"2",1158580117
79,"11585801",1.43,"1b",1158580118
80,"11585801",2.14,"1b",1158580118
