"wk","tr","nc","stg","id"
0,"2401022892",0.0,"1",24010228921
1,"2401022892",0.0,"1",24010228921
2,"2401022892",0.0,"1",24010228921
3,"2401022892",0.14285714285714285,"1",24010228921
4,"2401022892",0.0,"1",24010228921
5,"2401022892",0.0,"1",24010228921
6,"2401022892",0.0,"1",24010228921
7,"2401022892",0.14285714285714285,"1",24010228921
7,"2401022892",0.14285714285714285,"1b",24010228922
8,"2401022892",0.14285714285714285,"1b",24010228922
9,"2401022892",0.14285714285714285,"1b",24010228922
10,"2401022892",0.0,"1b",24010228922
10,"2401022892",0.0,"1",24010228923
11,"2401022892",0.0,"1",24010228923
12,"2401022892",0.14285714285714285,"1",24010228923
13,"2401022892",0.0,"1",24010228923
14,"2401022892",0.0,"1",24010228923
15,"2401022892",0.14285714285714285,"1",24010228923
16,"2401022892",0.2857142857142857,"1",24010228923
17,"2401022892",0.0,"1",24010228923
18,"2401022892",0.0,"1",24010228923
19,"2401022892",0.0,"1",24010228923
20,"2401022892",0.0,"1",24010228923
21,"2401022892",0.0,"1",24010228923
22,"2401022892",0.0,"1",24010228923
23,"2401022892",0.0,"1",24010228923
24,"2401022892",0.0,"1",24010228923
25,"2401022892",0.2857142857142857,"1",24010228923
25,"2401022892",0.2857142857142857,"1b",24010228924
26,"2401022892",0.14285714285714285,"1b",24010228924
27,"2401022892",0.14285714285714285,"1b",24010228924
28,"2401022892",0.0,"1b",24010228924
28,"2401022892",0.0,"1",24010228925
29,"2401022892",0.0,"1",24010228925
30,"2401022892",0.14285714285714285,"1",24010228925
31,"2401022892",0.0,"1",24010228925
32,"2401022892",0.0,"1",24010228925
33,"2401022892",0.0,"1",24010228925
34,"2401022892",0.0,"1",24010228925
35,"2401022892",0.0,"1",24010228925
36,"2401022892",0.0,"1",24010228925
37,"2401022892",0.2857142857142857,"1",24010228925
37,"2401022892",0.2857142857142857,"1b",24010228926
38,"2401022892",0.0,"1b",24010228926
39,"2401022892",0.14285714285714285,"1b",24010228926
39,"2401022892",0.14285714285714285,"1",24010228927
40,"2401022892",0.14285714285714285,"1",24010228927
41,"2401022892",0.0,"1",24010228927
42,"2401022892",0.0,"1",24010228927
43,"2401022892",0.0,"1",24010228927
44,"2401022892",0.0,"1",24010228927
45,"2401022892",0.0,"1",24010228927
46,"2401022892",0.0,"1",24010228927
47,"2401022892",0.0,"1",24010228927
48,"2401022892",0.0,"1",24010228927
49,"2401022892",0.0,"1",24010228927
50,"2401022892",0.14285714285714285,"1",24010228927
51,"2401022892",0.14285714285714285,"1",24010228927
